Judul,Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
2.05 . 2.05.01 . 01.02 . 5.2.2.03 ,Belanja Jasa Kantor ,30000000,30000000,0,0,
2.05 . 2.05.01 . 01.02 . 5.2.2.03.01 ,Belanja Telepon ,15400000,15400000,0,0,"Belanja Telepon1 LS x 15.400.000,00 = 15.400.000,00"
2.05 . 2.05.01 . 01.02 . 5.2.2.03.02 ,Belanja Air ,600000,600000,0,0,"Belanja Air1 LS/0/0 x 600.000,00 = 600.000,00"
2.05 . 2.05.01 . 01.02 . 5.2.2.03.03 ,Belanja Listrik ,14000000,14000000,0,0,"Belanja Listrik1 LS/0/0 x 14.000.000,00 = 14.000.000,00"
2.05 . 2.05.01 . 01.06 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional ,16000000,16000000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.06 . 5.2.2 ,Belanja Barang dan Jasa ,16000000,16000000,0,0,
2.05 . 2.05.01 . 01.06 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,16000000,16000000,0,0,
2.05 . 2.05.01 . 01.06 . 5.2.2.05.04 ,Belanja Jasa KIR ,1000000,1000000,0,0,"Belanja Jasa KirBiaya Kir Mobil Dinas1 LS x 1.000.000,00 = 1.000.000,00"
2.05 . 2.05.01 . 01.06 . 5.2.2.05.05 ,Belanja Surat Tanda Nomor Kendaraan ,15000000,15000000,0,0,"Biaya Perpanjangan STNK Kendaraan Dinas1 LS x 15.000.000,00 = 15.000.000,00"
2.05 . 2.05.01 . 01.07 ,Penyediaan Jasa Administrasi Keuangan ,30420000,30420000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.07 . 5.2.1 ,Belanja Pegawai ,30420000,30420000,0,0,
2.05 . 2.05.01 . 01.07 . 5.2.1.01 ,Honorarium PNS ,30420000,30420000,0,0,
2.05 . 2.05.01 . 01.07 . 5.2.1.01.03 ,Honor Pengelola Keuangan dan Barang ,30420000,30420000,0,0,"Honor Pengelola Keuangan dan Barang
Pejabat Penatausahaan Keuangan (PPK-SKPD)
12 ob x 300.000,00 = 3.600.000,00
Pembantu PPK-SKPD
36 ob x 200.000,00 = 7.200.000,00
Bendahara Pengeluaran
12 ob x 275.000,00 = 3.300.000,00
Pembantu Bendahara Pengeluaran
36 ob x 200.000,00 = 7.200.000,00
Bendahara Penerima
12 ob x 100.000,00 = 1.200.000,00
Pengurus Barang
12 ob x 300.000,00 = 3.600.000,00
Pembantu Pengurus Barang
12 ob x 100.000,00 = 1.200.000,00
Pengurus Gaji
12 ob x 85.000,00 = 1.020.000,00
Pengelola urusan kepegawaian12 ob x 75.000,00 = 900.000,00
Penyimpan Barang12 ob x 100.000,00 = 1.200.000,00"
2.05 . 2.05.01 . 01.08 ,Penyediaan Jasa Kebersihan Kantor ,17000000,17000000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.08 . 5.2.1 ,Belanja Pegawai ,11000000,11000000,0,0,
2.05 . 2.05.01 . 01.08 . 5.2.1.02 ,Honorarium Non PNS ,11000000,11000000,0,0,
2.05 . 2.05.01 . 01.08 . 5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,11000000,11000000,0,0,"Honor Pegawai Tidak Tetap
Honor PHL Kebersihan Kantor11 ob x 1.000.000,00 = 11.000.000,00"
2.05 . 2.05.01 . 01.08 . 5.2.2 ,Belanja Barang dan Jasa ,6000000,6000000,0,0,
2.05 . 2.05.01 . 01.08 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,6000000,6000000,0,0,
2.05 . 2.05.01 . 01.08 . 5.2.2.01.05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih,6000000,6000000,0,0,"Belanja Peralatan Kebersihan dan Bahan Pembersih
Peralatan Kebersihan dan Bahan Pembersih1 LS x 6.000.000,00 = 6.000.000,00"
2.05 . 2.05.01 . 01.09 ,Penyediaan Jasa Perbaikan Peralatan Kerja ,15000000,16500000,1500000,10,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.09 . 5.2.2 ,Belanja Barang dan Jasa ,15000000,16500000,1500000,10,
2.05 . 2.05.01 . 01.09 . 5.2.2.20 ,Belanja Pemeliharaan ,15000000,16500000,1500000,10,
2.05 . 2.05.01 . 01.09 . 5.2.2.20.18 ,Belanja pemeliharaan alat kantor ,15000000,16500000,1500000,10,"Belanja Pemeiharaan Alat Kantor
Pemeliharaan Peralatan Kantor1 LS x 16.500.000,00 = 16.500.000,00"
2.05 . 2.05.01 . 01.10 ,Penyediaan Alat Tulis Kantor ,10000000,12000000,2000000,20,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.10 . 5.2.2 ,Belanja Barang dan Jasa ,10000000,12000000,2000000,20,
2.05 . 2.05.01 . 01.10 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,10000000,12000000,2000000,20,
2.05 . 2.05.01 . 01.10 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,10000000,12000000,2000000,20,"Belanja Alat Tulis Kantor
ATK dan bahan sarana komputer1 LS x 12.000.000,00 = 12.000.000,00"
2.05 . 2.05.01 . 01.11 ,Penyediaan Barang Cetakan dan Penggandaan ,7000000,10000000,3000000,42.86,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.11 . 5.2.2 ,Belanja Barang dan Jasa ,7000000,10000000,3000000,42.86,
2.05 . 2.05.01 . 01.11 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,7000000,10000000,3000000,42.86,
2.05 . 2.05.01 . 01.11 . 5.2.2.06.01 ,Belanja Cetak ,2000000,3000000,1000000,50,"Belanja Cetak
Cetak Blangko, dll1 LS x 3.000.000,00 = 3.000.000,00"
2.05 . 2.05.01 . 01.11 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,5000000,7000000,2000000,40,"Belanja PenggandaanFotokopi1 LS x 7.000.000,00 = 7.000.000,00"
2.05 . 2.05.01 . 01.12 ,Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor ,4000000,4000000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.12 . 5.2.2 ,Belanja Barang dan Jasa ,4000000,4000000,0,0,
2.05 . 2.05.01 . 01.12 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,4000000,4000000,0,0,
2.05 . 2.05.01 . 01.12 . 5.2.2.01.03 ,"Belanja Alat Listrik dan Elektronik(lampu pijar,battery kering)",4000000,4000000,0,0,"Belanja Alat Listrik dan ElektronikaLampu Pijar, Baterai, dll1 LS x 4.000.000,00 = 4.000.000,00"
2.05 . 2.05.01 . 01.15 ,Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan ,3000000,3000000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.15 . 5.2.2 ,Belanja Barang dan Jasa ,2000000,2000000,0,0,
2.05 . 2.05.01 . 01.15 . 5.2.2.03 ,Belanja Jasa Kantor ,2000000,2000000,0,0,
2.05 . 2.05.01 . 01.15 . 5.2.2.03.05 ,Belanja Surat Kabar/Majalah ,2000000,2000000,0,0,"Belanja Surat Kabar/MajalahSurat Kabar/Majalah1 LS x 2.000.000,00 = 2.000.000,00"
2.05 . 2.05.01 . 01.15 . 5.2.3 ,Belanja Modal ,1000000,1000000,0,0,
2.05 . 2.05.01 . 01.15 . 5.2.3.27 ,Belanja Modal Pengadaan Buku/Kepustakaan ,1000000,1000000,0,0,
2.05 . 2.05.01 . 01.15 . 5.2.3.27.21 ,Belanja Modal Pengadaan Buku Peraturan Perundang-Undangan,1000000,1000000,0,0,"Pengadaan Buku per UU anBuku per UU an1 paket x 1.000.000,00 = 1.000.000,00"
2.05 . 2.05.01 . 01.17 ,Penyediaan Makanan dan Minuman ,11000000,11000000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.17 . 5.2.2 ,Belanja Barang dan Jasa ,11000000,11000000,0,0,
2.05 . 2.05.01 . 01.17 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,11000000,11000000,0,0,
2.05 . 2.05.01 . 01.17 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,8000000,8000000,0,0,"Belanja Makanan dan Minuman RapatKonsumsi rapat1 LS x 8.000.000,00 = 8.000.000,00"
2.05 . 2.05.01 . 01.17 . 5.2.2.11.03 ,Belanja Makanan Dan Minuman Tamu ,1000000,1000000,0,0,"Konsumsi tamu1 LS x 1.000.000,00 = 1.000.000,00"
2.05 . 2.05.01 . 01.17 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,2000000,2000000,0,0,"Konsumsi Hari Jadi Kabupaten Bantul, upacara, dsb
Konsumsi Hari Jadi Kab. Bantul1 LS x 2.000.000,00 = 2.000.000,00"
2.05 . 2.05.01 . 01.18 ,Rapat-Rapat Koordinasi dan Konsultasi Ke Luar Daerah ,60000000,68000000,8000000,13.33,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.18 . 5.2.2 ,Belanja Barang dan Jasa ,60000000,68000000,8000000,13.33,
2.05 . 2.05.01 . 01.18 . 5.2.2.15 ,Belanja Perjalanan Dinas ,60000000,68000000,8000000,13.33,
2.05 . 2.05.01 . 01.18 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,60000000,68000000,8000000,13.33,"Dalam rangka koordinasi/konsultasi/dll ke Luar Daerah
dalam rangka koordinasi/konsultasi/dll1 LS x 68.000.000,00 = 68.000.000,00"
2.05 . 2.05.01 . 01.19 ,Rapat-Rapat Koordinasi dan Konsultasi ke Dalam Daerah ,10000000,10000000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.19 . 5.2.2 ,Belanja Barang dan Jasa ,10000000,10000000,0,0,
2.05 . 2.05.01 . 01.19 . 5.2.2.15 ,Belanja Perjalanan Dinas ,10000000,10000000,0,0,
2.05 . 2.05.01 . 01.19 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,10000000,10000000,0,0,"Perjalanan Dinas ke Kecamatan
Dalam rangka musrenbang, koordinasi, dll1 LS x 4.100.000,00 = 4.100.000,00
Perjalanan Dinas ke Propinsi/Kabupaten Lain
Dalam rangka koordinasi, konsultasi, dll ke DIY/kab. lain1 LS x 5.900.000,00 = 5.900.000,00"
2.05 . 2.05.01 . 01.22 ,Penyediaan Jasa Tenaga Pendukung/Teknis Perkantoran ,110000000,110000000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.22 . 5.2.1 ,Belanja Pegawai ,110000000,110000000,0,0,
2.05 . 2.05.01 . 01.22 . 5.2.1.02 ,Honorarium Non PNS ,110000000,110000000,0,0,
2.05 . 2.05.01 . 01.22 . 5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,110000000,110000000,0,0,"Honorarium Pegawai Honorer/Tidak Tetap
Honor PHL BBI110 ob x 1.000.000,00 = 110.000.000,00"
2.05 . 2.05.01 . 02 ,Program Peningkatan Sarana dan Prasarana Aparatur,463664840,475664840,12000000,2.59,
2.05 . 2.05.01 . 02.07 ,Pengadaan Perlengkapan Gedung Kantor ,57000000,57000000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
2.05 . 2.05.01 . 02.07 . 5.2.3 ,Belanja Modal ,57000000,57000000,0,0,
2.05 . 2.05.01 . 02.07 . 5.2.3.11 ,Belanja Modal Pengadaan Perlengkapan Kantor ,11000000,11000000,0,0,
2.05 . 2.05.01 . 02.07 . 5.2.3.11.26 ,Belanja modal pengadan eksternal display ,8000000,8000000,0,0,"Pengadaan Backdropp resepsionis1 paket x 8.000.000,00 = 8.000.000,00"
2.05 . 2.05.01 . 02.07 . 5.2.3.11.37 ,Belanja modal pengadan rambu penunjuk arah ,3000000,3000000,0,0,"Pengadaan plakat petunjuk nama ruang
plakat nama ruang1 paket x 3.000.000,00 = 3.000.000,00"
2.05 . 2.05.01 . 02.07 . 5.2.3.26 ,Belanja Modal Pengadaan Konstruksi/Pembelian Bangunan,40000000,40000000,0,0,
2.05 . 2.05.01 . 02.07 . 5.2.3.26.25 ,Belanja modal pengadaan konstruksi/bangunan konstruksi tempat parkir,40000000,40000000,0,0,"Pembangunan tempat parkirTempat Parkir1 paket x 38.150.000,00 = 38.150.000,00
Honorarium Tim Perencana Pembangunan Tempat parkirKetua1 o/p x 250.000,00 = 250.000,00
Sekretaris1 o/p x 225.000,00 = 225.000,00Anggota1 o/p x 200.000,00 = 200.000,00
Honorarium PPKPPK1 o/p x 350.000,00 = 350.000,00
Honorarium Pejabat PengadaanHonor pejabat pengadaan1 o/p x 300.000,00 = 300.000,00
Honorarium Panitia Pemeriksa dan Penerima Pembangunan Tempat ParkirKetua1 o/p x 200.000,00 = 200.000,00
Sekretaris1 o/p x 175.000,00 = 175.000,00Anggpta1 o/p x 150.000,00 = 150.000,00"
2.05 . 2.05.01 . 02.07 . 5.2.3.29 ,Belanja Modal Pengadaan Hewan/Ternak Dan Tanaman,6000000,6000000,0,0,
2.05 . 2.05.01 . 02.07 . 5.2.3.29.03 ,Belanja Modal Pengadaan Tanaman ,6000000,6000000,0,0,"Belanja Tanaman dan kelengkapannyaTanaman dan kelengkapannya1 paket x 6.000.000,00 = 6.000.000,00"
2.05 . 2.05.01 . 02.22 ,Pemeliharaan Rutin/Berkala Gedung Kantor ,35000000,35000000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 02.22 . 5.2.2 ,Belanja Barang dan Jasa ,35000000,35000000,0,0,
2.05 . 2.05.01 . 02.22 . 5.2.2.02 ,Belanja Bahan/Material ,35000000,35000000,0,0,
2.05 . 2.05.01 . 02.22 . 5.2.2.02.01 ,Belanja Bahan Baku untuk Bangunan / Kegiatan Pelayanan / Kegiatan Operasi,35000000,35000000,0,0,"Belanja Bahan Baku Untuk Bangunan
Bahan Baku Bangunan dan Biaya Pemeliharaan1 LS x 35.000.000,00 = 35.000.000,00"
2.05 . 2.05.01 . 02.24 ,Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional ,121664840,121664840,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 02.24 . 5.2.2 ,Belanja Barang dan Jasa ,121664840,121664840,0,0,
2.05 . 2.05.01 . 02.24 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,121664840,121664840,0,0,
2.05 . 2.05.01 . 02.24 . 5.2.2.05.01 ,Belanja Jasa Service ,5000000,7000000,2000000,40,"Biaya Jasa Service KendaraanService Kendaraan Dinas1 LS x 7.000.000,00 = 7.000.000,00"
2.05 . 2.05.01 . 02.24 . 5.2.2.05.02 ,Belanja Penggantian Suku Cadang ,27000000,25000000,-2000000,-7.41,"Belanja Penggantian Suku Cadang
Penggantian Suku Cadang Kendaraan Dinas1 LS x 25.000.000,00 = 25.000.000,00"
2.05 . 2.05.01 . 02.24 . 5.2.2.05.03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,89664840,89664840,0,0,"Belanja BBM dan Pelumas
BBM (sekretariat)1 LS x 47.764.840,00 = 47.764.840,00
Pelumas/Oli Kendaraan Dinas1 LS x 2.000.000,00 = 2.000.000,00
BBM kegiatan perencanaan/data statistik/profil/monev1 LS x 9.000.000,00 = 9.000.000,00
BBM kegiatan Pelatihan Budidaya dan Perbenihan1 LS x 2.400.000,00 = 2.400.000,00
BBM kegiatan Operasional Kapal Ikan1 LS x 2.500.000,00 = 2.500.000,00
BBM kegiatan Peningkatan Kompetensi Nelayan1 LS x 2.500.000,00 = 2.500.000,00
BBM kegiatan restocking di perairan umum1 LS x 3.000.000,00 = 3.000.000,00
BBM kegiatan Penyusunan Perda RZWP1 LS x 2.000.000,00 = 2.000.000,00
BBM kegiatan monitoring dan pengujian mutu hasil perikanan1 LS x 2.500.000,00 = 2.500.000,00
BBM kegiatan operasi pengawasan SDI di PU1 LS x 2.000.000,00 = 2.000.000,00
BBM kegiatan Apresiasi CBIB1 LS x 2.500.000,00 = 2.500.000,00
BBM kegiatan Apresiasi CPIB1 LS x 2.000.000,00 = 2.000.000,00
BBM kegiatan Pengembangan Bibit Ikan Unggul1 LS x 9.500.000,00 = 9.500.000,00"
2.05 . 2.05.01 . 02.29 ,Pemeliharaan Rutin/Berkala Mebeleur ,4000000,4000000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 02.29 . 5.2.2 ,Belanja Barang dan Jasa ,4000000,4000000,0,0,
2.05 . 2.05.01 . 02.29 . 5.2.2.20 ,Belanja Pemeliharaan ,4000000,4000000,0,0,
2.05 . 2.05.01 . 02.29 . 5.2.2.20.20 ,Belanja pemeliharaan perlengkapan kantor ,4000000,4000000,0,0,"Belanja Pemeliharaan Perlengkapan Kantor
Belanja Pemeliharaan Mebeleur Kantor1 LS x 4.000.000,00 = 4.000.000,00"
2.05 . 2.05.01 . 02.34 ,Pengadaan Peralatan dan Perlengkapan Kantor ,246000000,258000000,12000000,4.88,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : DKP Bantul"
2.05 . 2.05.01 . 02.34 . 5.2.3 ,Belanja Modal ,246000000,258000000,12000000,4.88,
2.05 . 2.05.01 . 02.34 . 5.2.3.10 ,Belanja Modal Pengadaan Peralatan Kantor ,4000000,0,-4000000,-100,
2.05 . 2.05.01 . 02.34 . 5.2.3.10.16 ,Belanja Modal Pengadaan Faximile ,4000000,0,-4000000,-100,Pengadaan faximile
2.05 . 2.05.01 . 02.34 . 5.2.3.11 ,Belanja Modal Pengadaan Perlengkapan Kantor ,98850000,103350000,4500000,4.55,
2.05 . 2.05.01 . 02.34 . 5.2.3.11.02 ,Belanja Modal Pengadaan Almari/rak/etalase ,24175000,24175000,0,0,"Pengadaan almariPengadaan almari / rak / rak perpustakaan1 paket x 23.000.000,00 = 23.000.000,00
Honorarium Panitia Pengadaan Barang dan JasaHonorarium PPK1 op x 350.000,00 = 350.000,00
Honorarium pejabat pengadaan1 op x 300.000,00 = 300.000,00
Honorarium panitia penerima/pemeriksa hasil pekerjaanketua1 op x 200.000,00 = 200.000,00
Sekretaris1 op x 175.000,00 = 175.000,00
Anggota1 op x 150.000,00 = 150.000,00"
2.05 . 2.05.01 . 02.34 . 5.2.3.11.04 ,Belanja Modal Pengadaan Filling Kabinet ,15000000,15000000,0,0,"Filling Kabinet1 paket x 15.000.000,00 = 15.000.000,00"
2.05 . 2.05.01 . 02.34 . 5.2.3.11.06 ,Belanja Modal Pengadaan Penunjuk Waktu/Jam ,3000000,3000000,0,0,"Pengadaan penunjuk waktu/jamPengadaan Jam Dinding1 paket x 3.000.000,00 = 3.000.000,00"
2.05 . 2.05.01 . 02.34 . 5.2.3.11.07 ,Belanja Modal Pengadaan AC ,41175000,41175000,0,0,"Pengadaan AC1 paket x 40.000.000,00 = 40.000.000,00
Honorarium panitia pengadaan barang dan jasaHonorarium PPK1 op x 350.000,00 = 350.000,00
Honorarium pejabat pengadaan1 op x 300.000,00 = 300.000,00
Honorarium panitia penerima/pemeriksa hasil pekerjaanKetua1 op x 200.000,00 = 200.000,00
Sekretaris1 op x 175.000,00 = 175.000,00
Anggota1 op x 150.000,00 = 150.000,00"
2.05 . 2.05.01 . 02.34 . 5.2.3.11.10 ,Belanja modal pengadaan wirelles ,6500000,8000000,1500000,23.08,"Pengadaan wireless1 unit x 8.000.000,00 = 8.000.000,00"
2.05 . 2.05.01 . 02.34 . 5.2.3.11.21 ,Belanja modal pengadaan gantungan surat kabar ,500000,500000,0,0,"Pengadaan gantungan surat kabar1 unit x 500.000,00 = 500.000,00"
2.05 . 2.05.01 . 02.34 . 5.2.3.11.34 ,Belanja modal pengadan karpet ,5000000,5000000,0,0,"Pengadaan karpet dan keset water wrap
Pengadaan karpet Musholla DKP dan keset water wrap1 paket x 5.000.000,00 = 5.000.000,00"
2.05 . 2.05.01 . 02.34 . 5.2.3.11.46 ,Belanja modal Pengadaan kaca ,500000,500000,0,0,"Pengadaan Kaca1 unit x 500.000,00 = 500.000,00"
2.05 . 2.05.01 . 02.34 . 5.2.3.11.70 ,Belanja modal pengadaan tiang bendera ,0,3000000,3000000,0,"pengadaan tiang bendera kantortiang bendera1 paket x 3.000.000,00 = 3.000.000,00"
2.05 . 2.05.01 . 02.34 . 5.2.3.11.73 ,Belanja modal pengadaan alat pemadam kebakaran,3000000,3000000,0,0,"Belanja modal pengadaan alat pemadam kebakaran1 paket x 3.000.000,00 = 3.000.000,00"
2.05 . 2.05.01 . 02.34 . 5.2.3.12 ,Belanja Modal Pengadaan Komputer ,56775000,56775000,0,0,
2.05 . 2.05.01 . 02.34 . 5.2.3.12.02 ,Belanja Modal Pengadaan Komputer/PC ,41175000,41175000,0,0,"Komputer/PCKomputer/PC dan Kelengkapannya1 Paket x 40.000.000,00 = 40.000.000,00
Honor panitia pengadaan barang dan jasaHonorarium PPK1 op x 350.000,00 = 350.000,00
Honorarium pejabat pengadaan1 op x 300.000,00 = 300.000,00
Honor panitia penerima/pemeriksa hasil pekerjaanketua1 op x 200.000,00 = 200.000,00
Sekretaris1 op x 175.000,00 = 175.000,00Anggota1 op x 150.000,00 = 150.000,00"
2.05 . 2.05.01 . 02.34 . 5.2.3.12.04 ,Belanja Modal Pengadaan Printer ,5000000,5000000,0,0,"pengadaan printer laserjet warna1 unit x 5.000.000,00 = 5.000.000,00"
