Judul,Anggaran Pendapatan dan Belanja Daerah,,
1.01 . 1.01.01 . 16 . 70,Peningkatan Mutu Pendidikan SD,47729875.00,
1.01 . 1.01.01 . 16 . 70 . 5 . 2 . 2,Belanja Barang dan Jasa,47729875.00,
1.01 . 1.01.01 . 16 . 71,Peningkatan Mutu Pendidikan SMP,37482600.00,
1.01 . 1.01.01 . 16 . 71 . 5 . 2 . 1,Belanja Pegawai,5915000.00,
1.01 . 1.01.01 . 16 . 71 . 5 . 2 . 2,Belanja Barang dan Jasa,31567600.00,
1.01 . 1.01.01 . 16 . 86,Pengembangan Potensi Siswa SMP,68346400.00,
1.01 . 1.01.01 . 16 . 86 . 5 . 2 . 1,Belanja Pegawai,1356000.00,
1.01 . 1.01.01 . 16 . 86 . 5 . 2 . 2,Belanja Barang dan Jasa,66990400.00,
1.01 . 1.01.01 . 16 . 87,Pengembangan Potensi Siswa SD,85699825.00,
1.01 . 1.01.01 . 16 . 87 . 5 . 2 . 1,Belanja Pegawai,4875000.00,
1.01 . 1.01.01 . 16 . 87 . 5 . 2 . 2,Belanja Barang dan Jasa,80824825.00,
1.01 . 1.01.01 . 16 . 90,Penyediaan Biaya Pendidikan SMP,1447899850.00,
1.01 . 1.01.01 . 16 . 90 . 5 . 2 . 1,Belanja Pegawai,8840000.00,
1.01 . 1.01.01 . 16 . 90 . 5 . 2 . 2,Belanja Barang dan Jasa,988959850.00,
1.01 . 1.01.01 . 16 . 90 . 5 . 2 . 3,Belanja Modal,450100000.00,
1.01 . 1.01.01 . 16 . 91,Penyediaan Biaya Pendidikan SD,1857914025.00,
1.01 . 1.01.01 . 16 . 91 . 5 . 2 . 1,Belanja Pegawai,333870000.00,
1.01 . 1.01.01 . 16 . 91 . 5 . 2 . 2,Belanja Barang dan Jasa,1524044025.00,
1.01 . 1.01.01 . 16 . 97,Pembangunan/ Rehabilitasi Bangunan SD,12044123770.00,
1.01 . 1.01.01 . 16 . 97 . 5 . 2 . 1,Belanja Pegawai,39813000.00,
1.01 . 1.01.01 . 16 . 97 . 5 . 2 . 2,Belanja Barang dan Jasa,3570841485.00,
1.01 . 1.01.01 . 16 . 97 . 5 . 2 . 3,Belanja Modal,8433469285.00,
1.01 . 1.01.01 . 16 . 99,Pengadaan Sarana Pendidikan SD,1302451600.00,
1.01 . 1.01.01 . 16 . 99 . 5 . 2 . 1,Belanja Pegawai,37368000.00,
1.01 . 1.01.01 . 16 . 99 . 5 . 2 . 2,Belanja Barang dan Jasa,65083600.00,
1.01 . 1.01.01 . 16 . 99 . 5 . 2 . 3,Belanja Modal,1200000000.00,
1.01 . 1.01.01 . 16 . 100,Pengadaan Sarana Pendidikan SMP,1752778900.00,
1.01 . 1.01.01 . 16 . 100 . 5 . 2 . 1,Belanja Pegawai,38840000.00,
1.01 . 1.01.01 . 16 . 100 . 5 . 2 . 2,Belanja Barang dan Jasa,864776734.00,
1.01 . 1.01.01 . 16 . 100 . 5 . 2 . 3,Belanja Modal,849162166.00,
1.01 . 1.01.01 . 16 . 131,Pembangunan/Rehabilitasi Prasarana SMP  DID (Dana Insentif Daerah),5000000000.00,
1.01 . 1.01.01 . 16 . 131 . 5 . 2 . 1,Belanja Pegawai,62500000.00,
1.01 . 1.01.01 . 16 . 131 . 5 . 2 . 2,Belanja Barang dan Jasa,649529150.00,
1.01 . 1.01.01 . 16 . 131 . 5 . 2 . 3,Belanja Modal,4287970850.00,
1.01 . 1.01.01 . 17,Program Pendidikan Menengah,2238262290.00,
1.01 . 1.01.01 . 17 . 71,Penyediaan Biaya Pendidikan SMA dan Kejuruan,1649584940.00,
1.01 . 1.01.01 . 17 . 71 . 5 . 2 . 1,Belanja Pegawai,64831000.00,
1.01 . 1.01.01 . 17 . 71 . 5 . 2 . 2,Belanja Barang dan Jasa,937734000.00,
1.01 . 1.01.01 . 17 . 71 . 5 . 2 . 3,Belanja Modal,647019940.00,
1.01 . 1.01.01 . 17 . 74,Pengembangan Potensi Siswa SMA/MA dan SMK,149127500.00,
1.01 . 1.01.01 . 17 . 74 . 5 . 2 . 1,Belanja Pegawai,12410000.00,
1.01 . 1.01.01 . 17 . 74 . 5 . 2 . 2,Belanja Barang dan Jasa,136717500.00,
1.01 . 1.01.01 . 17 . 104,Pembangunan/ Rehab Sarana Prasarana Pendidikan SMA dan Kejuruan,417109250.00,
1.01 . 1.01.01 . 17 . 104 . 5 . 2 . 3,Belanja Modal,417109250.00,
1.01 . 1.01.01 . 17 . 110,Peningkatan Mutu Pendidikan SMA/MA dan SMK,22440600.00,
1.01 . 1.01.01 . 17 . 110 . 5 . 2 . 1,Belanja Pegawai,1216000.00,
1.01 . 1.01.01 . 17 . 110 . 5 . 2 . 2,Belanja Barang dan Jasa,21224600.00,
1.01 . 1.01.01 . 18,Program Pendidikan Non Formal,737719850.00,
1.01 . 1.01.01 . 18 . 15,Pemberdayaan Anak Putus Sekolah,60393750.00,
1.01 . 1.01.01 . 18 . 15 . 5 . 2 . 1,Belanja Pegawai,8690000.00,
1.01 . 1.01.01 . 18 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,51703750.00,
1.01 . 1.01.01 . 18 . 16,Penyelenggaraan PAUDNI,192999900.00,
1.01 . 1.01.01 . 18 . 16 . 5 . 2 . 1,Belanja Pegawai,70040000.00,
1.01 . 1.01.01 . 18 . 16 . 5 . 2 . 2,Belanja Barang dan Jasa,109309900.00,
1.01 . 1.01.01 . 18 . 16 . 5 . 2 . 3,Belanja Modal,13650000.00,
1.01 . 1.01.01 . 18 . 27,Penyelanggaraan Pendidikan Kesetaraan dan Keaksaraan Fungsional,484326200.00,
1.01 . 1.01.01 . 18 . 27 . 5 . 2 . 1,Belanja Pegawai,117210000.00,
1.01 . 1.01.01 . 18 . 27 . 5 . 2 . 2,Belanja Barang dan Jasa,367116200.00,
1.01 . 1.01.01 . 20,Program Peningkatan Mutu Pendidik dan Tenaga Kependidikan,426806750.00,
1.01 . 1.01.01 . 20 . 68,Peningkatan kompetensi PTK PAUDNI,126366950.00,
1.01 . 1.01.01 . 20 . 68 . 5 . 2 . 1,Belanja Pegawai,25076000.00,
1.01 . 1.01.01 . 20 . 68 . 5 . 2 . 2,Belanja Barang dan Jasa,101290950.00,
1.01 . 1.01.01 . 20 . 69,Peningkatan kompetensi Pendidik dan Tenaga Kependidikan Jenjang SD,20000000.00,
1.01 . 1.01.01 . 20 . 69 . 5 . 2 . 1,Belanja Pegawai,3040000.00,
1.01 . 1.01.01 . 20 . 69 . 5 . 2 . 2,Belanja Barang dan Jasa,16960000.00,
1.01 . 1.01.01 . 20 . 70,Pemetaan dan pengembangan PTK SD,67999850.00,
1.01 . 1.01.01 . 20 . 70 . 5 . 2 . 1,Belanja Pegawai,13240000.00,
1.01 . 1.01.01 . 20 . 70 . 5 . 2 . 2,Belanja Barang dan Jasa,54759850.00,
1.01 . 1.01.01 . 20 . 71,Peningkatan kualitas Pendidik dan Tenaga Kependidikan SMP,59227400.00,
1.01 . 1.01.01 . 20 . 71 . 5 . 2 . 1,Belanja Pegawai,31890000.00,
1.01 . 1.01.01 . 20 . 71 . 5 . 2 . 2,Belanja Barang dan Jasa,27337400.00,
1.01 . 1.01.01 . 20 . 72,Peningkatan kualitas Pendidik dan Tenaga Kependidikan SMA dan Kejuruan,79401700.00,
1.01 . 1.01.01 . 20 . 72 . 5 . 2 . 1,Belanja Pegawai,4557000.00,
1.01 . 1.01.01 . 20 . 72 . 5 . 2 . 2,Belanja Barang dan Jasa,74844700.00,
1.01 . 1.01.01 . 20 . 73,Pendataan dan pemetaan Pendidik dan Tenaga Kependidikan SMA dan SMK,33297400.00,
1.01 . 1.01.01 . 20 . 73 . 5 . 2 . 1,Belanja Pegawai,3893000.00,
1.01 . 1.01.01 . 20 . 73 . 5 . 2 . 2,Belanja Barang dan Jasa,29404400.00,
1.01 . 1.01.01 . 20 . 74,Pendataan dan pemetaan Pendidik dan Tenaga Kependidikan SMP,40513450.00,
1.01 . 1.01.01 . 20 . 74 . 5 . 2 . 1,Belanja Pegawai,19560000.00,
1.01 . 1.01.01 . 20 . 74 . 5 . 2 . 2,Belanja Barang dan Jasa,20953450.00,
1.01 . 1.01.01 . 22,Program Manajemen Pelayanan Pendidikan,9944503160.00,
1.01 . 1.01.01 . 22 . 15,Penyediaan Biaya Insentif GTT/PTT dan GTY/PTY,7846741460.00,
1.01 . 1.01.01 . 22 . 15 . 5 . 2 . 1,Belanja Pegawai,7826315860.00,
1.01 . 1.01.01 . 22 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,20425600.00,
1.01 . 1.01.01 . 22 . 16,Pemetaan dan Penilaian Kinerja Pendidik dan Tenaga Kependidikan,80499900.00,
1.01 . 1.01.01 . 22 . 16 . 5 . 2 . 1,Belanja Pegawai,29074000.00,
1.01 . 1.01.01 . 22 . 16 . 5 . 2 . 2,Belanja Barang dan Jasa,51425900.00,
1.01 . 1.01.01 . 22 . 20,Penyediaan dan Pengelolaan Data Pokok Pendidikan,106000000.00,
1.01 . 1.01.01 . 22 . 20 . 5 . 2 . 1,Belanja Pegawai,14314000.00,
1.01 . 1.01.01 . 22 . 20 . 5 . 2 . 2,Belanja Barang dan Jasa,91686000.00,
1.01 . 1.01.01 . 22 . 25,Pelaksanaan Evaluasi Mutu Pendidikan,159626500.00,
1.01 . 1.01.01 . 22 . 25 . 5 . 2 . 1,Belanja Pegawai,34685000.00,
1.01 . 1.01.01 . 22 . 25 . 5 . 2 . 2,Belanja Barang dan Jasa,124941500.00,
1.01 . 1.01.01 . 22 . 27,Pelaksanaan Standar Pelayanan Minimal Pendidikan Dasar,1751635300.00,
1.01 . 1.01.01 . 22 . 27 . 5 . 2 . 1,Belanja Pegawai,235975000.00,
1.01 . 1.01.01 . 22 . 27 . 5 . 2 . 2,Belanja Barang dan Jasa,1501510300.00,
1.01 . 1.01.01 . 22 . 27 . 5 . 2 . 3,Belanja Modal,14150000.00,
1.01 . 1.01.01 . 36,Program Peningkatan Peran Serta Pelajar,374334950.00,
1.01 . 1.01.01 . 36 . 06,"Pembinaan Karakter, Keberbakatan Olah Raga dan Seni Bagi Pelajar",374334950.00,
1.01 . 1.01.01 . 36 . 06 . 5 . 2 . 1,Belanja Pegawai,14370000.00,
1.01 . 1.01.01 . 36 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,359964950.00,
,SURPLUS / (DEFISIT),-555503665068.00,
