Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01 . 06,Honor Pengelola Keuangan dan Barang,10680000,"APBD  
 Hr Pengelola keuangan
Bendahara Barang12 org/bln x 150.000,00 = 1.800.000,00
Pembantu Bendahara Barang12 org/bln x 100.000,00 = 1.200.000,00
Bendahara12 org/bln x 180.000,00 = 2.160.000,00
Pembantu Bendahara36 org/bln x 130.000,00 = 4.680.000,00
Pengurus Gaji12 org/bln x 70.000,00 = 840.000,00"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,1390000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1200000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,1200000,"   Belanja ATK Keg Pengelolaan keuangan 
Belanja ATK4 ls x 300.000,00 = 1.200.000,00"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,190000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,190000,"   Belanja Pengandaan
Biaya Pengandaan1,520 lmbr/kali x 125,00 = 190.000,00"
1.20 . 1.20.03 . 01 . 08,Penyediaan jasa kebersihan kantor,900000,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  Tersedianya alat alat kebersihan kantor dalam 12 bln
Target     :  100 %"
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,900000,
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,900000,
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 2 . 01 . 05,Belanja Peralatan Kebersihan Dan Bahan Pembersih,900000,"APBD  
 Belanja Alat Kebersihan Kantor
Belanja alat kebersihan12 ls x 75.000,00 = 900.000,00"
1.20 . 1.20.03 . 01 . 10,Penyediaan alat tulis kantor,10800000,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  Tersediannya ATK selama 12 bln
Target     :  100 %"
1.20 . 1.20.03 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,10800000,
1.20 . 1.20.03 . 01 . 10 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,10800000,
1.20 . 1.20.03 . 01 . 10 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,10800000,"APBD  
 Belanja ATK12 LS x 900.000,00 = 10.800.000,00"
1.20 . 1.20.03 . 01 . 11,Penyediaan barang cetakan dan penggandaan,1010000,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  Terlaksanannya penggandaan sebanyak 8000 lmr
Target     :  100 PERSEN"
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,1010000,
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,1010000,
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,1010000,"APBD  
 Belanja Pengandaan
Belanja cetak & Penggandaan5,400 Eks x 150,00 = 810.000,001,600 eks x 125,00 = 200.000,00"
1.20 . 1.20.03 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,750000,"Sumber Dana : APBD
Keluaran :  Tersediannya baterai kering sebanya 75buah
Target     :  100 %"
1.20 . 1.20.03 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,750000,
1.20 . 1.20.03 . 01 . 12 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,750000,
1.20 . 1.20.03 . 01 . 12 . 5 . 2 . 2 . 01 . 03,Belanja Alat Listrik Dan Elektronik (Lampu Pijar^ Battery Kering),750000,"APBD   
Belanja Alat listrik & elektronik
belanja alat listrik75 bh x 10.000,00 = 750.000,00"
1.20 . 1.20.03 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,15192000,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  Tersedianya 10 bahan bacaan
Target     :  100 %"
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,15192000,
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,15192000,
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 2 . 03 . 05,Belanja Surat Kabar/Majalah,15192000,"APBD  
 Biaya langganan surat kabar
Tribun Jogja24 eks/bln x 55.000,00 = 1.320.000,00
Majalah Femina12 bk/bln x 57.000,00 = 684.000,00
Meteor12 eks/bln x 55.000,00 = 660.000,00
Merapi12 eks/bln x 60.000,00 = 720.000,00
Harian Jogja24 eks/bln x 54.000,00 = 1.296.000,00
Radar Jogja24 eks/bln x 135.000,00 = 3.240.000,00
Seputar Indonesia12 eks/bln x 65.000,00 = 780.000,00
Republika12 eks/bln x 95.000,00 = 1.140.000,00
Kedaulatan Rakyat24 eks/bln x 68.000,00 = 1.632.000,00
Bernas24 eks/bln x 50.000,00 = 1.200.000,00
Kompas24 eks/bln x 105.000,00 = 2.520.000,00"
1.20 . 1.20.03 . 01 . 17,Penyediaan makanan dan minuman,800000,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  Tersediannya Mamin untuk 80 org
Target     :  100 %"
1.20 . 1.20.03 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,800000,
1.20 . 1.20.03 . 01 . 17 . 5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,800000,
1.20 . 1.20.03 . 01 . 17 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,800000,"APBD  
 Belanja Mamin Rapat80 oh x 10.000,00 = 800.000,00"
1.20 . 1.20.03 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,27535000,"Sumber Dana : APBD
Keluaran :  Terlaksananya rako dan konsul keluar daerah
Target     :  100 %"
1.20 . 1.20.03 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,27535000,
1.20 . 1.20.03 . 01 . 18 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,27535000,
1.20 . 1.20.03 . 01 . 18 . 5 . 2 . 2 . 15 . 02,Belanja Perjalanan Dinas Luar Daerah,27535000,"APBD  
 Baiya perjalanan dinas luar daerah
Tiket Kereta Api6 tiket x 572.500,00 = 3.435.000,00
gol IV4 OH/THN x 1.700.000,00 = 6.800.000,00
Gol.III6 oh/thn x 1.550.000,00 = 9.300.000,00
Tiket Pesawat4 tiket x 2.000.000,00 = 8.000.000,00"
1.20 . 1.20.03 . 01 . 19,Rapat-rapat koordinasi dan konsultasi dalam daerah,4800000,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL"
1.20 . 1.20.03 . 01 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,4800000,
1.20 . 1.20.03 . 01 . 19 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,4800000,
1.20 . 1.20.03 . 01 . 19 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,4800000,"APBD   
Biaya Perjalanan dinas dalam Propinsi
gol IV4 OH x 70.000,00 = 280.000,00
Gol III8 OH x 60.000,00 = 480.000,00
Biaya Perjalanan dinas dalam Kab.Bantul
Gol II52 OH x 30.000,00 = 1.560.000,00
Gol III62 OH x 40.000,00 = 2.480.000,00"
1.20 . 1.20.03 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,138785650,
1.20 . 1.20.03 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,61414500,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  Terlaksananya kegiatan pemeliharaan kendaraan kantor
Target     :  100 %"
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,61414500,
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,61414500,
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05 . 02,Belanja Penggantian Suku Cadang,3829000,"APBD   
Belanja suku cadang dan spare part
belanja spare part dan suku cadang1 ls x 3.829.000,00 = 3.829.000,00"
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05 . 03,Belanja Bahan Bakar Minyak/Gas Dan Pelumas,57585500,"APBD   
Belanja bahan bakar minyak gas
Minyak pelumas42 ltr/thn x 27.750,00 = 1.165.500,00
BBM Kend Dinas1 ls x 13.000.000,00 = 13.000.000,00
BBM Peliputan Dinamika Pemb1 ls x 1.500.000,00 = 1.500.000,00
BBM Siaran Taman Gabusan1 ls x 15.000.000,00 = 15.000.000,00
BBM Penerbitan Buletin Sejada1 ls x 3.000.000,00 = 3.000.000,00
BBM Keg. Pengkj Informasi1 ls x 2.500.000,00 = 2.500.000,00
BBM Operasional Kehumasan1 ls x 17.500.000,00 = 17.500.000,00
BBM Bantul Ekspo1 ls x 3.920.000,00 = 3.920.000,00"
1.20 . 1.20.03 . 02 . 30,Pemeliharaan rutin/berkala peralatan dan perlengkapan kantor,2371150,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  Terlaksananya kegiatan pemeliharaan peralatan kantor
Target     :  100 %"
1.20 . 1.20.03 . 02 . 30 . 5 . 2 . 2,Belanja Barang dan Jasa,2371150,
1.20 . 1.20.03 . 02 . 30 . 5 . 2 . 2 . 20,Belanja Pemeliharaan,2371150,
1.20 . 1.20.03 . 02 . 30 . 5 . 2 . 2 . 20 . 04,Belanja Pemeliharan Peralatan dan Mesin,2371150,"APBD   
Biaya Pemeliharaan peralatan  dan mesin kantor
biaya service ac,komp,kamera dll1 ls x 2.371.150,00 = 2.371.150,00"
1.20 . 1.20.03 . 02 . 34,Pengadaan peralatan dan perlengkapan kantor,75000000,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  Pembelian 2 komputer 2 laptop 1 camera vidio
Target     :  100 %"
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 1,Belanja Pegawai,825000,
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 1 . 01,Honorarium PNS,825000,
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 1 . 01 . 02,Honorarium Tim Pengadaan Barang Dan Jasa,825000,"   hr Panitia pengadaan
Hr Anggota Panitia Pengadaan Barang Jasa1 org x 150.000,00 = 150.000,00
Hr Pejabat Pengadaan Barang Jasa1 org x 300.000,00 = 300.000,00
Hr Ketua Panitia Pengadaan Barang Jasa1 org x 200.000,00 = 200.000,00
Hr sekretaris Panitia Pengadaan Barang Jasa1 org x 175.000,00 = 175.000,00"
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3,Belanja Modal,74175000,
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3 . 29,Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer,35000000,
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3 . 29 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer,35000000,"APBD  
 pembelian computer dan laptop
pembelian komputer2 unit x 7.500.000,00 = 15.000.000,00
pembelian laptop2 unit x 10.000.000,00 = 20.000.000,00"
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3 . 31,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio,39175000,
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3 . 31 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Video dan Film,39175000,"APBD 
  Pembelian camera vidio1 unit x 14.175.000,00 = 14.175.000,00
Pembelian Camera Foto1 unit x 15.500.000,00 = 15.500.000,00
Lenza Zoom1 unit x 9.500.000,00 = 9.500.000,00"
1.25 . 1.20.03 . 15,Program Pengembangan Komunikasi^ Informasi dan Media Massa,254890000,
1.25 . 1.20.03 . 15 . 03,Pembinaan dan pengembangan sumber daya komunikasi dan informasi,174685000,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  Work shop 1 kali 35 orang (wartawan dan skpd)
Target     :  100 %"
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,174685000,
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,240000,
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,240000,"APBD   
Belanja ATK
Belanja ATK Workshop48 bk x 5.000,00 = 240.000,00"
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,200000,
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 03 . 13,Belanja Dokumentasi,200000,"APBD   
Belanja Dokumentasi
Blj Dok Workshop1 ls x 200.000,00 = 200.000,00"
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,145000,
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,145000,"   Belanja Penggandaan
blj penggandaan1,160 lmbr x 125,00 = 145.000,00"
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,1125000,
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,1125000,"   Belanja makan minum kegiatan workshop
Biaya mamin kegiatan workshop45 ok x 25.000,00 = 1.125.000,00"
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 13,Belanja Pakaian Kerja,1925000,
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 13 . 01,Belanja Pakaian Kerja Lapangan,1925000,"   belanja pakaian seragam work shop35 bh x 55.000,00 = 1.925.000,00"
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,170150000,
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 15 . 02,Belanja Perjalanan Dinas Luar Daerah,170150000,"   Biaya perjalanan dinas luar daerah
Peg Gol IV12 oh x 1.100.000,00 = 13.200.000,00
Peg Gol III89 OH x 1.050.000,00 = 93.450.000,00
Peg Gol II4 OH x 1.000.000,00 = 4.000.000,00
Belanja tiket PP35 OK x 1.700.000,00 = 59.500.000,00"
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 35,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,900000,
1.25 . 1.20.03 . 15 . 03 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,900000,"   Hr nara sumber workshop4 JPL/0 x 225.000,00 = 900.000,00"
1.25 . 1.20.03 . 15 . 05,Pengkajian dan pengembangan sistem informasi,54500000,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  Hasil analisa dan fokus media masa 12 bulan
Target     :  100 %"
1.25 . 1.20.03 . 15 . 05 . 5 . 2 . 1,Belanja Pegawai,32600000,
1.25 . 1.20.03 . 15 . 05 . 5 . 2 . 1 . 01,Honorarium PNS,12600000,
1.25 . 1.20.03 . 15 . 05 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,12600000,"APBD  
 Hr Tim pengkajian Inf Media masa
Hr Tim pengkajian inf dan media masa120 org/bln x 105.000,00 = 12.600.000,00"
1.25 . 1.20.03 . 15 . 05 . 5 . 2 . 1 . 02,Honorarium Non PNS,20000000,
1.25 . 1.20.03 . 15 . 05 . 5 . 2 . 1 . 02 . 05,Honorium Petugas Peliputan,20000000,"   HR Insidental Wartawan1 thn x 20.000.000,00 = 20.000.000,00"
1.25 . 1.20.03 . 15 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,21900000,
1.25 . 1.20.03 . 15 . 05 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,9000000,
1.25 . 1.20.03 . 15 . 05 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,9000000,"APBD  
 Belanja ATK1 ls x 9.000.000,00 = 9.000.000,00"
1.25 . 1.20.03 . 15 . 05 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,6000000,
1.25 . 1.20.03 . 15 . 05 . 5 . 2 . 2 . 03 . 15,Belanja Publikasi,6000000,"APBD  
 pemberdayaan PWIPWI Yogyakarta1 LS x 3.000.000,00 = 3.000.000,00
FPB Bantul1 ls x 3.000.000,00 = 3.000.000,00"
1.25 . 1.20.03 . 15 . 05 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,6900000,
1.25 . 1.20.03 . 15 . 05 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,6900000,"APBD 
  BIAYA PENGANDAAN40,000 EKS x 150,00 = 6.000.000,00
BIAYA PENJILIDAN36 JILID x 25.000,00 = 900.000,00"
1.25 . 1.20.03 . 15 . 06,Perencanaan dan pengembangan kebijakan komunikasi dan informasi,25705000,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  Dokumentasi foto vidio kegiatan pemerintah dan pembangunan
Target     :  100 %"
1.25 . 1.20.03 . 15 . 06 . 5 . 2 . 1,Belanja Pegawai,10700000,
1.25 . 1.20.03 . 15 . 06 . 5 . 2 . 1 . 01,Honorarium PNS,10700000,
1.25 . 1.20.03 . 15 . 06 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,10700000,"APBD 
  HR TIM PENYEDIA INF PIMPINAN DAERAH
HR tim penyedia inf pim daerah48 kali/org x 200.000,00 = 9.600.000,00
hr penulis sejada4 org x 275.000,00 = 1.100.000,00"
1.25 . 1.20.03 . 15 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,15005000,
1.25 . 1.20.03 . 15 . 06 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,6900000,
1.25 . 1.20.03 . 15 . 06 . 5 . 2 . 2 . 03 . 13,Belanja Dokumentasi,2500000,"APBD  
 blj dokumentasiblj dok vidio25 ls x 100.000,00 = 2.500.000,00"
1.25 . 1.20.03 . 15 . 06 . 5 . 2 . 2 . 03 . 15,Belanja Publikasi,4400000,"   Belanja Pembuatan dan pemasangan Spanduk22 bh x 200.000,00 = 4.400.000,00"
1.25 . 1.20.03 . 15 . 06 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,8105000,
1.25 . 1.20.03 . 15 . 06 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,8105000,"   blj cetak
blj cetak leaflet1,021 eks x 5.000,00 = 5.105.000,00
belanja cetak foto dokumentasi25 ls x 120.000,00 = 3.000.000,00"
1.25 . 1.20.03 . 16,Program pengkajian dan penelitian bidang informasi dan komunikasi,114725000,
1.25 . 1.20.03 . 16 . 02,Pemberdayaan KID dan PPID,103250000,"Sumber Dana :
 Lokasi Kegiatan : BANTUL
Keluaran :  Prosentase pelayanan inf publik yang terlayani
Target     :  100 %"
1.25 . 1.20.03 . 16 . 02 . 5 . 2 . 1,Belanja Pegawai,86400000,
1.25 . 1.20.03 . 16 . 02 . 5 . 2 . 1 . 01,Honorarium PNS,86400000,
1.25 . 1.20.03 . 16 . 02 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,86400000,"   Hr Panitia Pelaksana kegiatan
Hr ppid12 bln/org x 180.000,00 = 2.160.000,00
Hr PPPID Pembantu648 org/bln x 130.000,00 = 84.240.000,00"
1.25 . 1.20.03 . 16 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,16850000,
1.25 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,2400000,
1.25 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,2400000,"   Belanja ATK
ATK PPID12 bln x 200.000,00 = 2.400.000,00"
1.25 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,2950000,
1.25 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,2950000,"   Blj Penggandaan
Blj Pengandaan23,600 lb x 125,00 = 2.950.000,00"
1.25 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,7500000,
1.25 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,7500000,"   mamin rapat PPID
Mamin rakor PPID300 ok x 25.000,00 = 7.500.000,00"
1.25 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 35,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,4000000,
1.25 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,4000000,"   Hr nara sumber16 org/kali x 250.000,00 = 4.000.000,00"
1.25 . 1.20.03 . 16 . 03,Pengembangan dan Pemberdayaan Kelompok Informasi Masyarakat (KIM),11475000,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  masyarakat yang peduli inf
Target     :  100 %"
1.25 . 1.20.03 . 16 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,11475000,
1.25 . 1.20.03 . 16 . 03 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1500000,
1.25 . 1.20.03 . 16 . 03 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,1500000,"   Belanja ATK KIM
Belanja ATK Keg KIM1 ls x 1.500.000,00 = 1.500.000,00"
1.25 . 1.20.03 . 16 . 03 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,375000,
1.25 . 1.20.03 . 16 . 03 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,375000,"   Blj Penggandaan Keg KIM2,500 eks x 150,00 = 375.000,00"
1.25 . 1.20.03 . 16 . 03 . 5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,2000000,
1.25 . 1.20.03 . 16 . 03 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,2000000,"   Blj Mamin rapat KIM160 org/kali x 12.500,00 = 2.000.000,00"
1.25 . 1.20.03 . 16 . 03 . 5 . 2 . 2 . 35,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,7600000,
1.25 . 1.20.03 . 16 . 03 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,2000000,"APBD  
 Hr PNS KEG KIM
Hr nara sumber8 org/kali x 250.000,00 = 2.000.000,00"
1.25 . 1.20.03 . 16 . 03 . 5 . 2 . 2 . 35 . 05,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi,5600000,"   hr peserta pelatihan kim
hr peseta pelatihan kim160 org/kali x 35.000,00 = 5.600.000,00"
1.25 . 1.20.03 . 18,Program kerjasama informasi dengan mas media,1693096842,
1.25 . 1.20.03 . 18 . 01,Penyebarluasan informasi pembangunan daerah,1693096842,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  Terlaksanannya keg inf pembangunan daerah siaran,  tv radio,penerbitan bul sejada,keg Bantul ekspo
Target     :  100 %"
1.25 . 1.20.03 . 18 . 01 . 5 . 2 . 1,Belanja Pegawai,116770000,
1.25 . 1.20.03 . 18 . 01 . 5 . 2 . 1 . 01,Honorarium PNS,64170000,
1.25 . 1.20.03 . 18 . 01 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,61420000,"APBD  
 hr palaksana kegiatan
hr tim dinamika pemb desa40 org/kali x 80.000,00 = 3.200.000,00
hr pengelola penerbitan bul sejada20 org/edisi x 225.000,00 = 4.500.000,00
hr fotografer sejada4 org/edisi x 150.000,00 = 600.000,00
hr panitia bantul ekspo280 org/bln x 90.000,00 = 25.200.000,00
hr tim pelaksana siaran taman gabusan180 org/bl x 60.000,00 = 10.800.000,00
hr seker penerbitan bul sejada24 org/edisi x 150.000,00 = 3.600.000,00
hr penulis sejada152 org/edisi x 85.000,00 = 12.920.000,00
hr layout bul sejada4 0rg/kali x 150.000,00 = 600.000,00"
1.25 . 1.20.03 . 18 . 01 . 5 . 2 . 1 . 01 . 02,Honorarium Tim Pengadaan Barang Dan Jasa,2750000,"   hr tim panitai brg jasa
hr ppk1 ok x 650.000,00 = 650.000,00
hr pemeriksa dan penerima brg taman gabusan3 ok x 350.000,00 = 1.050.000,00
hr pemeriksa dan penerima brg buletin sejada3 ok x 250.000,00 = 750.000,00
hr PPK Keg Bul Sejada1 org x 300.000,00 = 300.000,00"
1.25 . 1.20.03 . 18 . 01 . 5 . 2 . 1 . 02,Honorarium Non PNS,52600000,
1.25 . 1.20.03 . 18 . 01 . 5 . 2 . 1 . 02 . 05,Honorium Petugas Peliputan,52600000,"   Hr Petugas Peliputan
Hr Petugas Peliputan Dinamika Pembangunan160 org/kali x 100.000,00 = 16.000.000,00
Hr Petugas Peliputan Jumpa Pers160 org/kali x 60.000,00 = 9.600.000,00
Hr Petugas Peliputan peserta kerjasama dengan mas media/siaran pers240 org/bln x 100.000,00 = 24.000.000,00
Hr Petugas Peliputan Pers BE30 org/hr x 100.000,00 = 3.000.000,00"
1.25 . 1.20.03 . 18 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,1576326842,
1.25 . 1.20.03 . 18 . 01 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,5710000,
