Judul;Anggaran Pendapatan dan Belanja Daerah;;;;
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 2;Belanja Barang dan Jasa;359565000.00;;;
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 3;Belanja Modal;12500000.00;;;
1.23 . 1.06.01 . 15 . 12;Penyusunan Data Statistik Daerah;74498350.00;;;
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 1;Belanja Pegawai;44720000.00;;;
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2;Belanja Barang dan Jasa;29778350.00;;;
1.05 . 1.06.01 . 15;Program Perencanaan Tata Ruang;496887000.00;;;
1.05 . 1.06.01 . 15 . 22;Penyusunan Perencanaan Tata Ruang;447887000.00;;;
1.05 . 1.06.01 . 15 . 22 . 5 . 2 . 1;Belanja Pegawai;60595000.00;;;
1.05 . 1.06.01 . 15 . 22 . 5 . 2 . 2;Belanja Barang dan Jasa;387292000.00;;;
1.05 . 1.06.01 . 15 . 23;Sosialisasi Rencana Tata Ruang;49000000.00;;;
1.05 . 1.06.01 . 15 . 23 . 5 . 2 . 1;Belanja Pegawai;6320000.00;;;
1.05 . 1.06.01 . 15 . 23 . 5 . 2 . 2;Belanja Barang dan Jasa;42680000.00;;;
1.06 . 1.06.01 . 16;Program Kerjasama Pengembangan IPTEK;283628200.00;;;
1.06 . 1.06.01 . 16 . 06;Pelayanan Kerjasama Pemerintah Daerah Dengan Perguruan Tinggi;59549100.00;;;
1.06 . 1.06.01 . 16 . 06 . 5 . 2 . 1;Belanja Pegawai;46600000.00;;;
1.06 . 1.06.01 . 16 . 06 . 5 . 2 . 2;Belanja Barang dan Jasa;12949100.00;;;
1.06 . 1.06.01 . 16 . 08;Jaring Penelitian (Jarlit) Tingkat Kabupaten;224079100.00;;;
1.06 . 1.06.01 . 16 . 08 . 5 . 2 . 1;Belanja Pegawai;106150000.00;;;
1.06 . 1.06.01 . 16 . 08 . 5 . 2 . 2;Belanja Barang dan Jasa;117929100.00;;;
1.05 . 1.06.01 . 17;Program Pengendalian Pemanfaatan Ruang;132400000.00;;;
1.05 . 1.06.01 . 17 . 06;Pengendalian Pemanfaatan Ruang;132400000.00;;;
1.05 . 1.06.01 . 17 . 06 . 5 . 2 . 1;Belanja Pegawai;110562000.00;;;
1.05 . 1.06.01 . 17 . 06 . 5 . 2 . 2;Belanja Barang dan Jasa;21838000.00;;;
1.06 . 1.06.01 . 21;Program Perencanaan Pembangunan Daerah;1909872175.00;;;
1.06 . 1.06.01 . 21 . 05;Penyusunan Rancangan RPJMD;185743500.00;;;
1.06 . 1.06.01 . 21 . 05 . 5 . 2 . 1;Belanja Pegawai;107120000.00;;;
1.06 . 1.06.01 . 21 . 05 . 5 . 2 . 2;Belanja Barang dan Jasa;78623500.00;;;
1.06 . 1.06.01 . 21 . 14;Penyusunan Rancangan KUA dan PPAS.;157458800.00;;;
1.06 . 1.06.01 . 21 . 14 . 5 . 2 . 1;Belanja Pegawai;55088000.00;;;
1.06 . 1.06.01 . 21 . 14 . 5 . 2 . 2;Belanja Barang dan Jasa;102370800.00;;;
1.06 . 1.06.01 . 21 . 27;Pengendalian dan Evaluasi Pelaksanaan DAK; Tugas Pembantuan dan Dana Lainnya;97011600.00;;
1.06 . 1.06.01 . 21 . 27 . 5 . 2 . 1;Belanja Pegawai;48020000.00;;;
1.06 . 1.06.01 . 21 . 27 . 5 . 2 . 2;Belanja Barang dan Jasa;48991600.00;;;
1.06 . 1.06.01 . 21 . 31;Monitoring dan Evaluasi Pembangunan Sumber Daya Air;75000000.00;;;
1.06 . 1.06.01 . 21 . 31 . 5 . 2 . 1;Belanja Pegawai;3150000.00;;;
1.06 . 1.06.01 . 21 . 31 . 5 . 2 . 2;Belanja Barang dan Jasa;71850000.00;;;
1.06 . 1.06.01 . 21 . 33;Penyusunan Data Dasar Spasial;74000000.00;;;
1.06 . 1.06.01 . 21 . 33 . 5 . 2 . 1;Belanja Pegawai;15660000.00;;;
1.06 . 1.06.01 . 21 . 33 . 5 . 2 . 2;Belanja Barang dan Jasa;58340000.00;;;
1.06 . 1.06.01 . 21 . 38;Perumusan Kebijakan dan Sinkronisasi Pelaksanaan Upaya-Upaya Penanggulangan Kemiskinan dan penurunan Kesenjangan;99237100.00;;;
1.06 . 1.06.01 . 21 . 38 . 5 . 2 . 1;Belanja Pegawai;39580000.00;;;
1.06 . 1.06.01 . 21 . 38 . 5 . 2 . 2;Belanja Barang dan Jasa;59657100.00;;;
1.06 . 1.06.01 . 21 . 42;Sinkronisasi Upaya Pencegahan dan Pemberantasan Korupsi;29999900.00;;;
1.06 . 1.06.01 . 21 . 42 . 5 . 2 . 1;Belanja Pegawai;20880000.00;;;
1.06 . 1.06.01 . 21 . 42 . 5 . 2 . 2;Belanja Barang dan Jasa;9119900.00;;;
1.06 . 1.06.01 . 21 . 44;Penyusunan RKPD;371211825.00;;;
1.06 . 1.06.01 . 21 . 44 . 5 . 2 . 1;Belanja Pegawai;85476000.00;;;
1.06 . 1.06.01 . 21 . 44 . 5 . 2 . 2;Belanja Barang dan Jasa;265735825.00;;;
1.06 . 1.06.01 . 21 . 44 . 5 . 2 . 3;Belanja Modal;20000000.00;;;
1.06 . 1.06.01 . 21 . 45;Pengendalian dan Evaluasi Pelaksanaan Rencana Pembangunan Daerah;197329150.00;;;
1.06 . 1.06.01 . 21 . 45 . 5 . 2 . 1;Belanja Pegawai;77622000.00;;;
1.06 . 1.06.01 . 21 . 45 . 5 . 2 . 2;Belanja Barang dan Jasa;119707150.00;;;
1.06 . 1.06.01 . 21 . 46;Perencanaan Pembangunan Sub Bidang Perindustrian; Perdagangan; Koperasi; Pariwisata dan Penanaman Modal;41000000.00
1.06 . 1.06.01 . 21 . 46 . 5 . 2 . 1;Belanja Pegawai;17140000.00;;;
1.06 . 1.06.01 . 21 . 46 . 5 . 2 . 2;Belanja Barang dan Jasa;23860000.00;;;
1.06 . 1.06.01 . 21 . 47;Perencanaan Pembangunan Sub Bidang Pertanian; Kehutanan; Perikanan dan Kelautan;43000000.00;
1.06 . 1.06.01 . 21 . 47 . 5 . 2 . 1;Belanja Pegawai;19600000.00;;;
1.06 . 1.06.01 . 21 . 47 . 5 . 2 . 2;Belanja Barang dan Jasa;23400000.00;;;
1.06 . 1.06.01 . 21 . 48;Perencanaan Pembangunan Sub Bidang PU dan Perumahan;83856400.00;;;
1.06 . 1.06.01 . 21 . 48 . 5 . 2 . 1;Belanja Pegawai;17300000.00;;;
1.06 . 1.06.01 . 21 . 48 . 5 . 2 . 2;Belanja Barang dan Jasa;66556400.00;;;
1.06 . 1.06.01 . 21 . 49;Perencanaan Pembangunan Sub Bidang Tata Ruang dan Perhubungan;36000000.00;;;
1.06 . 1.06.01 . 21 . 49 . 5 . 2 . 1;Belanja Pegawai;2900000.00;;;
1.06 . 1.06.01 . 21 . 49 . 5 . 2 . 2;Belanja Barang dan Jasa;33100000.00;;;
1.06 . 1.06.01 . 21 . 50;Perencanaan Pembangunan Sub Bidang ESDM dan Lingkungan Hidup;28624900.00;;;
1.06 . 1.06.01 . 21 . 50 . 5 . 2 . 1;Belanja Pegawai;12980000.00;;;
1.06 . 1.06.01 . 21 . 50 . 5 . 2 . 2;Belanja Barang dan Jasa;15644900.00;;;
1.06 . 1.06.01 . 21 . 51;Perencanaan Pembangunan Sub Bidang Pendidikan dan Kebudayaan;49618800.00;;;
1.06 . 1.06.01 . 21 . 51 . 5 . 2 . 1;Belanja Pegawai;26400000.00;;;
1.06 . 1.06.01 . 21 . 51 . 5 . 2 . 2;Belanja Barang dan Jasa;23218800.00;;;
1.06 . 1.06.01 . 21 . 52;Perencanaan Pembangunan Sub Bidang Sosial dan Kesehatan;33999850.00;;;
1.06 . 1.06.01 . 21 . 52 . 5 . 2 . 1;Belanja Pegawai;14846000.00;;;
1.06 . 1.06.01 . 21 . 52 . 5 . 2 . 2;Belanja Barang dan Jasa;19153850.00;;;
1.06 . 1.06.01 . 21 . 53;Perencanaan Pembangunan Sub Bidang Pemerintahan Umum;67000000.00;;;
1.06 . 1.06.01 . 21 . 53 . 5 . 2 . 1;Belanja Pegawai;29650000.00;;;
1.06 . 1.06.01 . 21 . 53 . 5 . 2 . 2;Belanja Barang dan Jasa;37350000.00;;;
1.06 . 1.06.01 . 21 . 54;Perencanaan Pembangunan Sub Bidang Kepegawaian; Keuangan dan Poldagri;37999950.00;;
1.06 . 1.06.01 . 21 . 54 . 5 . 2 . 1;Belanja Pegawai;22450000.00;;;
1.06 . 1.06.01 . 21 . 54 . 5 . 2 . 2;Belanja Barang dan Jasa;15549950.00;;;
1.06 . 1.06.01 . 21 . 56;Penyusunan Perencanaan Percepatan Pembangunan Sanitasi Permukiman;27167700.00;;;
1.06 . 1.06.01 . 21 . 56 . 5 . 2 . 1;Belanja Pegawai;2320000.00;;;
1.06 . 1.06.01 . 21 . 56 . 5 . 2 . 2;Belanja Barang dan Jasa;24847700.00;;;
1.06 . 1.06.01 . 21 . 57;Pemantauan dan Evaluasi SDGs;39237600.00;;;
1.06 . 1.06.01 . 21 . 57 . 5 . 2 . 1;Belanja Pegawai;15280000.00;;;
1.06 . 1.06.01 . 21 . 57 . 5 . 2 . 2;Belanja Barang dan Jasa;23957600.00;;;
1.06 . 1.06.01 . 21 . 58;Penyusunan Masterplan RTH Perkotaan;135375100.00;;;
1.06 . 1.06.01 . 21 . 58 . 5 . 2 . 1;Belanja Pegawai;17310000.00;;;
1.06 . 1.06.01 . 21 . 58 . 5 . 2 . 2;Belanja Barang dan Jasa;118065100.00;;;
;SURPLUS / (DEFISIT);-7682898517.00;;;
