Judul,APBD Kab Bantul 2015,,
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,"54,288,100","Tunjangan PPh/Tunjangan Khusus1 th x 54.288.100,00 = 54.288.100,00"
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,"26,935","Pembulatan Gaji1 th x 26.935,00 = 26.935,00"
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 09 ,Iuran Asuransi Kesehatan ,0,"Iuran Asuransi Kesehatan
Iurang Asuransi Kesehatan BPJS1 th x 0,00 = 0,00
Iuran Asuransi Jaminan Kecelakaan Kerja BPJS1 th x 0,00 = 0,00
Iuran Jaminan Kematian BPJS1 th x 0,00 = 0,00"
1.13 . 1.13.01 . 01 . 01 . 5 . 2 ,BELANJA LANGSUNG ,"5,784,375,550",
1.13 . 1.13.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,"220,262,700",
1.13 . 1.13.01 . 01 . 01 ,Penyediaan jasa surat menyurat ,"2,340,000","Sumber Dana :
 Lokasi Kegiatan : Kec Bantul
Keluaran :  Terselenggaranya kegiatan surat-menyurat & administrasi kantor lain
Target:  405 buah"
1.13 . 1.13.01 . 01 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"2,340,000",
1.13 . 1.13.01 . 01 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"2,340,000",
1.13 . 1.13.01 . 01 . 01 . 5 . 2 . 2 . 01 . 04 ,Belanja Perangko^ Materai Dan Benda Pos ,"2,340,000","Pos kilat khusus1 ls x 370.000,00 = 370.000,00
Bea Perangko/MateraiMaterai 6.000120 buah x 6.000,00 = 720.000,00
Materai 3.000350 buah x 3.000,00 = 1.050.000,00
Buku Cek8 buku x 25.000,00 = 200.000,00"
1.13 . 1.13.01 . 01 . 02 ,Penyediaan jasa komunikasi^ sumber daya air dan listrik ,"6,000,000","Sumber Dana : 
Lokasi Kegiatan : kec bantul
Keluaran :  Pembiayaan fasilitas kantor (rekening telepon)
Target:  12 bulan"
1.13 . 1.13.01 . 01 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"6,000,000",
1.13 . 1.13.01 . 01 . 02 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,"6,000,000",
1.13 . 1.13.01 . 01 . 02 . 5 . 2 . 2 . 03 . 01 ,Belanja Telepon ,"6,000,000","Belanja telepon1 ls x 6.000.000,00 = 6.000.000,00"
1.13 . 1.13.01 . 01 . 06 ,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,"20,900,000","Sumber Dana : 
Lokasi Kegiatan : Kab. Bantul
Keluaran :  Terbayarnya pajak STNK kendaraan dinas operasional
Target:  20 kali"
1.13 . 1.13.01 . 01 . 06 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"20,900,000",
1.13 . 1.13.01 . 01 . 06 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,"13,000,000",
1.13 . 1.13.01 . 01 . 06 . 5 . 2 . 2 . 03 . 17 ,Belanja Asuransi ,"13,000,000","Belanja asuransi
Belanja asuransi kendaraan1 ls x 13.000.000,00 = 13.000.000,00"
1.13 . 1.13.01 . 01 . 06 . 5 . 2 . 2 . 05 ,Belanja Perawatan Kendaraan Bermotor ,"7,900,000",
1.13 . 1.13.01 . 01 . 06 . 5 . 2 . 2 . 05 . 05 ,Belanja Pajak Kendaraan Bermotor ,"7,900,000","Belanja Pajak Kendaraan Bermotor
Belanja Surat Tanda Nomor Kendaraan dinas roda 4 (6 unit) & roda 2 (13 unit)1 ls x 7.900.000,00 = 7.900.000,00"
1.13 . 1.13.01 . 01 . 07 ,Penyediaan jasa administrasi keuangan ,"35,912,900","Sumber Dana : 
Lokasi Kegiatan : Kab. Bantul
Keluaran :  Terbayarnya honor pengelola keuangan
Target:  144 ob"
1.13 . 1.13.01 . 01 . 07 . 5 . 2 . 1 ,Belanja Pegawai ,"29,988,000",
1.13 . 1.13.01 . 01 . 07 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"29,988,000",
1.13 . 1.13.01 . 01 . 07 . 5 . 2 . 1 . 01 . 06 ,Honor Pengelola Keuangan dan Barang ,"29,988,000","Honor Pengelola keuangan dan barang
Honor Pengurus Barang12 ob x 300.000,00 = 3.600.000,00
Honor Penyimpan Barang12 ob x 300.000,00 = 3.600.000,00
Honor Urusan Kepegawaian12 ob x 75.000,00 = 900.000,00
Honor Pembantu PPK36 ob x 210.000,00 = 7.560.000,00
Honor Pengurus Gaji12 ob x 80.000,00 = 960.000,00
Honor Pembantu Pengurus Gaji12 ob x 80.000,00 = 960.000,00
honor Pejabat Penatausahaan Keuangan12 ob x 345.000,00 = 4.140.000,00
Honor Bendahara Pengeluaran12 ob x 289.000,00 = 3.468.000,00
Honor Pembantu Bendahara Pengeluaran24 ob x 200.000,00 = 4.800.000,00"
1.13 . 1.13.01 . 01 . 07 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"5,924,900",
1.13 . 1.13.01 . 01 . 07 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"2,915,000",
1.13 . 1.13.01 . 01 . 07 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"2,915,000","Belanja alat tulis kantor1 ls x 2.915.000,00 = 2.915.000,00"
1.13 . 1.13.01 . 01 . 07 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"2,199,900",
1.13 . 1.13.01 . 01 . 07 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"2,199,900","Belanja penggandaan14,666 lbr x 150,00 = 2.199.900,00"
1.13 . 1.13.01 . 01 . 07 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,810,
1.13 . 1.13.01 . 01 . 07 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,810,"Belanja makan dan minum rapat
Jamuan snack60 dos x 8.500,00 = 510.000,00
Jamuan makan15 dos x 20.000,00 = 300.000,00"
1.13 . 1.13.01 . 01 . 08 ,Penyediaan jasa kebersihan kantor ,"3,500,000","Sumber Dana : 
Lokasi Kegiatan : Kab. Bantul
Keluaran :  Tersedianya alat & bahan kebersihan kantor
Target:  15 macam"
1.13 . 1.13.01 . 01 . 08 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"3,500,000",
1.13 . 1.13.01 . 01 . 08 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"3,500,000",
1.13 . 1.13.01 . 01 . 08 . 5 . 2 . 2 . 01 . 05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,"3,500,000","Belanja peralatan kebersihan dan bahan pembersih sulak bulu, keranjang sampah, keset, sapu cemara, lap ,pel, sabun cuci tangan, pembersih lantai, dll1 ls x 3.500.000,00 = 3.500.000,00"
1.13 . 1.13.01 . 01 . 09 ,Penyediaan jasa perbaikan peralatan kerja ,"15,665,300","Sumber Dana :
 Lokasi Kegiatan : Kab. Bantul
Keluaran :  Terlaksananya perbaikan peralatan kerja  yang baik & memadai
Target:  60 kali"
1.13 . 1.13.01 . 01 . 09 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"15,665,300",
1.13 . 1.13.01 . 01 . 09 . 5 . 2 . 2 . 20 ,Belanja Pemeliharaan ,"15,665,300",
1.13 . 1.13.01 . 01 . 09 . 5 . 2 . 2 . 20 . 04 ,Belanja Pemeliharan Peralatan dan Mesin ,"15,665,300","Belanja pemeliharaan peralatan dan mesin,Servis komputer, laptop, printer, mesin ketik, AC, telepon, fax, LCD proyektor, televisi, kamera, handycam, dll1 ls x 15.665.300,00 = 15.665.300,00"
1.13 . 1.13.01 . 01 . 10 ,Penyediaan alat tulis kantor ,"12,929,400","Sumber Dana :
 Lokasi Kegiatan : Kab. Bantul
Keluaran :  Tersedianya Alat Tulis Kantor
Target:  30 macam"
1.13 . 1.13.01 . 01 . 10 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"12,929,400",
1.13 . 1.13.01 . 01 . 10 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"12,929,400",
1.13 . 1.13.01 . 01 . 10 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"12,929,400","Belanja Alat Tulis Kantor1 ls x 12.929.400,00 = 12.929.400,00"
1.13 . 1.13.01 . 01 . 11 ,Penyediaan barang cetakan dan penggandaan ,"15,670,100","Sumber Dana :
 Lokasi Kegiatan : Kab. Bantul
Keluaran :  Tersedianya barang cetakan & penggandaan dokumen
Target:  600 buah"
1.13 . 1.13.01 . 01 . 11 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"15,670,100",
1.13 . 1.13.01 . 01 . 11 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"15,670,100",
1.13 . 1.13.01 . 01 . 11 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,"10,670,000","Belanja cetak
Stopmap berkop100 buah x 4.000,00 = 400.000,00
Spanduk4 buah x 200.000,00 = 800.000,00
SPD60 buku x 22.000,00 = 1.320.000,00
Amplop berkop10 dos x 30.000,00 = 300.000,00
SSP10 buku x 45.000,00 = 450.000,00
Buku profil100 buku x 30.000,00 = 3.000.000,00
Bend 26100 buku x 22.000,00 = 2.200.000,00
Lembar disposisi160 buku x 10.000,00 = 1.600.000,00
Kartu kendali60 buku x 10.000,00 = 600.000,00"
1.13 . 1.13.01 . 01 . 11 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"5,000,100","Belanja penggandaaan
Belanja penggandaan33,334 lembar x 150,00 = 5.000.100,00"
1.13 . 1.13.01 . 01 . 12 ,Penyediaan komponen instalasi listrik/penerangan bangunan kantor ,"3,500,000","Sumber Dana : 
Lokasi Kegiatan : Kab. Bantul
Keluaran :  Tersedianya peralatan listrik, elektronik & penerangan kantor
Target:  15 macam"
1.13 . 1.13.01 . 01 . 12 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"3,500,000",
1.13 . 1.13.01 . 01 . 12 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"3,500,000",
1.13 . 1.13.01 . 01 . 12 . 5 . 2 . 2 . 01 . 03 ,Belanja Alat Listrik Dan Elektronik (Lampu Pijar^ Battery Kering) ,"3,500,000","Belanja alat listrik dan elektronik (lampu pijar, battery kering) Jam dinding, batere kering, lampu pijar, kabel, dll.1 ls x 3.500.000,00 = 3.500.000,00"
1.13 . 1.13.01 . 01 . 15 ,Penyediaan bahan bacaan dan peraturan perundang-undangan ,"4,800,000","Sumber Dana :
 Lokasi Kegiatan : Kab. Bantul
Keluaran :  Tersedianya bahan bacaan/surat kabar kantor
Target:  48 eksemplar"
1.13 . 1.13.01 . 01 . 15 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"4,800,000",
1.13 . 1.13.01 . 01 . 15 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,"4,800,000",
1.13 . 1.13.01 . 01 . 15 . 5 . 2 . 2 . 03 . 05 ,Belanja Surat Kabar/Majalah ,"4,800,000","Belanja surat kabar/majalah
Biaya berlangganan surat kabar/majalah12 bulan x 400.000,00 = 4.800.000,00"
1.13 . 1.13.01 . 01 . 17 ,Penyediaan makanan dan minuman ,"10,445,000","Sumber Dana : 
Lokasi Kegiatan : Kab. Bantul
Keluaran :  Tersedianya jamuan makan & minum untuk kegiatan rapat & tamu
Target:  1.000 ok"
1.13 . 1.13.01 . 01 . 17 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"10,445,000",
1.13 . 1.13.01 . 01 . 17 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"10,445,000",
1.13 . 1.13.01 . 01 . 17 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"6,995,000","Belanja makanan dan minuman rapat
Rapat koordinasi dinas/instansi470 dos x 8.500,00 = 3.995.000,00
Jamuan makan dan minum rapat150 dos x 20.000,00 = 3.000.000,00"
1.13 . 1.13.01 . 01 . 17 . 5 . 2 . 2 . 11 . 03 ,Belanja Makanan Dan Minuman Tamu ,"3,450,000","Belanja makanan dan minuman tamujamuan snack tamu345 dos x 10.000,00 = 3.450.000,00"
1.13 . 1.13.01 . 01 . 18 ,Rapat-rapat koordinasi dan konsultasi ke luar daerah ,"42,600,000","Sumber Dana : 
Lokasi Kegiatan : Kab. Bantul
Keluaran :  Terlaksananya perjalanan dinas keluar daerah
Target:  6 kali"
1.13 . 1.13.01 . 01 . 18 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"42,600,000",
1.13 . 1.13.01 . 01 . 18 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,"42,600,000",
1.13 . 1.13.01 . 01 . 18 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,"42,600,000","Belanja perjalanan dinas luar daerahLumpsum 
Gol. IV12 oh x 1.700.000,00 = 20.400.000,00
Lumpsum Gol. III4 oh x 1.550.000,00 = 6.200.000,00
Transport-pp (pesawat)8 kali x 2.000.000,00 = 16.000.000,00"
1.13 . 1.13.01 . 01 . 19 ,Rapat-rapat  koordinasi dan konsultasi dalam daerah ,"10,000,000","Sumber Dana :
 Lokasi Kegiatan : Kab. Bantul
Keluaran :  Terlaksananya perjalanan dinas ke dalam daerah
Target:  190 kali"
1.13 . 1.13.01 . 01 . 19 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"10,000,000",
1.13 . 1.13.01 . 01 . 19 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,"10,000,000",
1.13 . 1.13.01 . 01 . 19 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,"10,000,000","Propinsi DIY
Gol. IV 35 ok x 70.000,00 = 2.450.000,00
Gol. III 45 ok x 60.000,00 = 2.700.000,00
Gol. II 21 ok x 50.000,00 = 1.050.000,00
Kab. BantulGol. IV 36 ok x 50.000,00 = 1.800.000,00
Gol. III 41 ok x 40.000,00 = 1.640.000,00
Gol. II 12 ok x 30.000,00 = 360.000,00"
1.13 . 1.13.01 . 01 . 20 ,Penyediaan jasa keamanan ,"36,000,000","Sumber Dana : 
Lokasi Kegiatan : Kab. Bantul
Keluaran :  Tersedianya pembayaran jasa keamanan kantor
Target:  36 ob"
1.13 . 1.13.01 . 01 . 20 . 5 . 2 . 1 ,Belanja Pegawai ,"36,000,000",
1.13 . 1.13.01 . 01 . 20 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,"36,000,000",
1.13 . 1.13.01 . 01 . 20 . 5 . 2 . 1 . 02 . 03 ,Honorarium Pegawai Kontrak ,"36,000,000","Honorarium Penjaga Malam Kantor

Honorarium penjaga malam kantor (3 org x 12 bulan)36 ok x 1.000.000,00 = 36.000.000,00"
1.13 . 1.13.01 . 02 ,Program Peningkatan Sarana dan Prasarana Aparatur ,"189,100,000",
1.13 . 1.13.01 . 02 . 22 ,Pemeliharaan rutin/berkala gedung kantor ,"5,000,000","Sumber Dana :
 Lokasi Kegiatan : Kab. Bantul
Keluaran :  Terlaksananya pemeliharaan rutin/berkala gedung/kantor
Target:  2 kali"
1.13 . 1.13.01 . 02 . 22 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"5,000,000",
1.13 . 1.13.01 . 02 . 22 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,"5,000,000",
1.13 . 1.13.01 . 02 . 22 . 5 . 2 . 2 . 02 . 01 ,Belanja Bahan Baku Bangunan ,"5,000,000","Perbaikan gedung kantor1 ls x 5.000.000,00 = 5.000.000,00"
1.13 . 1.13.01 . 02 . 24 ,Pemeliharaan rutin/berkala kendaraan dinas/operasional ,"102,000,000","Sumber Dana :
 Lokasi Kegiatan : Kab. Bantul
Keluaran :  Tersedianya kendaraan dinas/operasional yangbaik & memadai
Target:  24 unit"
1.13 . 1.13.01 . 02 . 24 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"102,000,000",
1.13 . 1.13.01 . 02 . 24 . 5 . 2 . 2 . 05 ,Belanja Perawatan Kendaraan Bermotor ,"102,000,000",
1.13 . 1.13.01 . 02 . 24 . 5 . 2 . 2 . 05 . 01 ,Belanja Jasa Service ,"10,000,000","Belanja jasa service
Belanja jasa servis kendaraan dinasRoda 4 = 6 unitRoda 2 = 18 unit1 ls x 10.000.000,00 = 10.000.000,00"
1.13 . 1.13.01 . 02 . 24 . 5 . 2 . 2 . 05 . 02 ,Belanja Penggantian Suku Cadang ,"16,000,000","Belanja Penggantian Suku Cadang
Belanja penggantian suku cadang kendaraan dinasRoda 4 = 6 unitRoda 2 = 18 unit1 ls x 16.000.000,00 = 16.000.000,00"
1.13 . 1.13.01 . 02 . 24 . 5 . 2 . 2 . 05 . 03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,"76,000,000","Belanja Bahan Bakar Minyak/Gas dan Pelumas
BBM operasional kendaraan dinas1 ls x 72.000.000,00 = 72.000.000,00
Pelumas/Oil1 ls x 4.000.000,00 = 4.000.000,00"
1.13 . 1.13.01 . 02 . 29 ,Pemeliharaan rutin/berkala mebeleur ,"5,000,000","Sumber Dana : 
Lokasi Kegiatan : Kab. Bantul
Keluaran :  Terlaksananya pemeliharaan rutin/berkala mebel
Target:  1 kali"
1.13 . 1.13.01 . 02 . 29 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"5,000,000",
1.13 . 1.13.01 . 02 . 29 . 5 . 2 . 2 . 20 ,Belanja Pemeliharaan ,"5,000,000",
1.13 . 1.13.01 . 02 . 29 . 5 . 2 . 2 . 20 . 04 ,Belanja Pemeliharan Peralatan dan Mesin ,"5,000,000","Belanja pemeliharaan mebel1 ls x 5.000.000,00 = 5.000.000,00"
1.13 . 1.13.01 . 02 . 34 ,Pengadaan Peralatan dan Perlengkapan Kantor ,"77,100,000","Sumber Dana : 
Lokasi Kegiatan : Kab. Bantul
Keluaran :  Tersedianya peralatan & perlengkapan kantor
Target:  20 unit"
1.13 . 1.13.01 . 02 . 34 . 5 . 2 . 3 ,Belanja Modal ,"77,100,000",
1.13 . 1.13.01 . 02 . 34 . 5 . 2 . 3 . 27 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor ,"25,000,000",
1.13 . 1.13.01 . 02 . 34 . 5 . 2 . 3 . 27 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor ,"25,000,000","Pengadaan Televisi3 unit x 4.000.000,00 = 12.000.000,00
Pengadaan proyektor1 unit x 10.000.000,00 = 10.000.000,00

Pengadaan Portable Wireless Amplifier2 unit x 1.500.000,00 = 3.000.000,00"
1.13 . 1.13.01 . 02 . 34 . 5 . 2 . 3 . 28 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga ,"10,000,000",
1.13 . 1.13.01 . 02 . 34 . 5 . 2 . 3 . 28 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair ,"10,000,000","Pengadaan meja komputer2 unit x 2.500.000,00 = 5.000.000,00
Pengadaan rak kayu1 unit x 5.000.000,00 = 5.000.000,00"
1.13 . 1.13.01 . 02 . 34 . 5 . 2 . 3 . 29 ,Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer ,"17,850,000",
1.13 . 1.13.01 . 02 . 34 . 5 . 2 . 3 . 29 . 02 ,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer ,"12,850,000","Pengadaan personal komputer3 unit x 4.000.000,00 = 12.000.000,00
Honorarium Tim Pengadaan Barang & Jasa
Honor Pejabat Pembuat Komitmen1 o/p x 350.000,00 = 350.000,00
Honor Pejabat Pengadaan1 o/p x 300.000,00 = 300.000,00
Honor pemeriksa & penerima barang1 o/p x 200.000,00 = 200.000,00"
1.13 . 1.13.01 . 02 . 34 . 5 . 2 . 3 . 29 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Personal Komputer,"5,000,000","Pengadaan printer2 unit x 2.500.000,00 = 5.000.000,00"
1.13 . 1.13.01 . 02 . 34 . 5 . 2 . 3 . 30 ,Belanja Modal Peralatan dan Mesin - Pengadaan Meja Dan Kursi Kerja/Rapat Pejabat,"24,250,000",
1.13 . 1.13.01 . 02 . 34 . 5 . 2 . 3 . 30 . 03 ,Belanja Modal Peralatan dan Mesin - Pengadaan Kursi Kerja Pejabat ,"19,250,000","Pengadaan Kursi Kerja
Pengadaan kursi kerja ess. III4 unit x 1.500.000,00 = 6.000.000,00
Pengadaan kursi kerja ess. IV9 unit x 1.250.000,00 = 11.250.000,00
Pengadaan kursi kerja ess II1 unit x 2.000.000,00 = 2.000.000,00"
1.13 . 1.13.01 . 02 . 34 . 5 . 2 . 3 . 30 . 04 ,Belanja Modal Peralatan dan Mesin - Pengadaan Kursi Rapat Pejabat ,"5,000,000","Pengadaan kursi rapat10 unit x 500.000,00 = 5.000.000,00"
1.13 . 1.13.01 . 06 ,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,"26,507,500",
1.13 . 1.13.01 . 06 . 01 ,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD ,"5,374,500","Sumber Dana : 
Lokasi Kegiatan : Kab. Bantul
Keluaran :  Tersusunnya dokumen LAKIP & Laporan Keuangan
Target:  6 buku"
1.13 . 1.13.01 . 06 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"5,374,500",
1.13 . 1.13.01 . 06 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"2,614,500",
1.13 . 1.13.01 . 06 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"2,614,500","Belanja Alat Tulis Kantor1 ls x 2.614.500,00 = 2.614.500,00"
1.13 . 1.13.01 . 06 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"2,250,000",
1.13 . 1.13.01 . 06 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"2,250,000","Belanja Penggandaan15,000 lbr x 150,00 = 2.250.000,00"
1.13 . 1.13.01 . 06 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,510,
1.13 . 1.13.01 . 06 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,510,"Belanja Makanan dan Minuman Rapat60 ok x 8.500,00 = 510.000,00"
1.13 . 1.13.01 . 06 . 14 ,Pendampingan Pelaksanaan Pemberian Hibah dan Bantuan Sosial ,"21,133,000","Sumber Dana :
 Lokasi Kegiatan : Kab. Bantul
Keluaran :  Terlaksananya pengelolaan hibah dan bantuan sosial
Target:  12 bulan"
1.13 . 1.13.01 . 06 . 14 . 5 . 2 . 1 ,Belanja Pegawai ,"4,170,000",
1.13 . 1.13.01 . 06 . 14 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"4,170,000",
1.13 . 1.13.01 . 06 . 14 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"4,170,000","Honor Tim Pengelola Hibah dan Bansos
Penanggungjawab2 ok x 180.000,00 = 360.000,00
Ketua2 ok x 160.000,00 = 320.000,00
Koordinator6 ok x 155.000,00 = 930.000,00
Sekretaris4 ok x 150.000,00 = 600.000,00
Anggota14 ok x 140.000,00 = 1.960.000,00"
1.13 . 1.13.01 . 06 . 14 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"16,963,000",
1.13 . 1.13.01 . 06 . 14 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"2,700,000",
1.13 . 1.13.01 . 06 . 14 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"2,700,000","Belanja alat tulis kantor1 ls x 2.700.000,00 = 2.700.000,00"
1.13 . 1.13.01 . 06 . 14 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"2,988,000",
1.13 . 1.13.01 . 06 . 14 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"2,988,000","Belanja Penggandaan19,920 lbr x 150,00 = 2.988.000,00"
1.13 . 1.13.01 . 06 . 14 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"4,075,000",
1.13 . 1.13.01 . 06 . 14 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"1,710,000","Belanja makanan dan minuman rapat
jamuan snack60 ok x 8.500,00 = 510.000,00
jamuan makan60 ok x 20.000,00 = 1.200.000,00"
1.13 . 1.13.01 . 06 . 14 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,"2,365,000","Belanja makanan dan minuman pelaksanaan kegiatan
Jamuan snack90 ok x 8.500,00 = 765.000,00
Jamuan makan80 ok x 20.000,00 = 1.600.000,00"
1.13 . 1.13.01 . 06 . 14 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,"7,200,000",
1.13 . 1.13.01 . 06 . 14 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,"7,200,000","Propinsi DIY
Gol. IV 10 ok x 70.000,00 = 700.000,00
Gol. III 10 ok x 60.000,00 = 600.000,00
Gol. II 10 ok x 50.000,00 = 500.000,00
Kabupaten Bantul
Gol. III 50 ok x 40.000,00 = 2.000.000,00
Gol. II 30 ok x 30.000,00 = 900.000,00
Gol. IV 50 ok x 50.000,00 = 2.500.000,00"
1.13 . 1.13.01 . 15 ,Program Pemberdayaan Fakir Miskin^ Komunitas Adat Terpencil (KAT) dan Penyandang Masalah Kesejahteraan Sosial (PMKS) Lainnya,"580,973,750",
