Judul,Penjabaran APBD,,
1.22 . 1.22.01 . 11 . 01 . 5 . 2 . 3 . 27 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor ,14000000,
1.22 . 1.22.01 . 11 . 01 . 5 . 2 . 3 . 27 . 04 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Penyimpanan Perlengkapan Kantor,14000000,"Rak Rak Arsip ""4 buah x 3.500.000 00 = 14.000.000 00"""
1.22 . 1.22.01 . 11 . 01 . 5 . 2 . 3 . 28 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga ,10000000,
1.22 . 1.22.01 . 11 . 01 . 5 . 2 . 3 . 28 . 06 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga Lainnya (Home Use),10000000,"Sound System ""1 unit x 10.000.000 00 = 10.000.000 00"""
1.22 . 1.22.01 . 11 . 01 . 5 . 2 . 3 . 29 ,Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer ,21700000,
1.22 . 1.22.01 . 11 . 01 . 5 . 2 . 3 . 29 . 02 ,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer ,18700000,"Belanja pengadaan peralatan gedung kantor PC Beserta operasiWindows asli ""2 unit x 5.325.000 00 = 10.650.000 00"" Laptop beserta sistem operasi windows asli ""1 unit x 7.225.000 00 = 7.225.000 00"" Honorarium pejabat pengadaan ""3 orang/bulan x 150.000 00 = 450.000 00"" Honorarium pejabat penerima ""3 orang/bulan x 125.000 00 = 375.000 00"""
1.22 . 1.22.01 . 11 . 01 . 5 . 2 . 3 . 29 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Personal Komputer,3000000,"Pengadaan Printer Printer ""2 unit x 1.500.000 00 = 3.000.000 00"""
1.22 . 1.22.01 . 11 . 01 . 5 . 2 . 3 . 31 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio ,8140000,
1.22 . 1.22.01 . 11 . 01 . 5 . 2 . 3 . 31 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Visual ,8140000,"LCD Proyektor LCD ""1 unit x 8.140.000 00 = 8.140.000 00"""
1.22 . 1.22.01 . 11 . 02 ,Pemeliharaan Sarana dan Prasarana Perkantoran ,343465000,Sumber Dana :  Lokasi Kegiatan : Badan PMPDPKB Kab. Kulon Progo 
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 1 ,Belanja Pegawai ,12675000,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,12675000,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,12675000,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,330790000,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,5256500,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 01 . 03 ,Belanja Alat Listrik Dan Elektronik (Lampu Pijar  Battery Kering) ,2500000,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 01 . 05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,2756500,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,72180000,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 03 . 01 ,Belanja Telepon ,20400000,12 kali/bulan x 1.350.000 00 = 16.200.000 00
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 03 . 02 ,Belanja Air ,10980000,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 03 . 03 ,Belanja Listrik ,40800000,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 05 ,Belanja Perawatan Kendaraan Bermotor ,252103500,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 05 . 01 ,Belanja Jasa Service ,9710000,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 05 . 02 ,Belanja Penggantian Suku Cadang ,33800000,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 05 . 03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,195460000,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 05 . 05 ,Belanja Pajak Kendaraan Bermotor ,13133500,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 20 ,Belanja Pemeliharaan ,1250000,
1.22 . 1.22.01 . 11 . 02 . 5 . 2 . 2 . 20 . 07 ,Belanja Pemeliharaan Perlengkapan Kantor ,1250000,
1.22 . 1.22.01 . 12 ,Program Perencanaan  Pengendalian dan Evaluasi Kinerja ,22350000,
1.22 . 1.22.01 . 12 . 01 ,Penyusunan Perencanaan Kinerja SKPD ,4000000,Sumber Dana :  Lokasi Kegiatan : Badan PMPDPKB
1.22 . 1.22.01 . 12 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,504000,
1.22 . 1.22.01 . 12 . 01 . 5 . 2 . 1 . 03 ,Uang Lembur ,504000,
1.22 . 1.22.01 . 12 . 01 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,504000,
1.22 . 1.22.01 . 12 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,3496000,
1.22 . 1.22.01 . 12 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,308850,
1.22 . 1.22.01 . 12 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,308850,
1.22 . 1.22.01 . 12 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,483150,
1.22 . 1.22.01 . 12 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,483150,
1.22 . 1.22.01 . 12 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,2704000,
1.22 . 1.22.01 . 12 . 01 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,504000,
1.22 . 1.22.01 . 12 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,2200000,
1.22 . 1.22.01 . 12 . 02 ,Penyusunan Laporan Keuangan ,8900000,Sumber Dana :  Lokasi Kegiatan : Badan PMPDPKB Kab. Kulon Progo 
1.22 . 1.22.01 . 12 . 02 . 5 . 2 . 1 ,Belanja Pegawai ,1680000,
1.22 . 1.22.01 . 12 . 02 . 5 . 2 . 1 . 03 ,Uang Lembur ,1680000,
1.22 . 1.22.01 . 12 . 02 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,1680000,
1.22 . 1.22.01 . 12 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,7220000,
1.22 . 1.22.01 . 12 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,3895450,
1.22 . 1.22.01 . 12 . 02 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,3895450,
1.22 . 1.22.01 . 12 . 02 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1434550,
1.22 . 1.22.01 . 12 . 02 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1434550,
1.22 . 1.22.01 . 12 . 02 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1890000,
1.22 . 1.22.01 . 12 . 02 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,1890000,
1.22 . 1.22.01 . 12 . 03 ,Pengendalian  Evaluasi dan Pelaporan Kinerja ,9450000,Sumber Dana :  Lokasi Kegiatan : BPMPDPKB
1.22 . 1.22.01 . 12 . 03 . 5 . 2 . 1 ,Belanja Pegawai ,364000,
1.22 . 1.22.01 . 12 . 03 . 5 . 2 . 1 . 03 ,Uang Lembur ,364000,
1.22 . 1.22.01 . 12 . 03 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,364000,
1.22 . 1.22.01 . 12 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,9086000,
1.22 . 1.22.01 . 12 . 03 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1217900,
1.22 . 1.22.01 . 12 . 03 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1217900,
1.22 . 1.22.01 . 12 . 03 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1124100,
1.22 . 1.22.01 . 12 . 03 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1124100,
1.22 . 1.22.01 . 12 . 03 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,4904000,
1.22 . 1.22.01 . 12 . 03 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,504000,
1.22 . 1.22.01 . 12 . 03 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,4400000,
1.22 . 1.22.01 . 12 . 03 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,1840000,
1.22 . 1.22.01 . 12 . 03 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,1840000,
1.22 . 1.22.01 . 13 ,Program Peningkatan Kapasitas Sumber Daya Manusia SKPD ,27120500,
1.22 . 1.22.01 . 13 . 01 ,Penilaian Prestasi Kerja Pegawai Fungsional Lewat Angka Kredit ,4810000,Sumber Dana :  Lokasi Kegiatan : Badan PMPDPKB Kab. Kulon Progo 
1.22 . 1.22.01 . 13 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,2400000,
1.22 . 1.22.01 . 13 . 01 . 5 . 2 . 1 . 01 ,Honorarium PNS ,2400000,
1.22 . 1.22.01 . 13 . 01 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,2400000,
1.22 . 1.22.01 . 13 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,2410000,
1.22 . 1.22.01 . 13 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,245000,
1.22 . 1.22.01 . 13 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,245000,
1.22 . 1.22.01 . 13 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,305000,
1.22 . 1.22.01 . 13 . 01 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,180000,
1.22 . 1.22.01 . 13 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,125000,
1.22 . 1.22.01 . 13 . 01 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,1860000,
1.22 . 1.22.01 . 13 . 01 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,390000,
1.22 . 1.22.01 . 13 . 01 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,1470000,
1.22 . 1.22.01 . 13 . 03 ,Pendidikan dan Pelatihan Non Formal ,5000000,Sumber Dana :  Lokasi Kegiatan : Badan PMPDPKB Kab. Kulon Progo 
1.22 . 1.22.01 . 13 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,5000000,
1.22 . 1.22.01 . 13 . 03 . 5 . 2 . 2 . 17 ,Belanja kursus  pelatihan  sosialisasi dan bimbingan teknis PNS ,5000000,
1.22 . 1.22.01 . 13 . 03 . 5 . 2 . 2 . 17 . 03 ,Belanja Bimbingan Teknis ,5000000,
1.22 . 1.22.01 . 13 . 05 ,Pengadaan Pakaian Dinas Harian (PDH) ,17310500,Sumber Dana :  Lokasi Kegiatan : Badan PMPDPKB Kab. Kulon Progo 
1.22 . 1.22.01 . 13 . 05 . 5 . 2 . 1 ,Belanja Pegawai ,425000,
1.22 . 1.22.01 . 13 . 05 . 5 . 2 . 1 . 01 ,Honorarium PNS ,425000,
1.22 . 1.22.01 . 13 . 05 . 5 . 2 . 1 . 01 . 02 ,Honorarium Tim Pengadaan Barang Dan Jasa ,425000,
1.22 . 1.22.01 . 13 . 05 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,16885500,
1.22 . 1.22.01 . 13 . 05 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,85500,
1.22 . 1.22.01 . 13 . 05 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,85500,
1.22 . 1.22.01 . 13 . 05 . 5 . 2 . 2 . 12 ,Belanja Pakaian Dinas dan Atributnya ,16800000,
1.22 . 1.22.01 . 13 . 05 . 5 . 2 . 2 . 12 . 04 ,Belanja Pakaian Dinas Harian (PDH) ,16800000,
1.12 . 1.22.01 . 15 ,Program Keluarga Berencana ,1572134425,
1.12 . 1.22.01 . 15 . 11 ,Penyediaan sarana dan prasarana program KB ,1293389425,Sumber Dana :  Lokasi Kegiatan : Badan PMPDPKB Kab. Kulon Progo 
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 1 ,Belanja Pegawai ,15825000,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 1 . 01 ,Honorarium PNS ,15825000,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,15825000,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,37823800,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1111150,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1111150,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,100000,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,100000,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,440250,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,440250,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1800000,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1800000,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,34372400,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,700000,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,33672400,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 3 ,Belanja Modal ,1239740625,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 3 . 27 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor ,6000000,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 3 . 27 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor Lainnya ,6000000,"Tempat sampah Tempat sampah fiberglass ""4 buah x 1.500.000 00 = 6.000.000 00"""
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 3 . 28 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga ,155650000,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 3 . 28 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair ,155650000,"Pengadaan almari Almari ""4 buah x 6.000.000 00 = 24.000.000 00"" Pengadaan Meja Meja 1/2 biro ""4 buah x 2.300.000 00 = 9.200.000 00"" Meja rapat kayu ""4 buah x 5.000.000 00 = 20.000.000 00"" Pengadaan kursi Kursi rapat ""80 buah x 700.000 00 = 56.000.000 00"" Kursi kerja (roda) ""20 buah x 1.200.000 00 = 24.000.000 00"" Pengadaan Rak kayu Rak kayu ""4 buah x 5.500.000 00 = 22.000.000 00"" Honor Pejabat pengadaan ""1 org/bln x 250.000 00 = 250.000 00"" Pejabat penerima ""1 org/bln x 200.000 00 = 200.000 00"""
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 3 . 29 ,Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer ,80000000,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 3 . 29 . 02 ,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer ,80000000,"Lap Top Laptop ""4 buah x 20.000.000 00 = 80.000.000 00"""
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 3 . 31 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio ,68000000,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 3 . 31 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Visual ,68000000,"Proyektor LCD Proyektor ""4 buah x 15.000.000 00 = 60.000.000 00"" Whiteboard Whiteboard magnetik ""4 buah x 2.000.000 00 = 8.000.000 00"""
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 3 . 49 ,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Kerja,930090625,
1.12 . 1.22.01 . 15 . 11 . 5 . 2 . 3 . 49 . 27 ,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Kerja Lainnya,930090625,"Balai Penyuluhan KB Balai Penyuluhan KB Kecamatan Kokap ""1 unit x 213.522.656 00 = 213.522.656 00"" Balai Peyuluhan KB Kecamatan Wates ""1 unit x 213.522.656 00 = 213.522.656 00"" Balai Penyuluhan KB Kecamatan Galur ""1 unit x 213.522.656 00 = 213.522.656 00"" Balai Penyuluhan KB Kec. Sentolo ""1 unit x 213.522.656 00 = 213.522.656 00"" Ketua Panitia Pemeriksa ""1 orang/bulan x 300.000 00 = 300.000 00"" Sekretaris Panitia Pemeriksa ""1 orang/bulan x 250.000 00 = 250.000 00"" Anggota Panitia Pemeriksa ""1 orang/bulan x 200.000 00 = 200.000 00"" Konsultan Perencana ""1 konsultan x 40.000.000 00 = 40.000.000 00"" Konsultan Pengawasan ""1 pengawas x 35.000.000 00 = 35.000.000 00"" Pejabat Pengadaan Jasa Konsultansi ""1 orang/bulan x 250.000 00 = 250.000 00"" sisa ""1 kali x 1 00 = 1 00"""
1.12 . 1.22.01 . 15 . 12 ,Peningkatan Pelayanan KB ,156000000,"Sumber Dana :  ""Lokasi Kegiatan : Kabupaten  kecamatan desa"""
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 1 ,Belanja Pegawai ,17680000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 1 . 01 ,Honorarium PNS ,10640000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,10640000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,5600000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,5600000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 1 . 03 ,Uang Lembur ,1440000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,1440000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,138320000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,6167680,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,2342680,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 01 . 08 ,Belanja Pengisian Tabung Gas ,550000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 01 . 09 ,Belanja Peralatan Pendukung Kantor ,275000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 01 . 12 ,Belanja Peralatan Pendukung Pengobatan ,3000000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,35220000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 02 . 04 ,Belanja Bahan Obat-Obatan ,35220000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,2210000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,450000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,1760000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1397320,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,580000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,817320,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 08 ,Belanja Sewa Sarana Mobilitas ,2400000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 08 . 01 ,Belanja Sewa Sarana Mobilitas Darat ,2400000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,62875000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,1620000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,57205000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 11 . 07 ,Belanja Makanan dan Minuman Harian Umum ,4050000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,1500000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,290000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,1210000,
