Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,,,,,,,,,,,
Daerah,Kabupaten Bantul,,,,,,,,,,,,,,,
Tahun,2014,,,,,,,,,,,,,,,
Kode Organisasi,1.11.01,,,,,,,,,,,,,,,
Organisasi,Badan Kesejahteraan Keluarga Pemberdayaan Perempuan dan Keluarga Berencana,,,,,,,,,,,,,,,
Kolom,7,,,,,,,,,,,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan,,,,,,,,,,
1.11 . 1.11.01 . 01.06 . 5.2.2.05.06 ,Belanja Perpanjangan Surat Ijin Mengemudi ,22500000.00,22500000.00,0.00,0,"Biaya perizinanKend.roda 2
Biaya perizinan kend roda 2107 Buah x 145.000,00 = 15.515.000,00
Biaya perizinan kend roda 4Biaya perizinan kend Dinas roda 45 Buah x 1.397.000,00 = 6.985.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.07 ,Penyediaan Jasa Administrasi Keuangan ,19620000.00,19620000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.07 . 5.2.1 ,Belanja Pegawai ,19620000.00,19620000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.07 . 5.2.1.01 ,Honorarium PNS ,19620000.00,19620000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.07 . 5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,19620000.00,19620000.00,0.00,0,"Honorarium pengelola keuangan dan barang
Honor PPK12 Ob x 215.000,00 = 2.580.000,00
Pembantu PPK24 Ob x 135.000,00 = 3.240.000,00
Bendahara pengeluaran12 OB x 230.000,00 = 2.760.000,00
Pembuat Dokumen36 Ob x 130.000,00 = 4.680.000,00
Pengurus Gaji12 Ob x 70.000,00 = 840.000,00
Pengurus barang12 Ob x 250.000,00 = 3.000.000,00
Pembantu pengurus barang12 Ob x 100.000,00 = 1.200.000,00
Penyimpan Barang12 ob x 110.000,00 = 1.320.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.08 ,Penyediaan Jasa Kebersihan Kantor ,12500000.00,12500000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.08 . 5.2.1 ,Belanja Pegawai ,11400000.00,11400000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.08 . 5.2.1.02 ,Honorarium Non PNS ,11400000.00,11400000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.08 . 5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,11400000.00,11400000.00,0.00,0,"Honorarium Non PNS Tenaga pembersihTenaga Pembersih12 bln x 950.000,00 = 11.400.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.08 . 5.2.2 ,Belanja Barang dan Jasa ,1100000.00,1100000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.08 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,1100000.00,1100000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.08 . 5.2.2.01.05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih,1100000.00,1100000.00,0.00,0,"Belanja Peralatan Kebersihan dan Bahan Pembersih
Kreolin wangi5 btl/0/0 x 7.000,00 = 35.000,00
Bayfresh spray5 btl/0/0 x 30.000,00 = 150.000,00
Glass cleaner7 btl/0/0 x 20.000,00 = 140.000,00
Keset sepet4 bh/0/0 x 50.000,00 = 200.000,00
Sapu10 bh/0/0 x 12.500,00 = 125.000,00
Keranjang sampah10 bh/0/0 x 15.000,00 = 150.000,00
Kamper gantungan10 bh/0/0 x 15.000,00 = 150.000,00
Sulak5 bh/0/0 x 10.000,00 = 50.000,00
Sapu lidi10 bh/0/0 x 10.000,00 = 100.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.10 ,Penyediaan Alat Tulis Kantor ,23500000.00,23500000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.10 . 5.2.2 ,Belanja Barang dan Jasa ,23500000.00,23500000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.10 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,23500000.00,23500000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.10 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,23500000.00,23500000.00,0.00,0,"Belanja ATK1 ls x 23.500.000,00 = 23.500.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.11 ,Penyediaan Barang Cetakan dan Penggandaan ,12361700.00,12361700.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.11 . 5.2.2 ,Belanja Barang dan Jasa ,12361700.00,12361700.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.11 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,12361700.00,12361700.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.11 . 5.2.2.06.01 ,Belanja Cetak ,2275000.00,2275000.00,0.00,0,"Belanjacetak
Belanja bend 26100 buku x 15.000,00 = 1.500.000,00
Belanja kartu kendali25 buku x 6.000,00 = 150.000,00
belanja kartu lebaran100 lembar x 2.000,00 = 200.000,00
belanja lembar disposisi50 buku x 8.500,00 = 425.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.11 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,10086700.00,10086700.00,0.00,0,"Belanja Penggandaan
Biaya Fotocopi1 ls x 10.086.700,00 = 10.086.700,00",,,,,,,,,,
1.11 . 1.11.01 . 01.15 ,Penyediaan Bahan Bacaan dan Peraturan  Perundang-Undangan ,6000000.00,6000000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (DA U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.15 . 5.2.2 ,Belanja Barang dan Jasa ,3600000.00,3600000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.15 . 5.2.2.03 ,Belanja Jasa Kantor ,3600000.00,3600000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.15 . 5.2.2.03.05 ,Belanja Surat Kabar/Majalah ,3600000.00,3600000.00,0.00,0,"belanja surat kabar majalahsurat kabar/majalah12 bln x 300.000,00 = 3.600.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.15 . 5.2.3 ,Belanja Modal ,2400000.00,2400000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.15 . 5.2.3.27 ,Belanja Modal Pengadaan Buku/Kepustakaan ,2400000.00,2400000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.15 . 5.2.3.27.21 ,Belanja Modal Pengadaan Buku Peraturan Perundang-Undangan,2400000.00,2400000.00,0.00,0,"Belanja Modal pengadaan Buku Peraturan perundang-undangan
Pembelian Buku peraturan perundang-undangan1 ls x 2.400.000,00 = 2.400.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.16 ,Penyediaan Bahan Logistik Kantor ,1600000.00,1600000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.16 . 5.2.2 ,Belanja Barang dan Jasa ,1600000.00,1600000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.16 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,1600000.00,1600000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.16 . 5.2.2.01.08 ,Belanja Pengisian Tabung Gas ,1600000.00,1600000.00,0.00,0,"Belanja Pengisian tabung gas
Belanja Bahan Bakar/minyak/gas16 Tbg x 100.000,00 = 1.600.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.17 ,Penyediaan Makanan dan Minuman ,15000000.00,15000000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.17 . 5.2.2 ,Belanja Barang dan Jasa ,15000000.00,15000000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.17 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,15000000.00,15000000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.17 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,13200000.00,13200000.00,0.00,0,"Belanja makan dan minuman
Belanja makan dan minuman rapat pengendalian kegiatan600 or x 22.000,00 = 13.200.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.17 . 5.2.2.11.03 ,Belanja Makanan Dan Minuman Tamu ,1800000.00,1800000.00,0.00,0,"Belanja Makan Minum tamu240 or x 7.500,00 = 1.800.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.18 ,Rapat-Rapat Koordinasi dan Konsultasi Ke Luar Daerah ,42700000.00,42700000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.18 . 5.2.2 ,Belanja Barang dan Jasa ,42700000.00,42700000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.18 . 5.2.2.15 ,Belanja Perjalanan Dinas ,42700000.00,42700000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.18 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,42700000.00,42700000.00,0.00,0,"wilayah (DKI jabotabek dan luar jawa)gol IV16 hr x 1.700.000,00 = 27.200.000,00
gol III10 hr x 1.550.000,00 = 15.500.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.19 ,Rapat-rapat koordinasi dan konsultasi dalam  daerah ,4200000.00,4200000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (DA U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.19 . 5.2.2 ,Belanja Barang dan Jasa ,4200000.00,4200000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.19 . 5.2.2.15 ,Belanja Perjalanan Dinas ,4200000.00,4200000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.19 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,4200000.00,4200000.00,0.00,0,"diluar kab bantul dalam DIY
gol IV25 op x 70.000,00 = 1.750.000,00
gol III20 op x 60.000,00 = 1.200.000,00
kec/desa di kab Bantul
gol IV20 op x 45.000,00 = 900.000,00
GOL III10 op x 35.000,00 = 350.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.20 ,Penyediaan jasa keamanan ,11400000.00,11400000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.20 . 5.2.1 ,Belanja Pegawai ,11400000.00,11400000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.20 . 5.2.1.02 ,Honorarium Non PNS ,11400000.00,11400000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.20 . 5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,11400000.00,11400000.00,0.00,0,"honorarium petugas harian lepas/penjaga malam
honorarium petugas harian lepas penjaga malam12 bln x 950.000,00 = 11.400.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.22 ,Penyediaan jasa tenaga teknis pendukung/tenaga perkantoran ,28800000.00,0.00,-28800000.00,-100,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.22 . 5.2.2 ,Belanja Barang dan Jasa ,28800000.00,0.00,-28800000.00,-100,,,,,,,,,,,
1.11 . 1.11.01 . 01.22 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,28800000.00,0.00,-28800000.00,-100,,,,,,,,,,,
1.11 . 1.11.01 . 01.22 . 5.2.2.34.06 ,Honorarium Tenaga Harian Lepas ,28800000.00,0.00,-28800000.00,-100,"Honorarium tenaga lepas Non PNS
Honorarium Tenaga Teknis ( 2 org x 12 bln)24 org x 0,00 = 0,00",,,,,,,,,,
1.11 . 1.11.01 . 02 ,Program Peningkatan Sarana dan Prasarana Aparatur,1372692500.00,1401492500.00,28800000.00,2.1,,,,,,,,,,,
1.11 . 1.11.01 . 02.03 ,Pembangunan Gedung Kantor ,986523000.00,986523000.00,0.00,0,Sumber Dana : Dana Alokasi Umum (D A U),,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.1 ,Belanja Pegawai ,11100000.00,11100000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.1.01 ,Honorarium PNS ,11100000.00,11100000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,11100000.00,11100000.00,0.00,0,"Honorarium PPKPPK1 or x 600.000,00 = 600.000,00
Tim Supervisi Perencanaan
Ketua1 or x 450.000,00 = 450.000,00
Sekretaris1 or x 400.000,00 = 400.000,00
Anggota3 or x 350.000,00 = 1.050.000,00
Panitia PengadaanKetua1 or x 550.000,00 = 550.000,00
Sekretaris1 or x 500.000,00 = 500.000,00
Anggota3 or x 450.000,00 = 1.350.000,00
Petugas Pengawas Lapangan
Ketua3 or x 500.000,00 = 1.500.000,00
Sekretaris3 or x 450.000,00 = 1.350.000,00
anggota3 or x 400.000,00 = 1.200.000,00
Panitia Penerima/Pemeriksa
Ketua1 or x 500.000,00 = 500.000,00
Sekretaris1 or x 450.000,00 = 450.000,00
anggota3 or x 400.000,00 = 1.200.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.2 ,Belanja Barang dan Jasa ,4820000.00,4820000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,870000.00,870000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,750000.00,750000.00,0.00,0,"Belanja Alat Tulis Kantor
ATK1 pkt x 750.000,00 = 750.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.2.01.04 ,"Belanja Perangko, Materai Dan Benda Pos Lainnya ",120000.00,120000.00,0.00,0,"Belanja Materaimaterai 600020 lbr x 6.000,00 = 120.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.2.03 ,Belanja Jasa Kantor ,200000.00,200000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.2.03.13 ,Belanja Dokumentasi ,200000.00,200000.00,0.00,0,"Belanja Dokumentasi
Dokumentasi1 pkt x 200.000,00 = 200.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,1500000.00,1500000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,1500000.00,1500000.00,0.00,0,"Belanja Penggandaan1 pkt x 1.500.000,00 = 1.500.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,2250000.00,2250000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,2250000.00,2250000.00,0.00,0,"Belanja makan minum rapat
makan minum rapat180 or x 12.500,00 = 2.250.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3 ,Belanja Modal ,970603000.00,970603000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.11 ,Belanja Modal Pengadaan Perlengkapan Kantor ,86103000.00,86103000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.11.02 ,Belanja Modal Pengadaan Almari/rak/etalase ,36000000.00,36000000.00,0.00,0,"Belanja Modal Pengadaan Almari/rak/etalase
Almari Rak Kayu3 unit x 6.000.000,00 = 18.000.000,00
Almari Kayu3 unit x 6.000.000,00 = 18.000.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.11.05 ,Belanja Modal Pengadaan White Board ,2403000.00,2403000.00,0.00,0,"Belanja Modal Pengadaan WhiteBoard
Whiteboard3 Unit x 801.000,00 = 2.403.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.11.08 ,Belanja Modal Pengadaan Kipas Angin ,11700000.00,11700000.00,0.00,0,"Belanja Modal Pengadaan Kipas Angin
Kipas Angin9 unit x 650.000,00 = 5.850.000,00
Exousfan9 unit x 650.000,00 = 5.850.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.11.49 ,Belanja modal Pengadaan tong sampah/tempat sampah,1500000.00,1500000.00,0.00,0,"Tempat sampah3 unit x 500.000,00 = 1.500.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.11.64 ,Belanja modal pengadaan layar proyektor ,24000000.00,24000000.00,0.00,0,"Belanja Modal Pengadaan Layar proyektorLCD Proyektor dan Layar3 unit x 8.000.000,00 = 24.000.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.11.65 ,Belanja modal pengadaan papan pengumuman ,10500000.00,10500000.00,0.00,0,"Belanja Modal Pengadaan Papan PengumumanPapan data/Papan Luncur3 unit x 3.500.000,00 = 10.500.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.12 ,Belanja Modal Pengadaan Komputer ,57000000.00,57000000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.12.02 ,Belanja Modal Pengadaan Komputer/PC ,46500000.00,46500000.00,0.00,0,"Belanja Modal Pengadaan Komputer/PCPerangkat Komputer3 unit x 15.500.000,00 = 46.500.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.12.04 ,Belanja Modal Pengadaan Printer ,10500000.00,10500000.00,0.00,0,"Belanja Modal Pengadaan PrinterPrinter3 unit x 3.500.000,00 = 10.500.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.13 ,Belanja Modal Pengadaan Mebeulair ,40500000.00,40500000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.13.01 ,Belanja Modal Pengadaan Meja Kerja ,7500000.00,7500000.00,0.00,0,"Belanja Modal Pengadaan Meja KerjaMeja Kayu 1/2 Biro3 Unit x 2.500.000,00 = 7.500.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.13.02 ,Belanja Modal Pengadaan Meja Rapat ,9000000.00,9000000.00,0.00,0,"Belanja Modal Pengadaan Meja RapatMeja Meeting3 Unit x 3.000.000,00 = 9.000.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.13.04 ,Belanja Modal Pengadaan Kursi Kerja ,15000000.00,15000000.00,0.00,0,"Belanja Modal Pengadaan Kursi Kerja
Kursi Ketua (Roda)3 unit x 2.000.000,00 = 6.000.000,00
Kursi18 unit x 500.000,00 = 9.000.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.13.08 ,Belanja Modal Pengadaan Sofa/meja tamu ,9000000.00,9000000.00,0.00,0,"Belanja Modal Pengadaan Sofa / Meja tamuSitje (Meja Tamu)3 set x 3.000.000,00 = 9.000.000,00",,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.26 ,Belanja Modal Pengadaan Konstruksi/Pembelian Bangunan,787000000.00,787000000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 02.03 . 5.2.3.26.01 ,Belanja Modal Pengadaan Konstruksi/Pembelian Gedung Kantor,787000000.00,787000000.00,0.00,0,"Sarana dan pra sarana kelengkapan gedung balai penyuluhan KB Kecamatanmeja meetingwhiteboardperangkat komputerprinter laser jetKipas anginalmari rak kayusitje (meja tamu)almari kayukursi ketua (roda)mejakayu setengah biroexousfanpapan data/papan luncurLCD Proyektor dan layarKursiPembangunan gedung balai penyuluhan KB KecamatanPembangunan gedung balai penyuluhan KB150 m2 x 5.000.000,00 = 750.000.000,00
Belanja Jasa Konsultasi PerencanaanPerencanaan Teknis1 ls x 20.000.000,00 = 20.000.000,00
Belanja Jasa PengawasanPengawasan Teknis1 ls x 17.000.000,00 = 17.000.000,00",,,,,,,,,,
