Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,1340000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,500000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,500000,"   Belanja ATK kegiatan Pengelolaan KeuanganATK1 ls x 500.000,00 = 500.000,00"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,500000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,500000,"   Belanja penggandaan laporan keuangan
Belanja penggandan4,000 lbr x 125,00 = 500.000,00"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,340000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,340000,"   Belanja makan dan minum rapat pengelolaan keuangan
Makan dan minum rapat40 or x 8.500,00 = 340.000,00"
1.20 . 1.20.03 . 01 . 08,Penyediaan jasa kebersihan kantor,500000,"Sumber Dana :
 Lokasi Kegiatan : Kec. Bantul
Keluaran :  Tersediannya alat dan  bahan pembersih
Target     :  1 Tahun"
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,500000,
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,500000,
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 2 . 01 . 05,Belanja Peralatan Kebersihan Dan Bahan Pembersih,500000,"   Belanja peralatan kebersihan dan bahan pembersih kantor1 ls x 500.000,00 = 500.000,00"
1.20 . 1.20.03 . 01 . 10,Penyediaan alat tulis kantor,5000000,"Sumber Dana :
 Lokasi Kegiatan : Kec. Bantul
Keluaran :  Tersediannya Alat Tulis Kantor
Target     :  1 Tahun"
1.20 . 1.20.03 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,5000000,
1.20 . 1.20.03 . 01 . 10 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,5000000,
1.20 . 1.20.03 . 01 . 10 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,5000000,"   Belanja Alat tulis Kantor
Belanja Alat Tulis Kantor untuk operasional kantor1 ls x 5.000.000,00 = 5.000.000,00"
1.20 . 1.20.03 . 01 . 11,Penyediaan barang cetakan dan penggandaan,14726750,"Sumber Dana :
 Lokasi Kegiatan : Kkec. Bantul
Keluaran :  Tersediannya barang cetakan dan penggandaan
Target     :  1 Tahun"
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,14726750,
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,14726750,
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,8000000,"   Belanja cetak untuk operasional kantor
Belanja cetak1 ls x 8.000.000,00 = 8.000.000,00"
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,6726750,"   Belanja penggandaan/fotocopy
Belanja penggandaan fotocopy operasional kantor53,814 lb x 125,00 = 6.726.750,00"
1.20 . 1.20.03 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,2448000,"Sumber Dana : 
Lokasi Kegiatan : Kec. Bantul
Keluaran :  Langganan surat kabar dan majalah
Target     :  1 Tahun"
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,2448000,
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,2448000,
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 2 . 03 . 05,Belanja Surat Kabar/Majalah,2448000,"   Belanja surat kabar/majalah
Belanja  surat kabar12 bl x 126.000,00 = 1.512.000,00
Belanja Majalah/Tabloid12 bl x 78.000,00 = 936.000,00"
1.20 . 1.20.03 . 01 . 16,Penyediaan bahan logistik kantor,9000000,"Sumber Dana : 
Lokasi Kegiatan : Kec. Bantul
Keluaran :  Dukungan dana, SDM dan waktu
Target     :  100 %"
1.20 . 1.20.03 . 01 . 16 . 5 . 2 . 2,Belanja Barang dan Jasa,9000000,
1.20 . 1.20.03 . 01 . 16 . 5 . 2 . 2 . 02,Belanja Bahan/Material,9000000,
1.20 . 1.20.03 . 01 . 16 . 5 . 2 . 2 . 02 . 07,Belanja Cindera Mata,9000000,"   Belanja cenderamata/piala
Belanja piala15 set x 600.000,00 = 9.000.000,00"
1.20 . 1.20.03 . 01 . 17,Penyediaan makanan dan minuman,3400000,"Sumber Dana : 
Lokasi Kegiatan : Kec. Bantul
Keluaran :  Tersedianya jamuan rapat
Target     :  1 Tahun"
1.20 . 1.20.03 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,3400000,
1.20 . 1.20.03 . 01 . 17 . 5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,3400000,
1.20 . 1.20.03 . 01 . 17 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,3400000,"   Belanja makan minum rapat
""Belanja  minum dan snack ket: 100 orang x4x 8500""400 or x 8.500,00 = 3.400.000,00"
1.20 . 1.20.03 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,37165000,"Sumber Dana :
 Lokasi Kegiatan : Kec. Bantul
Keluaran :  Terlaksannya perjalanan dinas ke luar daerah
Target     :  2 kali"
1.20 . 1.20.03 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,37165000,
1.20 . 1.20.03 . 01 . 18 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,37165000,
1.20 . 1.20.03 . 01 . 18 . 5 . 2 . 2 . 15 . 02,Belanja Perjalanan Dinas Luar Daerah,37165000,"   Belanja Perjalanan Dinas Ke luar Daerah
Tiket Kereta Api  PP ke luar daerah14 pp x 550.000,00 = 7.700.000,00
""Biaya angkutan lokalolongan IV : 1 x 2 x 250000""2 oh x 250.000,00 = 500.000,00
""Biaya angkutan lokalolongan III : 9 x 2 x 200000""18 OH x 200.000,00 = 3.600.000,00
""Biaya angkutan lokalolongan II : 4 x 2 x 200000""8 oh x 200.000,00 = 1.600.000,00
""Uang Makan & Uang Sakuolongan IV : 1 x 3 x 495000""3 oh x 495.000,00 = 1.485.000,00
""Uang makan dan uang sakuolongan III : 9 x 3 x 420000""27 oh x 420.000,00 = 11.340.000,00
""Uang makan dan uang sakuolongan II : 4 x 3 x 370.000""12 oh x 370.000,00 = 4.440.000,00
"" Penginapan Golongan IV  : 1x 2 hari x 450.000""2 oh x 450.000,00 = 900.000,00
""Penginpan olongan III  : 5 x 2 x 400.000""10 oh x 400.000,00 = 4.000.000,00
""Penginapan olongan II   : 2 x 2 x 400000""4 oh x 400.000,00 = 1.600.000,00"
1.20 . 1.20.03 . 01 . 19,Rapat-rapat koordinasi dan konsultasi dalam daerah,5450000,"Sumber Dana : 
Lokasi Kegiatan : Kec. Bantul
Keluaran :  Terlaksanannya koordinasi di dalam daerah
Target     :  31 kali"
1.20 . 1.20.03 . 01 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,5450000,
1.20 . 1.20.03 . 01 . 19 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,5450000,
1.20 . 1.20.03 . 01 . 19 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,5450000,"   Perjalanan dalam daerah Kabupaten Kota di Propinsi
Golongan III30 op x 60.000,00 = 1.800.000,00
Golongan II15 op x 50.000,00 = 750.000,00
Perjalanan dalam daerah ke kecamatan
Golongan II30 op x 30.000,00 = 900.000,00
Golongan III50 op x 40.000,00 = 2.000.000,00"
1.20 . 1.20.03 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,51200000,
1.20 . 1.20.03 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,49000000,"Sumber Dana : 
Lokasi Kegiatan : Kec. Bantul
Keluaran :  Tersdiannya BBM, suku cadang, biaya service & rehab kendaraan
Target     :  4 Unit"
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,49000000,
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,49000000,
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05 . 01,Belanja Jasa Service,4000000,"   Belanja jasa service dan rehab kendaraan dinas
Belanja service  dan rehab kendaraan dinas roda 4 ( 2 unit) dan roda 2 ( 2 unit)1 ls x 4.000.000,00 = 4.000.000,00"
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05 . 02,Belanja Penggantian Suku Cadang,8000000,"   Belanja penggantian suku cadang ,onderdil, accu, dll
Belanja penggantian suku cadang, onderdil, accu dll  kendaraan roda 4 ( 2 unit) dan roda 2 ( 2 unit)1 ls x 8.000.000,00 = 8.000.000,00"
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05 . 03,Belanja Bahan Bakar Minyak/Gas Dan Pelumas,37000000,"   Belanja BBM operasional kantor
Belanja BBM operasional kantor untuk kendaraan roda 2 dan 41 ls x 37.000.000,00 = 37.000.000,00"
1.20 . 1.20.03 . 02 . 30,Pemeliharaan rutin/berkala peralatan dan perlengkapan kantor,2200000,"Sumber Dana : 
Lokasi Kegiatan : Kec. Bantul
Keluaran :  Pemeliharaan  komputer dan printer
Target     :  7 Unit"
1.20 . 1.20.03 . 02 . 30 . 5 . 2 . 2,Belanja Barang dan Jasa,2200000,
1.20 . 1.20.03 . 02 . 30 . 5 . 2 . 2 . 20,Belanja Pemeliharaan,2200000,
1.20 . 1.20.03 . 02 . 30 . 5 . 2 . 2 . 20 . 04,Belanja Pemeliharan Peralatan dan Mesin,2200000,"   Belanja pemeliharaan komputer dan printer1 ls x 2.200.000,00 = 2.200.000,00"
1.20 . 1.20.03 . 03,Program peningkatan disiplin aparatur,25200000,
1.20 . 1.20.03 . 03 . 05,Pengadaan pakaian khusus hari-hari tertentu,25200000,"Sumber Dana : 
Lokasi Kegiatan : Kec. Bantul
Keluaran :  Tersediannya pakaian untuk hari-hari tertentu bagi anggota korsik
Target     :  40 stel"
1.20 . 1.20.03 . 03 . 05 . 5 . 2 . 1,Belanja Pegawai,700000,
1.20 . 1.20.03 . 03 . 05 . 5 . 2 . 1 . 01,Honorarium PNS,700000,
1.20 . 1.20.03 . 03 . 05 . 5 . 2 . 1 . 01 . 02,Honorarium Tim Pengadaan Barang Dan Jasa,700000,"   Honorarium tim pengadaan barang & jasa/ pejabat pengadaan/pejabat penerima
Honor pejabat pembuat komitmen1 ok x 300.000,00 = 300.000,00
Honor pejabat pengadaan1 ok x 250.000,00 = 250.000,00
Honor pejabat penerima1 ok x 150.000,00 = 150.000,00"
1.20 . 1.20.03 . 03 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,24500000,
1.20 . 1.20.03 . 03 . 05 . 5 . 2 . 2 . 12,Belanja Pakaian Dinas dan Atributnya,24500000,
1.20 . 1.20.03 . 03 . 05 . 5 . 2 . 2 . 12 . 05,Belanja Pakaian Dinas Upacara (PDU),24500000,"   Belanja pakaian dinas upacara untuk anggota korsik
Belanja pakaian dinas upacara anggota korsik35 stel x 700.000,00 = 24.500.000,00"
1.20 . 1.20.03 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,25804900,
1.20 . 1.20.03 . 05 . 02,Sosialisasi peraturan perundang-undangan,25804900,"Sumber Dana : 
Lokasi Kegiatan : Kec. Bantul
Keluaran :  Terlaksanannya bimbingan teknis keprotokolan
Target     :  40 orang"
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 1,Belanja Pegawai,730000,
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 1 . 01,Honorarium PNS,730000,
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,730000,"   Honor Panitia pelaksana kegiatan sosialisasi/bimtek
Honor ketua1 ok x 90.000,00 = 90.000,00
Honor Sekretaris1 ok x 80.000,00 = 80.000,00
Honor anggota8 ok x 70.000,00 = 560.000,00"
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,25074900,
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1424900,
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,1424900,"   Belanja Alat tulis Kantor
Belanja ATK untuk sekretariat1 ls x 224.900,00 = 224.900,00
Belanja ATK untuk peserta & narasumber60 pkt x 20.000,00 = 1.200.000,00"
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,1550000,
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,1550000,"   Belanja penggandaan kegiatan sosialisasi/bimtek
Belanja penggandaan untuk sekretariat dan materi sosialisasi/ bimtek12,400 lbr x 125,00 = 1.550.000,00"
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 2 . 07,Belanja Sewa Rumah/Gedung/Gudang/Parkir,2500000,
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 2 . 07 . 03,Belanja Sewa Ruang Rapat/Pertemuan,2500000,"   Belanja sewa ruang rapat/ pertemuan
Belanja sewa ruang sosialiasasi2 hr x 1.250.000,00 = 2.500.000,00"
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,7800000,
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,7800000,"   Belanja makanan dan minuman kegiatan sosialisasi/bimtek
Belanja makanan dan minuman kegiatan sosialiasi/ bimtek dgn  rinc 2 hari x 60 org120 ok x 65.000,00 = 7.800.000,00"
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 2 . 35,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,11800000,
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,8200000,"   Honorarium Narasumber dan moderator
Honor narasumber tingkat lokal 2 org x 2 jpl4 jpl x 1.000.000,00 = 4.000.000,00
Honor narasumber 4 org x 2 jpl8 jpl x 400.000,00 = 3.200.000,00
Honor moderator4 jpl x 250.000,00 = 1.000.000,00"
1.20 . 1.20.03 . 05 . 02 . 5 . 2 . 2 . 35 . 05,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi,3600000,"   Honorarium peserta sosialisasi/ bimtek
Honor peserta sosialisasi/ bimtek keprotokolan 2 hr x60x Rp.30.000120 oh x 30.000,00 = 3.600.000,00"
1.20 . 1.20.03 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,3200000,
1.20 . 1.20.03 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,3200000,"Sumber Dana :
 Lokasi Kegiatan : Kec. bantul
Keluaran :  Tersusunnya laporan capaian kinerja dan keuangan
Target     :  5 macam"
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,1280000,
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 1 . 03,Uang Lembur,1280000,
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 1 . 03 . 01,Uang Lembur PNS,1280000,"   Uang lembur PNS
Uang lembur golongan III64 ol x 15.000,00 = 960.000,00
Uang lembur golongan II32 ol x 10.000,00 = 320.000,00"
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,1920000,
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,240000,
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,240000,"   Belanja penggandaan1,920 lb x 125,00 = 240.000,00"
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,1680000,
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 2 . 11 . 04,Belanja makanan dan minuman Lembur,1680000,"   Belanja makanan dan minuman lembur96 ol x 17.500,00 = 1.680.000,00"
1.20 . 1.20.03 . 16,Program peningkatan pelayanan kedinasan kepala daerah/wakil kepala daerah,61543625,
1.20 . 1.20.03 . 16 . 02,Penerimaan kunjungan kerja pejabat negara/departemen/lembaga pemerintah non departemen/luar negeri,61543625,"Sumber Dana :
 Lokasi Kegiatan : Kec. Bantul
Keluaran :  Kelancaran pelaksanaan penerimaan kunjungan kerja
Target     :  100 %"
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 1,Belanja Pegawai,10250000,
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 1 . 03,Uang Lembur,10250000,
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 1 . 03 . 01,Uang Lembur PNS,10250000,"   Uang lembur PNS
Uang lembur Gol III : 11 org x 5x10550 ol x 15.000,00 = 8.250.000,00
Uang lembur gol II : 4 org x 5 x 10200 ol x 10.000,00 = 2.000.000,00"
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,51293625,
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1500000,
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,1500000,"   Belanja Alat Tulis Kantor1 ls x 1.500.000,00 = 1.500.000,00"
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 02,Belanja Bahan/Material,21875000,
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 02 . 07,Belanja Cindera Mata,20000000,"   Belanja cinderamata/ plakat
Belanja cindera mata/ plakat125 buah x 160.000,00 = 20.000.000,00"
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 02 . 12,Belanja alat-alat/perlengkapan,1875000,"   Belanja tas
Belanja tas perlengkapan cindera mata125 buah x 15.000,00 = 1.875.000,00"
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,14793625,
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,10625000,"   Belanja cetak buku selayang pandang
Belanja cetak buku selayang pandang Kab. Bantul125 buah x 85.000,00 = 10.625.000,00"
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,4168625,"   Belanja penggandaan33,349 lbr x 125,00 = 4.168.625,00"
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,13125000,
1.20 . 1.20.03 . 16 . 02 . 5 . 2 . 2 . 11 . 04,Belanja makanan dan minuman Lembur,13125000,"   Belanja makanan dan minuman lembur
Belanja makanan dan minuman lembur gol III dan II750 ol x 17.500,00 = 13.125.000,00"
1.19 . 1.20.03 . 17,Program pengembangan wawasan kebangsaan,370870000,
1.19 . 1.20.03 . 17 . 11,Penyelenggaraan Upacara Hari-hari Besar Nasional dan Hari Jadi Kabupaten,370870000,"Sumber Dana : 
Lokasi Kegiatan : Kec. Bantul
Keluaran :  Terlaksanannya upacara peringatan Hari Jadi Kab. Bantul dan Hari Besar Nasional
Target     :  13 Kegiatan"
1.19 . 1.20.03 . 17 . 11 . 5 . 2 . 1,Belanja Pegawai,69685000,
1.19 . 1.20.03 . 17 . 11 . 5 . 2 . 1 . 01,Honorarium PNS,52735000,
1.19 . 1.20.03 . 17 . 11 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,51335000,"   Honorarium panitia/tim Peringatan   Hari Jadi Kab. Bantul ke 184
Honorarium Anggota21 org x 150.000,00 = 3.150.000,00
Honorarium sekretariat gol III14 org x 100.000,00 = 1.400.000,00
Honorarium sekretariat gol II7 org x 70.000,00 = 490.000,00
Honorarium Ketua Umum1 org x 180.000,00 = 180.000,00
Honorarium Ketua4 org x 170.000,00 = 680.000,00
Honorarium Sekretaris2 org x 160.000,00 = 320.000,00
Honorarium pelindung1 org x 200.000,00 = 200.000,00
Honorarium Penasehat5 org x 190.000,00 = 950.000,00
Honorarium Panitia/ Tim  Peringatan   HUT ke 70 RI
Honorarium sekretariat gol II3 org x 75.000,00 = 225.000,00
Honorarium sekretaris2 org x 145.000,00 = 290.000,00
Honorarium anggota15 org x 100.000,00 = 1.500.000,00
Honorarium sekretariat gol III7 org x 85.000,00 = 595.000,00
Honorarium pelindung1 org x 200.000,00 = 200.000,00
Honorarium penasehat5 org x 180.000,00 = 900.000,00
Honorarium ketua5 org x 170.000,00 = 850.000,00
Honorarium panitia / tim pawai,drumband & karnaval
Honorarium sekretariat gol III5 org x 85.000,00 = 425.000,00
Honorarium sekretarioat gol II3 org x 75.000,00 = 225.000,00
Honorarium Ketua3 org x 170.000,00 = 510.000,00
Honorarium sekretaris2 org x 145.000,00 = 290.000,00
Honorarium anggota10 org x 100.000,00 = 1.000.000,00
Honorarium pelindung1 org x 200.000,00 = 200.000,00
Honorarium Penasehat1 org x 180.000,00 = 180.000,00
Honorarium Panitia Pelaksana Upacara Hari Besar Nasional dan Daerah
Honorarium petugas upacara Hari Pahlawan  ( renungan suci,upacara hari pahlawan, ziarah)80 org/keg x 30.000,00 = 2.400.000,00
Honorarium petugas lomba pawai, drumband & karnaval200 org/keg x 30.000,00 = 6.000.000,00
Honorarium P3k lomba pawai, drumband & karnaval30 org/ keg x 30.000,00 = 900.000,00
Honorarium petugas kegiatan syawalan gubernur50 org/keg x 30.000,00 = 1.500.000,00
Honorarium petugas upacara Hari kesaktian Pancasila30 org/keg x 30.000,00 = 900.000,00
Honorarium petugas upacara Hari Sumpah Pemuda10 org/keg x 30.000,00 = 300.000,00
Honorarium petugas upacara Harkitnas30 org/keg x 30.000,00 = 900.000,00
Honorarium petugas upacara Hari Jadi ke 184 Kab. Bantul60 orang/keg x 30.000,00 = 1.800.000,00
Honorarium petugas upacara HUT RI185 org/keg x 30.000,00 = 5.550.000,00
Honorarium petugas  keamanan  upacara , pawai, karnaval & drumband410 orang/Keg x 25.000,00 = 10.250.000,00
Honorarium petugas upacara otonomi daerah30 org/ keg x 30.000,00 = 900.000,00
Honorarium petugas upacara Hardiknas25 org/keg x 30.000,00 = 750.000,00
Honorarium  Pelatih upacara59 Orang/Keg x 75.000,00 = 4.425.000,00"
1.19 . 1.20.03 . 17 . 11 . 5 . 2 . 1 . 01 . 02,Honorarium Tim Pengadaan Barang Dan Jasa,1400000,"   Honorarium Tim Pengadaan Barang & Jasa
Honorarium pejabat pembuat komitmen2 ok x 300.000,00 = 600.000,00
Honorarium Pejabat Pengadaan2 ok x 250.000,00 = 500.000,00
Honorarium pejabat penerima2 ok x 150.000,00 = 300.000,00"
1.19 . 1.20.03 . 17 . 11 . 5 . 2 . 1 . 02,Honorarium Non PNS,4650000,
1.19 . 1.20.03 . 17 . 11 . 5 . 2 . 1 . 02 . 02,Honorarium Pegawai Honorer/Tidak Tetap,4650000,"   Honorarium Penyelenggara Upacara
Honorarium Petugas P3K Upacara Hari Pahlawan5 org/keg x 30.000,00 = 150.000,00
Honorarium petugas P3K keg. pawai, drumband & karnaval20 org/keg x 30.000,00 = 600.000,00
Honorarium petugas P3K Upacara Hapsak5 org/keg x 30.000,00 = 150.000,00
Honorarium petugas upacara Sumpah Pemuda30 org/keg x 30.000,00 = 900.000,00
Honorarium P3k Upacara Sumpah Pemuda5 org/keg x 30.000,00 = 150.000,00
Honorarium petugas  P3k Upacara Harkitnas10 orang/keg. x 30.000,00 = 300.000,00
Honorarium petugas P3K Hari jadi ke 184 Kab. Bantul20 org/keg x 30.000,00 = 600.000,00
Honorarium petugas P3K HUT RI10 org/keg x 30.000,00 = 300.000,00
Honorarium petugas P3K  Upacara Otonomi Daerah5 Org/Keg x 30.000,00 = 150.000,00
Honorarium petugas upacara Hardiknas25 orang/keg x 30.000,00 = 750.000,00
Honoarium Petugas P3k upacara Hardiknas20 orang/Keg x 30.000,00 = 600.000,00"
1.19 . 1.20.03 . 17 . 11 . 5 . 2 . 1 . 03,Uang Lembur,12300000,
1.19 . 1.20.03 . 17 . 11 . 5 . 2 . 1 . 03 . 01,Uang Lembur PNS,12300000,"   Uang lembur kegiatan upacara & lomba
Gol II  = 4x 6 x 10 keg240 ok x 10.000,00 = 2.400.000,00
""Uang lembur PNS    Gol IV & III = 11 org x 6x 10 keg""660 ol x 15.000,00 = 9.900.000,00"
1.19 . 1.20.03 . 17 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,301185000,
1.19 . 1.20.03 . 17 . 11 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,23010000,
