Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,224624400,"Tunjganan Fungsional Umum1 th x 224.624.400,00 = 224.624.400,00"
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,270801550,"Tunjangan Beras1 th x 270.801.550,00 = 270.801.550,00"
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,29902085,"Tunjjangan PPh/Tunjangan Khusus1 th x 29.902.085,00 = 29.902.085,00"
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,67753,"Pembulatan Gaji1 th x 67.753,00 = 67.753,00"
1.17 . 1.17.01 . 01 . 01 . 5 . 2 ,BELANJA LANGSUNG ,12463164600,
1.17 . 1.17.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,1765945500,
1.17 . 1.17.01 . 01 . 01 ,Penyediaan jasa surat menyurat ,3000000,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Surat yang terkirim
Target:  1.050 Buah"
1.17 . 1.17.01 . 01 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,3000000,
1.17 . 1.17.01 . 01 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,3000000,
1.17 . 1.17.01 . 01 . 01 . 5 . 2 . 2 . 01 . 04 ,"Belanja Perangko, Materai Dan Benda Pos ",3000000,"Belanja Perangko, Materai, dan Benda Pos
Perangko600 buah x 2.000,00 = 1.200.000,00
Materai 6000150 buah x 6.000,00 = 900.000,00
Materai 3000300 buah x 3.000,00 = 900.000,00"
1.17 . 1.17.01 . 01 . 02 ,"Penyediaan jasa komunikasi, sumber daya air dan listrik ",28800000,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Pembayaran Rekening Listrik, Telepon, dan Air
Target:  12 Bulan"
1.17 . 1.17.01 . 01 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,28800000,
1.17 . 1.17.01 . 01 . 02 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,28800000,
1.17 . 1.17.01 . 01 . 02 . 5 . 2 . 2 . 03 . 01 ,Belanja Telepon ,21600000,"Belanja TeleponTelepon Kantor dan Joglo Parangtritis12 bulan x 1.000.000,00 = 12.000.000,00
Langganan speedy CCTV TPR Parangtritis12 bulan x 800.000,00 = 9.600.000,00"
1.17 . 1.17.01 . 01 . 02 . 5 . 2 . 2 . 03 . 03 ,Belanja Listrik ,7200000,"Belanja Listrik
Listrik Kantor, Joglo Pandansimo, Padepokan Sumber Karahayon12 bulan x 600.000,00 = 7.200.000,00"
1.17 . 1.17.01 . 01 . 06 ,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,8000000,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Pembayaran Pajak Kendaraan Bermotor
Target:  12 bulan"
1.17 . 1.17.01 . 01 . 06 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,8000000,
1.17 . 1.17.01 . 01 . 06 . 5 . 2 . 2 . 05 ,Belanja Perawatan Kendaraan Bermotor ,8000000,
1.17 . 1.17.01 . 01 . 06 . 5 . 2 . 2 . 05 . 07 ,Belanja Surat Tanda Nomor Kendaraan ,8000000,"Belanja Surat Tanda Nomor Kendaraan
STNK Kendaraan Bermotor Kantor1 Ls x 8.000.000,00 = 8.000.000,00"
1.17 . 1.17.01 . 01 . 07 ,Penyediaan jasa administrasi keuangan ,50150000,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Pelaksanaan dan laporan pertanggungjawaban tugas dan kegiatan
Target:  12 bulan"
1.17 . 1.17.01 . 01 . 07 . 5 . 2 . 1 ,Belanja Pegawai ,33330000,
1.17 . 1.17.01 . 01 . 07 . 5 . 2 . 1 . 01 ,Honorarium PNS ,33330000,
1.17 . 1.17.01 . 01 . 07 . 5 . 2 . 1 . 01 . 06 ,Honor Pengelola Keuangan dan Barang ,33330000,"Honor Pengelola Keuangan dan BarangPPK12 orang/bulan x 345.000,00 = 4.140.000,00
Bendahara Pengeluaran12 orang/bulan x 288.750,00 = 3.465.000,00
Bendahara Penerimaan12 orang/bulan x 288.750,00 = 3.465.000,00
Pembantu PPK24 orang/bualn x 210.000,00 = 5.040.000,00
Pembantu Bendahara Pengeluaran24 orang/bulan x 210.000,00 = 5.040.000,00
Pembantu Bendahara Penerimaan12 orang/bulan x 210.000,00 = 2.520.000,00
Pengurusan Gaji12 orang/bulan x 105.000,00 = 1.260.000,00
Pengelola Kepegawaian12 orang/bulan x 100.000,00 = 1.200.000,00
Pengurus Barang12 orang/bulan x 300.000,00 = 3.600.000,00
Penyimpan Barang12 orang/bulan x 300.000,00 = 3.600.000,00"
1.17 . 1.17.01 . 01 . 07 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,16820000,
1.17 . 1.17.01 . 01 . 07 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,6000000,
1.17 . 1.17.01 . 01 . 07 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,6000000,"Belanja Alat Tulis Kantor
Alat Tulis Kantor12 bulan x 500.000,00 = 6.000.000,00"
1.17 . 1.17.01 . 01 . 07 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,350000,
1.17 . 1.17.01 . 01 . 07 . 5 . 2 . 2 . 03 . 26 ,Belanja Pajak Bumi dan Bangunan ,350000,"Belanja Pajak Bumi dan Bangunan
PBB Padepokan Sumber Karahayon1 tahun x 350.000,00 = 350.000,00"
1.17 . 1.17.01 . 01 . 07 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,4200000,
1.17 . 1.17.01 . 01 . 07 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,1200000,"Belanja Cetak48 buku x 25.000,00 = 1.200.000,00"
1.17 . 1.17.01 . 01 . 07 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,3000000,"Belanja Penggandaan20,000 lembar x 150,00 = 3.000.000,00"
1.17 . 1.17.01 . 01 . 07 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,6270000,
1.17 . 1.17.01 . 01 . 07 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,6270000,"Belanja Makan dan Minum Rapat
Makan, Minum, Snack220 OH x 28.500,00 = 6.270.000,00"
1.17 . 1.17.01 . 01 . 08 ,Penyediaan jasa kebersihan kantor ,1215500000,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Honor Petugas kebersihan Obyek Wisata
Target:  50 Orang"
1.17 . 1.17.01 . 01 . 08 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,1215500000,
1.17 . 1.17.01 . 01 . 08 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,8000000,
1.17 . 1.17.01 . 01 . 08 . 5 . 2 . 2 . 01 . 05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,8000000,"Belanja peralatan Kebersihan dan Bahan Pembersih
Alat dan Bahan Pembersih Kantor4 Tw x 2.000.000,00 = 8.000.000,00"
1.17 . 1.17.01 . 01 . 08 . 5 . 2 . 2 . 35 ,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",1207500000,
1.17 . 1.17.01 . 01 . 08 . 5 . 2 . 2 . 35 . 09 ,Jasa Petugas Lapangan ,1207500000,"Honorarium Pegawai Kontrak
Jasa Petugas Kebersihan Obyek Wisata150 orang/bulan x 1.000.000,00 = 150.000.000,00
Jasa Petugas Kebersihan Obyek Wisata450 orang/bulan x 2.350.000,00 = 1.057.500.000,00"
1.17 . 1.17.01 . 01 . 09 ,Penyediaan jasa perbaikan peralatan kerja ,17500000,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Fungsi dan kelayakan peralatan kerja kantor baik
Target:  8 Ls"
1.17 . 1.17.01 . 01 . 09 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,17500000,
1.17 . 1.17.01 . 01 . 09 . 5 . 2 . 2 . 20 ,Belanja Pemeliharaan ,17500000,
1.17 . 1.17.01 . 01 . 09 . 5 . 2 . 2 . 20 . 06 ,Belanja Pemeliharan perlengkapan kantor ,17500000,"Pemeliharaan Perlengkapan Kantor
Pemeliharaan Komputer,Notebook,Printer,Mesin Tik Kamera,LCD,Dll1 ls x 12.500.000,00 = 12.500.000,00
Pemeliharaan AC,Wireless, TV,K.Angin dsb.1 ls x 5.000.000,00 = 5.000.000,00"
1.17 . 1.17.01 . 01 . 10 ,Penyediaan alat tulis kantor ,18000000,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Pembelian ATK
Target:  4 Triwulan"
1.17 . 1.17.01 . 01 . 10 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,18000000,
1.17 . 1.17.01 . 01 . 10 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,18000000,
1.17 . 1.17.01 . 01 . 10 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,18000000,"Belanja Alat Tulis Kantor
ATK Kantor12 bulan x 1.500.000,00 = 18.000.000,00"
1.17 . 1.17.01 . 01 . 11 ,Penyediaan barang cetakan dan penggandaan ,141619900,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Barang Cetakan
Target:  160 Buku"
1.17 . 1.17.01 . 01 . 11 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,141619900,
1.17 . 1.17.01 . 01 . 11 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,141619900,
1.17 . 1.17.01 . 01 . 11 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,128500000,"Belanja Cetak
Cetak Blangko Kantor100 bk x 25.000,00 = 2.500.000,00
Cetak Karcis Obyek Wisata25,200 bk x 5.000,00 = 126.000.000,00"
1.17 . 1.17.01 . 01 . 11 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,13119900,"Belanja Penggandaanfotocopy87,466 lembar x 150,00 = 13.119.900,00"
1.17 . 1.17.01 . 01 . 12 ,Penyediaan komponen instalasi listrik/penerangan bangunan kantor ,4000000,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Tersedianya alat listrik dan elektronik kantor
Target:  4 Triwulan"
1.17 . 1.17.01 . 01 . 12 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,4000000,
1.17 . 1.17.01 . 01 . 12 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,4000000,
1.17 . 1.17.01 . 01 . 12 . 5 . 2 . 2 . 01 . 03 ,"Belanja Alat Listrik Dan Elektronik (Lampu Pijar, Battery Kering) ",4000000,"Belanja Alat Listrik dan ElektronikLampu pijar, baterai dsbnya4 tw x 1.000.000,00 = 4.000.000,00"
1.17 . 1.17.01 . 01 . 15 ,Penyediaan bahan bacaan dan peraturan perundang-undangan ,7000000,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Surat kabar
Target:  1.800 Surat kabar"
1.17 . 1.17.01 . 01 . 15 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,7000000,
1.17 . 1.17.01 . 01 . 15 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,7000000,
1.17 . 1.17.01 . 01 . 15 . 5 . 2 . 2 . 03 . 05 ,Belanja Surat Kabar/Majalah ,7000000,"Belanja Suratkabar/Majalah12 bulan x 500.000,00 = 6.000.000,00
Belanja Modal Buku Perundang undangan1 ls x 1.000.000,00 = 1.000.000,00"
1.17 . 1.17.01 . 01 . 17 ,Penyediaan makanan dan minuman ,215350000,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Jumlah Pertemuan
Target:  1.240 OH"
1.17 . 1.17.01 . 01 . 17 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,215350000,
1.17 . 1.17.01 . 01 . 17 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,215350000,
1.17 . 1.17.01 . 01 . 17 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,163600000,"Makan Minum Pemungut  Ret. TPR Parangtritis
TPR Parangtritis228 orang/bulan x 600.000,00 = 136.800.000,00
TPR Parangtritis27 orang/bulan x 600.000,00 = 16.200.000,00
Makan Minum Operasional UPKOW. Pandansimo4 tw x 650.000,00 = 2.600.000,00
OW. Samas4 tw x 600.000,00 = 2.400.000,00
OW. Goa Selarong4 tw x 300.000,00 = 1.200.000,00
OW. Goa Cerme4 tw x 300.000,00 = 1.200.000,00
OW Joglo Parangtritis4 tw x 800.000,00 = 3.200.000,00"
1.17 . 1.17.01 . 01 . 17 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,42750000,"Belanja Makanan dan Minuman Rapat
Makan, minum, snack1,500 oh x 28.500,00 = 42.750.000,00"
1.17 . 1.17.01 . 01 . 17 . 5 . 2 . 2 . 11 . 03 ,Belanja Makanan Dan Minuman Tamu ,9000000,"Belanja Makanan dan Minuman Tamu
Makan, minum, snack300 oh x 30.000,00 = 9.000.000,00"
1.17 . 1.17.01 . 01 . 18 ,Rapat-rapat koordinasi dan konsultasi ke luar daerah ,20000000,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Volume perjalanan dinas luar kantor
Target:  52 OH"
1.17 . 1.17.01 . 01 . 18 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,20000000,
1.17 . 1.17.01 . 01 . 18 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,20000000,
1.17 . 1.17.01 . 01 . 18 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,20000000,"Belanja Perjalanan Dinas Luar Daerah1 ls x 20.000.000,00 = 20.000.000,00"
1.17 . 1.17.01 . 01 . 19 ,Rapat-rapat koordinasi dan konsultasi dalam daerah ,20000000,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Volume perjalanan dinas kantor
Target:  456 OH"
1.17 . 1.17.01 . 01 . 19 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,20000000,
1.17 . 1.17.01 . 01 . 19 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,20000000,
1.17 . 1.17.01 . 01 . 19 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,20000000,"Belanja Perjalanan Dinas Dalam Daerah.1 ls x 20.000.000,00 = 20.000.000,00"
1.17 . 1.17.01 . 01 . 20 ,Penyediaan Jasa Keamanan ,17025600,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Pembayaran Honor PTT Obyek Wisata
Target:  1 Orang"
1.17 . 1.17.01 . 01 . 20 . 5 . 2 . 1 ,Belanja Pegawai ,17025600,
1.17 . 1.17.01 . 01 . 20 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,17025600,
1.17 . 1.17.01 . 01 . 20 . 5 . 2 . 1 . 02 . 02 ,Honorarium Pegawai Honorer/Tidak Tetap ,17025600,"Honorarium Pegawai 
Honorer/Tidak TetapPenjaga Padepokan Sumber Karahayon12 orang/bulan x 1.418.800,00 = 17.025.600,00"
1.17 . 1.17.01 . 02 ,Program Peningkatan Sarana dan Prasarana Aparatur ,593974100,
1.17 . 1.17.01 . 02 . 22 ,Pemeliharaan rutin/berkala gedung kantor ,25000000,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Perbaikan Gedung kantor
Target:  1 Ls"
1.17 . 1.17.01 . 02 . 22 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,25000000,
1.17 . 1.17.01 . 02 . 22 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,20000000,
1.17 . 1.17.01 . 02 . 22 . 5 . 2 . 2 . 02 . 01 ,Belanja Bahan Baku Bangunan ,20000000,"Belanja Bahan Baku Bangunan
Material Pemel.Gedung/Kantor1 ls x 20.000.000,00 = 20.000.000,00"
1.17 . 1.17.01 . 02 . 22 . 5 . 2 . 2 . 35 ,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",5000000,
1.17 . 1.17.01 . 02 . 22 . 5 . 2 . 2 . 35 . 06 ,Jasa Tenaga Harian Lepas ,5000000,"Honor/Upah Harian Tenaga Tukang1 ls x 5.000.000,00 = 5.000.000,00"
1.17 . 1.17.01 . 02 . 24 ,Pemeliharaan rutin/berkala kendaraan dinas/operasional ,255600000,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Perbaikan kendaraan dinas
Target:  6 Roda 2"
1.17 . 1.17.01 . 02 . 24 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,255600000,
1.17 . 1.17.01 . 02 . 24 . 5 . 2 . 2 . 05 ,Belanja Perawatan Kendaraan Bermotor ,255600000,
1.17 . 1.17.01 . 02 . 24 . 5 . 2 . 2 . 05 . 01 ,Belanja Jasa Service ,9300000,"Belanja Jasa Service
Kendaraan Roda 26 ls x 300.000,00 = 1.800.000,00
Kendaraan Roda 43 ls x 2.500.000,00 = 7.500.000,00"
1.17 . 1.17.01 . 02 . 24 . 5 . 2 . 2 . 05 . 02 ,Belanja Penggantian Suku Cadang ,20700000,"Belanja Penggantian Suku Cadang
Kendaraan Roda 26 ls x 750.000,00 = 4.500.000,00
Kendaraan Roda 43 ls x 5.400.000,00 = 16.200.000,00"
1.17 . 1.17.01 . 02 . 24 . 5 . 2 . 2 . 05 . 03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,225600000,"Belanja Bahan Bakar Minyak/Gas dan Pelumas
Sekretariat12,000 liter/bulan x 11.500,00 = 138.000.000,00
Kebudayaan2,400 liter/bulan x 11.500,00 = 27.600.000,00
Pemasaran2,400 liter/bulan x 11.500,00 = 27.600.000,00
SODTW2,400 liter/bulan x 11.500,00 = 27.600.000,00
Oli Kendaraan12 bulan x 400.000,00 = 4.800.000,00"
1.17 . 1.17.01 . 02 . 29 ,Pemeliharaan rutin/berkala mebeleur ,19000000,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  Pemeliharaan Mebelair Kantor
Target:  1 Ls"
1.17 . 1.17.01 . 02 . 29 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,19000000,
1.17 . 1.17.01 . 02 . 29 . 5 . 2 . 2 . 20 ,Belanja Pemeliharaan ,19000000,
1.17 . 1.17.01 . 02 . 29 . 5 . 2 . 2 . 20 . 06 ,Belanja Pemeliharan perlengkapan kantor ,19000000,"Belanja Pemeliharaan Perlengkapan Kantor
Meja,Kursi Kerja,Almari,Rak Dsbnya1 ls x 3.000.000,00 = 3.000.000,00
Pemeliharaan gamelan1 ls x 16.000.000,00 = 16.000.000,00"
1.17 . 1.17.01 . 02 . 34 ,Pengadaan peralatan dan perlengkapan kantor ,294374100,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata
Keluaran :  almari kayu
Target:  7 unit"
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,8909100,
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,8909100,
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 2 . 02 . 02 ,Belanja Bahan/Bibit Tanaman ,8909100,"Belanja Tanaman Penghias1 ls x 8.909.100,00 = 8.909.100,00"
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 3 ,Belanja Modal ,285465000,
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 3 . 27 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor ,54300000,
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 3 . 27 . 04 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Penyimpanan Perlengkapan Kantor,54300000,"Brand KasPengadaan Brankas1 unit x 11.000.000,00 = 11.000.000,00
Lemari kayuAlmari Kayu7 unit x 3.000.000,00 = 21.000.000,00
Filling Besi/MetalFilling Cabinet4 unit x 4.325.000,00 = 17.300.000,00
Lemari KacaEtalase Kaca2 unit x 2.500.000,00 = 5.000.000,00"
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 3 . 28 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga ,74000000,
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 3 . 28 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair ,25000000,"Kursi Kayu/Rotan/BambuKursi kayu10 buah x 500.000,00 = 5.000.000,00
Bangku TungguBangku Kayu Panjang10 buah x 2.000.000,00 = 20.000.000,00"
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 3 . 28 . 04 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pendingin ,11500000,"AC Unit
AC1 unit x 11.500.000,00 = 11.500.000,00"
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 3 . 28 . 06 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga  (Home Use),29500000,"Televisi1 unit x 3.000.000,00 = 3.000.000,00
Sound System1 unit x 13.000.000,00 = 13.000.000,00
Handy Camhandycam1 unit x 13.500.000,00 = 13.500.000,00"
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 3 . 28 . 07 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pemadam Kebakaran ,8000000,"Pengadaan Alat Pemadam Kebakaran4 unit x 2.000.000,00 = 8.000.000,00"
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 3 . 29 ,Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer ,27000000,
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 3 . 29 . 02 ,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer ,27000000,"P.C Unit/ Komputer PC
Komputer dan printer3 unit x 9.000.000,00 = 27.000.000,00"
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 3 . 48 ,Belanja Modal Peralatan dan Mesin -Pengadaan Alat Keamanan dan Perlindungan,130165000,
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 3 . 48 . 01 ,Belanja Modal Peralatan dan Mesin -Pengadaan Alat Bantu Kemanan ,30165000,"CCTV1 paket x 30.165.000,00 = 30.165.000,00"
1.17 . 1.17.01 . 02 . 34 . 5 . 2 . 3 . 48 . 02 ,Belanja Modal Peralatan dan Mesin -Pengadaan Alat Perlindungan ,100000000,"Alat Perlindungan Lain-lain
Pengadaan Teralis1 ls x 100.000.000,00 = 100.000.000,00"
1.17 . 1.17.01 . 15 ,Program Pengembangan Nilai Budaya ,3166500000,
1.17 . 1.17.01 . 15 . 01 ,Pelestarian dan aktualisasi adat budaya daerah ,3166500000,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul dan Luar DIY
Keluaran :  Terlaksananya Pelestarian Seni Budaya Daerah Kabupaten Bantul
Target:  10 Kegiatan"
1.17 . 1.17.01 . 15 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,3166500000,
1.17 . 1.17.01 . 15 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,3750000,
1.17 . 1.17.01 . 15 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,3750000,"Belanja Alat Tulis Kantor1 ls x 3.750.000,00 = 3.750.000,00"
1.17 . 1.17.01 . 15 . 01 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,25800000,
