Judul,Anggaran Pendapatan dan Belanja Daerah,,
2.08 . 1.14.01 . 15 . 08 . 5 . 2 . 1,Belanja Pegawai,10660000.00,
2.08 . 1.14.01 . 15 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,98721600.00,
2.08 . 1.14.01 . 15 . 09,Penyelenggaraan kerjasama bidang transmigrasi,37646000.00,
2.08 . 1.14.01 . 15 . 09 . 5 . 2 . 1,Belanja Pegawai,5520000.00,
2.08 . 1.14.01 . 15 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,32126000.00,
1.14 . 1.14.01 . 15,Program Peningkatan Kualitas dan Produktivitas Tenaga Kerja,10932282450.00,
1.14 . 1.14.01 . 15 . 10,Peningkatan Produktifitas Tenaga Kerja,43475000.00,
1.14 . 1.14.01 . 15 . 10 . 5 . 2 . 1,Belanja Pegawai,20749000.00,
1.14 . 1.14.01 . 15 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,22726000.00,
1.14 . 1.14.01 . 15 . 11,Pelatihan ketrampilan bagi pencari kerja,4251695000.00,
1.14 . 1.14.01 . 15 . 11 . 5 . 2 . 1,Belanja Pegawai,913745000.00,
1.14 . 1.14.01 . 15 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,3337950000.00,
1.14 . 1.14.01 . 15 . 13,Revitalisasi sarana prasarana pelatihan BLK,6597336450.00,
1.14 . 1.14.01 . 15 . 13 . 5 . 2 . 1,Belanja Pegawai,19200000.00,
1.14 . 1.14.01 . 15 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,51648450.00,
1.14 . 1.14.01 . 15 . 13 . 5 . 2 . 3,Belanja Modal,6526488000.00,
1.14 . 1.14.01 . 15 . 15,Pengelolaan Layanan 3 in 1,24976000.00,
1.14 . 1.14.01 . 15 . 15 . 5 . 2 . 1,Belanja Pegawai,1560000.00,
1.14 . 1.14.01 . 15 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,23416000.00,
1.14 . 1.14.01 . 15 . 16,Pemberdayaan LPK,14800000.00,
1.14 . 1.14.01 . 15 . 16 . 5 . 2 . 1,Belanja Pegawai,3381000.00,
1.14 . 1.14.01 . 15 . 16 . 5 . 2 . 2,Belanja Barang dan Jasa,11419000.00,
1.14 . 1.14.01 . 16,Program Peningkatan Kesempatan Kerja,591545500.00,
1.14 . 1.14.01 . 16 . 10,"Penempatan AKL, AKAD dan AKAN",55000000.00,
1.14 . 1.14.01 . 16 . 10 . 5 . 2 . 1,Belanja Pegawai,9500000.00,
1.14 . 1.14.01 . 16 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,45500000.00,
1.14 . 1.14.01 . 16 . 12,Pemberdayaan Tenaga Kerja Mandiri Sektor Informal,340715500.00,
1.14 . 1.14.01 . 16 . 12 . 5 . 2 . 1,Belanja Pegawai,85821000.00,
1.14 . 1.14.01 . 16 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,254894500.00,
1.14 . 1.14.01 . 16 . 14,Peningkatan pengembangan informasi pasar kerja,122800000.00,
1.14 . 1.14.01 . 16 . 14 . 5 . 2 . 1,Belanja Pegawai,13270000.00,
1.14 . 1.14.01 . 16 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,109530000.00,
1.14 . 1.14.01 . 16 . 15,Penyusunan Perencanaan Tenaga Kerja Daerah (PTKD),73030000.00,
1.14 . 1.14.01 . 16 . 15 . 5 . 2 . 1,Belanja Pegawai,21728000.00,
1.14 . 1.14.01 . 16 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,51302000.00,
1.14 . 1.14.01 . 18,Program Perlindungan Ketenagakerjaan,163250000.00,
1.14 . 1.14.01 . 18 . 01,"Peningkatan pengawasan, perlindungan dan penegakan hukum terhadap keselamatan dan kesehatan kerja",54600000.00,
1.14 . 1.14.01 . 18 . 01 . 5 . 2 . 1,Belanja Pegawai,9150000.00,
1.14 . 1.14.01 . 18 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,45450000.00,
1.14 . 1.14.01 . 18 . 02,Pelayanan dan pengembangan Hubungan Industrial dan kesejahteraan tenaga kerja,63650000.00,
1.14 . 1.14.01 . 18 . 02 . 5 . 2 . 1,Belanja Pegawai,22890000.00,
1.14 . 1.14.01 . 18 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,40760000.00,
1.14 . 1.14.01 . 18 . 03,Penyusunan kebijakan pengupahan kabupaten,45000000.00,
1.14 . 1.14.01 . 18 . 03 . 5 . 2 . 1,Belanja Pegawai,9900000.00,
1.14 . 1.14.01 . 18 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,35100000.00,
1.13 . 1.14.01 . 21,Program Pemberdayaan Kelembagaan Kesejahteraan Sosial,805770800.00,
1.13 . 1.14.01 . 21 . 12,Peningkatan kapasitas kelembagaan kesejahteraan sosial,104618800.00,
1.13 . 1.14.01 . 21 . 12 . 5 . 2 . 1,Belanja Pegawai,54450000.00,
1.13 . 1.14.01 . 21 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,50168800.00,
1.13 . 1.14.01 . 21 . 13,Peningkatan Partisipasi Masyarakat dalam Penanganan PMKS,701152000.00,
1.13 . 1.14.01 . 21 . 13 . 5 . 2 . 1,Belanja Pegawai,16880000.00,
1.13 . 1.14.01 . 21 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,684272000.00,
1.13 . 1.14.01 . 23,Program Perlindungan dan Pemberdayaan Penyandang Masalah Kesejahteraan Sosial (PMKS),700059400.00,
1.13 . 1.14.01 . 23 . 01,Peningkatan Kualitas Pelayanan Bagi PMKS,184344400.00,
1.13 . 1.14.01 . 23 . 01 . 5 . 2 . 1,Belanja Pegawai,45920000.00,
1.13 . 1.14.01 . 23 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,138424400.00,
1.13 . 1.14.01 . 23 . 03,Penanganan Masalah-masalah Strategis yang Menyangkut Tanggap Cepat Darurat dan Kejadian Luar Biasa,70557400.00,
1.13 . 1.14.01 . 23 . 03 . 5 . 2 . 1,Belanja Pegawai,14080000.00,
1.13 . 1.14.01 . 23 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,56477400.00,
1.13 . 1.14.01 . 23 . 04,Pelayanan Pendistribusian Raskin,275157600.00,
1.13 . 1.14.01 . 23 . 04 . 5 . 2 . 1,Belanja Pegawai,18420000.00,
1.13 . 1.14.01 . 23 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,256737600.00,
1.13 . 1.14.01 . 23 . 05,Peningkatan Kemampuan Berusaha Bagi Penyandang Masalah Kesejahteraan Sosial (PMKS),125000000.00,
1.13 . 1.14.01 . 23 . 05 . 5 . 2 . 1,Belanja Pegawai,6000000.00,
1.13 . 1.14.01 . 23 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,119000000.00,
1.13 . 1.14.01 . 23 . 06,"Penjangkauan dan Pelayanan Pengemis, Gelandangan dan Orang Terlantar",45000000.00,
1.13 . 1.14.01 . 23 . 06 . 5 . 2 . 1,Belanja Pegawai,19640000.00,
1.13 . 1.14.01 . 23 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,25360000.00,
,SURPLUS / (DEFISIT),-19551048145.00,
