Judul,Anggaran Pendapatan dan Belanja Daerah,,
1.08 . 1.08.01 . 16 . 07,Pengkajian Dampak Lingkungan,67193450.00,
1.08 . 1.08.01 . 16 . 07 . 5 . 2 . 1,Belanja Pegawai,19919000.00,
1.08 . 1.08.01 . 16 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,47274450.00,
1.08 . 1.08.01 . 16 . 24,Pengembangan Kapasitas Pengelolaan Lingkungan Hidup,127715000.00,
1.08 . 1.08.01 . 16 . 24 . 5 . 2 . 1,Belanja Pegawai,16880000.00,
1.08 . 1.08.01 . 16 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,16731000.00,
1.08 . 1.08.01 . 16 . 24 . 5 . 2 . 3,Belanja Modal,94104000.00,
1.08 . 1.08.01 . 16 . 25,Pembangunan Biodigester Biogas Limbah,156281250.00,
1.08 . 1.08.01 . 16 . 25 . 5 . 2 . 1,Belanja Pegawai,1067000.00,
1.08 . 1.08.01 . 16 . 25 . 5 . 2 . 2,Belanja Barang dan Jasa,155214250.00,
1.08 . 1.08.01 . 16 . 26,Penanganan Kasus Lingkungan Hidup,15000000.00,
1.08 . 1.08.01 . 16 . 26 . 5 . 2 . 2,Belanja Barang dan Jasa,15000000.00,
1.08 . 1.08.01 . 16 . 27,Pengawasan Kebijakan Pengelolaan Lingkungan Hidup,60618800.00,
1.08 . 1.08.01 . 16 . 27 . 5 . 2 . 1,Belanja Pegawai,20095000.00,
1.08 . 1.08.01 . 16 . 27 . 5 . 2 . 2,Belanja Barang dan Jasa,40523800.00,
1.08 . 1.08.01 . 17,Program Perlindungan dan Konservasi Sumber Daya Alam,915671875.00,
1.08 . 1.08.01 . 17 . 07,Peningkatan Konservasi Daerah Tangkapan Air dan Sumber-Sumber Air,335671750.00,
1.08 . 1.08.01 . 17 . 07 . 5 . 2 . 1,Belanja Pegawai,2016000.00,
1.08 . 1.08.01 . 17 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,35115750.00,
1.08 . 1.08.01 . 17 . 07 . 5 . 2 . 3,Belanja Modal,298540000.00,
1.08 . 1.08.01 . 17 . 19,Pembangunan Ruang Terbuka Hijau,283239700.00,
1.08 . 1.08.01 . 17 . 19 . 5 . 2 . 1,Belanja Pegawai,2716000.00,
1.08 . 1.08.01 . 17 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,7787700.00,
1.08 . 1.08.01 . 17 . 19 . 5 . 2 . 3,Belanja Modal,272736000.00,
1.08 . 1.08.01 . 17 . 24,Penyusunan Profil Tutupan Vegetasi,24792300.00,
1.08 . 1.08.01 . 17 . 24 . 5 . 2 . 1,Belanja Pegawai,10556000.00,
1.08 . 1.08.01 . 17 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,14236300.00,
1.08 . 1.08.01 . 17 . 25,Penyusunan Status Lingkungan Hidup Daerah,19809325.00,
1.08 . 1.08.01 . 17 . 25 . 5 . 2 . 1,Belanja Pegawai,6420000.00,
1.08 . 1.08.01 . 17 . 25 . 5 . 2 . 2,Belanja Barang dan Jasa,13389325.00,
1.08 . 1.08.01 . 17 . 27,Pemberdayaan Masyarakat Dalam Perlindungan Dan Konservasi Sumber Daya Alam,252158800.00,
1.08 . 1.08.01 . 17 . 27 . 5 . 2 . 1,Belanja Pegawai,58686000.00,
1.08 . 1.08.01 . 17 . 27 . 5 . 2 . 2,Belanja Barang dan Jasa,157047800.00,
1.08 . 1.08.01 . 17 . 27 . 5 . 2 . 3,Belanja Modal,36425000.00,
,SURPLUS / (DEFISIT),-2447861677.00,
