Judul,"Ringkasan Anggaran Pendapatan dan Belanja Daerah Berdasarkan Rincian Obyek Pendapatan, Belanja, dan Pembiayaan",,
4 . 1 . 1 . 04 . 01,Reklame Papan/Bill Board/Videotron/Megatron,2009700000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 04 . 02,Reklame Kain,103400000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 04 . 03,Reklame Melekat/Stiker,194700000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 04 . 05,Reklame Berjalan,2200000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 05,Pajak Penerangan Jalan,22000000000.00,
4 . 1 . 1 . 05 . 02,Pajak Penerangan Jalan PLN,22000000000.00,Perda Kab. Bantul No. 08 Thn 2010
4 . 1 . 1 . 06,Pajak Pengambilan Bahan Galian Golongan C,385000000.00,
4 . 1 . 1 . 06 . 08,Pasir,385000000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 07,Pajak Parkir,79200000.00,
4 . 1 . 1 . 07 . 01,Pajak Parkir,79200000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 08,Pajak Air Bawah Tanah,181500000.00,
4 . 1 . 1 . 08 . 01,Pajak Air Bawah Tanah,181500000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 09,Pajak Sarang Burung Walet,2200000.00,
4 . 1 . 1 . 09 . 01,Pajak Sarang Burung Walet,2200000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 11,Pajak Bumi dan Bangunan (PBB),22869000000.00,
4 . 1 . 1 . 11 . 01,PBB Perkotaan dan Perdesaan,22869000000.00,Perda Kab. Bantul No. 18 Tahun 2011
4 . 1 . 1 . 12,Pajak Bea Perolehan Hak atas Tanah dan Bangunan (BPHTB),32661000000.00,
4 . 1 . 1 . 12 . 01,Bea Perolehan Atas Tanah dan Bangunan,32661000000.00,Perda Kab. Bantul No. 09 Tahun 2010
4 . 1 . 2,Hasil Retribusi Daerah,26774227400.00,
4 . 1 . 2 . 01,Retribusi Jasa Umum,11639951200.00,
4 . 1 . 2 . 01 . 01,Retribusi Pelayanan Kesehatan - Puskesmas,6908634000.00,Perda Kab. Bantul No. 09 Tahun 2011
4 . 1 . 2 . 01 . 07,Retribusi Pelayanan Persampahan/Kebersihan,721811800.00,Perda Kab. Bantul No. 09 Tahun 2011
4 . 1 . 2 . 01 . 19,Retribusi Pelayanan Parkir Di Tepi Jalan Umum,23750000.00,Perda Kab. Bantul No. 09 Tahun 2011
4 . 1 . 2 . 01 . 20,Retribusi Pelayanan Pasar,2032861400.00,Perda Kab. Bantul No. 09 Tahun 2011
4 . 1 . 2 . 01 . 23,Retribusi PKB - Mobil Penumpang - Sedan,7040000.00,Perda Kab. Bantul No. 09 Tahun 2011
4 . 1 . 2 . 01 . 25,Retribusi PKB - Mobil Penumpang - Minibus,1440000.00,Perda Kab. Bantul No. 09 Tahun 2011
4 . 1 . 2 . 01 . 27,Retribusi PKB - Mobil Bus - Bus,21840000.00,Perda Kab. Bantul No. 09 Tahun 2011
4 . 1 . 2 . 01 . 28,Retribusi PKB - Mobil Barang/ Beban - Pick Up,339588000.00,Perda Kab. Bantul No. 09 Tahun 2011
4 . 1 . 2 . 01 . 30,Retribusi PKB - Mobil Barang/ Beban - Truck,215787000.00,Perda Kab. Bantul No. 09 Tahun 2011
4 . 1 . 2 . 01 . 43,Retribusi Pelayanan Pendidikan  Pelatihan Teknis,114548000.00,Perda Kab. Bantul No. 08 Tahun 2013
4 . 1 . 2 . 01 . 44,Pemanfaatan Ruang untuk Menara Telekomunikasi - LRA,1000000000.00,Perda Kab. Bantul No. 09 Tahun 2011
4 . 1 . 2 . 01 . 45,Retribusi PKB - Buku Uji,43991000.00,Perda Kab. Bantul No. 09 Tahun 2011
4 . 1 . 2 . 01 . 47,Retribusi Penyediaan dan/atau Penyedotan Kakus,103660000.00,Perda Kab. Bantul Nomor 9 Tahun 2011
4 . 1 . 2 . 01 . 48,Retribusi Pelayanan Kesehatan Hewan,40000000.00,PERDA Kab Bantul no. 08 Tahun 2013
4 . 1 . 2 . 01 . 49,Retribusi Pelayanan Kesehatan di laboratorium Pengawasan Kualitas Air,65000000.00,Perda kab Bantul No. 09 Tahun 2011
4 . 1 . 2 . 02,Retribusi Jasa Usaha,13134276200.00,
4 . 1 . 2 . 02 . 04,Retribusi Pemakaian Kekayaan Daerah - Kendaraan Bermotor,45000000.00,Perda Kab. Bantul Nomor 7 Tahun 2011
4 . 1 . 2 . 02 . 13,Retribusi Terminal - Tempat Parkir untuk Kendaraan Penumpang dan Bis Umum,31364250.00,Perda Kab. Bantul Nomor 7 Tahun 2011
4 . 1 . 2 . 02 . 16,Retribusi Tempat Khusus Parkir,105200000.00,Perda Kab. Bantul Nomor 7 Tahun 2011
4 . 1 . 2 . 02 . 21,Retribusi Tempat Rekreasi dan Olahraga,10945248750.00,Perda Kab. Bantul Nomor 7 Tahun 2011
4 . 1 . 2 . 02 . 26,Retribusi Penjualan Produksi Usaha Daerah,1917463200.00,Perda Kab. Bantul Nomor 7 Tahun 2011
4 . 1 . 2 . 02 . 31,Retribusi Rumah Potong Hewan,90000000.00,Perda Kab. Bantul Nomor 7 Tahun 2011
4 . 1 . 2 . 03,Retribusi Perizinan Tertentu,2000000000.00,
4 . 1 . 2 . 03 . 01,Retribusi Izin Mendirikan Bangunan,1500000000.00,Perda Kab. Bantul Nomor 8 Tahun 2011
4 . 1 . 2 . 03 . 03,Retribusi Izin Gangguan/Keramaian,500000000.00,Perda Kab. Bantul Nomor 7 Tahun 2011
4 . 1 . 3,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,16049617546.54,
4 . 1 . 3 . 01,Bagian Laba atas Penyertaan Modal pada Perusahaan Milik Daerah/BUMD,16049617546.54,
4 . 1 . 3 . 01 . 01,Bagian Laba Atas Penyertaan Modal Pada Perusahaan Milik Daerah/BUMD PDBPR Bank Bantul,3000000000.00,Perda Kab. Bantul Nomor 19 Tahun 2009
4 . 1 . 3 . 01 . 02,Bagian Laba Atas Penyertaan Modal Pada Perusahaan Milik Daerah/BUMD BPD DIY,12477380046.54,Perda Kab. Bantul Nomor 19 Tahun 2009
4 . 1 . 3 . 01 . 03,Bagian Laba Atas Penyertaan Modal Pada Perusahaan Milik Daerah/BUMD PD Aneka Dharma,122237500.00,Perda Kab. Bantul Nomor 19 Tahun 2009
4 . 1 . 3 . 01 . 04,Bagian Laba Atas Penyertaan Modal Pada Perusahaan Milik Daerah/BUMD PDAM,200000000.00,Perda Kab. Bantul Nomor 19 Tahun 2009
4 . 1 . 3 . 01 . 05,Bagian Laba Atas Penyertaan Modal Pada Perusahaan Milik Daerah/BUMD BUKP,250000000.00,Perda Kab. Bantul Nomor 19 Tahun 2009
4 . 1 . 4,Lain-lain Pendapatan Asli Daerah yang Sah,184595968800.00,
4 . 1 . 4 . 01,Hasil Penjualan Aset Daerah yang Tidak Dipisahkan,55000000.00,
4 . 1 . 4 . 01 . 03,Penjualan Mesin/Alat-alat Berat Tidak Terpakai,55000000.00,Perda Kab. Bantul Nomor 30 Tahun 2008
4 . 1 . 4 . 01 . 07,Penjualan Drum Bekas,0,Perda Kab. Bantul Nomor 30 Tahun 2008
4 . 1 . 4 . 02,Penerimaan Jasa Giro,275000000.00,
4 . 1 . 4 . 02 . 01,Jasa Giro Kas Daerah,275000000.00,
4 . 1 . 4 . 03,Penerimaan Bunga Deposito,13000000000.00,
4 . 1 . 4 . 03 . 01,Rekening Deposito Pada Bank ......,13000000000.00,
4 . 1 . 4 . 04,Tuntutan Ganti Kerugian Daerah (TGR),16500000.00,
4 . 1 . 4 . 04 . 01,Kerugian Uang,16500000.00,
4 . 1 . 4 . 08,Pendapatan Denda Retribusi,80000000.00,
4 . 1 . 4 . 08 . 03,Pendapatan Denda Retribusi Perizinan Tertentu,75000000.00,Perda Kab. Bantul Nomor 8 Tahun 2011
4 . 1 . 4 . 08 . 07,Pendapatan Denda Retribusi Pengujian Kendaraan Bermotor,5000000.00,Perda Kab. Bantul Nomor 9 Tahun 2011
4 . 1 . 4 . 11,Fasilitas Sosial dan Fasilitas Umum,957950000.00,
4 . 1 . 4 . 11 . 01,Fasilitas Sosial,847950000.00,Perda Kab. Bantul Nomor 30 Tahun 2008
4 . 1 . 4 . 11 . 02,Fasilitas Umum,110000000.00,Perda Kab. Bantul Nomor 30 Tahun 2008
4 . 1 . 4 . 14,Hasil dari Pemanfaatan Kekayaan Daerah,1025000000.00,
4 . 1 . 4 . 14 . 01,"Hasil dari Pemanfaatan Kekayaan Daerah Sewa tanah, bangunan dan peralatan AMP",1025000000.00,Perda Kab. Bantul Nomor 30 Tahun 2008
4 . 1 . 4 . 16,Pendapatan BLUD,130000000000.00,
4 . 1 . 4 . 16 . 01,Pendapatan Jasa Layanan Umum BLUD Kesehatan,130000000000.00,Keputusan Bupati Bantul No. 195 Th. 2009
4 . 1 . 4 . 17,Hasil dari pengelolaan dana bergulir,204200000.00,
4 . 1 . 4 . 17 . 01,Hasil dari pengelolaan dana bergulir,204200000.00,Perda Kab. Bantul Nomor 7 Tahun 2012
4 . 1 . 4 . 18,Lain-lain PAD yang Sah Lainnya,38982318800.00,
4 . 1 . 4 . 18 . 01,Lain-lain PAD yang Sah Lainnya,40000000.00,Perbup Bantul No. 02 Tahun 2009
4 . 1 . 4 . 18 . 02,Pendapatan dari Dana Kapitasi JKN,38619360000.00,Perbup Bantul No. 02 Tahun 2009
4 . 1 . 4 . 18 . 03,Pendapatan dari sewa kapal dan sewa kawasan BAT,138207550.00,
4 . 1 . 4 . 18 . 04,Pendapatan dari Sewa Gedung,3751250.00,
4 . 1 . 4 . 18 . 05,Pungutan dalam rangka penempatan kios baru,181000000.00,
4 . 2,DANA PERIMBANGAN,1037859454842.00,
4 . 2 . 1,Bagi Hasil Pajak/Bagi Hasil Bukan Pajak,33905757842.00,
4 . 2 . 1 . 01,Bagi Hasil Pajak,28819599000.00,
4 . 2 . 1 . 01 . 01,Bagi Hasil dari Pajak Bumi dan Bangunan sektor Pertambangan,13286728000.00,Perpres Nomor 162 Tahun 2014
4 . 2 . 1 . 01 . 03,Bagi Hasil dari Pajak Penghasilan Orang Pribadi,15532871000.00,Perpres Nomor 162 Tahun 2014
4 . 2 . 1 . 02,Bagi Hasil Bukan Pajak/Sumber Daya Alam,5086158842.00,
4 . 2 . 1 . 02 . 01,Bagi Hasil Dari Iuran Hak Pengusahaan Hutan,2224000.00,Perpres Nomor 162 Tahun 2014
4 . 2 . 1 . 02 . 07,Bagi Hasil Dari Pungutan Hasil Perikanan,395257000.00,Perpres Nomor 162 Tahun 2014
4 . 2 . 1 . 02 . 11,Bagi Hasil dari Cukai Hasil Tembakau,4688677842.00,Perpres No. 162 Th.2014 & PMK No.193/PMK.07/2014
4 . 2 . 2,Dana Alokasi Umum,942850827000.00,
4 . 2 . 2 . 01,Dana Alokasi Umum,942850827000.00,
4 . 2 . 2 . 01 . 01,Dana Alokasi Umum,942850827000.00,Perpres Nomor 162 Tahun 2014
4 . 2 . 3,Dana Alokasi Khusus,61102870000.00,
4 . 2 . 3 . 01,Dana Alokasi Khusus (DAK),61102870000.00,
4 . 2 . 3 . 01 . 01,Dana Alokasi Khusus,61102870000.00,Perpres Nomor 162 Tahun 2014
4 . 3,LAIN-LAIN PENDAPATAN DAERAH YANG SAH,506819262337.64,
4 . 3 . 1,Pendapatan Hibah,1000000000.00,
4 . 3 . 1 . 01,Pendapatan Hibah Dari Pemerintah,1000000000.00,
4 . 3 . 1 . 01 . 01,Pendapatan Hibah Dari Pemerintah,1000000000.00,
4 . 3 . 3,Dana Bagi Hasil Pajak dari Provinsi dan Pemerintah Daerah Lainnya,118063633375.64,
4 . 3 . 3 . 01,Dana Bagi Hasil Pajak Dari Provinsi,118063633375.64,
4 . 3 . 3 . 01 . 01,Bagi Hasil Dari Pajak Kendaraan Bermotor,30412544302.32,UU Nomor 28 Tahun 2009
4 . 3 . 3 . 01 . 03,Bagi Hasil Dari Bea Balik Nama Kendaraan Bermotor,28005681742.56,UU Nomor 28 Tahun 2009
4 . 3 . 3 . 01 . 05,Bagi Hasil Dari Pajak Bahan Bakar Kendaraan Bermotor,22827246680.00,UU Nomor 28 Tahun 2009
4 . 3 . 3 . 01 . 07,Bagi Hasil Dari Pajak Pengambilan dan Pemanfaatan Air Permukaan,5238000.00,UU Nomor 28 Tahun 2009
4 . 3 . 3 . 01 . 08,Bagi Hasil Dari Pajak Rokok,36812922650.76,UU Nomor 28 Tahun 2009
4 . 3 . 4,Dana Penyesuaian dan Otonomi Khusus,349048100962.00,
4 . 3 . 4 . 01,Dana Penyesuaian,349048100962.00,
4 . 3 . 4 . 01 . 01,Tunjangan Profesi Guru PNSD,301336087000.00,Perpres Nomor 162 Tahun 2014
4 . 3 . 4 . 01 . 02,Dana Tambahan Penghasilan Guru PNSD,1557000000.00,Perpres Nomor 162 Tahun 2014
4 . 3 . 4 . 01 . 03,Dana Insentif Daerah,24595788000.00,Perpres Nomor 162 Tahun 2014
4 . 3 . 4 . 01 . 06,Dana Desa,21559225962.00,Perpres Nomor 162 Tahun 2014
4 . 3 . 5,Bantuan Keuangan dari Provinsi atau Pemerintah Daerah Lainnya,38707528000.00,
4 . 3 . 5 . 01,Bantuan Keuangan Dari Provinsi,36617100000.00,
4 . 3 . 5 . 01 . 01,Bantuan Keuangan Dari Provinsi ......,36617100000.00,
4 . 3 . 5 . 02,Bantuan Keuangan Dari Kabupaten,772150000.00,
4 . 3 . 5 . 02 . 01,Bantuan Keuangan Dari Kabupaten....,772150000.00,
4 . 3 . 5 . 03,Bantuan Keuangan Dari Kota,1318278000.00,
4 . 3 . 5 . 03 . 01,Bantuan Keuangan Dari Kota,1318278000.00,
5,BELANJA,1979120891883.18,
5 . 1,BELANJA TIDAK LANGSUNG,1239821811956.18,
5 . 1 . 1,Belanja Pegawai,1043905676093.00,
5 . 1 . 1 . 01,Belanja Gaji dan Tunjangan,720139896093.00,
5 . 1 . 1 . 01 . 01,Gaji Pokok PNS/Uang Representasi,544457942200.00,
5 . 1 . 1 . 01 . 02,Tunjangan Keluarga,47660256496.00,
5 . 1 . 1 . 01 . 03,Tunjangan Jabatan,8794016000.00,
5 . 1 . 1 . 01 . 04,Tunjangan Fungsional,42362058000.00,
5 . 1 . 1 . 01 . 05,Tunjangan Fungsional Umum,6592888575.00,
5 . 1 . 1 . 01 . 06,Tunjangan Beras,28824600000.00,
5 . 1 . 1 . 01 . 07,Tunjangan PPh/Tunjangan Khusus,16623815250.00,
5 . 1 . 1 . 01 . 08,Pembulatan Gaji,7857079.00,
5 . 1 . 1 . 01 . 09,Iuran Asuransi Kesehatan,19953336003.00,
5 . 1 . 1 . 01 . 10,Uang Paket,86058000.00,
5 . 1 . 1 . 01 . 11,Tunjangan Panitia Musyawarah,20279700.00,
5 . 1 . 1 . 01 . 12,Tunjangan Komisi,55906200.00,
5 . 1 . 1 . 01 . 13,Tunjangan Panitia Anggaran,25029900.00,
5 . 1 . 1 . 01 . 14,Tunjangan Badan Kehormatan,7856100.00,
5 . 1 . 1 . 01 . 15,Tunjangan Alat Kelengkapan Lainnya,35017500.00,
5 . 1 . 1 . 01 . 16,Tunjangan Perumahan,3135000000.00,
5 . 1 . 1 . 01 . 18,Uang Jasa Pengabdian,16380000.00,
5 . 1 . 1 . 01 . 19,Belanja Penunjang Operasional Pimpinan DPRD,393120000.00,
5 . 1 . 1 . 01 . 21,Gaji Perangkat Desa,623838790.00,
5 . 1 . 1 . 01 . 22,Tunjangan Badan Legislasi,14433300.00,
5 . 1 . 1 . 01 . 23,Tunjangan Pengelola Perijinan,322248000.00,
5 . 1 . 1 . 01 . 24,Tunjangan lain-lain,127959000.00,
5 . 1 . 1 . 02,Belanja Tambahan Penghasilan PNS,314545087000.00,
5 . 1 . 1 . 02 . 01,Tambahan Penghasilan Berdasarkan Beban Kerja,1152000000.00,
5 . 1 . 1 . 02 . 05,Tambahan Penghasilan Berdasarkan Prestasi Kerja,10500000000.00,
5 . 1 . 1 . 02 . 06,Tunjangan Profesi Guru PNSD,301336087000.00,
5 . 1 . 1 . 02 . 07,Tambahan Penghasilan Guru PNSD,1557000000.00,
5 . 1 . 1 . 03,Belanja Penerimaan lainnya Pimpinan dan anggota DPRD serta KDH/WKDH,4002000000.00,
5 . 1 . 1 . 03 . 01,Tunjangan Komunikasi Insentif Pimpinan Dan Anggota DPRD,3402000000.00,
5 . 1 . 1 . 03 . 02,Belanja Penunjang Operasional KDH/WKDH,600000000.00,
5 . 1 . 1 . 04,Biaya Pemungutan Pajak Daerah,318030000.00,
5 . 1 . 1 . 04 . 01,Biaya Pemungutan PBB,318030000.00,
5 . 1 . 1 . 05,Insentif Pemungutan Pajak Daerah,4100000000.00,
5 . 1 . 1 . 05 . 01,Insentif Pemungutan Pajak Daerah,4100000000.00,
5 . 1 . 1 . 06,Insentif Pemungutan Retribusi Daerah,800663000.00,
5 . 1 . 1 . 06 . 01,Insentif Pemungutan Retribusi Daerah,800663000.00,
5 . 1 . 4,Belanja Hibah,26331000000.00,
5 . 1 . 4 . 01,Belanja Hibah kepada Pemerintah Pusat,15000000000.00,
5 . 1 . 4 . 01 . 02,Sekretariat KPU/Panwaslu,15000000000.00,
5 . 1 . 4 . 05,Belanja Hibah kepada Badan/Lembaga/Organisasi,9855000000.00,
5 . 1 . 4 . 05 . 01,Belanja Hibah kepada Badan/Lembaga/Organisasi........,9855000000.00,
5 . 1 . 4 . 06,Belanja Hibah kepada Kelompok/Anggota Masyarakat,1476000000.00,
5 . 1 . 4 . 06 . 01,Belanja Hibah kepada Kelompok/Anggota Masyarakat,1476000000.00,
5 . 1 . 5,Belanja Bantuan Sosial,19391950000.00,
5 . 1 . 5 . 02,Belanja Bantuan Sosial Kepada Kelompok Masyarakat,557500000.00,
5 . 1 . 5 . 02 . 01,Belanja Bantuan Sosial Kepada Kelompok Masyarakat,557500000.00,
5 . 1 . 5 . 03,Belanja Bantuan Sosial Kepada Anggota Masyarakat,18834450000.00,
5 . 1 . 5 . 03 . 01,Belanja Bantuan Sosial Kepada Anggota Masyarakat,18834450000.00,
5 . 1 . 6,Belanja Bagi Hasil kepada Provinsi/Kabupaten/Kota dan Pemerintah Desa,11177432740.00,
5 . 1 . 6 . 03,Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa,8500010000.00,
5 . 1 . 6 . 03 . 01,Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa ......,8500010000.00,
5 . 1 . 6 . 05,Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa,2677422740.00,
5 . 1 . 6 . 05 . 01,Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintahan Desa ......,2677422740.00,
5 . 1 . 7,Belanja Bantuan Keuangan kepada Provinsi/Kabupaten/Kota dan Pemerintahan Desa,134931464962.00,
5 . 1 . 7 . 03,Belanja Bantuan Keuangan kepada Desa,133919964962.00,
5 . 1 . 7 . 03 . 01,Belanja Bantuan Keuangan Kepada Desa,14685080000.00,
5 . 1 . 7 . 03 . 02,Alokasi Dana Desa,97675659000.00,
5 . 1 . 7 . 03 . 03,Dana Desa,21559225962.00,
5 . 1 . 7 . 04,Belanja Bantuan Keuangan Kepada Pemerintah Daerah/Pemerintah Desa lainnya,134000000.00,
5 . 1 . 7 . 04 . 02,Belanja Bantuan Keuangan Kepada Kabupaten/Kota,134000000.00,
5 . 1 . 7 . 05,Belanja Bantuan Kepada Partai Politik,877500000.00,
5 . 1 . 7 . 05 . 01,Belanja Bantuan Kepada Partai Politik ........,877500000.00,
5 . 1 . 8,Belanja Tidak Terduga,4084288161.18,
5 . 1 . 8 . 01,Belanja Tak Terduga,4084288161.18,
5 . 1 . 8 . 01 . 01,Belanja Tidak Terduga,4084288161.18,
5 . 2,BELANJA LANGSUNG,739299079927.00,
5 . 2 . 1,Belanja Pegawai,53795711815.00,
5 . 2 . 1 . 01,Honorarium PNS,20717932615.00,
5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,18908339615.00,
5 . 2 . 1 . 01 . 02,Honorarium Tim Pengadaan Barang Dan Jasa,405350000.00,
5 . 2 . 1 . 01 . 06,Honor Pengelola Keuangan dan Barang,1404243000.00,
5 . 2 . 1 . 02,Honorarium Non PNS,27879859200.00,
5 . 2 . 1 . 02 . 01,,14800000.00,
5 . 2 . 1 . 02 . 02,Honorarium Pegawai Honorer/Tidak Tetap,21926166200.00,
5 . 2 . 1 . 02 . 03,Honorarium Pegawai Kontrak,5623003000.00,
5 . 2 . 1 . 02 . 04,Honorarium Petugas Verifikasi Piutang,126000000.00,
5 . 2 . 1 . 02 . 05,Honorium Petugas Peliputan,72600000.00,
5 . 2 . 1 . 02 . 06,Honorarium Petugas Pendamping Kegiatan,117290000.00,
5 . 2 . 1 . 03,Uang Lembur,633200000.00,
5 . 2 . 1 . 03 . 01,Uang Lembur PNS,623200000.00,
5 . 2 . 1 . 03 . 02,Uang Lembur Non PNS,10000000.00,
5 . 2 . 1 . 05,Uang untuk diberikan kepada Pihak Ketiga/Masyarakat,85500000.00,
5 . 2 . 1 . 05 . 01,,85500000.00,
5 . 2 . 1 . 07, Belanja Pegawai BLUD,4478220000.00,
5 . 2 . 1 . 07 . 01,Belanja Pegawai Operasional BLUD,4000000000.00,
5 . 2 . 1 . 07 . 02,Belanja Pegawai Umum dan Administrasi BLUD,478220000.00,
5 . 2 . 1 . 08,Honorarium Pengelolaan Operasional Dinas,1000000.00,
5 . 2 . 1 . 08 . 01,Honorarium Pengelolaan Operasional Dinas,1000000.00,
5 . 2 . 2,Belanja Barang dan Jasa,392007276437.00,
5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,7404325483.00,
5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,5368679883.00,
5 . 2 . 2 . 01 . 02,Belanja Dokumen/Administrasi Tender,4300000.00,
5 . 2 . 2 . 01 . 03,"Belanja Alat Listrik Dan Elektronik (Lampu Pijar, Battery Kering)",586961550.00,
5 . 2 . 2 . 01 . 04,"Belanja Perangko, Materai Dan Benda Pos",205173000.00,
5 . 2 . 2 . 01 . 05,Belanja Peralatan Kebersihan Dan Bahan Pembersih,426481300.00,
5 . 2 . 2 . 01 . 06,Belanja Bahan Bakar Minyak/Gas,499119250.00,
5 . 2 . 2 . 01 . 07,Belanja Pengisian Tabung Pemadam Kebakaran,19333500.00,
5 . 2 . 2 . 01 . 08,Belanja Pengisian Tabung Gas,15990000.00,
5 . 2 . 2 . 01 . 09,"Belanja pembelian bendera,papan nama",173575000.00,
5 . 2 . 2 . 01 . 10,Belanja pengisian freon,8060000.00,
5 . 2 . 2 . 01 . 11,Belanja Bahan medis (obat-obatan) habis pakai,24662000.00,
5 . 2 . 2 . 01 . 12,Belanja Batubara,69690000.00,
5 . 2 . 2 . 01 . 13,Belanja Sekam,2300000.00,
5 . 2 . 2 . 02,Belanja Bahan/Material,36007719800.00,
5 . 2 . 2 . 02 . 01,Belanja Bahan Baku Bangunan,6964656500.00,
5 . 2 . 2 . 02 . 02,Belanja Bahan/Bibit Tanaman,2033709000.00,
5 . 2 . 2 . 02 . 03,Belanja Bibit Ternak,1873425000.00,
5 . 2 . 2 . 02 . 04,Belanja Bahan Obat-Obatan,4076494000.00,
5 . 2 . 2 . 02 . 05,Belanja Bahan Kimia dan Pupuk,213540000.00,
5 . 2 . 2 . 02 . 06,Belanja Persediaan Makanan Pokok,7565000.00,
5 . 2 . 2 . 02 . 07,Belanja Cindera Mata,286535000.00,
5 . 2 . 2 . 02 . 08,Belanja Bahan Makanan,6151274000.00,
5 . 2 . 2 . 02 . 09,Belanja Bahan Non Kimia/Organik,265130000.00,
5 . 2 . 2 . 02 . 10,Belanja Bahan Pakan,281674200.00,
5 . 2 . 2 . 02 . 11,Belanja Pilar,300000.00,
5 . 2 . 2 . 02 . 12,Belanja alat-alat/perlengkapan,7288536400.00,
5 . 2 . 2 . 02 . 14,Belanja Air Bersih,51505000.00,
5 . 2 . 2 . 02 . 16,Belanja Bahan Medis,44630000.00,
5 . 2 . 2 . 02 . 17,Belanja Bahan Pupuk,469425000.00,
5 . 2 . 2 . 02 . 18,Belanja Bahan Percontohan,5999320700.00,
5 . 2 . 2 . 03,Belanja Jasa Kantor,25779150662.00,
5 . 2 . 2 . 03 . 01,Belanja Telepon,598801000.00,
5 . 2 . 2 . 03 . 02,Belanja Air,247460000.00,
5 . 2 . 2 . 03 . 03,Belanja Listrik,17167848562.00,
5 . 2 . 2 . 03 . 04,Belanja Jasa Pengumuman Lelang/Pemenang Lelang,2000000.00,
5 . 2 . 2 . 03 . 05,Belanja Surat Kabar/Majalah,312885700.00,
5 . 2 . 2 . 03 . 06,Belanja Kawat/Faksimili/Internet/Intranet/TV Kabel/TV Satelit,1567040000.00,
5 . 2 . 2 . 03 . 07,Belanja Paket/Pengiriman,32308000.00,
5 . 2 . 2 . 03 . 08,Belanja Sertifikasi,778539000.00,
5 . 2 . 2 . 03 . 09,Belanja Jasa Transaksi Keuangan,682060000.00,
5 . 2 . 2 . 03 . 12,Belanja Transportasi dan Akomodasi,319820400.00,
5 . 2 . 2 . 03 . 13,Belanja Dokumentasi,66300000.00,
5 . 2 . 2 . 03 . 14,Belanja Dekorasi,419840000.00,
5 . 2 . 2 . 03 . 15,Belanja Publikasi,2629695000.00,
5 . 2 . 2 . 03 . 16,Belanja Analisa Laboratorium,355498000.00,
5 . 2 . 2 . 03 . 17,Belanja Asuransi,26000000.00,
5 . 2 . 2 . 03 . 20,Belanja Sewa Frekuensi dan Pajak Radio,28000000.00,
5 . 2 . 2 . 03 . 21,Belanja Perkara,3000000.00,
