JUDUL,ANGGARAN PENDAPATAN DAN BELANJA DAERAH,,
DAERAH,KOTA YOGYAKARTA,,
TAHUN,2016,,
KODE ORGANISASI,1.13.01,,
NAMA ORGANISASI,DINAS SOSIAL, TENAGA KERJA DAN TRANSMIGRASI,,
KOLOM,4,,
,,,
KODE REKENING , URAIAN  ,ANGGARAN,KETERANGAN
,,,
1.13.1.13.01.000.000.4 ,PENDAPATAN DAERAH ,,
"1.13.1.13.01.000.000.5 ,BELANJA DAERAH ,"" 23,308,998,703 "","
"1.13.1.13.01.000.000.5.1 ,BELANJA TIDAK LANGSUNG ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1 ,BELANJA PEGAWAI ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1.01 ,Belanja Gaji Dan Tunjangan ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi (DAU) ,"" 5,079,904,126 "",Gaji Pokok PNS/Uang Representasi (DAU) 5079904126"
"1.13.1.13.01.000.000.5.1.1.01.02 ,Tunjangan Keluarga (DAU) ,"" 457,114,629 "",Tunjangan Keluarga (DAU) 457114629"
"1.13.1.13.01.001.008.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"" 18,080,000 "",Belanja Jasa Penyedia /Tenaga Teknis 18080000"
,,,
"1.13.1.13.01.001.008.5.2.2.20 ,Belanja Pemeliharaan ,"" 104,825,291 "","
"1.13.1.13.01.001.008.5.2.2.20.09 ,Belanja Pemeliharaan Kebersihan ,"" 104,825,291 "",Belanja Pemeliharaan Kebersihan 104825291"
,,,
"1.13.1.13.01.001.010 ,Penyediaan Alat Tulis Kantor ,"" 51,235,400 "","
"1.13.1.13.01.001.010.5.2.2 ,BELANJA BARANG DAN JASA ,"" 51,235,400 "","
"1.13.1.13.01.001.010.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 51,235,400 "","
"1.13.1.13.01.001.010.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 51,235,400 "",Belanja  Alat Tulis Kantor 51235400"
,,,
"1.13.1.13.01.001.011 ,Penyediaan Barang Cetakan dan Penggandaan ,"" 46,225,000 "","
"1.13.1.13.01.001.011.5.2.2 ,BELANJA BARANG DAN JASA ,"" 46,225,000 "","
"1.13.1.13.01.001.011.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 46,225,000 "","
"1.13.1.13.01.001.011.5.2.2.06.02 ,Belanja Penggandaan ,"" 46,225,000 "",Belanja Penggandaan 46225000"
,,,
"1.13.1.13.01.001.012 ,Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor ,"" 24,593,000 "","
"1.13.1.13.01.001.012.5.2.2 ,BELANJA BARANG DAN JASA ,"" 24,593,000 "","
"1.13.1.13.01.001.012.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 24,593,000 "","
"1.13.1.13.01.001.012.5.2.2.01.03 ,Belanja Alat Listrik Dan Elektronik ,"" 24,593,000 "",Belanja Alat Listrik Dan Elektronik 24593000"
,,,
"1.13.1.13.01.001.013 ,Penyediaan Peralatan dan Perlengkapan Kantor ,"" 43,666,290 "","
"1.13.1.13.01.001.013.5.2.2 ,BELANJA BARANG DAN JASA ,"" 43,666,290 "","
"1.13.1.13.01.001.013.5.2.2.02 ,Belanja Bahan/Material ,"" 35,553,290 "","
"1.13.1.13.01.001.013.5.2.2.02.06 ,Belanja Bahan Komputer/Printer ,"" 35,553,290 "",Belanja Bahan Komputer/Printer 35553290"
,,,
"1.13.1.13.01.001.013.5.2.2.20 ,Belanja Pemeliharaan ,"" 8,113,000 "","
"1.13.1.13.01.001.013.5.2.2.20.04 ,Belanja Pemeliharaan Peralatan Dan Perlengkapan ,"" 6,113,000 "",Belanja Pemeliharaan Peralatan Dan Perlengkapan 6113000"
,Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio ,,Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio
,,,
"1.13.1.13.01.001.013.5.2.2.20.11 ,Belanja Pemeliharaan Komputer ,"" 2,000,000 "",Belanja Pemeliharaan Komputer 2000000"
,,,
"1.13.1.13.01.001.015 ,Penyediaan Bahan Bacaan dan Peraturan Perundang-undangan ,"" 5,100,000 "","
"1.13.1.13.01.001.015.5.2.2 ,BELANJA BARANG DAN JASA ,"" 5,100,000 "","
"1.13.1.13.01.001.015.5.2.2.02 ,Belanja Bahan/Material ,"" 300,000 "","
"1.13.1.13.01.001.015.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"" 300,000 "",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 300000"
,,,
"1.13.1.13.01.001.015.5.2.2.03 ,Belanja Jasa Kantor ,"" 4,800,000 "","
"1.13.1.13.01.001.015.5.2.2.03.05 ,Belanja Surat Kabar/Majalah ,"" 4,800,000 "",Belanja Surat Kabar/Majalah 4800000"
,,,
"1.13.1.13.01.001.017 ,Penyediaan Makanan dan Minuman ,"" 88,040,000 "","
"1.13.1.13.01.001.017.5.2.2 ,BELANJA BARANG DAN JASA ,"" 88,040,000 "","
"1.13.1.13.01.001.017.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 88,040,000 "","
"1.13.1.13.01.001.017.5.2.2.11.01 ,Belanja Makanan Dan Minuman Pegawai ,"" 60,500,000 "",Belanja Makanan Dan Minuman Pegawai 60500000"
,,,
"1.13.1.13.01.001.017.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 21,420,000 "",Belanja Makanan Dan Minuman Rapat 21420000"
,,,
"1.13.1.13.01.001.017.5.2.2.11.03 ,Belanja Makanan Dan Minuman Tamu ,"" 6,120,000 "",Belanja Makanan Dan Minuman Tamu 6120000"
,,,
"1.13.1.13.01.001.018 ,Rapat-rapat Koordinasi dan Konsultasi Keluar Daerah ,"" 138,300,000 "","
"1.13.1.13.01.001.018.5.2.2 ,BELANJA BARANG DAN JASA ,"" 138,300,000 "","
"1.13.1.13.01.001.018.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 138,300,000 "","
"1.13.1.13.01.001.018.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,"" 138,300,000 "",Belanja Perjalanan Dinas Luar Daerah 138300000"
,,,
"1.13.1.13.01.001.019 ,Penyediaan Jasa Tenaga Bantu ,"" 335,216,000 "","
"1.13.1.13.01.001.019.5.2.1 ,BELANJA PEGAWAI ,"" 335,216,000 "","
"1.13.1.13.01.001.019.5.2.1.02 ,Honorarium Non PNS ,"" 335,216,000 "","
"1.13.1.13.01.001.019.5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,"" 335,216,000 "",Honorarium Pegawai Honorer/Tidak Tetap 335216000"
,,,
"1.13.1.13.01.001.020 ,Penyediaan Jasa Keamanan ,"" 378,586,343 "","
"1.13.1.13.01.001.020.5.2.1 ,BELANJA PEGAWAI ,"" 975,000 "","
"1.13.1.13.01.001.020.5.2.1.01 ,Honorarium PNS ,"" 975,000 "","
"1.13.1.13.01.001.020.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 600,000 "",Honorarium Panitia Pelaksana Kegiatan 600000"
,,,
"1.13.1.13.01.001.020.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"" 375,000 "",Honorarium Tim Pengadaan Barang dan Jasa 375000"
,,,
"1.13.1.13.01.001.020.5.2.2 ,BELANJA BARANG DAN JASA ,"" 377,611,343 "","
"1.13.1.13.01.001.020.5.2.2.03 ,Belanja Jasa Kantor ,"" 377,611,343 "","
"1.13.1.13.01.001.020.5.2.2.03.20 ,Belanja Jasa Keamanan ,"" 377,611,343 "",Belanja Jasa Keamanan 377611343"
,,,
"1.13.1.13.01.002 ,Program Peningkatan Sarana dan Prasarana Aparatur ,"" 697,399,050 "","
"1.13.1.13.01.002.022 ,Pemeliharaan Rutin/Berkala Gedung Kantor ,"" 145,476,050 "","
"1.13.1.13.01.002.022.5.2.2 ,BELANJA BARANG DAN JASA ,"" 145,476,050 "","
"1.13.1.13.01.002.022.5.2.2.02 ,Belanja Bahan/Material ,"" 800,000 "","
"1.13.1.13.01.002.022.5.2.2.02.11 ,Belanja Plakat/Cinderamata ,"" 800,000 "",Belanja Plakat/Cinderamata 800000"
,,,
"1.13.1.13.01.002.022.5.2.2.20 ,Belanja Pemeliharaan ,"" 144,676,050 "","
"1.13.1.13.01.002.022.5.2.2.20.03 ,Belanja Pemeliharaan Bangunan Pemerintah ,"" 139,586,550 "",Belanja Pemeliharaan Bangunan Pemerintah 139586550"
,,,
"1.13.1.13.01.002.022.5.2.2.20.05 ,Belanja Pemeliharaan Taman ,"" 5,089,500 "",Belanja Pemeliharaan Taman 5089500"
,,,
"1.13.1.13.01.002.024 ,Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional ,"" 551,923,000 "","
"1.13.1.13.01.002.024.5.2.2 ,BELANJA BARANG DAN JASA ,"" 551,923,000 "","
"1.13.1.13.01.002.024.5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,"" 551,923,000 "","
"1.13.1.13.01.002.024.5.2.2.05.01 ,Belanja Jasa Service ,"" 59,000,000 "",Belanja Jasa Service 59000000"
,,,
"1.13.1.13.01.002.024.5.2.2.05.02 ,Belanja  Penggantian Suku Cadang ,"" 84,655,000 "",Belanja  Penggantian Suku Cadang 84655000"
,,,
"1.13.1.13.01.002.024.5.2.2.05.03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,"" 408,268,000 "",Belanja Bahan Bakar Minyak/Gas Dan Pelumas 408268000"
,,,
"1.13.1.13.01.006 ,Program Peningkatan Pengembangan Sistem Pelaporan Capaian Kinerja dan ,"" 45,264,000 "","
,Keuangan,,
"1.13.1.13.01.006.001 ,Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD ,"" 45,264,000 "","
"1.13.1.13.01.006.001.5.2.1 ,BELANJA PEGAWAI ,"" 15,000,000 "","
"1.13.1.13.01.006.001.5.2.1.01 ,Honorarium PNS ,"" 14,200,000 "","
"1.13.1.13.01.006.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 14,200,000 "",Honorarium Panitia Pelaksana Kegiatan 14200000"
,,,
"1.13.1.13.01.006.001.5.2.1.02 ,Honorarium Non PNS ,"" 800,000 "","
"1.13.1.13.01.006.001.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 800,000 "",Honorarium Panitia Pelaksana Kegiatan 800000"
,,,
"1.13.1.13.01.006.001.5.2.2 ,BELANJA BARANG DAN JASA ,"" 30,264,000 "","
"1.13.1.13.01.006.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 250,000 "","
"1.13.1.13.01.006.001.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 250,000 "",Belanja  Alat Tulis Kantor 250000"
,,,
"1.13.1.13.01.006.001.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 18,210,000 "","
"1.13.1.13.01.006.001.5.2.2.06.02 ,Belanja Penggandaan ,"" 18,210,000 "",Belanja Penggandaan 18210000"
,,,
"1.13.1.13.01.006.001.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 9,404,000 "","
"1.13.1.13.01.006.001.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 9,404,000 "",Belanja Makanan Dan Minuman Rapat 9404000"
,,,
"1.13.1.13.01.006.001.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 2,400,000 "","
"1.13.1.13.01.006.001.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 2,400,000 "",Belanja Jasa Narasumber 2400000"
,,,
"1.13.1.13.01.062 ,Program Rehabilitasi Sosial ,"" 7,429,541,854 "","
"1.13.1.13.01.062.001 ,Peningkatan Pelayanan dan Pembinaan Kesejahteraan Sosial Dalam Panti ,"" 101,885,000 "","
,Sosial,,
"1.13.1.13.01.062.001.5.2.1 ,BELANJA PEGAWAI ,"" 10,455,000 "","
"1.13.1.13.01.062.001.5.2.1.01 ,Honorarium PNS ,"" 9,015,000 "","
"1.13.1.13.01.062.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 9,015,000 "",Honorarium Panitia Pelaksana Kegiatan 9015000"
,,,
"1.13.1.13.01.062.001.5.2.1.02 ,Honorarium Non PNS ,"" 1,440,000 "","
"1.13.1.13.01.062.001.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 1,440,000 "",Honorarium Panitia Pelaksana Kegiatan 1440000"
,,,
"1.13.1.13.01.062.001.5.2.2 ,BELANJA BARANG DAN JASA ,"" 91,430,000 "","
"1.13.1.13.01.062.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 380,000 "","
"1.13.1.13.01.062.001.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 380,000 "",Belanja  Alat Tulis Kantor 380000"
,,,
"1.13.1.13.01.062.001.5.2.2.02 ,Belanja Bahan/Material ,"" 11,970,000 "","
"1.13.1.13.01.062.001.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"" 720,000 "",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 720000"
,,,
"1.13.1.13.01.062.001.5.2.2.02.08 ,Belanja Hadiah/Trophy ,"" 11,250,000 "",Belanja Hadiah/Trophy 11250000"
,,,Lokasi Kegiatan Kota Yogyakarta
,,,Doorprize Forum Kreatifitas Anak Panti Asuhan se Kota Yk 6250000
,,,Doorprize Rekreasi Lansia Dalam Panti se Kota Yk 5000000
"1.13.1.13.01.062.001.5.2.2.03 ,Belanja Jasa Kantor ,"" 5,100,000 "","
"1.13.1.13.01.062.001.5.2.2.03.13 ,""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film "","" 1,800,000 "",""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film 1800000"""
,,,
"1.13.1.13.01.062.001.5.2.2.03.14 ,Belanja Retribusi/Tiket ,"" 3,300,000 "",Belanja Retribusi/Tiket 3300000"
,,,
"1.13.1.13.01.062.001.5.2.2.08 ,Belanja Sewa Sarana Mobilitas ,"" 20,800,000 "","
"1.13.1.13.01.062.001.5.2.2.08.01 ,Belanja Sewa Sarana Mobilitas Darat ,"" 20,800,000 "",Belanja Sewa Sarana Mobilitas Darat 20800000"
,,,
"1.13.1.13.01.062.001.5.2.2.10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,"" 12,040,000 "","
"1.13.1.13.01.062.001.5.2.2.10.01 ,Belanja Sewa Meja Kursi ,"" 1,540,000 "",Belanja Sewa Meja Kursi 1540000"
,,,
"1.13.1.13.01.062.001.5.2.2.10.04 ,Belanja Sewa Generator ,"" 500,000 "",Belanja Sewa Generator 500000"
,,,
"1.13.1.13.01.062.001.5.2.2.10.05 ,Belanja Sewa Tenda ,"" 1,800,000 "",Belanja Sewa Tenda 1800000"
,,,
"1.13.1.13.01.062.001.5.2.2.10.09 ,Belanja Sewa Perlengkapan/Peralatan ,"" 8,200,000 "",Belanja Sewa Perlengkapan/Peralatan 8200000"
,,,
"1.13.1.13.01.062.001.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 28,190,000 "","
"1.13.1.13.01.062.001.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 28,190,000 "",Belanja Makanan Dan Minuman Rapat 28190000"
,,,
"1.13.1.13.01.062.001.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 950,000 "","
"1.13.1.13.01.062.001.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 950,000 "",Belanja Perjalanan Dinas Dalam Daerah 950000"
,,,
"1.13.1.13.01.062.001.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 12,000,000 "","
"1.13.1.13.01.062.001.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,"" 7,050,000 "",Belanja Jasa Tenaga Ahli 7050000"
,,,
"1.13.1.13.01.062.001.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 3,300,000 "",Belanja Jasa Narasumber 3300000"
,,,
"1.13.1.13.01.062.001.5.2.2.31.04 ,Belanja Jasa Moderator ,"" 1,650,000 "",Belanja Jasa Moderator 1650000"
,,,
"1.13.1.13.01.062.002 ,Pelayanan Anak Terlantar di PA Wiloso Projo ,"" 780,176,927 "","
"1.13.1.13.01.062.002.5.2.1 ,BELANJA PEGAWAI ,"" 172,835,000 "","
"1.13.1.13.01.062.002.5.2.1.01 ,Honorarium PNS ,"" 1,175,000 "","
"1.13.1.13.01.062.002.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 900,000 "",Honorarium Panitia Pelaksana Kegiatan 900000"
,,,
"1.13.1.13.01.062.002.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"" 275,000 "",Honorarium Tim Pengadaan Barang dan Jasa 275000"
,,,
"1.13.1.13.01.062.002.5.2.1.03 ,Uang Lembur ,"" 12,240,000 "","
"1.13.1.13.01.062.002.5.2.1.03.01 ,Uang Lembur PNS ,"" 9,840,000 "",Uang Lembur PNS 9840000"
,,,
"1.13.1.13.01.062.002.5.2.1.03.02 ,Uang Lembur Non PNS ,"" 2,400,000 "",Uang Lembur Non PNS 2400000"
,,,
"1.13.1.13.01.062.002.5.2.1.07 ,Uang Kelayan Panti ,"" 159,420,000 "","
"1.13.1.13.01.062.002.5.2.1.07.01 ,Uang Kelayan Panti ,"" 159,420,000 "",Uang Kelayan Panti 159420000"
,,,Uang Sekolah 31800000
,,,Uang Ujian 4800000
,,,Biaya Masuk Sekolah 17500000
,,,Uang Saku Anak - Anak 69970000
,,,Biaya Ulangan Umum 4400000
,,,Biaya Daftar Ulang 14700000
,,,Biaya Wisata Karya Anak di Sekolahnya 14150000
,,,Biaya Ongkos Jahit 2100000
"1.13.1.13.01.062.002.5.2.2 ,BELANJA BARANG DAN JASA ,"" 607,341,927 "","
"1.13.1.13.01.062.002.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 16,956,000 "","
"1.13.1.13.01.062.002.5.2.2.01.08 ,Belanja Pengisian Tabung Gas ,"" 16,956,000 "",Belanja Pengisian Tabung Gas 16956000"
,,,
"1.13.1.13.01.062.002.5.2.2.02 ,Belanja Bahan/Material ,"" 12,492,900 "","
"1.13.1.13.01.062.002.5.2.2.02.04 ,Belanja Bahan Obat-Obatan ,"" 2,439,500 "",Belanja Bahan Obat-Obatan 2439500"
,,,
"1.13.1.13.01.062.002.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"" 5,673,400 "",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 5673400"
,,,
"1.13.1.13.01.062.002.5.2.2.02.09 ,Belanja Bahan Percontohan ,"" 4,380,000 "",Belanja Bahan Percontohan 4380000"
,,,Pembuatan Roti 750000
,,,Pembuatan Masakan lauk 1200000
,,,Menjahit 1350000
,,,Kerajinan tangan 1080000
"1.13.1.13.01.062.002.5.2.2.03 ,Belanja Jasa Kantor ,"" 69,177,100 "","
"1.13.1.13.01.062.002.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"" 69,177,100 "",Belanja Jasa Penyedia /Tenaga Teknis 69177100"
,,,
"1.13.1.13.01.062.002.5.2.2.08 ,Belanja Sewa Sarana Mobilitas ,"" 3,000,000 "","
"1.13.1.13.01.062.002.5.2.2.08.01 ,Belanja Sewa Sarana Mobilitas Darat ,"" 3,000,000 "",Belanja Sewa Sarana Mobilitas Darat 3000000"
,,,
"1.13.1.13.01.062.002.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 330,680,000 "","
"1.13.1.13.01.062.002.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 1,280,000 "",Belanja Makanan Dan Minuman Rapat 1280000"
,,,
"1.13.1.13.01.062.002.5.2.2.11.04 ,Belanja Makanan Dan Minuman Panti ,"" 329,400,000 "",Belanja Makanan Dan Minuman Panti 329400000"
,,,
"1.13.1.13.01.062.002.5.2.2.20 ,Belanja Pemeliharaan ,"" 90,640,527 "","
"1.13.1.13.01.062.002.5.2.2.20.09 ,Belanja Pemeliharaan Kebersihan ,"" 90,640,527 "",Belanja Pemeliharaan Kebersihan 90640527"
,,,
"1.13.1.13.01.062.002.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 38,400,000 "","
"1.13.1.13.01.062.002.5.2.2.31.02 ,Belanja Jasa Instruktur ,"" 38,400,000 "",Belanja Jasa Instruktur 38400000"
,,,
"1.13.1.13.01.062.002.5.2.2.33 ,Belanja Barang Kelayan Panti ,"" 45,995,400 "","
"1.13.1.13.01.062.002.5.2.2.33.01 ,Belanja Barang Kelayan Panti ,"" 45,995,400 "",Belanja Barang Kelayan Panti 45995400"
,,,
"1.13.1.13.01.062.003 ,Pelayanan Jompo Terlantar di Panti Wreda Budhi Dharma ,"" 1,189,526,027 "","
"1.13.1.13.01.062.003.5.2.1 ,BELANJA PEGAWAI ,"" 51,770,000 "","
"1.13.1.13.01.062.003.5.2.1.01 ,Honorarium PNS ,"" 15,770,000 "","
"1.13.1.13.01.062.003.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 15,170,000 "",Honorarium Panitia Pelaksana Kegiatan 15170000"
"1.13.1.13.01.062.003.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"" 600,000 "",Honorarium Tim Pengadaan Barang dan Jasa 600000"
,,,
"1.13.1.13.01.062.003.5.2.1.07 ,Uang Kelayan Panti ,"" 36,000,000 "","
