Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,
2.05 . 2.05.02 . 01 . 26 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,6255350,,
2.05 . 2.05.02 . 01 . 27 ,Penyediaan Jasa  keuangan ,39240000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,
2.05 . 2.05.02 . 01 . 27 . 5 . 2 . 1 ,Belanja Pegawai ,39240000,,
2.05 . 2.05.02 . 01 . 27 . 5 . 2 . 1 . 01 ,Honorarium PNS ,39240000,,
2.05 . 2.05.02 . 01 . 27 . 5 . 2 . 1 . 01 . 04 ,Honorarium Bendahara/Pengurus Barang ,39240000,,
2.05 . 2.05.02 . 01 . 28 ,"Penyediaan Rapat-Rapat   Konsultasi dan Koordinasi ",100000000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,
2.05 . 2.05.02 . 01 . 28 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,100000000,,
2.05 . 2.05.02 . 01 . 28 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,21150000,,
2.05 . 2.05.02 . 01 . 28 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,21150000,,
2.05 . 2.05.02 . 01 . 28 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,78850000,,
2.05 . 2.05.02 . 01 . 28 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,10000000,,
2.05 . 2.05.02 . 01 . 28 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,68850000,,
2.05 . 2.05.02 . 11 ,Program Peningkatan Sarana dan Prasarana Perkantoran ,773345500,,
2.05 . 2.05.02 . 11 . 01 ,Pengadaan Sarana dan Prasarana Perkantoran ,634354000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 ,Belanja Modal ,634354000,,
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 16 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat-alat Bantu ,2650000,,
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 16 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Pompa ,2650000,Pompa air/Jet Pump (DAK pertanian) Pompa air/jetpump untuk RPH (DAK:2.409.090 DAU:240.910) "1 unit x 2.650.000 00 = 2.650.000 00",
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 17 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Angkutan Darat Bermotor,217299000,,
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 17 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Bermotor Beroda Dua,217299000,Penyediaan Sarana Penyuluhan ( DAK Pertanian) Sepeda motor DAK : 196.363.630 DAU: 19.636.370 "12 unit x 18.000.000 00 = 216.000.000 00" Honor panitia penerima/pemeriksa Ketua "1 OB x 300.000 00 = 300.000 00" Sekretaris "1 OB x 250.000 00 = 250.000 00" Anggota "1 OB x 200.000 00 = 200.000 00" Pejabat pembuat Komitmen "1 orang x 275.000 00 = 275.000 00" Administrasi pengadaan Kertas HVS 70 gr folio "3 rim x 45.000 00 = 135.000 00" Tinta refill printer "1 dos x 36.500 00 = 36.500 00" Fotocopy "400 lembar x 175 00 = 70.000 00" Jilid "5 eksemplar x 6.500 00 = 32.500 00",
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 27 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor ,84459000,,
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 27 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Mesin Ketik ,1365000,Mesin Ketik Manual Standar (14-16) Mesin ketik manual "1 unit x 1.365.000 00 = 1.365.000 00",
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 27 . 04 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Penyimpanan Perlengkapan Kantor,83094000,Filling Kabinet (Penyediaan Sarpras Puskeswan) ( DAK Pertanian) Filling Kabinet (DAK:31.903.630 DAU:3.190.370) "12 unit x 2.924.500 00 = 35.094.000 00" Almari Obat ( penyediaan sarpras Puskeswan) Almari Obat (DAK:43.636.360 DAU:4.363.640) "10 unit x 4.800.000 00 = 48.000.000 00",
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 28 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga ,158942000,,
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 28 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair ,110034000,Meja Kerja ( penyediaan Sarpras Puskeswan) ( DAK Pertanian) Meja Kerja ( DAK: 10.909.090 DAU:1.090.910) "6 unit x 2.000.000 00 = 12.000.000 00" Meja Rapat ( Penyediaan Sarpras Puskeswan) ( DAK pertanian) Meja rapat panjang ( DAK:14.818.180 DAU:1.481.820) "10 unit x 1.630.000 00 = 16.300.000 00" Meja Rapat ( Penyediaan Sarana penyuluhan) ( DAK pertanian) Meja rapat panjang ( DAK:22.227.270 DAU:2.222.730) "15 unit x 1.630.000 00 = 24.450.000 00" Kursi Kerja (Penyediaan Sarana Puskeswan) Kursi Kerja ( DAK:8.236.368 DAU:823.632) "12 unit x 755.000 00 = 9.060.000 00" Kursi Rapat (kursi lipat) ( Penyediaan Sarpras Puskeswan) ( DAK pertanian) Kursi rapat ( DAK:14.318.190 DAU:1.431.810) "30 unit x 525.000 00 = 15.750.000 00" Kursi Rapat (Kursi lipat) ( Penyediaan Sarana penyuluhan) ( DAK pertanian) Kursi Rapat (DAK:28.636.380 DAU:2.863.620) "60 unit x 525.000 00 = 31.500.000 00" Administrasi pengadaan Pejabat Pembuat Komitmen "1 orang x 275.000 00 = 275.000 00" Pejabat pengadaan "1 orang x 250.000 00 = 250.000 00" Pejabat penerima "1 orang x 175.000 00 = 175.000 00" Kertas HVS 70 gr folio "3 rim x 45.000 00 = 135.000 00" Tinta refill printer "1 dos x 36.500 00 = 36.500 00" Fotocopy "400 lembar x 175 00 = 70.000 00" Jilid "5 eksemplar x 6.500 00 = 32.500 00",
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 28 . 04 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pendingin ,48908000,AC2 PK ( Penyediaan Sarpras Penyuluhan) ( DAK Pertanian) AC 2 PK ( DAK:29.909.090 DAU:2.990.910) "4 unit x 8.225.000 00 = 32.900.000 00" AC 1 PK ( Penyediaan Sarpras Penyuluhan) ( DAK Pertanian) AC 1 PK ( DAK :7.100.000 DAU:710.000) "2 unit x 3.905.000 00 = 7.810.000 00" Lemari Es utk Peralatan Klinik ( DAK Pertanian) Lemari Es ( DAK:3.272.727 DAU:327.273) "1 unit x 3.600.000 00 = 3.600.000 00" Kulkas Penyimpan obat dan Vaksin( alat Lab. UPTD Puskeswan) ( DAK Pertanian) Kulkas penyimpan obat ( DAK:2.090.000 DAU:209.000) "1 unit x 2.299.000 00 = 2.299.000 00" Peralatan Lab. UPTD Puskeswan Wilayah Tengah Kulkas penyimpan obat dan vaksin "1 unit x 2.299.000 00 = 2.299.000 00",
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 29 ,Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer ,109035000,,
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 29 . 02 ,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer ,81674000, UPTD PPI Komputer PC "1 unit x 5.325.000 00 = 5.325.000 00" Komputer Notebook sekretariat Laptop + Softwere untuk e-plan dan emonev (perencanaan) "1 unit x 7.225.000 00 = 7.225.000 00" Komputer PC (Peralatan pengolah data dan pelaporan sarpras puskeswan) (DAK Pertanian) Komputer PC (DAK Pertanian : 19.363.636 DAU:1.936.364) "4 unit x 5.325.000 00 = 21.300.000 00" Komputer PC (Penyediaan sarana pendukung UPTD perbibitan) ( DAK Pertanian) Komputer PC ( DAK:9.681.818 DAU:968.182) "2 unit x 5.325.000 00 = 10.650.000 00" Laptop (peralatan pengolah data dan pelaporan sarpras poskeswan) ( DAK Pertanian) Laptop (DAK pertanian : 26.272.727 DAU:2.627.273) "4 unit x 7.225.000 00 = 28.900.000 00" Laptop ( Penyediaan sarana pendukung UPTD Perbibitan) ( DAK pertanian) Laptop (DAK: 6.568.182 DAU:656.818) "1 unit x 7.225.000 00 = 7.225.000 00" Administrasi pengadaan Pejabat pembuat Komitmen "1 orang x 275.000 00 = 275.000 00" Pejabat pengadaan "1 orang x 250.000 00 = 250.000 00" Pejabat penerima "1 orang x 250.000 00 = 250.000 00" Kertas HVS 70 gr folio "3 rim x 45.000 00 = 135.000 00" Tinta refill printer "1 dos x 36.500 00 = 36.500 00" Fotocopy "400 lembar x 175 00 = 70.000 00" Jilid "5 eksemplar x 6.500 00 = 32.500 00",
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 29 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Personal Komputer,27361000,Printer Printer  Laserjet ( Untuk UPTD PPI) "1 unit x 1.500.000 00 = 1.500.000 00" Printer (Peralatan Pengolah data dan pelaporan sarpras puskeswan) DAK Pertanian : 12.956.363 DAU:1.295.637) "4 unit x 3.563.000 00 = 14.252.000 00" Printer (Penyediaan sarana pendukung UPTD Perbibitan ) DAK Pertanian : 9.717.273 DAU:971.727) "3 unit x 3.563.000 00 = 10.689.000 00" UPS UPS ( Untuk UPTD PPI) "1 unit x 920.000 00 = 920.000 00",
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 31 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio ,28000000,,
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 31 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Visual ,28000000,LCD Proyektor ( peralatan pengolah data dan pelaporan penyediaan sarpras puskeswan) ( DAK Pertanian) LCD ( DAK:25.454.544 DAU:2.545.456) "4 unit x 7.000.000 00 = 28.000.000 00",
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 36 ,Belanja Modal Peralatan dan Mesin - Pengadaan Unit-Unit Laboratorium ,33969000,,
2.05 . 2.05.02 . 11 . 01 . 5 . 2 . 3 . 36 . 63 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Laboratorium Lainnya,33969000,Alat-alat laboratorium UPTD Kesehatan Hewan ( DAK Pertanian) Mikroskopik Cahaya (alat lab UPTD Puskeswan)  (DAK:3.181.818 DAU:318.182) "1 buah x 3.500.000 00 = 3.500.000 00" Peralatan Laboratorium Puskeswan (DAK Pertanian) Mikroskop binokuler (DAK:22.727.272 DAU:2.272.728) "1 unit x 25.000.000 00 = 25.000.000 00" Rak Dixin ( DAK Pertanian) Rak Dixin utk RPH (DAK:1.000.000 DAU:100.000) "1 unit x 1.100.000 00 = 1.100.000 00" Peralatan Lab. UPTD Puskeswan Wilayah Utara Mikroskop cahaya "1 unit x 3.500.000 00 = 3.500.000 00" Administrasi pengadaan Pejabat pembuat komitmen "1 org x 250.000 00 = 250.000 00" Pejabat pengadaan "1 OB x 250.000 00 = 250.000 00" Pejabat penerima/pemeriksa "1 OB x 175.000 00 = 175.000 00" Fotocopy "200 lembar x 175 00 = 35.000 00" Jilid sambung biasa tebal "5 buku x 6.500 00 = 32.500 00" Kertas HVS 70 gram folio "2 rim x 45.000 00 = 90.000 00" Tinta refill printer "1 dos x 36.500 00 = 36.500 00",
2.05 . 2.05.02 . 11 . 02 ,Pemeliharaan Sarana dan Prasarana Perkantoran ,138991500,Sumber Dana : ,
,,,Lokasi Kegiatan : Kabupaten Kulon Progo,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,138991500,,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,4634900,,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 . 01 . 03 ,"Belanja Alat Listrik Dan Elektronik (Lampu Pijar  Battery Kering) ",3020400,,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 . 01 . 05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,1614500,,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,47040000,,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 . 03 . 01 ,Belanja Telepon ,12000000,,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 . 03 . 02 ,Belanja Air ,6240000,,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 . 03 . 03 ,Belanja Listrik ,28800000,,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 . 05 ,Belanja Perawatan Kendaraan Bermotor ,87316600,,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 . 05 . 01 ,Belanja Jasa Service ,11380000,,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 . 05 . 02 ,Belanja Penggantian Suku Cadang ,18000000,,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 . 05 . 03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,43720000,,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 . 05 . 04 ,Belanja Jasa KIR ,300000,,
2.05 . 2.05.02 . 11 . 02 . 5 . 2 . 2 . 05 . 05 ,Belanja Pajak Kendaraan Bermotor ,13916600,,
2.05 . 2.05.02 . 12 ,"Program Perencanaan  Pengendalian dan Evaluasi Kinerja ",36499950,,
2.05 . 2.05.02 . 12 . 01 ,Penyusunan Perencanaan Kinerja SKPD ,3500000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,
2.05 . 2.05.02 . 12 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,194000,,
2.05 . 2.05.02 . 12 . 01 . 5 . 2 . 1 . 03 ,Uang Lembur ,194000,,
2.05 . 2.05.02 . 12 . 01 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,194000,,
2.05 . 2.05.02 . 12 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,3306000,,
2.05 . 2.05.02 . 12 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1701950,,
2.05 . 2.05.02 . 12 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1701950,,
2.05 . 2.05.02 . 12 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,138050,,
2.05 . 2.05.02 . 12 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,138050,,
2.05 . 2.05.02 . 12 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1466000,,
2.05 . 2.05.02 . 12 . 01 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,216000,,
2.05 . 2.05.02 . 12 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1250000,,
2.05 . 2.05.02 . 12 . 02 ,Penyusunan Laporan Keuangan ,2999950,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,
2.05 . 2.05.02 . 12 . 02 . 5 . 2 . 1 ,Belanja Pegawai ,512000,,
2.05 . 2.05.02 . 12 . 02 . 5 . 2 . 1 . 03 ,Uang Lembur ,512000,,
2.05 . 2.05.02 . 12 . 02 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,512000,,
2.05 . 2.05.02 . 12 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,2487950,,
2.05 . 2.05.02 . 12 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,379325,,
2.05 . 2.05.02 . 12 . 02 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,379325,,
2.05 . 2.05.02 . 12 . 02 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,962625,,
2.05 . 2.05.02 . 12 . 02 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,962625,,
2.05 . 2.05.02 . 12 . 02 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1146000,,
2.05 . 2.05.02 . 12 . 02 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,396000,,
2.05 . 2.05.02 . 12 . 02 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,750000,,
2.05 . 2.05.02 . 12 . 03 ,"Pengendalian  Evaluasi dan Pelaporan Kinerja ",7000000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,
2.05 . 2.05.02 . 12 . 03 . 5 . 2 . 1 ,Belanja Pegawai ,1552000,,
2.05 . 2.05.02 . 12 . 03 . 5 . 2 . 1 . 03 ,Uang Lembur ,1552000,,
2.05 . 2.05.02 . 12 . 03 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,1552000,,
2.05 . 2.05.02 . 12 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,5448000,,
2.05 . 2.05.02 . 12 . 03 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,996000,,
2.05 . 2.05.02 . 12 . 03 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,996000,,
2.05 . 2.05.02 . 12 . 03 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,724000,,
2.05 . 2.05.02 . 12 . 03 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,724000,,
2.05 . 2.05.02 . 12 . 03 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,3728000,,
2.05 . 2.05.02 . 12 . 03 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,1728000,,
2.05 . 2.05.02 . 12 . 03 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,2000000,,
2.05 . 2.05.02 . 12 . 04 ,"Pengumpulan dan Penyusunan Data Statistik Kelautan  Perikanan dan Peternakan",23000000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,
2.05 . 2.05.02 . 12 . 04 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,23000000,,
2.05 . 2.05.02 . 12 . 04 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,535350,,
2.05 . 2.05.02 . 12 . 04 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,535350,,
2.05 . 2.05.02 . 12 . 04 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,154650,,
2.05 . 2.05.02 . 12 . 04 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,154650,,
2.05 . 2.05.02 . 12 . 04 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1375000,,
2.05 . 2.05.02 . 12 . 04 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1375000,,
2.05 . 2.05.02 . 12 . 04 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,20935000,,
2.05 . 2.05.02 . 12 . 04 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,20935000,,
2.05 . 2.05.02 . 13 ,Program Peningkatan Kapasitas Sumber Daya Manusia SKPD ,22760500,,
2.05 . 2.05.02 . 13 . 01 ,Penilaian Prestasi Kerja Pegawai Fungsional Lewat Angka Kredit ,3000000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,
2.05 . 2.05.02 . 13 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,2380000,,
2.05 . 2.05.02 . 13 . 01 . 5 . 2 . 1 . 01 ,Honorarium PNS ,2380000,,
2.05 . 2.05.02 . 13 . 01 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,2380000,,
2.05 . 2.05.02 . 13 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,620000,,
2.05 . 2.05.02 . 13 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,68550,,
2.05 . 2.05.02 . 13 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,68550,,
2.05 . 2.05.02 . 13 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,51450,,
2.05 . 2.05.02 . 13 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,51450,,
2.05 . 2.05.02 . 13 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,500000,,
2.05 . 2.05.02 . 13 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,500000,,
2.05 . 2.05.02 . 13 . 05 ,Pengadaan Pakaian Dinas Harian (PDH) ,19760500,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,
2.05 . 2.05.02 . 13 . 05 . 5 . 2 . 1 ,Belanja Pegawai ,425000,,
2.05 . 2.05.02 . 13 . 05 . 5 . 2 . 1 . 01 ,Honorarium PNS ,425000,,
2.05 . 2.05.02 . 13 . 05 . 5 . 2 . 1 . 01 . 02 ,Honorarium Tim Pengadaan Barang Dan Jasa ,425000,,
2.05 . 2.05.02 . 13 . 05 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,19335500,,
2.05 . 2.05.02 . 13 . 05 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,85500,,
2.05 . 2.05.02 . 13 . 05 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,85500,,
2.05 . 2.05.02 . 13 . 05 . 5 . 2 . 2 . 12 ,Belanja Pakaian Dinas dan Atributnya ,19250000,,
