Judul,Penjabaran APBD,,,
1.15 . 1.15.01 . 01 . 28 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,2880000,,
1.15 . 1.15.01 . 01 . 28 . 5 . 2 . 2 . 11 . 03 ,Belanja Makanan Dan Minuman Tamu ,2520000,,
1.15 . 1.15.01 . 01 . 28 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,48165000,,
1.15 . 1.15.01 . 01 . 28 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,3920000,,
1.15 . 1.15.01 . 01 . 28 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,44245000,,
1.15 . 1.15.01 . 11 ,Program Peningkatan Sarana dan Prasarana Perkantoran ,152381900,,
1.15 . 1.15.01 . 11 . 01 ,Pengadaan Sarana dan Prasarana Perkantoran ,71100000,Sumber Dana : Lokasi Kegiatan : Dinas Koperasi dan UMKM,
1.15 . 1.15.01 . 11 . 01 . 5 . 2 . 3 ,Belanja Modal ,71100000,,
1.15 . 1.15.01 . 11 . 01 . 5 . 2 . 3 . 17 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Angkutan Darat Bermotor,37900000,,
"1.15 . 1.15.01 . 11 . 01 . 5 . 2 . 3 . 17 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Bermotor Beroda Dua,37900000,Sepeda MotorPengadaan sepeda motor""2 unit x 18.000.00000 = 36.000.00000""Honorarium tim pengadaan barang dan jasaHonor pejabat pengadaan barang dan jasa""2 org/bln x 250.00000 = 500.00000""Honor pejabat penerima hasil pekerjaan""1 org/bln x 250.00000 = 250.00000""Belanja Alat Tulis KantorKertas HVS folio 70 grm	""1 rim x 45.00000 = 45.00000""Tinta refil printer""1 dos x 36.50000 = 36.50000""Stopmap kertas""32 bh x 80000 = 25.60000""Snelhekter kertas""33 bh x 1.10000 = 36.30000""Tipe ex""1 set x 5.10000 = 5.10000""Belanja Penggandaan	Foto copy""580 lbr x 17500 = 101.50000""Belanja makan dan minum rapatMakan dan minum rapat""36 org/kali x 25.00000 = 900.00000"","
1.15 . 1.15.01 . 11 . 01 . 5 . 2 . 3 . 28 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga ,12750000,,
"1.15 . 1.15.01 . 11 . 01 . 5 . 2 . 3 . 28 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair ,4150000,Lemari KayuPengadaan almari arsip kayu""1 buah x 4.150.00000 = 4.150.00000"","
"1.15 . 1.15.01 . 11 . 01 . 5 . 2 . 3 . 28 . 06 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga Lainnya (Home Use),8600000,WirelessPengadaan wireless""1 unit x 8.600.00000 = 8.600.00000"","
1.15 . 1.15.01 . 11 . 01 . 5 . 2 . 3 . 29 ,Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer ,16450000,,
"1.15 . 1.15.01 . 11 . 01 . 5 . 2 . 3 . 29 . 02 ,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer ,12550000,P.C Unit/ Komputer PCKomputer PC""1 unit x 5.325.00000 = 5.325.000Lap TopPengadaan Laptop""1 unit x 7.225.00000 = 7.225.000,"
"1.15 . 1.15.01 . 11 . 01 . 5 . 2 . 3 . 29 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Personal Komputer,3900000,PrinterPengadaan printer laser jet""3 unit x 1.300.00000 = 3.900.00000"","
1.15 . 1.15.01 . 11 . 01 . 5 . 2 . 3 . 31 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio ,4000000,,
"1.15 . 1.15.01 . 11 . 01 . 5 . 2 . 3 . 31 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Visual ,4000000,Belanja pengadaan cameraBelanja pengadaan kamera""1 unit x 4.000.00000 = 4.000.00000"","
1.15 . 1.15.01 . 11 . 02 ,Pemeliharaan Sarana dan Prasarana Perkantoran ,81281900,Sumber Dana : Lokasi Kegiatan : Dinas Koperasi dan UMKM,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,81281900,,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1232100,,
"1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 01 . 03 ,""Belanja Alat Listrik Dan Elektronik (Lampu Pijar Battery Kering) "",413600,,"
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 01 . 05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,818500,,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,16500000,,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 03 . 01 ,Belanja Telepon ,6600000,,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 03 . 02 ,Belanja Air ,2100000,,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 03 . 03 ,Belanja Listrik ,7800000,,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 05 ,Belanja Perawatan Kendaraan Bermotor ,59039800,,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 05 . 01 ,Belanja Jasa Service ,1560000,,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 05 . 02 ,Belanja Penggantian Suku Cadang ,13080000,,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 05 . 03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,41570000,,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 05 . 05 ,Belanja Pajak Kendaraan Bermotor ,2829800,,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 20 ,Belanja Pemeliharaan ,4510000,,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 20 . 07 ,Belanja Pemeliharaan Perlengkapan Kantor ,2000000,,
1.15 . 1.15.01 . 11 . 02 . 5 . 2 . 2 . 20 . 08 ,Belanja Pemeliharaan Peralatan Gedung Kantor ,2510000,,
"1.15 . 1.15.01 . 12 ,""Program Perencanaan Pengendalian dan Evaluasi Kinerja "",12445875,,"
1.15 . 1.15.01 . 12 . 01 ,Penyusunan Perencanaan Kinerja SKPD ,1946000,Sumber Dana : Lokasi Kegiatan : Dinas Koperasi dan UKM,
1.15 . 1.15.01 . 12 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,608000,,
1.15 . 1.15.01 . 12 . 01 . 5 . 2 . 1 . 03 ,Uang Lembur ,608000,,
1.15 . 1.15.01 . 12 . 01 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,608000,,
1.15 . 1.15.01 . 12 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,1338000,,
1.15 . 1.15.01 . 12 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,208500,,
1.15 . 1.15.01 . 12 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,208500,,
1.15 . 1.15.01 . 12 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,481500,,
1.15 . 1.15.01 . 12 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,481500,,
1.15 . 1.15.01 . 12 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,648000,,
1.15 . 1.15.01 . 12 . 01 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,648000,,
1.15 . 1.15.01 . 12 . 02 ,Penyusunan Laporan Keuangan ,3999875,Sumber Dana : Lokasi Kegiatan : Dinas Koperasi dan UMKM,
1.15 . 1.15.01 . 12 . 02 . 5 . 2 . 1 ,Belanja Pegawai ,1485000,,
1.15 . 1.15.01 . 12 . 02 . 5 . 2 . 1 . 03 ,Uang Lembur ,1485000,,
1.15 . 1.15.01 . 12 . 02 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,1485000,,
1.15 . 1.15.01 . 12 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,2514875,,
1.15 . 1.15.01 . 12 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,354550,,
1.15 . 1.15.01 . 12 . 02 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,354550,,
1.15 . 1.15.01 . 12 . 02 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,540325,,
1.15 . 1.15.01 . 12 . 02 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,540325,,
1.15 . 1.15.01 . 12 . 02 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1620000,,
1.15 . 1.15.01 . 12 . 02 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,1620000,,
"1.15 . 1.15.01 . 12 . 03 ,""Pengendalian Evaluasi dan Pelaporan Kinerja "",6500000,Sumber Dana : ,"
1.15 . 1.15.01 . 12 . 03 . 5 . 2 . 1 ,Belanja Pegawai ,1320000,,
1.15 . 1.15.01 . 12 . 03 . 5 . 2 . 1 . 03 ,Uang Lembur ,1320000,,
1.15 . 1.15.01 . 12 . 03 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,1320000,,
1.15 . 1.15.01 . 12 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,5180000,,
1.15 . 1.15.01 . 12 . 03 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,658500,,
1.15 . 1.15.01 . 12 . 03 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,658500,,
1.15 . 1.15.01 . 12 . 03 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,651500,,
1.15 . 1.15.01 . 12 . 03 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,651500,,
1.15 . 1.15.01 . 12 . 03 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,3870000,,
1.15 . 1.15.01 . 12 . 03 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,1440000,,
1.15 . 1.15.01 . 12 . 03 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,2430000,,
1.15 . 1.15.01 . 13 ,Program Peningkatan Kapasitas Sumber Daya Manusia SKPD ,5299000,,
1.15 . 1.15.01 . 13 . 05 ,Pengadaan Pakaian Dinas Harian (PDH) ,5299000,Sumber Dana : Lokasi Kegiatan : Dinas Koperasi dan UMKM,
1.15 . 1.15.01 . 13 . 05 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,5299000,,
1.15 . 1.15.01 . 13 . 05 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,49000,,
1.15 . 1.15.01 . 13 . 05 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,49000,,
1.15 . 1.15.01 . 13 . 05 . 5 . 2 . 2 . 12 ,Belanja Pakaian Dinas dan Atributnya ,5250000,,
1.15 . 1.15.01 . 13 . 05 . 5 . 2 . 2 . 12 . 04 ,Belanja Pakaian Dinas Harian (PDH) ,5250000,,
1.15 . 1.15.01 . 16 ,Program Pengembangan Kewirausahaan dan Keunggulan Kompetitif dan Usaha Kecil Menengah,227289675,,
1.15 . 1.15.01 . 16 . 11 ,Penyelenggaraan promosi produk KUMKM ,52537400,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,52537400,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,278650,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,278650,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,3000000,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,3000000,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,2008750,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,2000000,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,8750,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,25000000,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 07 . 02 ,Belanja Sewa Gedung/Kantor/Tempat ,25000000,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 08 ,Belanja Sewa Sarana Mobilitas ,4000000,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 08 . 01 ,Belanja Sewa Sarana Mobilitas Darat ,4000000,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,550000,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,550000,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,17700000,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,520000,,
1.15 . 1.15.01 . 16 . 11 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,17180000,,
1.15 . 1.15.01 . 16 . 12 ,Peningkatan legalitas produk KUMKM ,24994000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 1 ,Belanja Pegawai ,5115000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 1 . 01 ,Honorarium PNS ,4215000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,4215000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,900000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,900000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,19879000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,759000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,759000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,8125000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,125000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 03 . 21 ,Belanja Pengurusan Hak Kekayaan Intelektual ,8000000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,525000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,525000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,2245000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1125000,,
"1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 11 . 04 ,""Belanja makanan dan minuman pelatihan sosialisasi penyuluhan "",1120000,,"
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,6825000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,1260000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,5565000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,1400000,,
1.15 . 1.15.01 . 16 . 12 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,1400000,,
1.15 . 1.15.01 . 16 . 13 ,Peningkatan dan pengembangan jaringan kerjasama Usaha KUMKM ,16894100,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 1 ,Belanja Pegawai ,6990000,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 1 . 01 ,Honorarium PNS ,4740000,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,4740000,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,2250000,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,2250000,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,9904100,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1294550,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1294550,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,424550,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,424550,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,3000000,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,750000,,
"1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 2 . 11 . 04 ,""Belanja makanan dan minuman pelatihan sosialisasi penyuluhan "",2250000,,"
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,3085000,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,2265000,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,820000,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,2100000,,
1.15 . 1.15.01 . 16 . 13 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,2100000,,
1.15 . 1.15.01 . 16 . 14 ,Pengembangan Usaha KUMKM ,104669000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 1 ,Belanja Pegawai ,13150000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 1 . 01 ,Honorarium PNS ,7150000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,7150000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,6000000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,6000000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,91519000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,3368500,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,3368500,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,625000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,625000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1050000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1050000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,9620000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1940000,,
"1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 11 . 04 ,""Belanja makanan dan minuman pelatihan sosialisasi penyuluhan "",7680000,,"
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,2330000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,800000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,1530000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 23 ,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga ,66125500,,
