Judul,Penjabaran Anggaran Pendapatan Belanja Daerah
Daerah,Kabupaten Bantul
Tahun,2015
Kode Organisasi,1.19
Kolom,4


No. Rekening,Uraian,Jumlah,Keterangan
1.19 . 1.19.03 . 01 . 01 . 5 . 2 ,BELANJA LANGSUNG ,346894118000.00
1.19 . 1.19.03 . 01 ,Program Pelayanan Administrasi Perkantoran ,162146768000.00
1.19 . 1.19.03 . 01 . 01 ,Penyediaan jasa surat menyurat ,345000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Kebutuhan Surat menyurat terpenuhi
,,,Target:  1 Tahun
1.19 . 1.19.03 . 01 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,345000000.00
1.19 . 1.19.03 . 01 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,345000000.00
1.19 . 1.19.03 . 01 . 01 . 5 . 2 . 2 . 01 . 04 ,"Belanja Perangko, Materai Dan Benda Pos ",345000000.00,"Belanja perangko, materai dan benda pos lainnya"
,,,Materai
,,,"500 lbr x 3.000,00 = 1.500.000,00"
,,,Materai
,,,"325 lbr x 6.000,00 = 1.950.000,00"

1.19 . 1.19.03 . 01 . 02 ,"Penyediaan jasa komunikasi, sumber daya air dan listrik ",3480000000.00,Sumber Dana : 
,,,"Keluaran :  Kebutuhan Telepon, Air, Listrik terpenuhi"
,,,Target:  1 Tahun
1.19 . 1.19.03 . 01 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,3480000000.00
1.19 . 1.19.03 . 01 . 02 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,3480000000.00
1.19 . 1.19.03 . 01 . 02 . 5 . 2 . 2 . 03 . 01 ,Belanja Telepon ,1800000000.00,Belanja Telepon
,,,"12 Bln x 1.500.000,00 = 18.000.000,00"
1.19 . 1.19.03 . 01 . 02 . 5 . 2 . 2 . 03 . 02 ,Belanja Air ,360000000.00,Belanja Air
,,,"12 Bln x 300.000,00 = 3.600.000,00"
1.19 . 1.19.03 . 01 . 02 . 5 . 2 . 2 . 03 . 03 ,Belanja Listrik ,720000000.00,Belanja Listrik
,,,"12 Bln x 600.000,00 = 7.200.000,00"
1.19 . 1.19.03 . 01 . 02 . 5 . 2 . 2 . 03 . 20 ,Belanja Sewa Frekuensi dan Pajak Radio ,600000000.00,Belanja Sewa Frekuensi dan Pajak Radio
,,,"1 Ls x 6.000.000,00 = 6.000.000,00"
1.19 . 1.19.03 . 01 . 06 ,Penyediaan jasa pemeliharaan dan perizinan kendaraan ,3190000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Terpenuhinya perpanjangan STNK Kendaraan dinas/operasional
,,,Target:  1 Tahun
1.19 . 1.19.03 . 01 . 06 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,3190000000.00
1.19 . 1.19.03 . 01 . 06 . 5 . 2 . 2 . 05 ,Belanja Perawatan Kendaraan Bermotor ,3190000000.00
1.19 . 1.19.03 . 01 . 06 . 5 . 2 . 2 . 05 . 05 ,Belanja Pajak Kendaraan Bermotor ,3190000000.00,Belanja Pajak Kendaraan Bermotor
,,,Belanja Perpanjangan STNK Roda 2
,,,"18 unit x 300.000,00 = 5.400.000,00"
,,,Belanja Perpanjangan STNK Roda 4
,,,"7 unit x 2.000.000,00 = 14.000.000,00"
,,,Belanja Perpanjangan STNK Roda 6
,,,"5 unit x 2.500.000,00 = 12.500.000,00"

1.19 . 1.19.03 . 01 . 07 ,Penyediaan jasa administrasi keuangan ,2173700000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Kinerja lebih optimal
,,,Target:  100 %
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 1 ,Belanja Pegawai ,2076000000.00
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 1 . 01 ,Honorarium PNS ,2076000000.00
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 1 . 01 . 06 ,Honor Pengelola Keuangan dan Barang ,2076000000.00,Honor Pengelola Keuangan dan Barang
,,,Honor Pengurus Barang Pembantu
,,,"12 Ob x 100.000,00 = 1.200.000,00"
,,,Honor Penyimpan Barang
,,,"12 Ob x 250.000,00 = 3.000.000,00"
,,,Honor Bendahara Pengeluaran
,,,"12 Ob x 190.000,00 = 2.280.000,00"
,,,Honor Bendahara Peneluaran Pembantu
,,,"12 Ob x 75.000,00 = 900.000,00"
,,,Honor Pengurus Barang
,,,"12 Ob x 250.000,00 = 3.000.000,00"
,,,Honor PPK SKPD
,,,"12 Ob x 215.000,00 = 2.580.000,00"
,,,Honor Pembantu PPK SKPD 2 org
,,,"24 Ob x 130.000,00 = 3.120.000,00"
,,,Honor Pembuat Dokumen 3 org
,,,"36 Ob x 130.000,00 = 4.680.000,00"
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,97700000.00
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,20000000.00
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,20000000.00,Belanja Alat Tulis Kantor
,,,"1 Ls x 200.000,00 = 200.000,00"
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,15000000.00
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,15000000.00,Belanja Penggandaan
,,,Belanja Penggandaan / fotocopy
,,,"1,000 Lbr x 150,00 = 150.000,00"
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,62700000.00
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,62700000.00,Belanja Makanan dan Minuman Rapat
,,,"Belanja Snack, makan dan minum 11 0rg x 2 kali"
,,,"22 ok x 28.500,00 = 627.000,00"
1.19 . 1.19.03 . 01 . 08 ,Penyediaan jasa kebersihan kantor ,1720000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Peralatan dan alat kebersihan terpenuhi
,,,Target:  1 Tahun
1.19 . 1.19.03 . 01 . 08 . 5 . 2 . 1 ,Belanja Pegawai ,1440000000.00
1.19 . 1.19.03 . 01 . 08 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,1440000000.00
1.19 . 1.19.03 . 01 . 08 . 5 . 2 . 1 . 02 . 03 ,Honorarium Pegawai Kontrak ,1440000000.00,Belanja Pegawai Kontrak
,,,Belanja Petugas Kebersihan 2 org
,,,"24 Ob x 600.000,00 = 14.400.000,00"
1.19 . 1.19.03 . 01 . 08 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,280000000.00
1.19 . 1.19.03 . 01 . 08 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,280000000.00
1.19 . 1.19.03 . 01 . 08 . 5 . 2 . 2 . 01 . 05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,280000000.00,Belanja Peralatan Kebersihan dan Bahan Pembersih
,,,"1 Ls x 2.800.000,00 = 2.800.000,00"
1.19 . 1.19.03 . 01 . 10 ,Penyediaan alat tulis kantor ,2016768000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Kebutuhan ATK terpenuhi
,,,Target:  1 Tahun
1.19 . 1.19.03 . 01 . 10 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,2016768000.00
1.19 . 1.19.03 . 01 . 10 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,2016768000.00
1.19 . 1.19.03 . 01 . 10 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,2016768000.00,Belanja Alat Tulis Kantor
,,,"1 Ls x 20.167.680,00 = 20.167.680,00"
1.19 . 1.19.03 . 01 . 11 ,Penyediaan barang cetakan dan penggandaan ,1265000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Kebutuhan cetakan dan foto copy terpenuhi
,,,Target:  1 Tahun
1.19 . 1.19.03 . 01 . 11 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,1265000000.00
1.19 . 1.19.03 . 01 . 11 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1265000000.00
1.19 . 1.19.03 . 01 . 11 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,500000000.00
,,,Belanja Cetak
,,,"1 Ls x 5.000.000,00 = 5.000.000,00"
1.19 . 1.19.03 . 01 . 11 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,765000000.00
,,,Belanja Penggandaan
,,,"51,000 Lbr x 150,00 = 7.650.000,00"
1.19 . 1.19.03 . 01 . 12 ,Penyediaan komponen instalasi listrik/penerangan bangunan kantor ,1000000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Kebutuhan alat-alat listrik terpenuhi
,,,Target:  1 Tahun
1.19 . 1.19.03 . 01 . 12 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,1000000000.00
1.19 . 1.19.03 . 01 . 12 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1000000000.00
1.19 . 1.19.03 . 01 . 12 . 5 . 2 . 2 . 01 . 03 ,"Belanja Alat Listrik Dan Elektronik (Lampu Pijar, Battery Kering) ",1000000000.00,Belanja Alat-alat Listrik dan Elektronik
,,,Belanja alat-alat listrik
,,,"1 Ls x 10.000.000,00 = 10.000.000,00"
1.19 . 1.19.03 . 01 . 15 ,Penyediaan bahan bacaan dan peraturan perundang-undangan ,417200000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Kebutuhan bacaan terpenuhi
,,,Target:  1 Tahun
1.19 . 1.19.03 . 01 . 15 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,367200000.00
1.19 . 1.19.03 . 01 . 15 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,367200000.00
1.19 . 1.19.03 . 01 . 15 . 5 . 2 . 2 . 03 . 05 ,Belanja Surat Kabar/Majalah ,367200000.00,Belanja Surat Kabar / Majalah
,,,Belanja Surat Kabar/ Majalah
,,,"12 Bln x 306.000,00 = 3.672.000,00"
1.19 . 1.19.03 . 01 . 15 . 5 . 2 . 3 ,Belanja Modal ,50000000.00
1.19 . 1.19.03 . 01 . 15 . 5 . 2 . 3 . 82 ,Belanja Modal Aset Tetap Lainnya - Pengadaan Buku ,50000000.00
1.19 . 1.19.03 . 01 . 15 . 5 . 2 . 3 . 82 . 01 ,Belanja Modal Aset Tetap Lainnya - Pengadaan Buku Ilmu Pengetahuan Umum,50000000.00,Belanja modal pengadaan buku
,,,"1 ls x 500.000,00 = 500.000,00"

1.19 . 1.19.03 . 01 . 16 ,Penyediaan bahan logistik kantor ,500000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Kabutuhan logistik terpenuhi
,,,Target:  1 Tahun
1.19 . 1.19.03 . 01 . 16 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,500000000.00
1.19 . 1.19.03 . 01 . 16 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,300000000.00
1.19 . 1.19.03 . 01 . 16 . 5 . 2 . 2 . 01 . 08 ,Belanja Pengisian Tabung Gas ,200000000.00,Belanja pengisian tabung gas
,,,"1 ls x 2.000.000,00 = 2.000.000,00"

1.19 . 1.19.03 . 01 . 16 . 5 . 2 . 2 . 01 . 11 ,Belanja Bahan medis (obat-obatan) habis pakai ,100000000.00,Belanja bahan medis (obat-obatan)
,,,Belanja obat-obatan
,,,"1 Ls x 1.000.000,00 = 1.000.000,00"

1.19 . 1.19.03 . 01 . 16 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,200000000.00
1.19 . 1.19.03 . 01 . 16 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,200000000.00,Belanja Makanan dan Minuman Harian Pegawai
,,,"Belanja pengisian air minum (isi ulang), gula, teh, kopi, dll"
,,,"1 Ls x 2.000.000,00 = 2.000.000,00"

1.19 . 1.19.03 . 01 . 17 ,Penyediaan makanan dan minuman ,2505500000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,"Keluaran :  Kebutuhan jamuan rapat, tamu dan operasional terpenuhi"
,,,Target:  1 Tahun
1.19 . 1.19.03 . 01 . 17 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,2505500000.00
1.19 . 1.19.03 . 01 . 17 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,2505500000.00
1.19 . 1.19.03 . 01 . 17 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,570000000.00,"Belanja Makan, Snack dan Minum Rapat"
,,,"200 Ok x 28.500,00 = 5.700.000,00"
1.19 . 1.19.03 . 01 . 17 . 5 . 2 . 2 . 11 . 03 ,Belanja Makanan Dan Minuman Tamu ,997500000.00,"Belanja Makan, Snack dan Minum Tamu"
,,,"350 Ok x 28.500,00 = 9.975.000,00"
1.19 . 1.19.03 . 01 . 17 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman Lembur ,400000000.00,Belanja Makan dan Minum Lembur
,,,"200 Ok x 20.000,00 = 4.000.000,00"
1.19 . 1.19.03 . 01 . 17 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,538000000.00,Belanja Makan dan Minum Pelaksanaan Kegiatan
,,,Belanja Makan dan Minum Pelaksanaan Kegiatan :
,,,Operasional
,,,Upacara - upacara
,,,Pembinaan
,,,"200 Ok x 20.000,00 = 4.000.000,00"
,,,Belanja Penambah Daya Tahan Tubuh (PBK)
,,,"276 Ok x 5.000,00 = 1.380.000,00"
1.19 . 1.19.03 . 01 . 18 ,Rapat-rapat koordinasi dan konsultasi ke luar daerah ,12100000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Luar Propinsi
,,,Keluaran :  Kerjasama lintas daerah/propinsi
,,,Target:  1 Tahun
1.19 . 1.19.03 . 01 . 18 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,12100000000.00
1.19 . 1.19.03 . 01 . 18 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,12100000000.00
1.19 . 1.19.03 . 01 . 18 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,12100000000.00,"Perjalanan Dinas ke DKI, Wil Jabodetabek dan atau Daerah diluar Pulau Jawa"
,,,"Tiket 1 Ls x 15.000.000,00 = 15.000.000,00"
,,,"Gol IV 15 Oh x 1.700.000,00 = 25.500.000,00"
,,,"Gol III 15 Oh x 1.550.000,00 = 23.250.000,00"
,,,"Gol II 10 Oh x 1.425.000,00 = 14.250.000,00"
,,,Perjalanan Dinas di Pulau Jawa (di Luar DIY)
,,,Tiket
,,,"1 Ls x 8.000.000,00 = 8.000.000,00"
,,,"Gol III 20 Oh x 950.000,00 = 19.000.000,00"
,,,"Gol II 20 Oh x 800.000,00 = 16.000.000,00"
1.19 . 1.19.03 . 01 . 19 ,Rapat-rapat koordinasi dan konsultasi dalam daerah ,900000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Dalam Propinsi
,,,Keluaran :  Kerjasama antar daerah se - kab
,,,Target:  1 Tahun
1.19 . 1.19.03 . 01 . 19 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,900000000.00
1.19 . 1.19.03 . 01 . 19 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,900000000.00
1.19 . 1.19.03 . 01 . 19 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,900000000.00,Perjalanan Dinas Dalam Kabupaten
,,,"Gol III 50 Oh x 40.000,00 = 2.000.000,00"
,,,"Gol II 50 Oh x 30.000,00 = 1.500.000,00"
,,,Perjalanan Dinas di propinsi DIY (Luar kabupaten)
,,,"Gol II 50 Oh x 50.000,00 = 2.500.000,00"
,,,"Gol III 50 Oh x 60.000,00 = 3.000.000,00"
1.19 . 1.19.03 . 01 . 22 ,Penyediaan jasa tenaga teknis pendukung/tenaga perkantoran ,130533600000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Kebutuhan tenaga tehnis terpenuhi
,,,Target:  1 Tahun
1.19 . 1.19.03 . 01 . 22 . 5 . 2 . 1 ,Belanja Pegawai ,130533600000.00
1.19 . 1.19.03 . 01 . 22 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,130533600000.00
1.19 . 1.19.03 . 01 . 22 . 5 . 2 . 1 . 02 . 02 ,Honorarium Pegawai Honorer/Tidak Tetap ,6873600000.00,Honorarium Pegawai Honorer / Tidak Tetap
,,,SAR Parangtritis 5 org
,,,"60 Ob x 1.145.600,00 = 68.736.000,00"
1.19 . 1.19.03 . 01 . 22 . 5 . 2 . 1 . 02 . 03 ,Honorarium Pegawai Kontrak ,123660000000.00,Honorarium Tenaga Tehnis Administrasi Keuangan
,,,"12 Ob x 1.350.000,00 = 16.200.000,00"
,,,Honorarium Tenaga Pusdalops
,,,Danru Pusdalops 3 org
,,,"36 Ob x 1.250.000,00 = 45.000.000,00"
,,,Admin Pusdalops 4 org
,,,"48 Ob x 1.050.000,00 = 50.400.000,00"
,,,Tehnis Pusdalops 5 org
,,,"60 Ob x 1.200.000,00 = 72.000.000,00"
,,,Honorarium Tenaga SAR
,,,Petugas SAR 72 org
,,,"864 Ob x 650.000,00 = 561.600.000,00"
,,,Honorarium Tenaga PBK
,,,Danru dan driver 8 org
,,,"96 Ob x 1.250.000,00 = 120.000.000,00"
,,,Anggota PBK 15 org
,,,"180 Ob x 1.200.000,00 = 216.000.000,00"
,,,Anggota PBK 3 org x 11 bln
,,,"33 Ob x 1.200.000,00 = 39.600.000,00"
,,,Honorarium Tenaga TRC
,,,Danru TRC 1 or
,,,"12 Ob x 1.250.000,00 = 15.000.000,00"
,,,Tehnis TRC 6 org
,,,"72 Ob x 1.100.000,00 = 79.200.000,00"
,,,Honorarium Tenaga Penjaga Togor
,,,Tehnis Penjaga Togor 3 org
,,,"36 Ob x 600.000,00 = 21.600.000,00"
1.19 . 1.19.03 . 02 ,Program Peningkatan Sarana dan Prasarana Aparatur ,55850000000.00
1.19 . 1.19.03 . 02 . 24 ,Pemeliharaan rutin/berkala kendaraan dinas/operasional ,13500000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Perawatan kendaraan terpenuhi
,,,Target:  1 Tahun
1.19 . 1.19.03 . 02 . 24 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,13500000000.00
1.19 . 1.19.03 . 02 . 24 . 5 . 2 . 2 . 05 ,Belanja Perawatan Kendaraan Bermotor ,13500000000.00
1.19 . 1.19.03 . 02 . 24 . 5 . 2 . 2 . 05 . 01 ,Belanja Jasa Service ,750000000.00,Belanja jasa service
,,,Belianja jasa service
,,,"1 Ls x 7.500.000,00 = 7.500.000,00"
1.19 . 1.19.03 . 02 . 24 . 5 . 2 . 2 . 05 . 02 ,Belanja Penggantian Suku Cadang ,3500000000.00,Belanja penggantian suku cadang
,,,"1 Ls x 35.000.000,00 = 35.000.000,00"
1.19 . 1.19.03 . 02 . 24 . 5 . 2 . 2 . 05 . 03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,9250000000.00,Belanja Bahan Bakar Minyak/gas dan Pelumas
,,,Belanja Pelumas
,,,"1 Ls x 7.500.000,00 = 7.500.000,00"
,,,Belanja BBM
,,,"1 Ls x 85.000.000,00 = 85.000.000,00"
1.19 . 1.19.03 . 02 . 26 ,Pemeliharaan rutin/berkala perlengkapan gedung kantor ,3000000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Pemeliharaan gedung terpenuhi
,,,Target:  1 Tahun
1.19 . 1.19.03 . 02 . 26 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,3000000000.00
1.19 . 1.19.03 . 02 . 26 . 5 . 2 . 2 . 20 ,Belanja Pemeliharaan ,3000000000.00
1.19 . 1.19.03 . 02 . 26 . 5 . 2 . 2 . 20 . 05 ,Belanja Pemeliharan Gedung dan Bangunan ,3000000000.00,Belanja Pemeliharaan gedung dan bangunan
,,,"1 Ls x 30.000.000,00 = 30.000.000,00"
1.19 . 1.19.03 . 02 . 30 ,Pemeliharaan rutin/berkala peralatan dan perlengkapan kantor ,5000000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Pemeliharaan EWS dan peralatan kantor terjaga
,,,Target:  1 Tahun
1.19 . 1.19.03 . 02 . 30 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,5000000000.00
1.19 . 1.19.03 . 02 . 30 . 5 . 2 . 2 . 20 ,Belanja Pemeliharaan ,5000000000.00
1.19 . 1.19.03 . 02 . 30 . 5 . 2 . 2 . 20 . 04 ,Belanja Pemeliharan Peralatan dan Mesin ,5000000000.00,Belanja Pemeliharaan Peralatan dan Mesin
,,,Belanja pemeliharaan EWS (sku cadang dan service)
,,,"1 Ls x 30.000.000,00 = 30.000.000,00"
,,,"Belanja Pemeliharaan Peralatan dan Perlengkapan Kantor (Komputer, Printer, AC, Mebelair, dll)"
,,,"1 Ls x 20.000.000,00 = 20.000.000,00"
1.19 . 1.19.03 . 02 . 34 ,Pengadaan peralatan dan perlengkapan kantor ,34350000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Kebutuhan sarana dan prasarana terpenuhi
,,,Target:  1 Tahun
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,25100000000.00
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,500000000.00
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 02 . 07 ,Belanja Cindera Mata ,500000000.00,Belanja Cindera Mata
,,,"1 Ls x 5.000.000,00 = 5.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 23 ,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga ,17600000000.00
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 23 . 01 ,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat ,17600000000.00,Belanja Barang yang akan diserahkan kepada masyarakat
,,,Belanja Gergaji mesin
,,,"11 unit x 10.000.000,00 = 110.000.000,00"
,,,"Belanja peralatan bendo, tali, dll"
,,,"1 ls x 66.000.000,00 = 66.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 34 ,Belanja Perlengkapan Penyelamatan ,7000000000.00
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 34 . 01 ,Belanja Perlengkapan TRC ,2000000000.00,Belanja Perlengkapan TRC
,,,"1 Ls x 20.000.000,00 = 20.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 34 . 02 ,Belanja Perlengkapan SAR ,2000000000.00,Belanja Perlengkapan SAR
,,,"1 Ls x 20.000.000,00 = 20.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 34 . 03 ,Belanja Perlengkapan PBK ,3000000000.00,Belanja Perlengkapan PBK
,,,"1 Ls x 30.000.000,00 = 30.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 ,Belanja Modal ,9250000000.00
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 28 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga ,3800000000.00
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 28 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair ,2300000000.00,Belanja Modal Pengadaan Alat Rumah Tangga
,,,Belanja Modal Pengadaan Tangga Aluminium
,,,"1 Bh x 5.000.000,00 = 5.000.000,00"
,,,Rak Partisi
,,,"1 Ls x 15.000.000,00 = 15.000.000,00"
,,,Gordyn
,,,"1 Ls x 3.000.000,00 = 3.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 28 . 04 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pendingin ,1500000000.00,Belanja Modal Pengadaan AC Mobil
,,,Belanja Modal Pengadaan AC Mobil 2 unit
,,,"2 unit x 7.500.000,00 = 15.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 29 ,Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer ,2600000000.00
