Judul,"Rincian Apbd Menurut Urusan Pemerintahan Daerah, Organisasi, Pendapatan, Belanja Dan Pembiayaan",,
1.02 . 1.02.01 . 13 . 01 . 5 . 2 . 1,Belanja Pegawai,17450000.00,
1.02 . 1.02.01 . 13 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,13426150.00,
1.02 . 1.02.01 . 13 . 03,Pendidikan dan Pelatihan Non Formal,12000000.00,
1.02 . 1.02.01 . 13 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,12000000.00,
1.02 . 1.02.01 . 38,Program Pengembangan Kesehatan,34653126350.00,
1.02 . 1.02.01 . 38 . 03,Pelayanan Jaminan Kesehatan,5756791950.00,
1.02 . 1.02.01 . 38 . 03 . 5 . 2 . 1,Belanja Pegawai,14450000.00,
1.02 . 1.02.01 . 38 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,5742341950.00,
1.02 . 1.02.01 . 38 . 07,Pengembangan dan Pengelolaan Sistim Informasi Kesehatan,35345000.00,
1.02 . 1.02.01 . 38 . 07 . 5 . 2 . 1,Belanja Pegawai,5198000.00,
1.02 . 1.02.01 . 38 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,13082350.00,
1.02 . 1.02.01 . 38 . 07 . 5 . 2 . 3,Belanja Modal,17064650.00,
1.02 . 1.02.01 . 38 . 08,"Monitoring, Evaluasi dan Pengelolaan Program Jaminan Kesehatan",35432000.00,
1.02 . 1.02.01 . 38 . 08 . 5 . 2 . 1,Belanja Pegawai,8585000.00,
1.02 . 1.02.01 . 38 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,26847000.00,
1.02 . 1.02.01 . 38 . 09,Manajemen Mutu Pelayanan Kesehatan,387473950.00,
1.02 . 1.02.01 . 38 . 09 . 5 . 2 . 1,Belanja Pegawai,12350000.00,
1.02 . 1.02.01 . 38 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,375123950.00,
1.02 . 1.02.01 . 38 . 10,Pelayanan Kesehatan di Sarana Pelayanan Kesehatan Pemerintah,28438083450.00,
1.02 . 1.02.01 . 38 . 10 . 5 . 2 . 1,Belanja Pegawai,4208859188.00,
1.02 . 1.02.01 . 38 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,21930942482.00,
1.02 . 1.02.01 . 38 . 10 . 5 . 2 . 3,Belanja Modal,2298281780.00,
1.02 . 1.02.01 . 44,Program Pemberantasan Penyakit dan Penyehatan Lingkungan,4988979423.00,
1.02 . 1.02.01 . 44 . 01,Pencegahan dan Penanggulangan Penyakit Menular Langsung,284885000.00,
1.02 . 1.02.01 . 44 . 01 . 5 . 2 . 1,Belanja Pegawai,40510000.00,
1.02 . 1.02.01 . 44 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,244375000.00,
1.02 . 1.02.01 . 44 . 02,Pencegahan dan Penanggulangan Penyakit Menular Melalui Binatang,675628000.00,
1.02 . 1.02.01 . 44 . 02 . 5 . 2 . 1,Belanja Pegawai,105330000.00,
1.02 . 1.02.01 . 44 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,570298000.00,
1.02 . 1.02.01 . 44 . 03,Penyehatan Sanitasi Lingkungan,2593847373.00,
1.02 . 1.02.01 . 44 . 03 . 5 . 2 . 1,Belanja Pegawai,95952000.00,
1.02 . 1.02.01 . 44 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,2173431378.00,
1.02 . 1.02.01 . 44 . 03 . 5 . 2 . 3,Belanja Modal,324463995.00,
1.02 . 1.02.01 . 44 . 04,Surveilans Epidemiologi dan Penanggulangan Wabah,1076059850.00,
1.02 . 1.02.01 . 44 . 04 . 5 . 2 . 1,Belanja Pegawai,208440000.00,
1.02 . 1.02.01 . 44 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,347819850.00,
1.02 . 1.02.01 . 44 . 04 . 5 . 2 . 3,Belanja Modal,519800000.00,
1.02 . 1.02.01 . 44 . 05,"Imunisasi  Bayi, Balita, Anak Sekolah dan Ibu Hamil",273417200.00,
1.02 . 1.02.01 . 44 . 05 . 5 . 2 . 1,Belanja Pegawai,41100000.00,
1.02 . 1.02.01 . 44 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,232317200.00,
1.02 . 1.02.01 . 44 . 06,Pengembangan Kawasan Sehat,85142000.00,
1.02 . 1.02.01 . 44 . 06 . 5 . 2 . 1,Belanja Pegawai,9365000.00,
1.02 . 1.02.01 . 44 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,75777000.00,
1.02 . 1.02.01 . 45,Program Pelayanan Kesehatan Masyarakat,5552557070.00,
1.02 . 1.02.01 . 45 . 01,Penanggulangan Permasalahan Gizi Masyarakat,1092979900.00,
1.02 . 1.02.01 . 45 . 01 . 5 . 2 . 1,Belanja Pegawai,280110000.00,
1.02 . 1.02.01 . 45 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,812869900.00,
1.02 . 1.02.01 . 45 . 03,Pelayanan Kesehatan Keluarga,92645000.00,
1.02 . 1.02.01 . 45 . 03 . 5 . 2 . 1,Belanja Pegawai,16000000.00,
1.02 . 1.02.01 . 45 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,76645000.00,
1.02 . 1.02.01 . 45 . 04,Peningkatan Perilaku Hidup Bersih dan Sehat (PHBS),374761000.00,
1.02 . 1.02.01 . 45 . 04 . 5 . 2 . 1,Belanja Pegawai,194070000.00,
1.02 . 1.02.01 . 45 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,180691000.00,
1.02 . 1.02.01 . 45 . 05,Pemberdayaan Upaya Kesehatan Berbasis Masyarakat (UKBM),620428000.00,
1.02 . 1.02.01 . 45 . 05 . 5 . 2 . 1,Belanja Pegawai,329090000.00,
1.02 . 1.02.01 . 45 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,291338000.00,
1.02 . 1.02.01 . 45 . 06,Keselamatan Ibu dan Bayi,3371743170.00,
1.02 . 1.02.01 . 45 . 06 . 5 . 2 . 1,Belanja Pegawai,244230000.00,
1.02 . 1.02.01 . 45 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,3127513170.00,
1.02 . 1.02.01 . 46,Program Pelayanan Medis,17819393955.00,
1.02 . 1.02.01 . 46 . 01,Pengadaan Obat dan Perbekalan Kesehatan,1744701650.00,
1.02 . 1.02.01 . 46 . 01 . 5 . 2 . 1,Belanja Pegawai,19561000.00,
1.02 . 1.02.01 . 46 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,1647140650.00,
1.02 . 1.02.01 . 46 . 01 . 5 . 2 . 3,Belanja Modal,78000000.00,
1.02 . 1.02.01 . 46 . 06,Kesiapsiagaan Penanggulangan Masalah Kesehatan dan Bencana,71850000.00,
1.02 . 1.02.01 . 46 . 06 . 5 . 2 . 1,Belanja Pegawai,3390000.00,
1.02 . 1.02.01 . 46 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,39530575.00,
1.02 . 1.02.01 . 46 . 06 . 5 . 2 . 3,Belanja Modal,28929425.00,
1.02 . 1.02.01 . 46 . 07,Pelayanan Kesehatan Jiwa dan Indera,33034755.00,
1.02 . 1.02.01 . 46 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,33034755.00,
1.02 . 1.02.01 . 46 . 08,Pelayanan Laboratorium Kesehatan,72554000.00,
1.02 . 1.02.01 . 46 . 08 . 5 . 2 . 1,Belanja Pegawai,25393900.00,
1.02 . 1.02.01 . 46 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,46615100.00,
1.02 . 1.02.01 . 46 . 08 . 5 . 2 . 3,Belanja Modal,545000.00,
1.02 . 1.02.01 . 46 . 10,Perijinan dan Pemantauan Pelayanan Kesehatan Swasta,35211650.00,
1.02 . 1.02.01 . 46 . 10 . 5 . 2 . 1,Belanja Pegawai,9740000.00,
1.02 . 1.02.01 . 46 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,25471650.00,
1.02 . 1.02.01 . 46 . 13,Penyediaan Fasilitas Perawatan Kesehatan bagi Penderita Akibat Asap Rokok,1249999550.00,
1.02 . 1.02.01 . 46 . 13 . 5 . 2 . 1,Belanja Pegawai,10922000.00,
1.02 . 1.02.01 . 46 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,12464750.00,
1.02 . 1.02.01 . 46 . 13 . 5 . 2 . 3,Belanja Modal,1226612800.00,
1.02 . 1.02.01 . 46 . 14,Sertifikasi dan Pemantauan Industri/Pengelola Makanan,40161650.00,
1.02 . 1.02.01 . 46 . 14 . 5 . 2 . 1,Belanja Pegawai,4620000.00,
1.02 . 1.02.01 . 46 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,35541650.00,
1.02 . 1.02.01 . 46 . 15,"Pengadaan, Perbaikan dan Peningkatan Sarana Pelayanan Kesehatan",14528130700.00,
1.02 . 1.02.01 . 46 . 15 . 5 . 2 . 1,Belanja Pegawai,16374000.00,
1.02 . 1.02.01 . 46 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,39354700.00,
1.02 . 1.02.01 . 46 . 15 . 5 . 2 . 3,Belanja Modal,14472402000.00,
1.02 . 1.02.01 . 46 . 16,"Pengelolaan Obat, Perbekalan Kesehatan dan Pemantauan Peredaran OMKABA",43750000.00,
1.02 . 1.02.01 . 46 . 16 . 5 . 2 . 1,Belanja Pegawai,14764000.00,
1.02 . 1.02.01 . 46 . 16 . 5 . 2 . 2,Belanja Barang dan Jasa,28986000.00,
,SURPLUS / (DEFISIT),-80330503926.00,
