Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,
2.01 . 2.01.01 . 01 . 27 . 5 . 2 . 1 . 01 . 04 ,Honorarium Bendahara/Pengurus Barang ,"24000000,00",,,,
2.01 . 2.01.01 . 01 . 28 ,"""Penyediaan Rapat-Rapat   Konsultasi dan Koordinasi ""","78000000,00",Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
2.01 . 2.01.01 . 01 . 28 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"78000000,00",,,,
2.01 . 2.01.01 . 01 . 28 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"17500000,00",,,,
2.01 . 2.01.01 . 01 . 28 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"17500000,00",,,,
2.01 . 2.01.01 . 01 . 28 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,"60500000,00",,,,
2.01 . 2.01.01 . 01 . 28 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,"14000000,00",,,,
2.01 . 2.01.01 . 01 . 28 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,"46500000,00",,,,
2.01 . 2.01.01 . 11 ,Program Peningkatan Sarana dan Prasarana Perkantoran ,"738774950,00",,,,
2.01 . 2.01.01 . 11 . 01 ,Pengadaan Sarana dan Prasarana Perkantoran ,"608307400,00",Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 ,Belanja Modal ,"608307400,00",,,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 17 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Angkutan Darat Bermotor,"340146500,00",,,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 17 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Bermotor Beroda Dua,"265146500,00","Sepeda Motor Sepeda Motor Sport (DAK Kehutanan) (DAK: 62.727.273 DAU:6.272.727) ""3 unit x 23.000.000 00 = 69.000.000 00"" Sepeda motor ( DAK Pertanian) (DAK:174.545.455 DAU:17.454.545) ""12 unit x 16.000.000 00 = 192.000.000 00"" Administrasi Pengadaan ( AP DAK Kehutanan) Honor Pejabat Pengadaan ""1 orang/bulan x 250.000 00 = 250.000 00"" Honor Pejabat Pemeriksa/Penerima ""1 orang/bulan x 175.000 00 = 175.000 00"" Kertas HVS folio 70 gram ""1 rim x 45.000 00 = 45.000 00"" Foto copy ""200 lembar x 175 00 = 35.000 00"" Administrasi pengadaan (AP DAK Pertanian) Pejabat pengadaan ""1 orang/bulan x 250.000 00 = 250.000 00"" Pejabat pemeriksa/penerima ""1 orang/bulan x 175.000 00 = 175.000 00"" Kertas HVS 70 gr folio ""3 rim x 45.000 00 = 135.000 00"" Fotocopy ""500 lembar x 175 00 = 87.500 00"" Stopmap kertas ""5 buah x 800 00 = 4.000 00"" Rapat koordinasi ""10 orang x 25.000 00 = 250.000 00"" Perjalanan dinas dalam daerah (AP DAK Pertanian) Gol IV ""6 op x 45.000 00 = 270.000 00"" Gol III ""15 op x 40.000 00 = 600.000 00"" Gol II ""8 op x 35.000 00 = 280.000 00"" Perjalanan Dinas luar daerah (dalam propinsi) AP DAK Pertanian Gol IV ""6 op x 90.000 00 = 540.000 00"" Gol III ""7 op x 80.000 00 = 560.000 00"" Gol II ""7 op x 70.000 00 = 490.000 00""",,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 17 . 06 ,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Bermotor Beroda Tiga,"75000000,00","Kendaraaan Bermotor Beroda Tiga Sepeda motor roda 3 (DAK Pertanian) DAK:68.181.818 DAU:6.818.182 ""3 unit x 25.000.000 00 = 75.000.000 00""",,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 27 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor ,"8897500,00",,,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 27 . 04 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Penyimpanan Perlengkapan Kantor,"6897500,00","Brankas Brankas (DAK Pertanian) DAK:5.454.545 DAU:545.455 ""1 unit x 6.000.000 00 = 6.000.000 00"" Adm. Pengadaan (AP DAK pertanian) Pejabat pengadaan ""1 orang/bulan x 250.000 00 = 250.000 00"" Pejabat pemeriksa/penerima ""1 orang/bulan x 175.000 00 = 175.000 00"" Kertas HVS 70 gr folio ""3 rim x 45.000 00 = 135.000 00"" Fotocopy ""500 lembar x 175 00 = 87.500 00"" Rapat koordinasi ""10 orang x 25.000 00 = 250.000 00""",,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 27 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor Lainnya ,"2000000,00","White Board Panel board/Whiteboard (DAK Pertanian) (DAK:1.818.182 DAU:181.818) ""1 unit x 2.000.000 00 = 2.000.000 00""",,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 28 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga ,"152887500,00",,,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 28 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair ,"145887500,00","Rak Buku Rak buku (DAK Pertanian) (DAK:19.090.910 DAU:1.909.090) ""6 unit x 3.500.000 00 = 21.000.000 00"" Meja Rapat Meja Rapat (DAK Pertanian) (DAK:36.000.000 DAU:3.600.000) ""20 unit x 1.980.000 00 = 39.600.000 00"" Meja Biro Meja kerja biro (besar) (DAK Pertanian) (DAK:20.454.545 DAU:2.045.455) ""6 unit x 3.750.000 00 = 22.500.000 00"" Kursi Rapat Kursi rapat (DAK Pertanian) DAK:43.272.727 DAU:4.327.273) ""68 unit x 700.000 00 = 47.600.000 00"" Kursi Kerja Kursi Kerja (DAK Pertanian) DAK:10.500.000 DAU:1.050.000) ""6 unit x 1.925.000 00 = 11.550.000 00"" Administrasi pengadaan (AP DAK pertanian) Pejabat pengadaan ""1 orang/bulan x 250.000 00 = 250.000 00"" Pejabat pemeriksa/penerima ""1 orang/bulan x 175.000 00 = 175.000 00"" Kertas HVS 70 gr folio ""3 rim x 45.000 00 = 135.000 00"" Fotocopy ""500 lembar x 175 00 = 87.500 00"" Rapat koordinasi ""10 orang x 25.000 00 = 250.000 00"" Perjalanan dinas dalam daerah (AP DAK Pertanian) Gol IV ""9 op x 45.000 00 = 405.000 00"" Gol III ""22 op x 40.000 00 = 880.000 00"" Gol II ""7 op x 35.000 00 = 245.000 00"" Perjalanan dinas luar daerah dalam propinsi (AP DAK Pertanian) Gol IV ""6 op x 90.000 00 = 540.000 00"" Gol III ""4 op x 80.000 00 = 320.000 00"" Gol II ""5 op x 70.000 00 = 350.000 00""",,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 28 . 06 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga Lainnya (Home Use),"7000000,00","Sound System Sound System (DAK Pertanian) DAK:6.363.636 DAU:636.364) ""1 unit x 7.000.000 00 = 7.000.000 00""",,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 29 ,Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer ,"58381000,00",,,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 29 . 02 ,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer ,"48725000,00","P.C Unit/ Komputer PC Komputer (PC) (Keuangan) ""1 unit x 5.325.000 00 = 5.325.000 00"" PC (DAK Pertanian) DAK:19.363.636 DAU:1.936.364 ""4 unit x 5.325.000 00 = 21.300.000 00"" Lap Top Laptop (Perencanaan) ""1 unit x 7.225.000 00 = 7.225.000 00"" Laptop (DAK Pertanian) (DAK:13.136.364 DAU:1.313.636) ""2 unit x 7.225.000 00 = 14.450.000 00"" Administrasi Pengadaan Honor Pejabat Pengadaan ""1 orang/bulan x 250.000 00 = 250.000 00"" Honor Pejabat Pemeriksa/Penerima ""1 orang/bulan x 175.000 00 = 175.000 00""",,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 29 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Personal Komputer,"9656000,00","Printer Printer (DAK Pertanian) (DAK:3.636.364 DAU :363.636) ""4 unit x 1.000.000 00 = 4.000.000 00"" ""2 unit x 1.000.000 00 = 2.000.000 00"" Administrasi pengadaan (AP DAK Pertanian) Pejabat pengadaan ""1 orang/bulan x 250.000 00 = 250.000 00"" Pejabat pemeriksa/penerima ""1 orang/bulan x 175.000 00 = 175.000 00"" Kertas HVS 70 gr folio ""3 rim x 45.000 00 = 135.000 00"" Fotocopy ""520 lembar x 175 00 = 91.000 00"" Rapat koordinasi ""10 orang x 25.000 00 = 250.000 00"" Perjalanan Dinas dalam daerah (AP DAK Pertanian) Gol IV ""8 op x 45.000 00 = 360.000 00"" Gol III ""10 op x 40.000 00 = 400.000 00"" Gol II ""7 op x 35.000 00 = 245.000 00"" Perjalanan dinas luar daerah (dalam propinsi) (DAK Pertanian) Gol IV ""5 op x 90.000 00 = 450.000 00"" Gol III ""11 op x 80.000 00 = 880.000 00"" Gol II ""6 op x 70.000 00 = 420.000 00""",,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 31 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio ,"47994900,00",,,,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3 . 31 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Visual ,"47994900,00","Camera ""Kamera Digital (Sarpras Pengamanan Hutan  DAK Kehutanan)"" DAK : 2.408.545 DAU : 240.855 ""1 unit x 2.649.400 00 = 2.649.400 00"" Kamera Digital DSLR (DAK Pertanian) DAK:14.402.727 DAU:1.440.273 ""1 unit x 15.843.000 00 = 15.843.000 00"" LCD Proyektor LCD (DAK pertanian) DAK: 19.090.910 DAU:1.909.090 ""2 unit x 10.500.000 00 = 21.000.000 00"" LED (DAK Pertanian) LED (DAK Pertanian) (DAK:3.636.364 DAU:363.636 ""1 unit x 4.000.000 00 = 4.000.000 00"" Layar LCD (DAK Pertanian) Layar LCD (DAK Pertanian) ( DAK:909.091 DAU:90.909) ""1 unit x 1.000.000 00 = 1.000.000 00"" Administrasi pengadaan Pejabat pengadaan ""1 orang/bulan x 250.000 00 = 250.000 00"" Pejabat penerima ""1 orang/bulan x 175.000 00 = 175.000 00"" Kertas HVS 70 gram ""2 rim x 45.000 00 = 90.000 00"" Fotocopy ""500 lembar x 175 00 = 87.500 00"" Rapat koordinasi ""10 orang x 25.000 00 = 250.000 00"" Perjalanan dinas dalam daerah (AP DAK Pertanian) Gol IV ""8 op x 45.000 00 = 360.000 00"" Gol III ""14 op x 40.000 00 = 560.000 00"" Gol II ""8 op x 35.000 00 = 280.000 00"" Perjalanan dinas luar daerah (AP DAK pertanian) Gol IV ""6 op x 90.000 00 = 540.000 00"" Gol III ""7 op x 80.000 00 = 560.000 00"" Gol II ""5 op x 70.000 00 = 350.000 00""",,,
2.01 . 2.01.01 . 11 . 02 ,Pemeliharaan Sarana dan Prasarana Perkantoran ,"130467550,00",Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 1 ,Belanja Pegawai ,"6120000,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,"6120000,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,"6120000,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"124347550,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"4141050,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 01 . 03 ,"""Belanja Alat Listrik Dan Elektronik (Lampu Pijar  Battery Kering) ""","1957300,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 01 . 05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,"2183750,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,"2144970,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 02 . 01 ,Belanja Bahan Baku Bangunan ,"2144970,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,"33000000,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 03 . 01 ,Belanja Telepon ,"15600000,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 03 . 02 ,Belanja Air ,"1800000,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 03 . 03 ,Belanja Listrik ,"15600000,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 05 ,Belanja Perawatan Kendaraan Bermotor ,"73511530,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 05 . 01 ,Belanja Jasa Service ,"5655000,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 05 . 02 ,Belanja Penggantian Suku Cadang ,"22165000,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 05 . 03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,"35015030,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 05 . 04 ,Belanja Jasa KIR ,"150000,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 05 . 05 ,Belanja Pajak Kendaraan Bermotor ,"10526500,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 20 ,Belanja Pemeliharaan ,"11550000,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 20 . 07 ,Belanja Pemeliharaan Perlengkapan Kantor ,"6700000,00",,,,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2 . 20 . 08 ,Belanja Pemeliharaan Peralatan Gedung Kantor ,"4850000,00",,,,
2.01 . 2.01.01 . 12 ,"""Program Perencanaan  Pengendalian dan Evaluasi Kinerja ""","38500000,00",,,,
2.01 . 2.01.01 . 12 . 01 ,Penyusunan Perencanaan Kinerja SKPD ,"2500000,00",Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
2.01 . 2.01.01 . 12 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,"368000,00",,,,
2.01 . 2.01.01 . 12 . 01 . 5 . 2 . 1 . 03 ,Uang Lembur ,"368000,00",,,,
2.01 . 2.01.01 . 12 . 01 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,"368000,00",,,,
2.01 . 2.01.01 . 12 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"2132000,00",,,,
2.01 . 2.01.01 . 12 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"539500,00",,,,
2.01 . 2.01.01 . 12 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"539500,00",,,,
2.01 . 2.01.01 . 12 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"107500,00",,,,
2.01 . 2.01.01 . 12 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"107500,00",,,,
2.01 . 2.01.01 . 12 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"1485000,00",,,,
2.01 . 2.01.01 . 12 . 01 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,"360000,00",,,,
2.01 . 2.01.01 . 12 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"1125000,00",,,,
2.01 . 2.01.01 . 12 . 02 ,Penyusunan Laporan Keuangan ,"5000000,00",Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
2.01 . 2.01.01 . 12 . 02 . 5 . 2 . 1 ,Belanja Pegawai ,"1664000,00",,,,
2.01 . 2.01.01 . 12 . 02 . 5 . 2 . 1 . 03 ,Uang Lembur ,"1664000,00",,,,
2.01 . 2.01.01 . 12 . 02 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,"1664000,00",,,,
2.01 . 2.01.01 . 12 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"3336000,00",,,,
2.01 . 2.01.01 . 12 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"567500,00",,,,
2.01 . 2.01.01 . 12 . 02 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"567500,00",,,,
2.01 . 2.01.01 . 12 . 02 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"252500,00",,,,
2.01 . 2.01.01 . 12 . 02 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"252500,00",,,,
2.01 . 2.01.01 . 12 . 02 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"2516000,00",,,,
2.01 . 2.01.01 . 12 . 02 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,"2016000,00",,,,
2.01 . 2.01.01 . 12 . 02 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"500000,00",,,,
2.01 . 2.01.01 . 12 . 03 ,"""Pengendalian  Evaluasi dan Pelaporan Kinerja ""","13500000,00",Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 1 ,Belanja Pegawai ,"1060000,00",,,,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 1 . 03 ,Uang Lembur ,"1060000,00",,,,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,"1060000,00",,,,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"12440000,00",,,,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"1555750,00",,,,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"1555750,00",,,,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"2011250,00",,,,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"2011250,00",,,,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"5098000,00",,,,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,"1098000,00",,,,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"4000000,00",,,,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,"3775000,00",,,,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,"3775000,00",,,,
2.01 . 2.01.01 . 12 . 04 ,Pengumpulan dan Penyusunan Data Statistik Pertanian dan Kehutanan ,"17500000,00",Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 1 ,Belanja Pegawai ,"368000,00",,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 1 . 03 ,Uang Lembur ,"368000,00",,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,"368000,00",,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"17132000,00",,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"6135750,00",,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"6135750,00",,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"161250,00",,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"161250,00",,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"2560000,00",,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,"360000,00",,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"2200000,00",,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,"8275000,00",,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,"5595000,00",,,,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,"2680000,00",,,,
2.01 . 2.01.01 . 13 ,Program Peningkatan Kapasitas Sumber Daya Manusia SKPD ,"21135375,00",,,,
2.01 . 2.01.01 . 13 . 01 ,Penilaian Prestasi Kerja Pegawai Fungsional Lewat Angka Kredit ,"2749875,00",Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
2.01 . 2.01.01 . 13 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,"1310000,00",,,,
