Judul,"Rincian Apbd Menurut Urusan Pemerintahan Daerah, Organisasi, Pendapatan, Belanja Dan Pembiayaan",,
1.21 . 1.21.01 . 25 . 03,Pengembangan Lembaga Distribusi Pangan Masyarakat (LDPM),19342800.00,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 1,Belanja Pegawai,3450000.00,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,15892800.00,
1.21 . 1.21.01 . 25 . 10,Pengembangan Kawasan Rumah Pangan Lestari,60000000.00,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 1,Belanja Pegawai,5825000.00,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,54175000.00,
1.21 . 1.21.01 . 25 . 11,Pemberdayaan Desa Rawan Pangan,49296200.00,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 1,Belanja Pegawai,11190000.00,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,38106200.00,
1.21 . 1.21.01 . 25 . 12,Pengawasan dan Pembinaan Keamanan Pangan Segar,24889000.00,
1.21 . 1.21.01 . 25 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,24889000.00,
1.21 . 1.21.01 . 26,Program Pemberdayaan Penyuluhan,320600825.00,
1.21 . 1.21.01 . 26 . 01,Pemberdayaan Kelembagaan Tani,118026950.00,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 1,Belanja Pegawai,5400000.00,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,112626950.00,
1.21 . 1.21.01 . 26 . 02,Lomba Ketahanan Pangan dan Penyuluhan,59013000.00,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 1,Belanja Pegawai,6145000.00,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,52868000.00,
1.21 . 1.21.01 . 26 . 03,Peningkatan Kapasitas dan Penilaian Kinerja Penyuluh,67274400.00,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 1,Belanja Pegawai,6080000.00,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,61194400.00,
1.21 . 1.21.01 . 26 . 04,Pengkajian dan Pengembangan Teknologi Tepat Guna,15999975.00,
1.21 . 1.21.01 . 26 . 04 . 5 . 2 . 1,Belanja Pegawai,5140000.00,
1.21 . 1.21.01 . 26 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,10859975.00,
1.21 . 1.21.01 . 26 . 05,Informasi dan Publikasi Pertanian Perikanan dan Kehutanan,60286500.00,
1.21 . 1.21.01 . 26 . 05 . 5 . 2 . 1,Belanja Pegawai,8800000.00,
1.21 . 1.21.01 . 26 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,51486500.00,
,SURPLUS / (DEFISIT),-8771484515.00,
