Judul,"Rincian Apbd Menurut Urusan Pemerintahan Daerah, Organisasi, Pendapatan, Belanja Dan Pembiayaan",,
1.10 . 1.10.01 . 15 . 15 . 5 . 2 . 1,Belanja Pegawai,17735000.00,
1.10 . 1.10.01 . 15 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,113153400.00,
1.10 . 1.10.01 . 15 . 15 . 5 . 2 . 3,Belanja Modal,231359000.00,
1.10 . 1.10.01 . 15 . 17,Pengelolaan Dokumen Kependudukan dan Akta Catatan Sipil,28179000.00,
1.10 . 1.10.01 . 15 . 17 . 5 . 2 . 1,Belanja Pegawai,8490000.00,
1.10 . 1.10.01 . 15 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,19689000.00,
1.10 . 1.10.01 . 15 . 23,Pencatatan dan Penerbitan Akta Kelahiran dan Kematian,112285500.00,
1.10 . 1.10.01 . 15 . 23 . 5 . 2 . 1,Belanja Pegawai,34110000.00,
1.10 . 1.10.01 . 15 . 23 . 5 . 2 . 2,Belanja Barang dan Jasa,78175500.00,
1.10 . 1.10.01 . 15 . 24,Pencatatan dan Penerbitan Akta Catatan Sipil,16449000.00,
1.10 . 1.10.01 . 15 . 24 . 5 . 2 . 1,Belanja Pegawai,8610000.00,
1.10 . 1.10.01 . 15 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,7839000.00,
1.10 . 1.10.01 . 15 . 25,"Pencatatan dan Penerbitan Akta Perkawinan, Perceraian, Pengakuan dan Pengesahan Anak",81003400.00,
1.10 . 1.10.01 . 15 . 25 . 5 . 2 . 1,Belanja Pegawai,16160000.00,
1.10 . 1.10.01 . 15 . 25 . 5 . 2 . 2,Belanja Barang dan Jasa,64843400.00,
1.10 . 1.10.01 . 15 . 28,Penyusunan Profil / Proyeksi Kependudukan,42263000.00,
1.10 . 1.10.01 . 15 . 28 . 5 . 2 . 1,Belanja Pegawai,9500000.00,
1.10 . 1.10.01 . 15 . 28 . 5 . 2 . 2,Belanja Barang dan Jasa,32763000.00,
1.10 . 1.10.01 . 15 . 29,Sosialisasi Kebijakan Kependudukan dan Catatan Sipil,67556000.00,
1.10 . 1.10.01 . 15 . 29 . 5 . 2 . 1,Belanja Pegawai,35775000.00,
1.10 . 1.10.01 . 15 . 29 . 5 . 2 . 2,Belanja Barang dan Jasa,31781000.00,
,SURPLUS / (DEFISIT),-4964899204.00,
