Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,800000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,800000,"   ATKHVS dll1 ls x 800.000,00 = 800.000,00"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,600000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,600000,"   Fotocopy dan Penggandaan
Dokumen dan laporan1 ls x 600.000,00 = 600.000,00"
1.20 . 1.20.03 . 01 . 08,Penyediaan jasa kebersihan kantor,1500000,"Sumber Dana : 
Lokasi Kegiatan : Bagian Organisasi Setda
Keluaran :  kebersihan dan kenyamanan
Target     :  2 Ruang"
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,1500000,
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1500000,
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 2 . 01 . 05,Belanja Peralatan Kebersihan Dan Bahan Pembersih,1500000,"   Peralatan kebersihan dan bahan pembersihAlat pel dll1 ls x 1.500.000,00 = 1.500.000,00"
1.20 . 1.20.03 . 01 . 10,Penyediaan alat tulis kantor,11900000,"Sumber Dana :
 Lokasi Kegiatan : Bagian Organisasi Setda
Keluaran :  Terlaksanaan Pelaksanaan Kegiatan  kantor
Target     :  12 bulan"
1.20 . 1.20.03 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,11900000,
1.20 . 1.20.03 . 01 . 10 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,11900000,
1.20 . 1.20.03 . 01 . 10 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,11900000,"   Alat Tulis KantorHVS dll1 ls x 11.900.000,00 = 11.900.000,00"
1.20 . 1.20.03 . 01 . 11,Penyediaan barang cetakan dan penggandaan,10125000,"Sumber Dana : 
Lokasi Kegiatan : Bagian Organisasi Setda
Keluaran :  Tersediannya Dokumen/naskah kantor
Target     :  12 bulan"
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,10125000,
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,10125000,
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,10125000,"   Penggandaan dan penjilidan Dokumen
Surat-surat, dokumen penting dll1 ls x 10.125.000,00 = 10.125.000,00"
1.20 . 1.20.03 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,2205000,"Sumber Dana : 
Lokasi Kegiatan : Bagian Organisasi Setda
Keluaran :  Tesediaan bahan bacaan
Target     :  12 bulan"
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,2205000,
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,2205000,
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 2 . 03 . 05,Belanja Surat Kabar/Majalah,2205000,"   Langganan terbitan harian dan mingguan1 ls x 21.000,00 = 21.000,00
Harian Jogja12 bulan x 65.000,00 = 780.000,00
Kedaulatan Rakyat12 bulan x 72.000,00 = 864.000,00
Majalah Trubus12 bulan x 45.000,00 = 540.000,00"
1.20 . 1.20.03 . 01 . 17,Penyediaan makanan dan minuman,10800000,"Sumber Dana : 
Lokasi Kegiatan : Bagian Organisasi Setda
Keluaran :  Tersediannya jamuan tamu dinas
Target     :  450 ok"
1.20 . 1.20.03 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,10800000,
1.20 . 1.20.03 . 01 . 17 . 5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,10800000,
1.20 . 1.20.03 . 01 . 17 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,6000000,"   Rapat-rapat dan koordinasi
Snack dan minum240 orang/kali x 7.500,00 = 1.800.000,00
Makan dan minum240 orang/kali x 17.500,00 = 4.200.000,00"
1.20 . 1.20.03 . 01 . 17 . 5 . 2 . 2 . 11 . 03,Belanja Makanan Dan Minuman Tamu,4800000,"   Tamu dinas dan non dinas
Snack dan minum160 orang/kali x 10.000,00 = 1.600.000,00
Makan dan minum160 orang/kali x 20.000,00 = 3.200.000,00"
1.20 . 1.20.03 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,65329000,"Sumber Dana :
 Lokasi Kegiatan : Bagian Organisasi Setda
Keluaran :  Terlaksanannya Kegiatan Kantor/dinas
Target     :  10 orang kali"
1.20 . 1.20.03 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,65329000,
1.20 . 1.20.03 . 01 . 18 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,65329000,
1.20 . 1.20.03 . 01 . 18 . 5 . 2 . 2 . 15 . 02,Belanja Perjalanan Dinas Luar Daerah,65329000,"   Rapat Koordinasi/konsultasi
Golongan IV4 orang/kali x 1.700.000,00 = 6.800.000,00
Golongan III12 orang/kali x 1.550.000,00 = 18.600.000,00
Tiket pp1 ls x 14.269.000,00 = 14.269.000,00
Kunjungan kerjaGolongan IV8 orang/hari x 1.700.000,00 = 13.600.000,00
Tiket PP2 orang/kali x 5.630.000,00 = 11.260.000,00
Tambahan uang makan dan uang saku4 orang/hari x 200.000,00 = 800.000,00"
1.20 . 1.20.03 . 01 . 19,Rapat-rapat koordinasi dan konsultasi dalam daerah,3320000,"Sumber Dana :
 Lokasi Kegiatan : Bagian Organisasi Setda
Keluaran :  Terlaksanannya Kegiatan dan koordinasi ke Dinas/SKPD dan Propinsi
Target     :  14 Perjalanan Dinas"
1.20 . 1.20.03 . 01 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,3320000,
1.20 . 1.20.03 . 01 . 19 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,3320000,
1.20 . 1.20.03 . 01 . 19 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,3320000,"   Koordinasi dan  konsultasi ke Propinsi
Golongan IV2 orang/kali x 70.000,00 = 140.000,00
Golongan III36 orang/kali x 60.000,00 = 2.160.000,00
Golongan II4 orang/kali x 50.000,00 = 200.000,00
Koordinasi dan  konsultasi dalam kabupaten
Golongan IV2 orang/kali x 50.000,00 = 100.000,00
Golongan III15 orang/kali x 40.000,00 = 600.000,00
Golongan II4 orang/kali x 30.000,00 = 120.000,00"
1.20 . 1.20.03 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,177175000,
1.20 . 1.20.03 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,32575000,"Sumber Dana : 
Lokasi Kegiatan : Bagian Organisasi
Keluaran :  Kelancaran Pelaksanan Kegiatan Kantor
Target     :  4 Unit"
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,32575000,
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,32575000,
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05 . 01,Belanja Jasa Service,1560000,"   Servise Kendaraan Dinas
Kendaraan Roda 44 kali x 240.000,00 = 960.000,00
Kendaraan Roda 212 kali/motor x 50.000,00 = 600.000,00"
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05 . 02,Belanja Penggantian Suku Cadang,5940000,"   Penggantian Suku Cadang Kendaraan Dinas
Kendaraan Roda 44 kali x 985.000,00 = 3.940.000,00
Kendaraan roda 28 kali/motor x 250.000,00 = 2.000.000,00"
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05 . 03,Belanja Bahan Bakar Minyak/Gas Dan Pelumas,25075000,"   Bahan Bakar Minyak Kendaraan Dinas/operasional
Kendaraan Dinas Roda 41 ls x 18.000.000,00 = 18.000.000,00
Kendaraan Dinas Roda21 ls x 3.520.000,00 = 3.520.000,00
Operasional Kend.  Bidang Ketatalaksanaan1 ls x 1.530.000,00 = 1.530.000,00
Operasional Kend. Bidang Anjab dan Aparatur1 ls x 900.000,00 = 900.000,00
Operasioanal Kend. Bidang Kelembagaan1 ls x 1.125.000,00 = 1.125.000,00"
1.20 . 1.20.03 . 02 . 30,Pemeliharaan rutin/berkala ??.,7600000,"Sumber Dana :
 Lokasi Kegiatan : Bagian Organisasi
Keluaran :  Peralatan Kantor siap dipakai
Target     :  25 unit"
1.20 . 1.20.03 . 02 . 30 . 5 . 2 . 2,Belanja Barang dan Jasa,7600000,
1.20 . 1.20.03 . 02 . 30 . 5 . 2 . 2 . 20,Belanja Pemeliharaan,7600000,
1.20 . 1.20.03 . 02 . 30 . 5 . 2 . 2 . 20 . 04,Belanja Pemeliharan Peralatan dan Mesin,7600000,"   Peralatan KantorPerawatan/update Software Cetak Idcard1 ls/0 x 3.000.000,00 = 3.000.000,00
Komputer, Laptop, Printer dan AC1 ls x 4.600.000,00 = 4.600.000,00"
1.20 . 1.20.03 . 02 . 34,Pengadaan peralatan dan perlengkapan kantor,137000000,"Sumber Dana : 
Lokasi Kegiatan : Bagian Organisasi Setda Kabupaten Bantul
Keluaran :  Kelancaran Pelaksanan Kegiatan Kantor
Target     :  2 Ruang"
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 1,Belanja Pegawai,875000,
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 1 . 01,Honorarium PNS,875000,
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 1 . 01 . 02,Honorarium Tim Pengadaan Barang Dan Jasa,875000,"   Panitia Pengadaan
Pejabat Pembuat Komitmen1 orang/paket x 350.000,00 = 350.000,00
Pejabat Pengadaan Barang1 orang/paket x 300.000,00 = 300.000,00
Pejabat Penerima Hasil1 orang/paket x 225.000,00 = 225.000,00"
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3,Belanja Modal,136125000,
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3 . 28,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga,120125000,
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3 . 28 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair,120125000,"   Kelengkapan Ruang Kerja dan Ruang Rapat
Almari Buku2 set x 3.500.000,00 = 7.000.000,00
Set sofa  ruang tamu1 set x 6.480.000,00 = 6.480.000,00
Rak Buku (kabag)1 set x 8.000.000,00 = 8.000.000,00
Crendeza1 set x 6.000.000,00 = 6.000.000,00
Kursi Kerja Kasubag3 set x 1.430.000,00 = 4.290.000,00
Kursi Kerja Staf14 set x 1.100.000,00 = 15.400.000,00
Partisi Ruang Rapat/Kerja1 set x 24.825.000,00 = 24.825.000,00
Meja Kerja Kepala Bagian1 set x 4.500.000,00 = 4.500.000,00
Meja Kerja Kasubag3 set x 3.450.000,00 = 10.350.000,00
Kursi Kerja Kepala Bagian1 set x 4.000.000,00 = 4.000.000,00
Meja Receptionis1 set x 3.500.000,00 = 3.500.000,00
Backdrop1 set x 5.050.000,00 = 5.050.000,00
Almari buku keliling1 set x 20.730.000,00 = 20.730.000,00"
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3 . 29,Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer,16000000,
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3 . 29 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer,16000000,"   NotebookLaptop/notebook2 unit x 8.000.000,00 = 16.000.000,00"
1.20 . 1.20.03 . 03,Program peningkatan disiplin aparatur,220826000,
1.20 . 1.20.03 . 03 . 01,Pengadaan mesin/kartu absensi,209375000,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Menunjang Kelancaran Tugas dan Fungsi
Target     :  43 Unit"
1.20 . 1.20.03 . 03 . 01 . 5 . 2 . 1,Belanja Pegawai,875000,
1.20 . 1.20.03 . 03 . 01 . 5 . 2 . 1 . 01,Honorarium PNS,875000,
1.20 . 1.20.03 . 03 . 01 . 5 . 2 . 1 . 01 . 02,Honorarium Tim Pengadaan Barang Dan Jasa,875000,"   Pejabat Pembuat KomitmenPPK1 orang/paket x 350.000,00 = 350.000,00
Pejabat  PengadaanKetua/Anggota1 orang/paket x 300.000,00 = 300.000,00
Pejabat PenerimaPejabat Penerima Hasil Pekerjaan1 orang/paket x 225.000,00 = 225.000,00"
1.20 . 1.20.03 . 03 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,15000000,
1.20 . 1.20.03 . 03 . 01 . 5 . 2 . 2 . 20,Belanja Pemeliharaan,15000000,
1.20 . 1.20.03 . 03 . 01 . 5 . 2 . 2 . 20 . 08,Belanja Pemeliharaan Aplikasi dan Database,15000000,"   Pemeliharaan Aplikasi dan Database
Software/Aplikasi Absensi1 paket x 15.000.000,00 = 15.000.000,00"
1.20 . 1.20.03 . 03 . 01 . 5 . 2 . 3,Belanja Modal,193500000,
1.20 . 1.20.03 . 03 . 01 . 5 . 2 . 3 . 27,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor,193500000,
1.20 . 1.20.03 . 03 . 01 . 5 . 2 . 3 . 27 . 05,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor,193500000,"   Mesin Absensi ASNMesin Absensi43 unit x 4.500.000,00 = 193.500.000,00"
1.20 . 1.20.03 . 03 . 07,Pengadaan ID Card,11451000,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Tersedianya ID Card PNS di SKPD
Target     :  800 buah"
1.20 . 1.20.03 . 03 . 07 . 5 . 2 . 1,Belanja Pegawai,2340000,
1.20 . 1.20.03 . 03 . 07 . 5 . 2 . 1 . 01,Honorarium PNS,2340000,
1.20 . 1.20.03 . 03 . 07 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,2340000,"   Tim Pelaksana
Ketua2 orang/bulan x 150.000,00 = 300.000,00
Sekretaris2 orang/bulan x 120.000,00 = 240.000,00
Anggota18 orang/bulan x 100.000,00 = 1.800.000,00"
1.20 . 1.20.03 . 03 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,9111000,
1.20 . 1.20.03 . 03 . 07 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,6861000,
1.20 . 1.20.03 . 03 . 07 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,6861000,"   Alat Tulis Kantor/Kegiatan
mmc/camera1 ls x 751.000,00 = 751.000,00
Kertas PVC5 boks x 350.000,00 = 1.750.000,00
Tinta Durabright8 botol/paket x 95.000,00 = 760.000,00
Gantungan ID Card800 buah x 4.500,00 = 3.600.000,00"
1.20 . 1.20.03 . 03 . 07 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,2250000,
1.20 . 1.20.03 . 03 . 07 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,2250000,"   Penggandaan undangan, bahan rakor dan laporan kegiatansurat2, dokumen, dan bahan rakor/keg15,000 lembar x 150,00 = 2.250.000,00"
1.20 . 1.20.03 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,20818900,
1.20 . 1.20.03 . 05 . 03,Bimbingan teknis implementasi peraturan perundang-undangan,20818900,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Terlaksananya bimbingan teknis Ecosting 15 Bidang Standar Pelayanan Minimal
Target     :  18 SKPD"
1.20 . 1.20.03 . 05 . 03 . 5 . 2 . 1,Belanja Pegawai,1600000,
1.20 . 1.20.03 . 05 . 03 . 5 . 2 . 1 . 01,Honorarium PNS,1600000,
1.20 . 1.20.03 . 05 . 03 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,1600000,"   Honor Pelaksana Kegiatan1 bjj x 1.600.000,00 = 1.600.000,00"
1.20 . 1.20.03 . 05 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,19218900,
1.20 . 1.20.03 . 05 . 03 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,2898900,
1.20 . 1.20.03 . 05 . 03 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,2898900,"   Alat Tulis Kantor/Kegiatan
Kertas HVS dll1 ls x 2.898.900,00 = 2.898.900,00"
1.20 . 1.20.03 . 05 . 03 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,2445000,
1.20 . 1.20.03 . 05 . 03 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,2445000,"   Penggandaan undangan, bahan rakor dan laporan kegiatansurat2, dokumen, dan bahan rakor/keg15,100 lembar x 150,00 = 2.265.000,00
laporan kegiatan5 eksemplar x 36.000,00 = 180.000,00"
1.20 . 1.20.03 . 05 . 03 . 5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,5275000,
1.20 . 1.20.03 . 05 . 03 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,1000000,"   Koordinasi persiapan dan evaluasi kegiatan
snack dan minum40 orang/kali x 7.500,00 = 300.000,00
makan dan minum40 orang/kali x 17.500,00 = 700.000,00"
1.20 . 1.20.03 . 05 . 03 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,4275000,"   Kegiatan W orkshop/Sosialisasi/Bimtek
snack dan minum150 orang/kali x 8.500,00 = 1.275.000,00
makan dan minum150 orang/orang x 20.000,00 = 3.000.000,00"
1.20 . 1.20.03 . 05 . 03 . 5 . 2 . 2 . 35,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,8600000,
1.20 . 1.20.03 . 05 . 03 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,8600000,"   Workshop/sosialisasi/bimtek
Narasumber4 orang/jpl x 750.000,00 = 3.000.000,00
Narasumber4 orang/jpl x 400.000,00 = 1.600.000,00
Moderator/fasilitator20 orang/hari x 200.000,00 = 4.000.000,00"
1.20 . 1.20.03 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,5000000,
1.20 . 1.20.03 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,5000000,"Sumber Dana :
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Tersusunnya laporan capaian kinerja dan Realisasi Kinerja
Target     :  1 Dokumen"
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,2000000,
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 1 . 01,Honorarium PNS,2000000,
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,2000000,"   Penyusunan Laporan
Penyusun Laporah1 bjj x 2.000.000,00 = 2.000.000,00"
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,3000000,
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1500000,
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,1500000,"   HVS dll1 ls x 1.500.000,00 = 1.500.000,00"
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,1500000,
1.20 . 1.20.03 . 06 . 01 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,1500000,"   Dokumen dan Laporan
Fotocopy dan Penggandaan1 ls x 1.500.000,00 = 1.500.000,00"
1.20 . 1.20.03 . 24,Program mengintensifkan penanganan pengaduan masyarakat,58960800,
1.20 . 1.20.03 . 24 . 02,Peningkatan pelayanan masyarakat,58960800,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Data pengaduan masyarakat di pelayanan publik
Target     :  6 SKPD"
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 1,Belanja Pegawai,29330000,
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 1 . 01,Honorarium PNS,29330000,
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,29330000,"   Tim Pembina/Pengarah
Ketua7 orang/bulan x 180.000,00 = 1.260.000,00
Sekretaris7 orang/bulan x 170.000,00 = 1.190.000,00
Anggota35 orang/bulan x 160.000,00 = 5.600.000,00
Pembina7 orang/bulan x 200.000,00 = 1.400.000,00
Wakil Pembina7 orang/bulan x 190.000,00 = 1.330.000,00
Pengarah/Penasehat7 orang/bulan x 180.000,00 = 1.260.000,00
Tim Pelaksana Teknis
Ketua7 orang/bulan x 160.000,00 = 1.120.000,00
Sekretaris7 orang/bulan x 150.000,00 = 1.050.000,00
Anggota84 orang/bulan x 140.000,00 = 11.760.000,00
Staf Sekretariat Gol. III/IV28 orang/bulan x 100.000,00 = 2.800.000,00
Staf Sekretariat Gol. II7 orang/bulan x 80.000,00 = 560.000,00"
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,29630800,
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,2200800,
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,2200800,"   Alat Tulis Kantor/Kegiatan
Kertas HVS dll1 ls x 2.200.800,00 = 2.200.800,00"
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,2250000,
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,2250000,"   Penggandaan undangan, bahan rakor dan laporan kegiatansurat2, dokumen, dan bahan rakor/keg15,000 lembar x 150,00 = 2.250.000,00"
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,8980000,
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,1000000,"   Koordinasi persiapan dan evaluasi kegiatan
snack dan minum40 orang/kali x 7.500,00 = 300.000,00
makan dan minum40 orang/kali x 17.500,00 = 700.000,00"
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,7980000,"   Kegiatan W orkshop/Sosialisasi/Bimtek
snack dan minum280 orang/kali x 8.500,00 = 2.380.000,00
makan dan minum280 orang/orang x 20.000,00 = 5.600.000,00"
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 2 . 35,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,16200000,
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,12000000,"   Workshop/sosialisasi/bimtek
Narasumber24 orang/jpl/kali x 400.000,00 = 9.600.000,00
Moderator12 orang/jpl/kali x 200.000,00 = 2.400.000,00"
1.20 . 1.20.03 . 24 . 02 . 5 . 2 . 2 . 35 . 05,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi,4200000,"   Worshop/sosialisasi/bimtek
Uang Saku Peserta280 orang/hari x 15.000,00 = 4.200.000,00"
1.20 . 1.20.03 . 26,Program Penataan Peraturan Perundang-Undangan,27845000,
1.20 . 1.20.03 . 26 . 04,Fasilitasi sosialisasi peraturan perundang-undangan,27845000,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Tersosialisasinya peraturan perundangan-undangan
Target     :  60 orang"
1.20 . 1.20.03 . 26 . 04 . 5 . 2 . 1,Belanja Pegawai,1460000,
1.20 . 1.20.03 . 26 . 04 . 5 . 2 . 1 . 01,Honorarium PNS,1460000,
1.20 . 1.20.03 . 26 . 04 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,1460000,"   Worshop/sosialisasi/bimtek
Ketua2 orang/hari x 90.000,00 = 180.000,00
Sekretaris2 orang/hari x 80.000,00 = 160.000,00
Anggota16 orang/hari x 70.000,00 = 1.120.000,00"
1.20 . 1.20.03 . 26 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,26385000,
1.20 . 1.20.03 . 26 . 04 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,2407500,
1.20 . 1.20.03 . 26 . 04 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,2407500,"   Alat Tulis Kantor/Kegiatan
Kertas HVS dll1 ls x 2.407.500,00 = 2.407.500,00"
1.20 . 1.20.03 . 26 . 04 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,2302500,
1.20 . 1.20.03 . 26 . 04 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,2302500,"   Penggandaan undangan, bahan rakor dan laporan kegiatansurat2, dokumen, dan bahan rakor/keg15,350 lembar x 150,00 = 2.302.500,00"
1.20 . 1.20.03 . 26 . 04 . 5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,5275000,
1.20 . 1.20.03 . 26 . 04 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,1000000,"   Koordinasi persiapan dan evaluasi kegiatan
snack dan minum40 orang/kali x 7.500,00 = 300.000,00
makan dan minum40 orang/kali x 17.500,00 = 700.000,00"
