Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 07  , Tunjangan PPh/Tunjangan Khusus  ,20848650," Tunjangan PPh/Tunjangan Khusus1 th x 20.848.650,00 = 20.848.650,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 08  , Pembulatan Gaji  ,16640," Pembulatan Gaji1 th x 16.640,00 = 16.640,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 09  , Iuran Asuransi Kesehatan  ,0," Iuran Asuransi Kesehatan
Iurang Asuransi Kesehatan BPJS1 th x 0,00 = 0,00
Iuran Asuransi Jaminan Kecelakaan Kerja BPJS1 th x 0,00 = 0,00
Iuran Jaminan Kematian BPJS1 th x 0,00 = 0,00"
1.19 . 1.19.03 . 01 . 01 . 5 . 2  , BELANJA LANGSUNG  ,3468941180,
1.19 . 1.19.03 . 01  , Program Pelayanan Administrasi Perkantoran  ,1621467680,
1.19 . 1.19.03 . 01 . 01  , Penyediaan jasa surat menyurat  ,3450000," Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Kebutuhan Surat menyurat terpenuhi
Target: 1 Tahun"
1.19 . 1.19.03 . 01 . 01 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,3450000,
1.19 . 1.19.03 . 01 . 01 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,3450000,
1.19 . 1.19.03 . 01 . 01 . 5 . 2 . 2 . 01 . 04  ," Belanja Perangko, Materai Dan Benda Pos  ",3450000," Belanja perangko, materai dan benda pos lainnya
Materai500 lbr x 3.000,00 = 1.500.000,00
Materai325 lbr x 6.000,00 = 1.950.000,00"
1.19 . 1.19.03 . 01 . 02  ," Penyediaan jasa komunikasi, sumber daya air dan listrik  ",34800000," Sumber Dana : 
Keluaran : Kebutuhan Telepon, Air, Listrik terpenuhi
Target: 1 Tahun"
1.19 . 1.19.03 . 01 . 02 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,34800000,
1.19 . 1.19.03 . 01 . 02 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,34800000,
1.19 . 1.19.03 . 01 . 02 . 5 . 2 . 2 . 03 . 01  , Belanja Telepon  ,18000000," Belanja Telepon12 Bln x 1.500.000,00 = 18.000.000,00"
1.19 . 1.19.03 . 01 . 02 . 5 . 2 . 2 . 03 . 02  , Belanja Air  ,3600000," Belanja Air12 Bln x 300.000,00 = 3.600.000,00"
1.19 . 1.19.03 . 01 . 02 . 5 . 2 . 2 . 03 . 03  , Belanja Listrik  ,7200000," Belanja Listrik12 Bln x 600.000,00 = 7.200.000,00"
1.19 . 1.19.03 . 01 . 02 . 5 . 2 . 2 . 03 . 20  , Belanja Sewa Frekuensi dan Pajak Radio  ,6000000," Belanja Sewa Frekuensi dan Pajak Radio1 Ls x 6.000.000,00 = 6.000.000,00"
1.19 . 1.19.03 . 01 . 06  , Penyediaan jasa pemeliharaan dan perizinan kendaraan  ,31900000," Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Terpenuhinya perpanjangan STNK Kendaraan dinas/operasional
Target: 1 Tahun"
1.19 . 1.19.03 . 01 . 06 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,31900000,
1.19 . 1.19.03 . 01 . 06 . 5 . 2 . 2 . 05  , Belanja Perawatan Kendaraan Bermotor  ,31900000,
1.19 . 1.19.03 . 01 . 06 . 5 . 2 . 2 . 05 . 05  , Belanja Pajak Kendaraan Bermotor  ,31900000," Belanja Pajak Kendaraan Bermotor
Belanja Perpanjangan STNK Roda 218 unit x 300.000,00 = 5.400.000,00
Belanja Perpanjangan STNK Roda 47 unit x 2.000.000,00 = 14.000.000,00
Belanja Perpanjangan STNK Roda 65 unit x 2.500.000,00 = 12.500.000,00"
1.19 . 1.19.03 . 01 . 07  , Penyediaan jasa administrasi keuangan  ,21737000," Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Kinerja lebih optimal
Target: 100 %"
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 1  , Belanja Pegawai  ,20760000,
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 1 . 01  , Honorarium PNS  ,20760000,
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 1 . 01 . 06  , Honor Pengelola Keuangan dan Barang  ,20760000," Honor Pengelola Keuangan dan Barang
Honor Pengurus Barang Pembantu12 Ob x 100.000,00 = 1.200.000,00
Honor Penyimpan Barang12 Ob x 250.000,00 = 3.000.000,00
Honor Bendahara Pengeluaran12 Ob x 190.000,00 = 2.280.000,00
Honor Bendahara Peneluaran Pembantu12 Ob x 75.000,00 = 900.000,00
Honor Pengurus Barang12 Ob x 250.000,00 = 3.000.000,00
Honor PPK SKPD12 Ob x 215.000,00 = 2.580.000,00
Honor Pembantu PPK SKPD 2 org24 Ob x 130.000,00 = 3.120.000,00
Honor Pembuat Dokumen 3 org36 Ob x 130.000,00 = 4.680.000,00"
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,977000,
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,200000,
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,200000," Belanja Alat Tulis Kantor1 Ls x 200.000,00 = 200.000,00"
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,150000,
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,150000," Belanja Penggandaan
Belanja Penggandaan / fotocopy1,000 Lbr x 150,00 = 150.000,00"
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,627000,
1.19 . 1.19.03 . 01 . 07 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,627000," Belanja Makanan dan Minuman Rapat
Belanja Snack, makan dan minum 11 0rg x 2 kali22 ok x 28.500,00 = 627.000,00"
1.19 . 1.19.03 . 01 . 08  , Penyediaan jasa kebersihan kantor  ,17200000," Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Peralatan dan alat kebersihan terpenuhi
Target: 1 Tahun"
1.19 . 1.19.03 . 01 . 08 . 5 . 2 . 1  , Belanja Pegawai  ,14400000,
1.19 . 1.19.03 . 01 . 08 . 5 . 2 . 1 . 02  , Honorarium Non PNS  ,14400000,
1.19 . 1.19.03 . 01 . 08 . 5 . 2 . 1 . 02 . 03  , Honorarium Pegawai Kontrak  ,14400000," Belanja Pegawai Kontrak
Belanja Petugas Kebersihan 2 org24 Ob x 600.000,00 = 14.400.000,00"
1.19 . 1.19.03 . 01 . 08 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,2800000,
1.19 . 1.19.03 . 01 . 08 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,2800000,
1.19 . 1.19.03 . 01 . 08 . 5 . 2 . 2 . 01 . 05  , Belanja Peralatan Kebersihan Dan Bahan Pembersih  ,2800000," Belanja Peralatan Kebersihan dan Bahan Pembersih1 Ls x 2.800.000,00 = 2.800.000,00"
1.19 . 1.19.03 . 01 . 10  , Penyediaan alat tulis kantor  ,20167680," Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Kebutuhan ATK terpenuhi
Target: 1 Tahun"
1.19 . 1.19.03 . 01 . 10 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,20167680,
1.19 . 1.19.03 . 01 . 10 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,20167680,
1.19 . 1.19.03 . 01 . 10 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,20167680," Belanja Alat Tulis Kantor1 Ls x 20.167.680,00 = 20.167.680,00"
1.19 . 1.19.03 . 01 . 11  , Penyediaan barang cetakan dan penggandaan  ,12650000," Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Kebutuhan cetakan dan foto copy terpenuhi
Target: 1 Tahun"
1.19 . 1.19.03 . 01 . 11 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,12650000,
1.19 . 1.19.03 . 01 . 11 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,12650000,
1.19 . 1.19.03 . 01 . 11 . 5 . 2 . 2 . 06 . 01  , Belanja Cetak  ,5000000,"Belanja Cetak1 Ls x 5.000.000,00 = 5.000.000,00"
1.19 . 1.19.03 . 01 . 11 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,7650000,"Belanja Penggandaan51,000 Lbr x 150,00 = 7.650.000,00"
1.19 . 1.19.03 . 01 . 12  , Penyediaan komponen instalasi listrik/penerangan bangunan kantor  ,10000000," Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Kebutuhan alat-alat listrik terpenuhi
Target: 1 Tahun"
1.19 . 1.19.03 . 01 . 12 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,10000000,
1.19 . 1.19.03 . 01 . 12 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,10000000,
1.19 . 1.19.03 . 01 . 12 . 5 . 2 . 2 . 01 . 03  ," Belanja Alat Listrik Dan Elektronik (Lampu Pijar, Battery Kering)  ",10000000," Belanja Alat-alat Listrik dan Elektronik
Belanja alat-alat listrik1 Ls x 10.000.000,00 = 10.000.000,00"
1.19 . 1.19.03 . 01 . 15  , Penyediaan bahan bacaan dan peraturan perundang-undangan  ,4172000," Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Kebutuhan bacaan terpenuhi
Target: 1 Tahun"
1.19 . 1.19.03 . 01 . 15 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,3672000,
1.19 . 1.19.03 . 01 . 15 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,3672000,
1.19 . 1.19.03 . 01 . 15 . 5 . 2 . 2 . 03 . 05  , Belanja Surat Kabar/Majalah  ,3672000," Belanja Surat Kabar / Majalah
Belanja Surat Kabar/ Majalah12 Bln x 306.000,00 = 3.672.000,00"
1.19 . 1.19.03 . 01 . 15 . 5 . 2 . 3  , Belanja Modal  ,500000,
1.19 . 1.19.03 . 01 . 15 . 5 . 2 . 3 . 82  , Belanja Modal Aset Tetap Lainnya - Pengadaan Buku  ,500000,
1.19 . 1.19.03 . 01 . 15 . 5 . 2 . 3 . 82 . 01  , Belanja Modal Aset Tetap Lainnya - Pengadaan Buku Ilmu Pengetahuan Umum ,500000," Belanja modal pengadaan buku1 ls x 500.000,00 = 500.000,00"
1.19 . 1.19.03 . 01 . 16  , Penyediaan bahan logistik kantor  ,5000000," Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Kabutuhan logistik terpenuhi
Target: 1 Tahun"
1.19 . 1.19.03 . 01 . 16 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,5000000,
1.19 . 1.19.03 . 01 . 16 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,3000000,
1.19 . 1.19.03 . 01 . 16 . 5 . 2 . 2 . 01 . 08  , Belanja Pengisian Tabung Gas  ,2000000," Belanja pengisian tabung gas1 ls x 2.000.000,00 = 2.000.000,00"
1.19 . 1.19.03 . 01 . 16 . 5 . 2 . 2 . 01 . 11  , Belanja Bahan medis (obat-obatan) habis pakai  ,1000000," Belanja bahan medis (obat-obatan)
Belanja obat-obatan1 Ls x 1.000.000,00 = 1.000.000,00"
1.19 . 1.19.03 . 01 . 16 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,2000000,
1.19 . 1.19.03 . 01 . 16 . 5 . 2 . 2 . 11 . 01  , Belanja Makanan Dan Minuman Harian Pegawai  ,2000000," Belanja Makanan dan Minuman Harian Pegawai
Belanja pengisian air minum (isi ulang), gula, teh, kopi, dll1 Ls x 2.000.000,00 = 2.000.000,00"
1.19 . 1.19.03 . 01 . 17  , Penyediaan makanan dan minuman  ,25055000," Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Kebutuhan jamuan rapat, tamu dan operasional terpenuhi
Target: 1 Tahun"
1.19 . 1.19.03 . 01 . 17 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,25055000,
1.19 . 1.19.03 . 01 . 17 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,25055000,
1.19 . 1.19.03 . 01 . 17 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,5700000," Belanja Makan, Snack dan Minum Rapat200 Ok x 28.500,00 = 5.700.000,00"
1.19 . 1.19.03 . 01 . 17 . 5 . 2 . 2 . 11 . 03  , Belanja Makanan Dan Minuman Tamu  ,9975000," Belanja Makan, Snack dan Minum Tamu350 Ok x 28.500,00 = 9.975.000,00"
1.19 . 1.19.03 . 01 . 17 . 5 . 2 . 2 . 11 . 04  , Belanja makanan dan minuman Lembur  ,4000000," Belanja Makan dan Minum Lembur200 Ok x 20.000,00 = 4.000.000,00"
1.19 . 1.19.03 . 01 . 17 . 5 . 2 . 2 . 11 . 05  , Belanja Makanan dan Minuman Pelaksanaan Kegiatan  ,5380000," Belanja Makan dan Minum Pelaksanaan Kegiatan
Belanja Makan dan Minum Pelaksanaan Kegiatan :OperasionalUpacara - upacaraPembinaan200 Ok x 20.000,00 = 4.000.000,00
Belanja Penambah Daya Tahan Tubuh (PBK)276 Ok x 5.000,00 = 1.380.000,00"
1.19 . 1.19.03 . 01 . 18  , Rapat-rapat koordinasi dan konsultasi ke luar daerah  ,121000000," Sumber Dana : 
Lokasi Kegiatan : Luar Propinsi
Keluaran : Kerjasama lintas daerah/propinsi
Target: 1 Tahun"
1.19 . 1.19.03 . 01 . 18 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,121000000,
1.19 . 1.19.03 . 01 . 18 . 5 . 2 . 2 . 15  , Belanja Perjalanan Dinas  ,121000000,
1.19 . 1.19.03 . 01 . 18 . 5 . 2 . 2 . 15 . 02  , Belanja Perjalanan Dinas Luar Daerah  ,121000000," Perjalanan Dinas ke DKI, Wil Jabodetabek dan atau Daerah diluar Pulau JawaTiket 1 Ls x 15.000.000,00 = 15.000.000,00
Gol IV 15 Oh x 1.700.000,00 = 25.500.000,00
Gol III 15 Oh x 1.550.000,00 = 23.250.000,00
Gol II 10 Oh x 1.425.000,00 = 14.250.000,00
Perjalanan Dinas di Pulau Jawa (di Luar DIY)Tiket1 Ls x 8.000.000,00 = 8.000.000,00
Gol III 20 Oh x 950.000,00 = 19.000.000,00
Gol II 20 Oh x 800.000,00 = 16.000.000,00"
1.19 . 1.19.03 . 01 . 19  , Rapat-rapat koordinasi dan konsultasi dalam daerah  ,9000000," Sumber Dana :
 Lokasi Kegiatan : Dalam Propinsi
Keluaran : Kerjasama antar daerah se - kab
Target: 1 Tahun"
1.19 . 1.19.03 . 01 . 19 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,9000000,
1.19 . 1.19.03 . 01 . 19 . 5 . 2 . 2 . 15  , Belanja Perjalanan Dinas  ,9000000,
1.19 . 1.19.03 . 01 . 19 . 5 . 2 . 2 . 15 . 01  , Belanja Perjalanan Dinas Dalam Daerah  ,9000000," Perjalanan Dinas Dalam Kabupaten
Gol III 50 Oh x 40.000,00 = 2.000.000,00
Gol II 50 Oh x 30.000,00 = 1.500.000,00
Perjalanan Dinas di propinsi DIY (Luar kabupaten)
Gol II 50 Oh x 50.000,00 = 2.500.000,00
Gol III 50 Oh x 60.000,00 = 3.000.000,00"
1.19 . 1.19.03 . 01 . 22  , Penyediaan jasa tenaga teknis pendukung/tenaga perkantoran  ,1305336000," Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Kebutuhan tenaga tehnis terpenuhi
Target: 1 Tahun"
1.19 . 1.19.03 . 01 . 22 . 5 . 2 . 1  , Belanja Pegawai  ,1305336000,
1.19 . 1.19.03 . 01 . 22 . 5 . 2 . 1 . 02  , Honorarium Non PNS  ,1305336000,
1.19 . 1.19.03 . 01 . 22 . 5 . 2 . 1 . 02 . 02  , Honorarium Pegawai Honorer/Tidak Tetap  ,68736000," Honorarium Pegawai Honorer / Tidak TetapSAR Parangtritis 5 org60 Ob x 1.145.600,00 = 68.736.000,00"
1.19 . 1.19.03 . 01 . 22 . 5 . 2 . 1 . 02 . 03  , Honorarium Pegawai Kontrak  ,1236600000," Honorarium Tenaga Tehnis Administrasi Keuangan12 Ob x 1.350.000,00 = 16.200.000,00
Honorarium Tenaga PusdalopsDanru Pusdalops 3 org36 Ob x 1.250.000,00 = 45.000.000,00
Admin Pusdalops 4 org48 Ob x 1.050.000,00 = 50.400.000,00
Tehnis Pusdalops 5 org60 Ob x 1.200.000,00 = 72.000.000,00
Honorarium Tenaga SARPetugas SAR 72 org864 Ob x 650.000,00 = 561.600.000,00
Honorarium Tenaga PBKDanru dan driver 8 org96 Ob x 1.250.000,00 = 120.000.000,00
Anggota PBK 15 org180 Ob x 1.200.000,00 = 216.000.000,00
Anggota PBK 3 org x 11 bln33 Ob x 1.200.000,00 = 39.600.000,00
Honorarium Tenaga TRCDanru TRC 1 or12 Ob x 1.250.000,00 = 15.000.000,00
Tehnis TRC 6 org72 Ob x 1.100.000,00 = 79.200.000,00
Honorarium Tenaga Penjaga TogorTehnis Penjaga Togor 3 org36 Ob x 600.000,00 = 21.600.000,00"
1.19 . 1.19.03 . 02  , Program Peningkatan Sarana dan Prasarana Aparatur  ,558500000,
1.19 . 1.19.03 . 02 . 24  , Pemeliharaan rutin/berkala kendaraan dinas/operasional  ,135000000," Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Perawatan kendaraan terpenuhi
Target: 1 Tahun"
1.19 . 1.19.03 . 02 . 24 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,135000000,
1.19 . 1.19.03 . 02 . 24 . 5 . 2 . 2 . 05  , Belanja Perawatan Kendaraan Bermotor  ,135000000,
1.19 . 1.19.03 . 02 . 24 . 5 . 2 . 2 . 05 . 01  , Belanja Jasa Service  ,7500000," Belanja jasa service
Belianja jasa service1 Ls x 7.500.000,00 = 7.500.000,00"
1.19 . 1.19.03 . 02 . 24 . 5 . 2 . 2 . 05 . 02  , Belanja Penggantian Suku Cadang  ,35000000," Belanja penggantian suku cadang1 Ls x 35.000.000,00 = 35.000.000,00"
1.19 . 1.19.03 . 02 . 24 . 5 . 2 . 2 . 05 . 03  , Belanja Bahan Bakar Minyak/Gas Dan Pelumas  ,92500000," Belanja Bahan Bakar Minyak/gas dan Pelumas
Belanja Pelumas1 Ls x 7.500.000,00 = 7.500.000,00Belanja BBM1 Ls x 85.000.000,00 = 85.000.000,00"
1.19 . 1.19.03 . 02 . 26  , Pemeliharaan rutin/berkala perlengkapan gedung kantor  ,30000000," Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Pemeliharaan gedung terpenuhi
Target: 1 Tahun"
1.19 . 1.19.03 . 02 . 26 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,30000000,
1.19 . 1.19.03 . 02 . 26 . 5 . 2 . 2 . 20  , Belanja Pemeliharaan  ,30000000,
1.19 . 1.19.03 . 02 . 26 . 5 . 2 . 2 . 20 . 05  , Belanja Pemeliharan Gedung dan Bangunan  ,30000000," Belanja Pemeliharaan gedung dan bangunan1 Ls x 30.000.000,00 = 30.000.000,00"
1.19 . 1.19.03 . 02 . 30  , Pemeliharaan rutin/berkala peralatan dan perlengkapan kantor  ,50000000," Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Pemeliharaan EWS dan peralatan kantor terjaga
Target: 1 Tahun"
1.19 . 1.19.03 . 02 . 30 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,50000000,
1.19 . 1.19.03 . 02 . 30 . 5 . 2 . 2 . 20  , Belanja Pemeliharaan  ,50000000,
1.19 . 1.19.03 . 02 . 30 . 5 . 2 . 2 . 20 . 04  , Belanja Pemeliharan Peralatan dan Mesin  ,50000000," Belanja Pemeliharaan Peralatan dan Mesin
Belanja pemeliharaan EWS (sku cadang dan service)1 Ls x 30.000.000,00 = 30.000.000,00
Belanja Pemeliharaan Peralatan dan Perlengkapan Kantor (Komputer, Printer, AC, Mebelair, dll)1 Ls x 20.000.000,00 = 20.000.000,00"
1.19 . 1.19.03 . 02 . 34  , Pengadaan peralatan dan perlengkapan kantor  ,343500000," Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Kebutuhan sarana dan prasarana terpenuhi
Target: 1 Tahun"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,251000000,
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 02  , Belanja Bahan/Material  ,5000000,
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 02 . 07  , Belanja Cindera Mata  ,5000000," Belanja Cindera Mata1 Ls x 5.000.000,00 = 5.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 23  , Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga  ,176000000,
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 23 . 01  , Belanja Barang Yang Akan Diserahkan Kepada Masyarakat  ,176000000," Belanja Barang yang akan diserahkan kepada masyarakat
Belanja Gergaji mesin11 unit x 10.000.000,00 = 110.000.000,00
Belanja peralatan bendo, tali, dll1 ls x 66.000.000,00 = 66.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 34  , Belanja Perlengkapan Penyelamatan  ,70000000,
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 34 . 01  , Belanja Perlengkapan TRC  ,20000000," Belanja Perlengkapan TRC1 Ls x 20.000.000,00 = 20.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 34 . 02  , Belanja Perlengkapan SAR  ,20000000," Belanja Perlengkapan SAR1 Ls x 20.000.000,00 = 20.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 2 . 34 . 03  , Belanja Perlengkapan PBK  ,30000000," Belanja Perlengkapan PBK1 Ls x 30.000.000,00 = 30.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3  , Belanja Modal  ,92500000,
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 28  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga  ,38000000,
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 28 . 01  , Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair  ,23000000," Belanja Modal Pengadaan Alat Rumah Tangga
Belanja Modal Pengadaan Tangga Aluminium1 Bh x 5.000.000,00 = 5.000.000,00
Rak Partisi1 Ls x 15.000.000,00 = 15.000.000,00Gordyn1 Ls x 3.000.000,00 = 3.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 28 . 04  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pendingin  ,15000000," Belanja Modal Pengadaan AC Mobil
Belanja Modal Pengadaan AC Mobil 2 unit2 unit x 7.500.000,00 = 15.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 29  , Belanja Modal Peralatan dan Mesin - Pengadaan Komputer  ,26000000,
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 29 . 02  , Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer  ,16000000," Belanja Modal Pengadaan Notebook/Laptop
Belanja Modal Pengadaan Laptop2 Unit x 8.000.000,00 = 16.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 29 . 05  , Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Personal Komputer ,10000000," Belanja Modal Pengadaan Peralatan Komputer
HDD Eksternal1 Ls x 5.000.000,00 = 5.000.000,00
HDD Internal1 Ls x 5.000.000,00 = 5.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 31  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio  ,15000000,
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 31 . 02  , Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Video dan Film ,15000000," Belanja Modal Pengadaan Kamera1 unit x 15.000.000,00 = 15.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 32  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Komunikasi  ,5000000,
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 32 . 06  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Komunikasi Sosial  ,5000000," Belanja Modal Pengadaan Sound System1 set x 5.000.000,00 = 5.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 48  , Belanja Modal Peralatan dan Mesin -Pengadaan Alat Keamanan dan Perlindungan ,8500000,
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 48 . 01  , Belanja Modal Peralatan dan Mesin -Pengadaan Alat Bantu Kemanan  ,8500000," Belanja Modal Pengadaan Alat Bantu Keamanan
Belanja Modal Pengadaan Anhang1 Unit x 8.500.000,00 = 8.500.000,00"
1.19 . 1.19.03 . 03  , Program peningkatan disiplin aparatur  ,96075000,
1.19 . 1.19.03 . 03 . 03  , Pengadaan pakaian kerja lapangan  ,96075000," Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Uniform petugas terpenuhi
Target: 1 Tahun"
