Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07  , Tunjangan PPh/Tunjangan Khusus  ,38865900," Tunjangan PPh/Tunjangan Khusus1 th x 38.865.900,00 = 38.865.900,00",
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08  , Pembulatan Gaji  ,24091," Pembulatan Gaji1 th x 24.091,00 = 24.091,00",
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 09  , Iuran Asuransi Kesehatan  ,0," Iuran Asuransi Kesehatan
Iurang Asuransi Kesehatan BPJS1 th x 0,00 = 0,0
Iuran Asuransi Jaminan Kecelakaan Kerja BPJS1 th x 0,00 = 0,00
Iuran Jaminan Kematian BPJS1 th x 0,00 = 0,00",
1.22 . 1.22.01 . 01 . 01 . 5 . 2  , BELANJA LANGSUNG  ,7686154600,,
1.22 . 1.22.01 . 01  , Program Pelayanan Administrasi Perkantoran  ,376257500,,
1.22 . 1.22.01 . 01 . 01  , Penyediaan jasa surat menyurat  ,4200000," Sumber Dana : 
Lokasi Kegiatan : Kantor PMD
Keluaran : Terlaksananya Penyediaan Jasa Surat- Menyurat
Target: 100 %",
1.22 . 1.22.01 . 01 . 01 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,4200000,,
1.22 . 1.22.01 . 01 . 01 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,4200000,,
1.22 . 1.22.01 . 01 . 01 . 5 . 2 . 2 . 01 . 04  ," Belanja Perangko, Materai Dan Benda Pos  ",4200000," Belanja Materai500 lbr x 3.000,00 = 1.500.000,00450 lbr x 6.000,00 = 2.700.000,00",
1.22 . 1.22.01 . 01 . 02  ," Penyediaan jasa komunikasi, sumber daya air dan listrik  ",9900000," Sumber Dana : 
Lokasi Kegiatan : Kantor PMD
Keluaran : Terlaksananya Penyediaan Jasa Kom. Sumber Daya Alam & Listrik
Target: 100 %",
1.22 . 1.22.01 . 01 . 02 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,9900000,,
1.22 . 1.22.01 . 01 . 02 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,9900000,,
1.22 . 1.22.01 . 01 . 02 . 5 . 2 . 2 . 03 . 01  , Belanja Telepon  ,6300000," Belanja Telepon12 bln x 525.000,00 = 6.300.000,00",
1.22 . 1.22.01 . 01 . 02 . 5 . 2 . 2 . 03 . 06  , Belanja Kawat/Faksimili/Internet/Intranet/TV Kabel/TV Satelit  ,3600000," Belanja Internet12 bln x 300.000,00 = 3.600.000,00",
1.22 . 1.22.01 . 01 . 06  , Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional ,2000000," Sumber Dana : 
Lokasi Kegiatan : Kantor PMD
Keluaran : Terlaksananya Penyediaan Jasa Pemeliharaan dan Perijinan Kendaraan Dinas Operasional
Target: 100 %",
1.22 . 1.22.01 . 01 . 06 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,2000000,,
1.22 . 1.22.01 . 01 . 06 . 5 . 2 . 2 . 05  , Belanja Perawatan Kendaraan Bermotor  ,2000000,,
1.22 . 1.22.01 . 01 . 06 . 5 . 2 . 2 . 05 . 05  , Belanja Pajak Kendaraan Bermotor  ,2000000," Belanja Pajak STNK1 LS x 2.000.000,00 = 2.000.000,00",
1.22 . 1.22.01 . 01 . 07  , Penyediaan jasa administrasi keuangan  ,26205000," Sumber Dana :
 Lokasi Kegiatan : Kantor PMD
Keluaran : Terlaksananya Penyediaan Jasa Administrasi Keuangan dan Barang
Target: 100 %",
1.22 . 1.22.01 . 01 . 07 . 5 . 2 . 1  , Belanja Pegawai  ,24600000,,
1.22 . 1.22.01 . 01 . 07 . 5 . 2 . 1 . 01  , Honorarium PNS  ,24600000,,
1.22 . 1.22.01 . 01 . 07 . 5 . 2 . 1 . 01 . 06  , Honor Pengelola Keuangan dan Barang  ,24600000," Honor Pengelola Keuangan dan Barang
Honor Pengurus Barang12 ob x 200.000,00 = 2.400.000,00
Honor Penyimpan Barang12 ob x 150.000,00 = 1.800.000,00
Honor Pengelola Urusan Kepegawaian12 ob x 75.000,00 = 900.000,00
Honor Pembantu Bendahara Pengeluaran24 ob x 200.000,00 = 4.800.000,00
Honor Pembuat Neraca12 ob x 175.000,00 = 2.100.000,00
Honor Pengurus Gaji12 ob x 75.000,00 = 900.000,00
Honor PPK12 ob x 300.000,00 = 3.600.000,00
Honor Pembantu PPK24 ob x 200.000,00 = 4.800.000,00
Honor Bendahara Pengeluaran12 ob x 275.000,00 = 3.300.000,00",
1.22 . 1.22.01 . 01 . 07 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,1605000,,
1.22 . 1.22.01 . 01 . 07 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,1200000,,
1.22 . 1.22.01 . 01 . 07 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,1200000," Belanja ATK1 LS x 1.200.000,00 = 1.200.000,00",
1.22 . 1.22.01 . 01 . 07 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,405000,,
1.22 . 1.22.01 . 01 . 07 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,405000," Belanja penggandaan
Belanja fotocopi2,700 lbr x 150,00 = 405.000,00",
1.22 . 1.22.01 . 01 . 08  , Penyediaan jasa kebersihan kantor  ,30600000," Sumber Dana :
 Lokasi Kegiatan : Kantor PMD
Keluaran : Terlaksananya Penyediaan Jasa Kebersihan Kantor
Target: 100 %",
1.22 . 1.22.01 . 01 . 08 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,30600000,,
1.22 . 1.22.01 . 01 . 08 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,3000000,,
1.22 . 1.22.01 . 01 . 08 . 5 . 2 . 2 . 01 . 05  , Belanja Peralatan Kebersihan Dan Bahan Pembersih  ,3000000," Belanja Peralatan Kebersihan dan Bahan Pembersih12 bln x 250.000,00 = 3.000.000,00",
1.22 . 1.22.01 . 01 . 08 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",27600000,,
1.22 . 1.22.01 . 01 . 08 . 5 . 2 . 2 . 35 . 06  , Jasa Tenaga Harian Lepas  ,27600000," Honorarium Tenaga Harian Lepas24 ob x 1.150.000,00 = 27.600.000,00",
1.22 . 1.22.01 . 01 . 09  , Penyediaan jasa perbaikan peralatan kerja  ,9450000," Sumber Dana : 
Lokasi Kegiatan : Kantor PMD",
1.22 . 1.22.01 . 01 . 09 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,9450000,,
1.22 . 1.22.01 . 01 . 09 . 5 . 2 . 2 . 20  , Belanja Pemeliharaan  ,9450000,,
1.22 . 1.22.01 . 01 . 09 . 5 . 2 . 2 . 20 . 04  , Belanja Pemeliharan Peralatan dan Mesin  ,9450000,"Belanja Pemeliharaan Alat
 - Alat Kantor & RTServis komputer/note book/printer/Mesin ketik/AC1 tahun x 9.450.000,00 = 9.450.000,00",
1.22 . 1.22.01 . 01 . 12  , Penyediaan komponen instalasi listrik/penerangan bangunan kantor  ,1700000," Sumber Dana : 
Lokasi Kegiatan : Kantor PMD",
1.22 . 1.22.01 . 01 . 12 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,1700000,,
1.22 . 1.22.01 . 01 . 12 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,1700000,,
1.22 . 1.22.01 . 01 . 12 . 5 . 2 . 2 . 01 . 03  ," Belanja Alat Listrik Dan Elektronik (Lampu Pijar, Battery Kering)  ",1700000," Belanja Alat Listrik dan Elektronika1 LS x 1.700.000,00 = 1.700.000,00",
1.22 . 1.22.01 . 01 . 15  , Penyediaan bahan bacaan dan peraturan perundang-undangan  ,2640000," Sumber Dana :
 Lokasi Kegiatan : Kantor PMD",
1.22 . 1.22.01 . 01 . 15 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,2640000,,
1.22 . 1.22.01 . 01 . 15 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,2640000,,
1.22 . 1.22.01 . 01 . 15 . 5 . 2 . 2 . 03 . 05  , Belanja Surat Kabar/Majalah  ,2640000," Belanja Surat Kabar12 bln x 220.000,00 = 2.640.000,00",
1.22 . 1.22.01 . 01 . 16  , Penyediaan bahan logistik kantor  ,1100000,,
1.22 . 1.22.01 . 01 . 16 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,1100000," Sumber Dana : 
 Lokasi Kegiatan : Kantor PMD",
1.22 . 1.22.01 . 01 . 16 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,1100000,,
1.22 . 1.22.01 . 01 . 16 . 5 . 2 . 2 . 01 . 07  , Belanja Pengisian Tabung Pemadam Kebakaran  ,300000," Belanja pengisian tabung pemadam kebakaran1 LS x 300.000,00 = 300.000,00",
1.22 . 1.22.01 . 01 . 16 . 5 . 2 . 2 . 01 . 08  , Belanja Pengisian Tabung Gas  ,550000," Belanja pengisian tabung gas1 LS x 550.000,00 = 550.000,00",
1.22 . 1.22.01 . 01 . 16 . 5 . 2 . 2 . 01 . 11  , Belanja Bahan medis (obat-obatan) habis pakai  ,250000," Belanja bahan medis ( obat-obatan )1 LS x 250.000,00 = 250.000,00",
1.22 . 1.22.01 . 01 . 17  , Penyediaan makanan dan minuman  ,6300000," Sumber Dana : 
Lokasi Kegiatan : Kantor PMD",
1.22 . 1.22.01 . 01 . 17 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,6300000,,
1.22 . 1.22.01 . 01 . 17 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,6300000,,
1.22 . 1.22.01 . 01 . 17 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,4600000," Belanja Makanan dan Minuman Rapat
Belanja Snack, minum Rapat400 org x 8.500,00 = 3.400.000,0060 org x 20.000,00 = 1.200.000,00",
1.22 . 1.22.01 . 01 . 17 . 5 . 2 . 2 . 11 . 03  , Belanja Makanan Dan Minuman Tamu  ,1700000," Belanja Makan dan minum tamu
Belanja makan minum tamu200 org x 8.500,00 = 1.700.000,00",
1.22 . 1.22.01 . 01 . 18  , Rapat-rapat koordinasi dan konsultasi ke luar daerah  ,266102500," Sumber Dana : 
Lokasi Kegiatan : Kantor PMD",
1.22 . 1.22.01 . 01 . 18 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,266102500,,
1.22 . 1.22.01 . 01 . 18 . 5 . 2 . 2 . 15  , Belanja Perjalanan Dinas  ,266102500,,
1.22 . 1.22.01 . 01 . 18 . 5 . 2 . 2 . 15 . 02  , Belanja Perjalanan Dinas Luar Daerah  ,266102500," Belanja Perjalanan Dinas Luar Daerah
Biaya makan minum peserta Studi banding Posyantek40 org x 85.500,00 = 3.420.000,00
Honor peserta Studi banding Posyantek25 oh x 100.000,00 = 2.500.000,00
Biaya makan minum peserta studi banding P2MD136 oh x 145.000,00 = 19.720.000,00
Honor peserta Studi banding P2MD390 oh x 100.000,00 = 39.000.000,00
Biaya Sewa Bus Studi banding Posyantek1 bis x 3.000.000,00 = 3.000.000,00
Honor Peserta Study Banding LKD100 ORG x 50.000,00 = 5.000.000,00
Biaya Sewa Kamar Penginapan Studi banding P2MD65 kamar x 400.000,00 = 26.000.000,00
Biaya Sewa Kendaraan Studi banding P2MD3 bis x 9.500.000,00 = 28.500.000,00
Sewa Sarana Mobilitas Darat dlm rangka Study Banding LKD2 BUS x 3.000.000,00 = 6.000.000,00
Belanja Makan minum peserta Study Banding LKD210 OH x 17.000,00 = 3.570.000,00
Belanja Sneck dlm rangka Study Banding LKD105 OH x 8.500,00 = 892.500,00
Belanja Makan minum dalam rangka study banding PMT - AS250 OH x 20.000,00 = 5.000.000,00
Belanja Sneck dlm rangka study Banding PMT - AS200 OH x 7.500,00 = 1.500.000,00
Honor Peserta Study Banding PMT - AS50 ORG x 200.000,00 = 10.000.000,00
Biaya perjalanan dinas luar daerah1 LS x 90.000.000,00 = 90.000.000,00
Sewa Penginapan dlm rangka study banding PMT - AS25 Kamar x 480.000,00 = 12.000.000,00
Sewa Sarana Mobilitas Darat dlm rangka study bandingPMT - AS1 BUS x 10.000.000,00 = 10.000.000,00",
1.22 . 1.22.01 . 01 . 19  , Rapat-rapat koordinasi dan konsultasi dalam daerah ,16060000," Sumber Dana :
Lokasi Kegiatan : Kantor PMD",
1.22 . 1.22.01 . 01 . 19 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,16060000,,
1.22 . 1.22.01 . 01 . 19 . 5 . 2 . 2 . 15  , Belanja Perjalanan Dinas  ,16060000,,
1.22 . 1.22.01 . 01 . 19 . 5 . 2 . 2 . 15 . 01  , Belanja Perjalanan Dinas Dalam Daerah  ,16060000," Belanja Perjalanan Dinas Dalam Daerah1 tahun x 16.060.000,00 = 16.060.000,00",
1.22 . 1.22.01 . 02  , Program Peningkatan Sarana dan Prasarana Aparatur  ,167530000,,
1.22 . 1.22.01 . 02 . 22  , Pemeliharaan rutin/berkala gedung kantor  ,21700000," Sumber Dana :
Lokasi Kegiatan : Kantor PMD",
1.22 . 1.22.01 . 02 . 22 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,21700000,,
1.22 . 1.22.01 . 02 . 22 . 5 . 2 . 2 . 20  , Belanja Pemeliharaan  ,21700000,,
1.22 . 1.22.01 . 02 . 22 . 5 . 2 . 2 . 20 . 05  , Belanja Pemeliharan Gedung dan Bangunan  ,21700000," Belanja pemeliharaan Gedung dan bangunan
Belanja pemeliharaan Gedung dan bangunan tempat kerja1 LS x 21.700.000,00 = 21.700.000,00",
1.22 . 1.22.01 . 02 . 24  , Pemeliharaan rutin/berkala kendaraan dinas/operasional  ,75330000," Sumber Dana :
Lokasi Kegiatan : Kantor PMD",
1.22 . 1.22.01 . 02 . 24 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,75330000,,
1.22 . 1.22.01 . 02 . 24 . 5 . 2 . 2 . 05  , Belanja Perawatan Kendaraan Bermotor  ,75330000,,
1.22 . 1.22.01 . 02 . 24 . 5 . 2 . 2 . 05 . 01  , Belanja Jasa Service  ,3300000," Belanja Jasa Servis
Servis kendaraan roda 21 tahun x 1.800.000,00 = 1.800.000,00
Servis kendaraan roda 41 tahun x 1.500.000,00 = 1.500.000,00",
1.22 . 1.22.01 . 02 . 24 . 5 . 2 . 2 . 05 . 02  , Belanja Penggantian Suku Cadang  ,4700000," Belanja penggantian suku cadang
Belanja suku cadang Roda 21 tahun x 2.700.000,00 = 2.700.000,00
Belanja suku cadang Roda 41 tahun x 2.000.000,00 = 2.000.000,00",
1.22 . 1.22.01 . 02 . 24 . 5 . 2 . 2 . 05 . 03  , Belanja Bahan Bakar Minyak/Gas Dan Pelumas  ,67330000," Belanja Bahan Bakar Minyak
Belanja Bahan Bakar Minyak Kantor PMD1 tahun x 55.000.000,00 = 55.000.000,00
Belanja Bahan Bakar Minyak PKK1 tahun x 12.330.000,00 = 12.330.000,00",
1.22 . 1.22.01 . 02 . 34  , Pengadaan peralatan dan perlengkapan kantor  ,70500000, ,
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3  , Belanja Modal  ,70500000,"Sumber Dana : 
 Lokasi Kegiatan : Kantor PMD",
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3 . 27  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor  ,2500000,,
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3 . 27 . 04  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Penyimpanan Perlengkapan Kantor ,2500000," Belanja modal filling cabinet
Belanja Filling Cabinet1 unit x 2.500.000,00 = 2.500.000,00",
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3 . 28  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga  ,8000000,,
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3 . 28 . 04  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pendingin  ,4000000," AC UnitBelanja Modal AC 1/2 PK1 unit x 4.000.000,00 = 4.000.000,00",
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3 . 28 . 05  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Dapur  ,4000000," Belanja modal pengadaan Dispenser
Belanja Dispenser2 unit x 2.000.000,00 = 4.000.000,00",
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3 . 29  , Belanja Modal Peralatan dan Mesin - Pengadaan Komputer  ,49500000,,
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3 . 29 . 01  , Belanja Modal Peralatan dan Mesin - Pengadaan Komputer Unit Jaringan  ,20000000," Belanja alat aplikasi program pendataan aset pnpm1 LS x 20.000.000,00 = 20.000.000,00",
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3 . 29 . 02  , Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer  ,27000000," Belanja komputer PC
Belanja modal komputer PC2 unit x 7.500.000,00 = 15.000.000,00
Belanja komputer notebook1 unit x 12.000.000,00 = 12.000.000,00",
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3 . 29 . 05  , Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Personal Komputer ,2500000," Belanja modal printer
Belanja modal printer epson1 unit x 2.500.000,00 = 2.500.000,00",
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3 . 30  , Belanja Modal Peralatan dan Mesin - Pengadaan Meja Dan Kursi Kerja/Rapat Pejabat ,4500000,,
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3 . 30 . 07  , Belanja Modal Peralatan dan Mesin - Pengadaan Lemari dan Arsip Pejabat  ,4500000," Belanja modal pengadaan Lemari/rak arsip1 unit x 4.500.000,00 = 4.500.000,00",
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3 . 31  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio  ,6000000,,
1.22 . 1.22.01 . 02 . 34 . 5 . 2 . 3 . 31 . 02  , Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Video dan Film ,6000000," Pengadaan Televisi1 unit x 6.000.000,00 = 6.000.000,00",
1.22 . 1.22.01 . 06  , Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan ,13745000,,
1.22 . 1.22.01 . 06 . 01  , Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD  ,13745000," Sumber Dana :
 Lokasi Kegiatan : kab. Bantul",
1.22 . 1.22.01 . 06 . 01 . 5 . 2 . 1  , Belanja Pegawai  ,850000,,
1.22 . 1.22.01 . 06 . 01 . 5 . 2 . 1 . 03  , Uang Lembur  ,850000,,
1.22 . 1.22.01 . 06 . 01 . 5 . 2 . 1 . 03 . 01  , Uang Lembur PNS  ,850000," Uang Lembur PNS
Gol III40 ok x 15.000,00 = 600.000,00
Gol II25 ok x 10.000,00 = 250.000,00",
1.22 . 1.22.01 . 06 . 01 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,12895000,,
1.22 . 1.22.01 . 06 . 01 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,7800000,,
1.22 . 1.22.01 . 06 . 01 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,7800000," Belanja Alat Tulis Kantor12 paket x 650.000,00 = 7.800.000,00",
1.22 . 1.22.01 . 06 . 01 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,1250000,,
1.22 . 1.22.01 . 06 . 01 . 5 . 2 . 2 . 03 . 14  , Belanja Dekorasi  ,500000," Belanja Dekorasi1 LS x 500.000,00 = 500.000,00",
1.22 . 1.22.01 . 06 . 01 . 5 . 2 . 2 . 03 . 15  , Belanja Publikasi  ,750000," Belanja Publikasi
Belanja Publikasi/ spanduk6 paket x 125.000,00 = 750.000,00",
1.22 . 1.22.01 . 06 . 01 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,3845000,,
1.22 . 1.22.01 . 06 . 01 . 5 . 2 . 2 . 06 . 01  , Belanja Cetak  ,2000000," Belanja Cetak1 LS x 2.000.000,00 = 2.000.000,00",
1.22 . 1.22.01 . 06 . 01 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,1845000," Belanja Penggandaan12,300 lbr x 150,00 = 1.845.000,00",
1.22 . 1.22.01 . 15  , Program Peningkatan Keberdayaan Masyarakat Perdesaan  ,205735000,,
1.22 . 1.22.01 . 15 . 01  , Pemberdayaan Lembaga dan Organisasi Masyarakat Perdesaan  ,44960000,,
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 1  , Belanja Pegawai  ,17620000,"  Sumber Dana : 
Lokasi Kegiatan : 17 kecamatan",
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 1 . 01  , Honorarium PNS  ,17620000,,
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,17620000," Honorarium Pelaksana kegiatan
Honor tim pengarah P2MD Kab.Bantul1 BJJ x 6.720.000,00 = 6.720.000,00
Honor tim teknis P2MD Kab.Bantul1 BJJ x 10.000.000,00 = 10.000.000,00
Honor Panitia sosialisasi P2MD10 org x 90.000,00 = 900.000,00",
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,27340000,,
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,3880000,,
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,3880000," Belanja ATK
Belanja ATK kegiatan1 LS x 2.500.000,00 = 2.500.000,00
Belanja ATK peserta sosialisasi P2MD92 org x 15.000,00 = 1.380.000,00",
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,1000000,,
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,1000000," Belanja Penggandaan1 LS x 1.000.000,00 = 1.000.000,00",
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,13600000,,
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,7000000," Belanja makan minum Rapat350 ok x 20.000,00 = 7.000.000,00",
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 2 . 11 . 05  , Belanja Makanan dan Minuman Pelaksanaan Kegiatan  ,6600000," Belaja makan minum kegiatan160 org x 20.000,00 = 3.200.000,00
Belanja makan minum snack dalam rangka Monev170 ok x 20.000,00 = 3.400.000,00",
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 2 . 20  , Belanja Pemeliharaan  ,3000000,,
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 2 . 20 . 04  , Belanja Pemeliharan Peralatan dan Mesin  ,3000000," Belanja pemeliharaan komputer1 LS x 3.000.000,00 = 3.000.000,00",
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",5860000,,
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 2 . 35 . 01  , Jasa Nara Sumber/Moderator/Tenaga Ahli  ,3100000," Honorarium Narasumber
Honorarium Narasumber sosialisasi P2MD10 jpl x 250.000,00 = 2.500.000,00
Honorarium moderator sosialisasi P2MD4 JPL x 150.000,00 = 600.000,00",
1.22 . 1.22.01 . 15 . 01 . 5 . 2 . 2 . 35 . 05  , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi  ,2760000," Honorarium peserta
Honorarium peserta sosialisasi P2MD92 OH x 30.000,00 = 2.760.000,00",
1.22 . 1.22.01 . 15 . 02  , Penyelenggaraan Pendidikan dan Pelatihan Tenaga Teknis dan Masyarakat ,33500000," Sumber Dana : 
Lokasi Kegiatan : kab. Bantul",
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 1  , Belanja Pegawai  ,750000,,
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 1 . 01  , Honorarium PNS  ,750000,,
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,750000," Honor Pelaksana Kegiatan
Hr Panitia Pelatihan10 oh x 75.000,00 = 750.000,00",
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,32750000,,
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,5605000,,
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,5605000," Belanja Alat Tulis Kantor
Belanja Alat Tulis Penunjang Kegiatan1 thn x 730.000,00 = 730.000,00
Blj ATK Peserta ( Tas,BlokNot.Polpoint )75 org x 65.000,00 = 4.875.000,00",
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,3090000,,
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2 . 06 . 01  , Belanja Cetak  ,600000," Belanja cetak
Belanja Cetak200 lbr x 3.000,00 = 600.000,00",
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,2490000," Belanja penggandaan
Belanja Fotocopy Kegiatan4,100 1 x 150,00 = 615.000,00
BelanjaModul P3MD75 set x 25.000,00 = 1.875.000,00",
