Judul,Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
1.01 . 1.01.01 . 01.02 . 5.2.2.03.03 ,Belanja Listrik ,25500000,21250000,-4250000,-16.67,"Belanja Listrik Dinas2 Unit x 0,00 = 0,00
Belanja Listrik UPT17 Unit x 0,00 = 0,00
Belanja Listrik UPT17 17 x 1.250.000,00 = 21.250.000,00"
1.01 . 1.01.01 . 01.06 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional,5600000,5600000,0,0,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 01.06 . 5.2.2 ,Belanja Barang dan Jasa ,5600000,5600000,0,0,
1.01 . 1.01.01 . 01.06 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,5600000,5600000,0,0,
1.01 . 1.01.01 . 01.06 . 5.2.2.05.05 ,Belanja Surat Tanda Nomor Kendaraan ,5600000,5600000,0,0,"Kendaraan Roda Dua
perpanjangan Kendaraan Roda Dua30 Kendaraan x 80.000,00 = 2.400.000,00
Kendaraan Roda 41 Mobil x 0,00 = 0,00
perpanjangan roda empat4 kendaraan x 800.000,00 = 3.200.000,00"
1.01 . 1.01.01 . 01.07 ,Penyediaan Jasa Administrasi Keuangan ,51360000,65700000,14340000,27.92,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 01.07 . 5.2.1 ,Belanja Pegawai ,51360000,65700000,14340000,27.92,
1.01 . 1.01.01 . 01.07 . 5.2.1.01 ,Honorarium PNS ,51360000,65700000,14340000,27.92,
1.01 . 1.01.01 . 01.07 . 5.2.1.01.03 ,Honor Pengelola Keuangan dan Barang ,51360000,65700000,14340000,27.92,"PPK
12 Bulan x 275.000,00 = 3.300.000,00
Bendahara Pengeluaran
12 Bulan x 250.000,00 = 3.000.000,00
Pembantu PPK
48 Bulan x 200.000,00 = 9.600.000,00
Pengurus Gaji Dinas
12 Bulan x 100.000,00 = 1.200.000,00
Pengurus Gaji UPT
204 Bulan x 100.000,00 = 20.400.000,00
Pengurus Barang Dinas
12 Bulan x 300.000,00 = 3.600.000,00
Pembantu Pengurus Barang Dinas
12 Bulan x 100.000,00 = 1.200.000,00
pengurs penyimpan barang
12 bulan x 0,00 = 0,00
Pembantu Pengurus Barang Tingkat UPT
204 Bulan x 100.000,00 = 20.400.000,00
Penyimpan barang dinas
12 bulan x 250.000,00 = 3.000.000,00"
1.01 . 1.01.01 . 01.08 ,Penyediaan Jasa Kebersihan Kantor ,87400000,104850000,17450000,19.97,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 01.08 . 5.2.1 ,Belanja Pegawai ,57000000,67800000,10800000,18.95,
1.01 . 1.01.01 . 01.08 . 5.2.1.02 ,Honorarium Non PNS ,57000000,67800000,10800000,18.95,
1.01 . 1.01.01 . 01.08 . 5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,57000000,67800000,10800000,18.95,"PTT Dinas
Hr PTT UPT PPD 2 orang24 ob x 1.130.000,00 = 27.120.000,00
Hr Tenaga Kontrak Dinas36 ob x 1.130.000,00 = 40.680.000,00"
1.01 . 1.01.01 . 01.08 . 5.2.2 ,Belanja Barang dan Jasa ,30400000,37050000,6650000,21.88,
1.01 . 1.01.01 . 01.08 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,30400000,37050000,6650000,21.88,
1.01 . 1.01.01 . 01.08 . 5.2.2.01.05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih,30400000,37050000,6650000,21.88,"Dinas1 LS x 16.650.000,00 = 16.650.000,00
UPT17 LS x 1.200.000,00 = 20.400.000,00"
1.01 . 1.01.01 . 01.09 ,Penyediaan Jasa Perbaikan Peralatan Kerja ,45000000,45000000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 01.09 . 5.2.2 ,Belanja Barang dan Jasa ,45000000,45000000,0,0,
1.01 . 1.01.01 . 01.09 . 5.2.2.20 ,Belanja Pemeliharaan ,45000000,45000000,0,0,
1.01 . 1.01.01 . 01.09 . 5.2.2.20.18 ,Belanja pemeliharaan alat kantor ,45000000,45000000,0,0,"Dinas
Perbaikan Komputer dan Penggantian Suku Cadang
11 Tahun x 1.000.000,00 = 11.000.000,00
Perbaikan AC dan Suku Cadang
8 Tahun x 325.000,00 = 2.600.000,00
Servis Mesin Ketik
9 Unit x 125.000,00 = 1.125.000,00
Mesin Penggandaan
1 Unit x 525.000,00 = 525.000,00
UPT
Perbaikan Komputer dan Penggantian Suku Cadang
34 Unit x 750.000,00 = 25.500.000,00
Servis Mesin Ketik
34 Unit x 125.000,00 = 4.250.000,00"
1.01 . 1.01.01 . 01.10 ,Penyediaan Alat Tulis Kantor ,90000000,90000000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 01.10 . 5.2.2 ,Belanja Barang dan Jasa ,90000000,90000000,0,0,
1.01 . 1.01.01 . 01.10 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,90000000,90000000,0,0,
1.01 . 1.01.01 . 01.10 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,90000000,90000000,0,0,"Dinas
Belanja ATK1 Ls x 25.400.000,00 = 25.400.000,00
UPTBelanja ATK UPT17 Ls x 3.800.000,00 = 64.600.000,00"
1.01 . 1.01.01 . 01.11 ,Penyediaan Barang Cetakan dan Penggandaan ,75000000,100000000,25000000,33.33,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 01.11 . 5.2.2 ,Belanja Barang dan Jasa ,75000000,100000000,25000000,33.33,
1.01 . 1.01.01 . 01.11 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,75000000,100000000,25000000,33.33,
1.01 . 1.01.01 . 01.11 . 5.2.2.06.01 ,Belanja Cetak ,19200000,19200000,0,0,"Dinas
Belanja Cetak Dinas1 Ls x 9.000.000,00 = 9.000.000,00
UPTBelanja Cetak UPT17 Ls x 600.000,00 = 10.200.000,00"
1.01 . 1.01.01 . 01.11 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,55800000,80800000,25000000,44.8,"Dinas
Belanja Fotocopy Dinas223,600 Lb x 125,00 = 27.950.000,00
UPTBelanja Fotocopy UPT422,800 Lb x 125,00 = 52.850.000,00"
1.01 . 1.01.01 . 01.12 ,Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor,15000000,15000000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 01.12 . 5.2.2 ,Belanja Barang dan Jasa ,15000000,15000000,0,0,
1.01 . 1.01.01 . 01.12 . 5.2.2.03 ,Belanja Jasa Kantor ,15000000,15000000,0,0,
1.01 . 1.01.01 . 01.12 . 5.2.2.03.03 ,Belanja Listrik ,15000000,15000000,0,0,"Dinas
Belanja Listrik Dinas1 ls x 4.800.000,00 = 4.800.000,00
UPTBelanja Listrik UPT17 UPT x 600.000,00 = 10.200.000,00"
1.01 . 1.01.01 . 01.14 ,Penyediaan Peralatan Rumah Tangga ,16500000,36500000,20000000,121.21,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 01.14 . 5.2.2 ,Belanja Barang dan Jasa ,16500000,36500000,20000000,121.21,
1.01 . 1.01.01 . 01.14 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,13100000,33100000,20000000,152.67,
1.01 . 1.01.01 . 01.14 . 5.2.2.01.09 ,"Belanja pembelian bendera,papan nama dll ",13100000,33100000,20000000,152.67,"Pembelian bendera papan nama dan dll
Belanja bendera, papan nama, dll Dinas
1 Ls x 800.000,00 = 800.000,00
Belanja bendera, papan nama, dll UPT
17 ls x 400.000,00 = 6.800.000,00
Belanja Taplak Meja Dinas
50 Buah x 100.000,00 = 5.000.000,00
Belanja Spanduk Dinas
20 Buah x 300.000,00 = 6.000.000,00
Belanja Umbul - umbul Dinas
30 Buah x 100.000,00 = 3.000.000,00
Belanja gorden
1 Ls x 11.500.000,00 = 11.500.000,00"
1.01 . 1.01.01 . 01.14 . 5.2.2.02 ,Belanja Bahan/Material ,3400000,3400000,0,0,
1.01 . 1.01.01 . 01.14 . 5.2.2.02.07 ,Belanja Cindera Mata ,3400000,3400000,0,0,"Belanja Piala1 Ls x 3.400.000,00 = 3.400.000,00"
1.01 . 1.01.01 . 01.15 ,Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan,17000000,17000000,0,0,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 01.15 . 5.2.2 ,Belanja Barang dan Jasa ,17000000,17000000,0,0,
1.01 . 1.01.01 . 01.15 . 5.2.2.03 ,Belanja Jasa Kantor ,17000000,17000000,0,0,
1.01 . 1.01.01 . 01.15 . 5.2.2.03.05 ,Belanja Surat Kabar/Majalah ,17000000,17000000,0,0,"Dinas
Majalah1 Ls x 920.000,00 = 920.000,00
Surat Kabar 2 Macam24 BL x 75.000,00 = 1.800.000,00
UPTBelanja Surat Kabar UPT204 bulan x 70.000,00 = 14.280.000,00"
1.01 . 1.01.01 . 01.17 ,Penyediaan Makanan dan Minuman ,94575000,170325000,75750000,80.1,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 01.17 . 5.2.2 ,Belanja Barang dan Jasa ,94575000,170325000,75750000,80.1,
1.01 . 1.01.01 . 01.17 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,94575000,170325000,75750000,80.1,
1.01 . 1.01.01 . 01.17 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,90825000,166575000,75750000,83.4,"Dinas
Makan minum3,000 Dos x 17.500,00 = 52.500.000,00
Snack Minum4,500 Dos x 7.500,00 = 33.750.000,00
UPTMakan Minum1,530 Dos x 15.000,00 = 22.950.000,00
Snack Minum7,650 Dos x 7.500,00 = 57.375.000,00"
1.01 . 1.01.01 . 01.17 . 5.2.2.11.03 ,Belanja Makanan Dan Minuman Tamu ,3750000,3750000,0,0,"Dinas
Makan Minum100 Dos x 17.500,00 = 1.750.000,00
Snack Minum200 Dos x 10.000,00 = 2.000.000,00
sisa1 dos x 0,00 = 0,00"
1.01 . 1.01.01 . 01.18 ,Rapat-Rapat Koordinasi dan Konsultasi Ke Luar Daerah,70000000,70000000,0,0,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 01.18 . 5.2.2 ,Belanja Barang dan Jasa ,70000000,70000000,0,0,
1.01 . 1.01.01 . 01.18 . 5.2.2.15 ,Belanja Perjalanan Dinas ,70000000,70000000,0,0,
1.01 . 1.01.01 . 01.18 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,70000000,70000000,0,0,"Gol IVTiket Transpot1 ls x 15.200.000,00 = 15.200.000,00
Lungsum 2 hari16 OH x 1.700.000,00 = 27.200.000,00
Gol IIITiket Kereta API PP/Bus1 ls x 7.450.000,00 = 7.450.000,00
Lungsum 2 Hari13 Oh x 1.550.000,00 = 20.150.000,00"
1.01 . 1.01.01 . 01.19 ,Rapat Koordinasi dan Konsultasi ke Dalam Daerah,7000000,7000000,0,0,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 01.19 . 5.2.2 ,Belanja Barang dan Jasa ,7000000,7000000,0,0,
1.01 . 1.01.01 . 01.19 . 5.2.2.15 ,Belanja Perjalanan Dinas ,7000000,7000000,0,0,
1.01 . 1.01.01 . 01.19 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,7000000,7000000,0,0,"Perjalanan DInas Dalam Daerah Luar Bantul di Prov DIY
Gol IV13 OH x 70.000,00 = 910.000,00
Gol III28 OH x 60.000,00 = 1.680.000,00
Gol II5 OH x 50.000,00 = 250.000,00
Perjalanan DInas Dalam Daerah Desa/Kecamatan di Bantul
Gol IV52 OH x 45.000,00 = 2.340.000,00
Gol III42 OH x 35.000,00 = 1.470.000,00
Gol II14 OH x 25.000,00 = 350.000,00"
1.01 . 1.01.01 . 02 ,Program Peningkatan Sarana dan Prasarana Aparatur,349917392,435917392,86000000,24.58,
1.01 . 1.01.01 . 02.11 ,Pengadaan Barang Bercorak Kesenian ,199759892,199759892,0,0,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 02.11 . 5.2.3 ,Belanja Modal ,199759892,199759892,0,0,
1.01 . 1.01.01 . 02.11 . 5.2.3.28 ,"Belanja Modal Pengadaan Barang Bercorak Kesenian, Kebudayaan",199759892,199759892,0,0,
1.01 . 1.01.01 . 02.11 . 5.2.3.28.07 ,Belanja modal pengadaan alat kesenian ,199759892,199759892,0,0,"Belanja modal gamelan
4 Set x 48.500.000,00 = 194.000.000,00
HR Panitia Pengadaan
Hr Tim Pengadaan Barang
1 org x 300.000,00 = 300.000,00
HR Tim Penerima Barang
1 bjj x 1.075.000,00 = 1.075.000,00
Jamuan rapat
45 Org x 17.500,00 = 787.500,00
Pembelian ATK
1 Ls x 1.547.392,00 = 1.547.392,00
Penggandaan
16,400 Lbr x 125,00 = 2.050.000,00"
1.01 . 1.01.01 . 02.24 ,Pemeliharaan Rutin/Berkala Kendaraan Dinas / Operasional,105600000,115600000,10000000,9.47,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 02.24 . 5.2.2 ,Belanja Barang dan Jasa ,105600000,115600000,10000000,9.47,
1.01 . 1.01.01 . 02.24 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,105600000,115600000,10000000,9.47,
1.01 . 1.01.01 . 02.24 . 5.2.2.05.01 ,Belanja Jasa Service ,4050000,4050000,0,0,"Biaya servis Kendaraan Roda dua
Servis roda dua30 Buah x 35.000,00 = 1.050.000,00
Biaya servis kendaraan roda empat
Servis roda empat4 Buah x 750.000,00 = 3.000.000,00"
1.01 . 1.01.01 . 02.24 . 5.2.2.05.02 ,Belanja Penggantian Suku Cadang ,14250000,14250000,0,0,"Pembelian Suku cadang kend.roda 2suku cadang roda 230 Buah x 75.000,00 = 2.250.000,00
Pembelian Suku cadang Kend.roda 4Suku cadang roda empat4 Buah x 3.000.000,00 = 12.000.000,00"
1.01 . 1.01.01 . 02.24 . 5.2.2.05.03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,87300000,97300000,10000000,11.45,"Operasional Dinas
1 Ls x 95.070.000,00 = 95.070.000,00
Operasional Lomba UKS
0 lt x 10.000,00 = 0,00
Operasional DAK SMP
0 lt x 10.000,00 = 0,00
Operasional DAK SD
0 ltr x 10.000,00 = 0,00
Lomba Adiwiyata SD
0 ltr x 10.000,00 = 0,00
Operasional Perijinan Sekolah
0 lt x 10.000,00 = 0,00
Belanja Pelumas
1 Ls x 2.230.000,00 = 2.230.000,00"
1.01 . 1.01.01 . 02.34 ,Pengadaan Peralatan dan Perlengkapan Kantor ,44557500,75557500,31000000,69.57,Sumber Dana : 
1.01 . 1.01.01 . 02.34 . 5.2.3 ,Belanja Modal ,44557500,75557500,31000000,69.57,
1.01 . 1.01.01 . 02.34 . 5.2.3.12 ,Belanja Modal Pengadaan Komputer ,44557500,75557500,31000000,69.57,
1.01 . 1.01.01 . 02.34 . 5.2.3.12.02 ,Belanja Modal Pengadaan Komputer/PC ,44557500,75557500,31000000,69.57,"Belanja Modal Pengadaan Komputer
Belanja Modal Pengadaan Komputer DDram 2 giga
7 unit x 7.750.000,00 = 54.250.000,00
honor pejabat pengadaan
1 Or x 300.000,00 = 300.000,00
Honor Tim Penerima Barang
1 bjj x 600.000,00 = 600.000,00
Penggandaan
3,260 lbr x 125,00 = 407.500,00
Belanja Komputer DDRam 4 Giga
2 bh x 10.000.000,00 = 20.000.000,00"
1.01 . 1.01.01 . 02.42 ,Rehabilitasi sedang/berat rumah gedung kantor ,0,45000000,45000000,0,"Sumber Dana : Pendapatan Asli Daerah (P A D)
Lokasi Kegiatan : Kab Bantul"
1.01 . 1.01.01 . 02.42 . 5.2.1 ,Belanja Pegawai ,0,14000000,14000000,0,
1.01 . 1.01.01 . 02.42 . 5.2.1.02 ,Honorarium Non PNS ,0,14000000,14000000,0,
1.01 . 1.01.01 . 02.42 . 5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,0,14000000,14000000,0,"Upah tukang pembuatan tempat parkir kendaraan karyawan kantor1 Ls x 14.000.000,00 = 14.000.000,00"
1.01 . 1.01.01 . 02.42 . 5.2.2 ,Belanja Barang dan Jasa ,0,31000000,31000000,0,
1.01 . 1.01.01 . 02.42 . 5.2.2.02 ,Belanja Bahan/Material ,0,31000000,31000000,0,
1.01 . 1.01.01 . 02.42 . 5.2.2.02.01 ,Belanja Bahan Baku untuk Bangunan / Kegiatan Pelayanan / Kegiatan Operasi,0,31000000,31000000,0,"Belanja bahan baku bangunan pembuatan parkir kendaraan karyawan kantor
Belanja bahan baku bangunan parkir kendaraan karyawan kantor1 ruang x 31.000.000,00 = 31.000.000,00"
1.01 . 1.01.01 . 05 ,Program Peningkatan Kapasitas Sumber Daya Aparatur,229325000,290100000,60775000,26.5,
1.01 . 1.01.01 . 05.04 ,Penilaian Angka Kredit Pejabat Fungsional ,30000000,30000000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 05.04 . 5.2.1 ,Belanja Pegawai ,12320000,12320000,0,0,
1.01 . 1.01.01 . 05.04 . 5.2.1.01 ,Honorarium PNS ,9380000,9380000,0,0,
1.01 . 1.01.01 . 05.04 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,9380000,9380000,0,0,"Honor Tim ( diberikan 2 kali setahun )Honor Tim1 Bjj x 9.380.000,00 = 9.380.000,00"
1.01 . 1.01.01 . 05.04 . 5.2.1.03 ,Uang Lembur ,2940000,2940000,0,0,
1.01 . 1.01.01 . 05.04 . 5.2.1.03.01 ,Uang Lembur PNS ,2940000,2940000,0,0,"Uang Lembur PNS1 Ls x 2.940.000,00 = 2.940.000,00"
1.01 . 1.01.01 . 05.04 . 5.2.2 ,Belanja Barang dan Jasa ,17680000,17680000,0,0,
1.01 . 1.01.01 . 05.04 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,3490000,3490000,0,0,
1.01 . 1.01.01 . 05.04 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,3490000,3490000,0,0,"Belanja Alat Kantor
Belanja ATK1 Ls x 3.490.000,00 = 3.490.000,00"
1.01 . 1.01.01 . 05.04 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,1500000,1500000,0,0,
1.01 . 1.01.01 . 05.04 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,1500000,1500000,0,0,"penggandaan instrumen PAKInstrumen PAK12,000 lembar x 125,00 = 1.500.000,00"
1.01 . 1.01.01 . 05.04 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,7140000,7140000,0,0,
1.01 . 1.01.01 . 05.04 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,1750000,1750000,0,0,"Belanja Makan MInum Rapat100 org x 17.500,00 = 1.750.000,00"
1.01 . 1.01.01 . 05.04 . 5.2.2.11.04 ,Belanja Makanan dan Minuman lembur ,3150000,3150000,0,0,"Makan Minum Lembur210 Org x 15.000,00 = 3.150.000,00"
1.01 . 1.01.01 . 05.04 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,2240000,2240000,0,0,"Belanja Makan Minum KegiatanMakan Minum Kegiatan128 Org x 17.500,00 = 2.240.000,00"
1.01 . 1.01.01 . 05.04 . 5.2.2.15 ,Belanja Perjalanan Dinas ,5550000,5550000,0,0,
1.01 . 1.01.01 . 05.04 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,5550000,5550000,0,0,"Belanja perjalanan Dinas dalam Daerah1 Ls x 5.550.000,00 = 5.550.000,00"
1.01 . 1.01.01 . 05.09 ,Verifikasi Data Sertifikasi Guru Dalam Jabatan ,199325000,199325000,0,0,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 05.09 . 5.2.1 ,Belanja Pegawai ,12925000,12925000,0,0,
1.01 . 1.01.01 . 05.09 . 5.2.1.01 ,Honorarium PNS ,11200000,11200000,0,0,
1.01 . 1.01.01 . 05.09 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,11200000,11200000,0,0,"Honor Tim SOSIALISASI
Honor Tim Sosialisasi4 hari X 4 x 10 orang1 Bjj x 11.200.000,00 = 11.200.000,00"
1.01 . 1.01.01 . 05.09 . 5.2.1.03 ,Uang Lembur ,1725000,1725000,0,0,
1.01 . 1.01.01 . 05.09 . 5.2.1.03.01 ,Uang Lembur PNS ,1725000,1725000,0,0,"Uang Lembur PNS1 Ls x 1.725.000,00 = 1.725.000,00"
1.01 . 1.01.01 . 05.09 . 5.2.2 ,Belanja Barang dan Jasa ,186400000,186400000,0,0,
1.01 . 1.01.01 . 05.09 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,2445000,2445000,0,0,
1.01 . 1.01.01 . 05.09 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,2445000,2445000,0,0,"Belanja ATK1 Ls x 2.445.000,00 = 2.445.000,00"
1.01 . 1.01.01 . 05.09 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,3500000,3500000,0,0,
1.01 . 1.01.01 . 05.09 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,3500000,3500000,0,0,"Penggandaan/Fotocopy
Fotocopy/Penggandaan28,000 Lbr x 125,00 = 3.500.000,00"
1.01 . 1.01.01 . 05.09 . 5.2.2.10 ,Belanja Sewa Perlengkapan Dan Peralatan Kantor ,9600000,9600000,0,0,
1.01 . 1.01.01 . 05.09 . 5.2.2.10.01 ,Belanja Sewa Meja Kursi ,9600000,9600000,0,0,"sewa meja kursi
Sewa meja kursi 400 X 4 hari X 44,800 buah x 2.000,00 = 9.600.000,00"
1.01 . 1.01.01 . 05.09 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,143475000,143475000,0,0,
