Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,,
Daerah,Kabupaten Gunungkidul,,,,,,
tahun ,2015,,,,,,
Kode Organisasi,2.06,,,,,,
Nama Organisasi,Kantor Pengelolaan Pasar,,,,,,
Kolom,4,,,,,,
Kode Rekening,Uraian,jumlah,Penjelasan,,,,
2.06.2.06.02.02.26. ,PEMELIHARAAN RUTIN/BERKALA PERLENGKAPAN ,5000000,Lokasi Kegiatan: Kantor Pengelolaan Pasar GEDUNG KANTOR Sumber Dana: DAU^,,,,
2.06.2.06.02.02.26.5.2.1. ,BELANJA PEGAWAI ,800000,,,,,
2.06.2.06.02.02.26.5.2.1.02. ,Honorarium Non PNS ,800000,,,,,
2.06.2.06.02.02.26.5.2.1.02.004. ,Upah/ongkos tenaga ,800000, Upah tenaga 80000000,,,,
2.06.2.06.02.02.26.5.2.2. ,BELANJA BARANG DAN JASA ,4200000,,,,,
2.06.2.06.02.02.26.5.2.2.01. ,Belanja Bahan Pakai Habis ,1200000,,,,,
2.06.2.06.02.02.26.5.2.2.01.008. ,Belanja pengisian tabung gas ,1200000, pengecekan servis dan pengisian tabung gas 120000000,,,,
2.06.2.06.02.02.26.5.2.2.18. ,Belanja perawatan peralatan dan perlengkapan ,3000000, kantor,,,,
2.06.2.06.02.02.26.5.2.2.18.002. ,Belanja pemeliharaan perlengkapan kantor ,3000000, Belanja pemeliharaan perlengkapan kantor 300000000,,,,
2.06.2.06.02.03. ,PROGRAM PENINGKATAN DISIPLIN APARATUR ,16390000,,,,,
2.06.2.06.02.03.05. ,PENGADAAN PAKAIAN KHUSUS HARI-HARI ,10100000,Lokasi Kegiatan: Kantor Pengelolaan Pasar TERTENTU Sumber Dana: DAU^,,,,
2.06.2.06.02.03.05.5.2.2. ,BELANJA BARANG DAN JASA ,10100000,,,,,
2.06.2.06.02.03.05.5.2.2.14. ,Belanja Pakaian Khusus dan hari-hari tertentu ,10100000,,,,,
2.06.2.06.02.03.05.5.2.2.14.003. ,Belanja Pakaian batik tradisional ,10100000, Belanja pakaian dinas batik 1010000000,,,,
2.06.2.06.02.03.06. ,PENATALAKSANAAN KEPEGAWAIAN SKPD ,6290000,Lokasi Kegiatan: Kantor Pengelolaan Pasar Sumber Dana: DAU,,,,
2.06.2.06.02.03.06.5.2.1. ,BELANJA PEGAWAI ,840000,,,,,
2.06.2.06.02.03.06.5.2.1.03. ,Uang Lembur ,840000,,,,,
2.06.2.06.02.03.06.5.2.1.03.001. ,Uang Lembur PNS ,840000, Gol IV/III 48000000 Gol II 36000000,,,,
2.06.2.06.02.03.06.5.2.2. ,BELANJA BARANG DAN JASA ,5450000,,,,,
2.06.2.06.02.03.06.5.2.2.03. ,Belanja Jasa Kantor ,1500000,,,,,
2.06.2.06.02.03.06.5.2.2.03.027. ,Belanja jasa narasumber/tenaga ahli ,1500000, Honor narasumber 150000000,,,,
2.06.2.06.02.03.06.5.2.2.06. ,Belanja Cetak dan Penggandaan ,1200000,,,,,
2.06.2.06.02.03.06.5.2.2.06.002. ,Belanja Penggandaan/Foto copy ,1200000, Belanja penggandaan 120000000,,,,
2.06.2.06.02.03.06.5.2.2.11. ,Belanja Makanan dan Minuman ,2750000,,,,,
2.06.2.06.02.03.06.5.2.2.11.002. ,Belanja makanan dan minuman rapat ,2750000, Belanja makan 200000000 Minum snack 75000000,,,,
2.06.2.06.02.05. ,PROGRAM PENINGKATAN KAPASITAS SUMBER ,3000000, DAYA APARATUR,,,,
2.06.2.06.02.05.03. ,BIMBINGAN TEKNIS IMPLEMENTASI PERATURAN ,3000000,Lokasi Kegiatan: Wonosari PERUNDANG-UNDANGAN Sumber Dana: DAU^,,,,
2.06.2.06.02.05.03.5.2.1. ,BELANJA PEGAWAI ,3000000,,,,,
2.06.2.06.02.05.03.5.2.1.05. ,Belanja Kursus^ Pelatihan^Sosialisasi^ dan ,3000000, Bimbingan Teknis PN,,,,
2.06.2.06.02.05.03.5.2.1.05.003. ,Belanja Bimbingan Teknis ,3000000, Belanja bimbingan teknis peningkatan kapasitas SDM apartaur 300000000,,,,
2.06.2.06.02.06. ,PROGRAM PENINGKATAN PENGEMBANGAN SISTEM ,5112500, PELAPORAN CAPAIAN KINERJA DAN KEUANGAN,,,,
2.06.2.06.02.06.01. ,PENYUSUNAN LAPORAN CAPAIAN KINERJA DAN ,1297500,Lokasi Kegiatan: Kab Gunungkidul IKHTISAR REALISASI KINERJA SKPD Sumber Dana: DAU^,,,,
2.06.2.06.02.06.01.5.2.1. ,BELANJA PEGAWAI ,360000,,,,,
2.06.2.06.02.06.01.5.2.1.03. ,Uang Lembur ,360000,,,,,
2.06.2.06.02.06.01.5.2.1.03.001. ,Uang Lembur PNS ,360000, Gol IV/III 24000000 Gol II 12000000,,,,
2.06.2.06.02.06.01.5.2.2. ,BELANJA BARANG DAN JASA ,937500,,,,,
2.06.2.06.02.06.01.5.2.2.06. ,Belanja Cetak dan Penggandaan ,250000,,,,,
2.06.2.06.02.06.01.5.2.2.06.002. ,Belanja Penggandaan/Foto copy ,250000, Belanja penggandaan 25000000,,,,
2.06.2.06.02.06.01.5.2.2.11. ,Belanja Makanan dan Minuman ,687500,,,,,
2.06.2.06.02.06.01.5.2.2.11.002. ,Belanja makanan dan minuman rapat ,687500, Minum snack rapat 18750000 Makan rapat 50000000,,,,
2.06.2.06.02.06.02. ,PENYUSUNAN PELAPORAN KEUANGAN SEMESTERAN ,570000,Lokasi Kegiatan: Kab Gunungkidul Sumber Dana: DAU,,,,
2.06.2.06.02.06.02.5.2.1. ,BELANJA PEGAWAI ,270000,,,,,
2.06.2.06.02.06.02.5.2.1.03. ,Uang Lembur ,270000,,,,,
2.06.2.06.02.06.02.5.2.1.03.001. ,Uang Lembur PNS ,270000, Gol IV/III 18000000 Gol II/I 9000000,,,,
2.06.2.06.02.06.02.5.2.2. ,BELANJA BARANG DAN JASA ,300000,,,,,
2.06.2.06.02.06.02.5.2.2.11. ,Belanja Makanan dan Minuman ,300000,,,,,
2.06.2.06.02.06.02.5.2.2.11.001. ,Belanja makanan dan minuman harian pegawai ,300000, Makan minum lembur 30000000,,,,
2.06.2.06.02.06.04. ,PENYUSUNAN PELAPORAN KEUANGAN AKHIR ,1495000,Lokasi Kegiatan: Kab Gunungkidul TAHUN Sumber Dana: DAU^,,,,
2.06.2.06.02.06.04.5.2.1. ,BELANJA PEGAWAI ,440000,,,,,
2.06.2.06.02.06.04.5.2.1.03. ,Uang Lembur ,440000,,,,,
2.06.2.06.02.06.04.5.2.1.03.001. ,Uang Lembur PNS ,440000, Gol IV/III 32000000 Gol II 12000000,,,,
2.06.2.06.02.06.04.5.2.2. ,BELANJA BARANG DAN JASA ,1055000,,,,,
