Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,,
Daerah,Kota Yogyakarta,,,,,,
Tahun,2016,,,,,,
Kode Organisasi,1.03.01,,,,,,
Nama Organisasi, Dinas Permukiman dan Prasarana Wilayah,,,,,,
Kolom,4,,,,,,
KODE REKENING ,URAIAN ,ANGGARAN,PENJELASAN,,,,
1.03.1.03.01.001.002.5.2.2.03.01 ,Belanja Telepon ,2400000,Belanja Telepon 2400000,,,,
1.03.1.03.01.001.002.5.2.2.03.02 ,Belanja Air ,1716000,Belanja Air 1716000,,,,
1.03.1.03.01.001.002.5.2.2.03.03 ,Belanja Listrik ,132000000,Belanja Listrik 132000000,,,,
1.03.1.03.01.001.006 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasinoal ,23635000,,,,,
1.03.1.03.01.001.006.5.2.2 ,BELANJA BARANG DAN JASA ,23635000,,,,,
1.03.1.03.01.001.006.5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,23635000,,,,,
1.03.1.03.01.001.006.5.2.2.05.04 ,Belanja Jasa KIR ,1785000,Belanja Jasa KIR 1785000,,,,
1.03.1.03.01.001.006.5.2.2.05.05 ,Belanja STNK ,21700000,Belanja STNK 21700000,,,,
1.03.1.03.01.001.006.5.2.2.05.06 ,Belanja Perpanjangan Surat Izin Mengemudi ,150000,Belanja Perpanjangan Surat Izin Mengemudi 150000,,,,
1.03.1.03.01.001.007 ,Penyediaan Jasa Administrasi Keuangan ,69600000,,,,,
1.03.1.03.01.001.007.5.2.1 ,BELANJA PEGAWAI ,69600000,,,,,
1.03.1.03.01.001.007.5.2.1.01 ,Honorarium PNS ,69600000,,,,,
1.03.1.03.01.001.007.5.2.1.01.04 ,Honorarium Pengelola Keuangan/Barang ,69600000,Honorarium Pengelola Keuangan/Barang 69600000,,,,
1.03.1.03.01.001.008 ,Penyediaan Jasa Kebersihan Kantor ,74975000,,,,,
1.03.1.03.01.001.008.5.2.1 ,BELANJA PEGAWAI ,1975000,,,,,
1.03.1.03.01.001.008.5.2.1.01 ,Honorarium PNS ,1975000,,,,,
1.03.1.03.01.001.008.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,1650000,Honorarium Panitia Pelaksana Kegiatan 1650000,,,,
1.03.1.03.01.001.008.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,325000,Honorarium Tim Pengadaan Barang dan Jasa 325000,,,,
1.03.1.03.01.001.008.5.2.2 ,BELANJA BARANG DAN JASA ,73000000,,,,,
1.03.1.03.01.001.008.5.2.2.20 ,Belanja Pemeliharaan ,73000000,,,,,
1.03.1.03.01.001.008.5.2.2.20.09 ,Belanja Pemeliharaan Kebersihan ,73000000,Belanja Pemeliharaan Kebersihan 73000000,,,,
1.03.1.03.01.001.010 ,Penyediaan Alat Tulis Kantor ,57973500,,,,,
1.03.1.03.01.001.010.5.2.2 ,BELANJA BARANG DAN JASA ,57973500,,,,,
1.03.1.03.01.001.010.5.2.2.01 ,Belanja Bahan Pakai Habis ,57973500,,,,,
1.03.1.03.01.001.010.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,57973500,Belanja  Alat Tulis Kantor 57973500,,,,
1.03.1.03.01.001.011 ,Penyediaan Barang Cetakan dan Penggandaan ,105640000,,,,,
1.03.1.03.01.001.011.5.2.2 ,BELANJA BARANG DAN JASA ,105640000,,,,,
1.03.1.03.01.001.011.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,105640000,,,,,
1.03.1.03.01.001.011.5.2.2.06.01 ,Belanja Cetak ,41800000,Belanja Cetak 41800000,,,,
1.03.1.03.01.001.011.5.2.2.06.02 ,Belanja Penggandaan ,63840000,Belanja Penggandaan 63840000,,,,
1.03.1.03.01.001.013 ,Penyediaan Peralatan dan Perlengkapan Kantor ,91038000,,,,,
1.03.1.03.01.001.013.5.2.2 ,BELANJA BARANG DAN JASA ,91038000,,,,,
1.03.1.03.01.001.013.5.2.2.01 ,Belanja Bahan Pakai Habis ,4295000,,,,,
1.03.1.03.01.001.013.5.2.2.01.03 ,Belanja Alat Listrik Dan Elektronik ,4295000,Belanja Alat Listrik Dan Elektronik 4295000,,,,
1.03.1.03.01.001.013.5.2.2.02 ,Belanja Bahan/Material ,82743000,,,,,
1.03.1.03.01.001.013.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,82743000,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 82743000,,,,
1.03.1.03.01.001.013.5.2.2.20 ,Belanja Pemeliharaan ,4000000,,,,,
1.03.1.03.01.001.013.5.2.2.20.07 ,Belanja Pemeliharaan Alat-alat Berat/Perbengkelan/Mesin ,4000000,Belanja Pemeliharaan Alat-alat Berat/Perbengkelan/Mesin 4000000,,,,
1.03.1.03.01.001.014 ,Penyediaan Peralatan Rumah Tangga ,18475000,,,,,
1.03.1.03.01.001.014.5.2.2 ,BELANJA BARANG DAN JASA ,8475000,,,,,
1.03.1.03.01.001.014.5.2.2.02 ,Belanja Bahan/Material ,8475000,,,,,
1.03.1.03.01.001.014.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,8475000,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 8475000,,,,
1.03.1.03.01.001.014.5.2.3 ,BELANJA MODAL ,10000000,,,,,
1.03.1.03.01.001.014.5.2.3.13 ,Belanja Modal Pengadaan Mebeulair ,10000000,,,,,
1.03.1.03.01.001.014.5.2.3.13.08 ,Belanja Modal Pengadaan Sofa ,10000000,Belanja Modal Pengadaan Sofa 10000000,,,,
1.03.1.03.01.001.015 ,Penyediaan Bahan Bacaan dan Peraturan Perundang-undangan ,7400000,,,,,
1.03.1.03.01.001.015.5.2.2 ,BELANJA BARANG DAN JASA ,5100000,,,,,
1.03.1.03.01.001.015.5.2.2.03 ,Belanja Jasa Kantor ,5100000,,,,,
1.03.1.03.01.001.015.5.2.2.03.05 ,Belanja Surat Kabar/Majalah ,5100000,Belanja Surat Kabar/Majalah 5100000,,,,
1.03.1.03.01.001.015.5.2.3 ,BELANJA MODAL ,2300000,,,,,
1.03.1.03.01.001.015.5.2.3.27 ,Belanja Modal Pengadaan Buku/kepustakaan ,2300000,,,,,
1.03.1.03.01.001.015.5.2.3.27.26 ,Belanja Modal Buku Perpustakaan ,2300000,Belanja Modal Buku Perpustakaan 2300000,,,,
1.03.1.03.01.001.017 ,Penyediaan Makanan dan Minuman ,115038000,,,,,
1.03.1.03.01.001.017.5.2.2 ,BELANJA BARANG DAN JASA ,115038000,,,,,
1.03.1.03.01.001.017.5.2.2.11 ,Belanja Makanan Dan Minuman ,115038000,,,,,
1.03.1.03.01.001.017.5.2.2.11.01 ,Belanja Makanan Dan Minuman Pegawai ,71610000,Belanja Makanan Dan Minuman Pegawai 71610000,,,,
1.03.1.03.01.001.017.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,43428000,Belanja Makanan Dan Minuman Rapat 43428000,,,,
1.03.1.03.01.001.018 ,Rapat-rapat Koordinasi dan Konsultasi Keluar Daerah ,117200000,,,,,
1.03.1.03.01.001.018.5.2.2 ,BELANJA BARANG DAN JASA ,117200000,,,,,
1.03.1.03.01.001.018.5.2.2.15 ,Belanja Perjalanan Dinas ,117200000,,,,,
1.03.1.03.01.001.018.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,10000000,Belanja Perjalanan Dinas Dalam Daerah 10000000,,,,
1.03.1.03.01.001.018.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,107200000,Belanja Perjalanan Dinas Luar Daerah 107200000,,,,
1.03.1.03.01.001.019 ,Penyediaan Jasa Tenaga Bantuan ,204353257,,,,,
1.03.1.03.01.001.019.5.2.1 ,BELANJA PEGAWAI ,204353257,,,,,
1.03.1.03.01.001.019.5.2.1.02 ,Honorarium Non PNS ,204353257,,,,,
1.03.1.03.01.001.019.5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,204353257,Honorarium Pegawai Honorer/Tidak Tetap 204353257,,,,
1.03.1.03.01.002 ,Program Pemeliharaan dan Peningkatan Sarana dan Prasarana Aparatur ,683219000,,,,,
1.03.1.03.01.002.022 ,Pemeliharaan Rutin/Berkala Gedung Kantor ,164680000,,,,,
1.03.1.03.01.002.022.5.2.1 ,BELANJA PEGAWAI ,3330000,,,,,
1.03.1.03.01.002.022.5.2.1.01 ,Honorarium PNS ,3330000,,,,,
1.03.1.03.01.002.022.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,2880000,Honorarium Panitia Pelaksana Kegiatan 2880000,,,,
1.03.1.03.01.002.022.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,450000,Honorarium Tim Pengadaan Barang dan Jasa 450000,,,,
1.03.1.03.01.002.022.5.2.2 ,BELANJA BARANG DAN JASA ,161350000,,,,,
1.03.1.03.01.002.022.5.2.2.20 ,Belanja Pemeliharaan ,161350000,,,,,
1.03.1.03.01.002.022.5.2.2.20.03 ,Belanja Pemeliharaan Bangunan Pemerintah ,152650000,Belanja Pemeliharaan Bangunan Pemerintah 152650000,,,,
1.03.1.03.01.002.022.5.2.2.20.04 ,Belanja Pemeliharaan Peralatan Dan Perlengkapan Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio ,7200000,Belanja Pemeliharaan Peralatan Dan Perlengkapan 7200000Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio,,,,
1.03.1.03.01.002.022.5.2.2.20.05 ,Belanja Pemeliharaan Taman ,1500000,Belanja Pemeliharaan Taman 1500000,,,,
1.03.1.03.01.002.024 ,Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional ,518539000,,,,,
1.03.1.03.01.002.024.5.2.1 ,BELANJA PEGAWAI ,550000,,,,,
1.03.1.03.01.002.024.5.2.1.01 ,Honorarium PNS ,550000,,,,,
1.03.1.03.01.002.024.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,550000,Honorarium Tim Pengadaan Barang dan Jasa 550000,,,,
1.03.1.03.01.002.024.5.2.2 ,BELANJA BARANG DAN JASA ,517989000,,,,,
1.03.1.03.01.002.024.5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,517989000,,,,,
1.03.1.03.01.002.024.5.2.2.05.01 ,Belanja Jasa Service ,68260000,Belanja Jasa Service 68260000,,,,
1.03.1.03.01.002.024.5.2.2.05.02 ,Belanja  Penggantian Suku Cadang ,156730000,Belanja  Penggantian Suku Cadang 156730000,,,,
1.03.1.03.01.002.024.5.2.2.05.03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,292999000,Belanja Bahan Bakar Minyak/Gas Dan Pelumas 292999000,,,,
1.03.1.03.01.006 ,Program Peningkatan Pengembangan Sistem Pelaporan Capaian Kinerja dan Keuangan,107247500,,,,,
1.03.1.03.01.006.001 ,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD ,107247500,,,,,
1.03.1.03.01.006.001.5.2.1 ,BELANJA PEGAWAI ,27247500,,,,,
1.03.1.03.01.006.001.5.2.1.01 ,Honorarium PNS ,27247500,,,,,
1.03.1.03.01.006.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,27247500,Honorarium Panitia Pelaksana Kegiatan 27247500,,,,
1.03.1.03.01.006.001.5.2.2 ,BELANJA BARANG DAN JASA ,80000000,,,,,
1.03.1.03.01.006.001.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,5000000,,,,,
1.03.1.03.01.006.001.5.2.2.06.01 ,Belanja Cetak ,5000000,Belanja Cetak 5000000,,,,
1.03.1.03.01.006.001.5.2.2.21 ,Belanja Jasa Konsultansi ,75000000,,,,,
1.03.1.03.01.006.001.5.2.2.21.01 ,Belanja Jasa Konsultansi Penelitian ,75000000,Belanja Jasa Konsultansi Penelitian 75000000,,,,
1.03.1.03.01.032 ,Program Peningkatan dan Pemeliharaan Jalan dan Jembatan ,53604843415,,,,,
1.03.1.03.01.032.001 ,Pemeliharaan Jalan dan Jembatan ,6150498382,,,,,
1.03.1.03.01.032.001.5.2.1 ,BELANJA PEGAWAI ,38117500,,,,,
1.03.1.03.01.032.001.5.2.1.01 ,Honorarium PNS ,38117500,,,,,
1.03.1.03.01.032.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,28642500,Honorarium Panitia Pelaksana Kegiatan 28642500,,,,
1.03.1.03.01.032.001.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,9475000,Honorarium Tim Pengadaan Barang dan Jasa 9475000,,,,
1.03.1.03.01.032.001.5.2.2 ,BELANJA BARANG DAN JASA ,6112380882,,,,,
1.03.1.03.01.032.001.5.2.2.02 ,Belanja Bahan/Material ,586000000,,,,,
1.03.1.03.01.032.001.5.2.2.02.01 ,Belanja Bahan Baku Bangunan ,586000000,Belanja Bahan Baku Bangunan 586000000,,,,
1.03.1.03.01.032.001.5.2.2.03 ,Belanja Jasa Kantor ,339758882,,,,,
1.03.1.03.01.032.001.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,339758882,Belanja Jasa Penyedia /Tenaga Teknis 339758882,,,,
1.03.1.03.01.032.001.5.2.2.11 ,Belanja Makanan Dan Minuman ,5472000,,,,,
1.03.1.03.01.032.001.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,5472000,Belanja Makanan Dan Minuman Rapat 5472000,,,,
1.03.1.03.01.032.001.5.2.2.13 ,Belanja Pakaian Kerja ,8900000,,,,,
1.03.1.03.01.032.001.5.2.2.13.01 ,Belanja Pakaian Kerja Lapangan ,8900000,Belanja Pakaian Kerja Lapangan 8900000,,,,
1.03.1.03.01.032.001.5.2.2.15 ,Belanja Perjalanan Dinas ,7250000,,,,,
1.03.1.03.01.032.001.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,7250000,Belanja Perjalanan Dinas Dalam Daerah 7250000,,,,
1.03.1.03.01.032.001.5.2.2.20 ,Belanja Pemeliharaan ,4890000000,,,,,
1.03.1.03.01.032.001.5.2.2.20.01 ,Belanja Pemeliharaan Jalan ,4490000000,Belanja Pemeliharaan Jalan 4490000000,,,,
1.03.1.03.01.032.001.5.2.2.20.02 ,Belanja Pemeliharaan Jembatan ,400000000,Belanja Pemeliharaan Jembatan 400000000,,,,
1.03.1.03.01.032.001.5.2.2.21 ,Belanja Jasa Konsultansi ,275000000,,,,,
1.03.1.03.01.032.001.5.2.2.21.02 ,Belanja Jasa Konsultansi Perencanaan ,175000000,Belanja Jasa Konsultansi Perencanaan 175000000,,,,
1.03.1.03.01.032.001.5.2.2.21.03 ,Belanja Jasa Konsultansi Pengawasan ,100000000,Belanja Jasa Konsultansi Pengawasan 100000000,,,,
1.03.1.03.01.032.002 ,Pemeliharaan Bangunan Pelengkap Jalan ,1755980033,,,,,
1.03.1.03.01.032.002.5.2.1 ,BELANJA PEGAWAI ,13567500,,,,,
1.03.1.03.01.032.002.5.2.1.01 ,Honorarium PNS ,13567500,,,,,
1.03.1.03.01.032.002.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,11542500,Honorarium Panitia Pelaksana Kegiatan 11542500,,,,
1.03.1.03.01.032.002.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,2025000,Honorarium Tim Pengadaan Barang dan Jasa 2025000,,,,
1.03.1.03.01.032.002.5.2.2 ,BELANJA BARANG DAN JASA ,1742412533,,,,,
1.03.1.03.01.032.002.5.2.2.02 ,Belanja Bahan/Material ,575518600,,,,,
1.03.1.03.01.032.002.5.2.2.02.01 ,Belanja Bahan Baku Bangunan ,567384000,Belanja Bahan Baku Bangunan 567384000,,,,
1.03.1.03.01.032.002.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,8134600,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 8134600,,,,
1.03.1.03.01.032.002.5.2.2.03 ,Belanja Jasa Kantor ,437078933,,,,,
1.03.1.03.01.032.002.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,437078933,Belanja Jasa Penyedia /Tenaga Teknis 437078933,,,,
1.03.1.03.01.032.002.5.2.2.11 ,Belanja Makanan Dan Minuman ,5550000,,,,,
1.03.1.03.01.032.002.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,5550000,Belanja Makanan Dan Minuman Rapat 5550000,,,,
1.03.1.03.01.032.002.5.2.2.13 ,Belanja Pakaian Kerja ,10340000,,,,,
1.03.1.03.01.032.002.5.2.2.13.01 ,Belanja Pakaian Kerja Lapangan ,10340000,Belanja Pakaian Kerja Lapangan 10340000,,,,
1.03.1.03.01.032.002.5.2.2.15 ,Belanja Perjalanan Dinas ,2175000,,,,,
1.03.1.03.01.032.002.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,2175000,Belanja Perjalanan Dinas Dalam Daerah 2175000,,,,
1.03.1.03.01.032.002.5.2.2.20 ,Belanja Pemeliharaan ,626750000,,,,,
1.03.1.03.01.032.002.5.2.2.20.01 ,Belanja Pemeliharaan Jalan ,624250000,Belanja Pemeliharaan Jalan 624250000,,,,
1.03.1.03.01.032.002.5.2.2.20.07 ,Belanja Pemeliharaan Alat-alat Berat/Perbengkelan/Mesin ,2500000,Belanja Pemeliharaan Alat-alat Berat/Perbengkelan/Mesin 2500000,,,,
1.03.1.03.01.032.002.5.2.2.21 ,Belanja Jasa Konsultansi ,85000000,,,,,
1.03.1.03.01.032.002.5.2.2.21.02 ,Belanja Jasa Konsultansi Perencanaan ,50000000,Belanja Jasa Konsultansi Perencanaan 50000000,,,,
1.03.1.03.01.032.002.5.2.2.21.03 ,Belanja Jasa Konsultansi Pengawasan ,35000000,Belanja Jasa Konsultansi Pengawasan 35000000,,,,
1.03.1.03.01.032.003 ,Peningkatan Jalan dan Jembatan (DAK) ,44438450000,,,,,
1.03.1.03.01.032.003.5.2.3 ,BELANJA MODAL ,44438450000,,,,,
1.03.1.03.01.032.003.5.2.3.21 ,Belanja Modal Pengadaan Konstruksi Jalan ,40834550000,,,,,
1.03.1.03.01.032.003.5.2.3.21.01 ,Belanja Modal Pengadaan Konstruksi Jalan ,40834550000,Belanja Modal Pengadaan Konstruksi Jalan 40834550000Peningkatan Jalan AM Sangaji 5871600000Peningkatan Jalan Wolter Monginsidi 1908550000Peningkatan Jalan Singoranu 1801800000Peningkatan Jalan Tentara Rakyat Mataram 2998800000Peningkatan Jalan Melati Wetan 3267600000Peningkatan Jalan Gondosuli 1172500000Peningkatan Jalan Melati - Sorowajan 465500000Peningkatan Jalan Tut Harsono 1406250000Peningkatan Jalan Kusbini 1485000000Peningkatan Jalan Pramuka 1708000000Pendukung (Belanja Jasa Konsultansi  Honorarium Tim  Belanja Makan dan 929000000Minum Rapat  Perjalanan Dinas)Peningkatan Jalan DAK 17819950000,,,,
1.03.1.03.01.032.003.5.2.3.22 ,Belanja Modal Pengadaan Konstruksi Jembatan ,3603900000,,,,,
1.03.1.03.01.032.003.5.2.3.22.04 ,Belanja Modal Pengadaan Konstruksi Jembatan Penyebrangan Diatas Air ,3603900000,Belanja Modal Pengadaan Konstruksi Jembatan Penyebrangan 3603900000Diatas AirPembuatan Jembatan Penghubung Ngupasan - Purwokinanti 1100000000Pembuatan Jembatan Penghubung Prawirodirjan - Wirogunan 1250000000Pembuatan Jembatan Penghubung Keparakan -Wirogunan 1100000000Pendukung (Belanja Jasa Konsultansi  Honorarium Tim Pengadaan Barang 153900000dan Jasa belanja Makan Minum Rapat),,,,
1.03.1.03.01.032.004 ,Peningkatan Bangunan Pelengkap Jalan ,1259915000,,,,,
1.03.1.03.01.032.004.5.2.3 ,BELANJA MODAL ,1259915000,,,,,
1.03.1.03.01.032.004.5.2.3.21 ,Belanja Modal Pengadaan Konstruksi Jalan ,1259915000,,,,,
1.03.1.03.01.032.004.5.2.3.21.01 ,Belanja Modal Pengadaan Konstruksi Jalan ,1259915000,Belanja Modal Pengadaan Konstruksi Jalan 1259915000Peningkatan Trotoar Jl. Walter Monginsidi 250250000Peningkatan Trotoar Jl. Melati Wetan 309375000Peningkatan Trotoar Jl. C. Simanjuntak 289575000Peningkatan Trotoar Jl. Tukangan Cs. 302500000Pendukung (Belanja Jasa Konsultansi  Honorarium Tim  Belanja Makan dan 108215000Minum Rapat  Perjalanan Dinas Dalam Daerah),,,,
1.03.1.03.01.033 ,Program Peningkatan dan Pemeliharaan Pengairan ,25794239189,,,,,
1.03.1.03.01.033.001 ,Peningkatan dan Pembangunan Saluran Pengairan ,14699500000,,,,,
1.03.1.03.01.033.001.5.2.3 ,BELANJA MODAL ,14699500000,,,,,
1.03.1.03.01.033.001.5.2.3.23 ,Belanja Modal Pengadaan Konstruksi Jaringan Air ,14699500000,,,,,
1.03.1.03.01.033.001.5.2.3.23.05 ,Belanja Modal Pengadaan Konstruksi Jaringan Irigasi ,14699500000,Belanja Modal Pengadaan Konstruksi Jaringan Irigasi 14699500000Belanja Modal Pengadaan Konstruksi Jaringan Irigasi 14699500000,,,,
1.03.1.03.01.033.002 ,Pemeliharaan Saluran Pengairan ,4126471189,,,,,
1.03.1.03.01.033.002.5.2.1 ,BELANJA PEGAWAI ,28241000,,,,,
1.03.1.03.01.033.002.5.2.1.01 ,Honorarium PNS ,15953000,,,,,
1.03.1.03.01.033.002.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,8228000,Honorarium Panitia Pelaksana Kegiatan 8228000,,,,
1.03.1.03.01.033.002.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,7725000,Honorarium Tim Pengadaan Barang dan Jasa 7725000,,,,
1.03.1.03.01.033.002.5.2.1.03 ,Uang Lembur ,12288000,,,,,
1.03.1.03.01.033.002.5.2.1.03.01 ,Uang Lembur PNS ,12288000,Uang Lembur PNS 12288000,,,,
1.03.1.03.01.033.002.5.2.2 ,BELANJA BARANG DAN JASA ,3845230189,,,,,
1.03.1.03.01.033.002.5.2.2.02 ,Belanja Bahan/Material ,1577295000,,,,,
1.03.1.03.01.033.002.5.2.2.02.01 ,Belanja Bahan Baku Bangunan ,1523859000,Belanja Bahan Baku Bangunan 1523859000,,,,
1.03.1.03.01.033.002.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,53436000,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 53436000,,,,
1.03.1.03.01.033.002.5.2.2.03 ,Belanja Jasa Kantor ,743747785,,,,,
1.03.1.03.01.033.002.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,743747785,Belanja Jasa Penyedia /Tenaga Teknis 743747785,,,,
1.03.1.03.01.033.002.5.2.2.11 ,Belanja Makanan Dan Minuman ,1530000,,,,,
1.03.1.03.01.033.002.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,1530000,Belanja Makanan Dan Minuman Rapat 1530000,,,,
