Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,,
2.05 . 2.05.01 . 00 . 00 . 5 . 1 , BELANJA TIDAK LANGSUNG ,3174661000,,
2.05 . 2.05.01 . 00 . 00 , Non Kegiatan ,3174661000, Sumber Dana : ,
2.05 . 2.05.01 . 00 . 00 . 5 . 1 . 1 , Belanja Pegawai ,3174661000,,
2.05 . 2.05.01 . 00 . 00 . 5 . 1 . 1 . 01 , Belanja Gaji dan Tunjangan ,3174661000,,
2.05 . 2.05.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 , Gaji Pokok PNS/Uang Representasi ,2444208000," Gaji Pokok PNSGaji Pokok1 th x 2.444.208.000,00 = 2.444.208.000,00",
2.05 . 2.05.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 , Tunjangan Keluarga ,234381914," Tunjangan Keluarga1 th x 234.381.914,00 = 234.381.914,00",
2.05 . 2.05.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 , Tunjangan Jabatan ,169403000," Tunjangan Jabatan1 th x 169.403.000,00 = 169.403.000,00",
2.05 . 2.05.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04 , Tunjangan Fungsional ,0," Tunjangan Fungsional1 th x 0,00 = 0,00",
2.05 . 2.05.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 , Tunjangan Fungsional Umum ,99013525," Tunjangan Fungsional Umum1 th x 99.013.525,00 = 99.013.525,00",
2.05 . 2.05.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 , Tunjangan Beras ,161883800," Tunjangan Beras1 th x 161.883.800,00 = 161.883.800,00",
2.05 . 2.05.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 , Tunjangan PPh/Tunjangan Khusus ,65729900," Tunjangan PPh/Tunjangan Khusus1 th x 65.729.900,00 = 65.729.900,00",
2.05 . 2.05.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 , Pembulatan Gaji ,40861," Pembulatan Gaji1 th x 40.861,00 = 40.861,00",
2.05 . 2.05.01 . 00 . 00 . 5 . 1 . 1 . 01 . 09 , Iuran Asuransi Kesehatan ,0," Iuran Asuransi Kesehatan
Iurang Asuransi Kesehatan BPJS1 th x 0,00 = 0,00
Iuran Asuransi Jaminan Kecelakaan Kerja BPJS1 th x 0,00 = 0,00
Iuran Jaminan Kematian BPJS1 th x 0,00 = 0,00",
2.05 . 2.05.01 . 01 . 01 . 5 . 2 , BELANJA LANGSUNG ,10726194795,,
2.05 . 2.05.01 . 01 , Program Pelayanan Administrasi Perkantoran ,487139962,,
2.05 . 2.05.01 . 01 . 01 , Penyediaan jasa surat menyurat ,5000000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul
Keluaran : tersedia perangk0
Target: 50 buah",
2.05 . 2.05.01 . 01 . 01 . 5 . 2 . 2 , Belanja Barang dan Jasa ,5000000,,
2.05 . 2.05.01 . 01 . 01 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,4500000,,
2.05 . 2.05.01 . 01 . 01 . 5 . 2 . 2 . 01 . 04 ," Belanja Perangko, Materai Dan Benda Pos ",4500000," APBD
Materai dan perangkomaterai dan perangko1 LS x 4.500.000,00 = 4.500.000,00",
2.05 . 2.05.01 . 01 . 01 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,500000,,
2.05 . 2.05.01 . 01 . 01 . 5 . 2 . 2 . 03 . 07 , Belanja Paket/Pengiriman ,500000," APBD
belanja paket /pengirimanpengiriman surat/dokumen lainnya1 ls x 500.000,00 = 500.000,00",
2.05 . 2.05.01 . 01 . 02 ," Penyediaan jasa komunikasi, sumber daya air dan listrik ",69659962," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul
Keluaran : terlaksananya pembayaran telpon, air, dan listrik
Target: 1 tahun",
2.05 . 2.05.01 . 01 . 02 . 5 . 2 . 2 , Belanja Barang dan Jasa ,69659962,,
2.05 . 2.05.01 . 01 . 02 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,69659962,,
2.05 . 2.05.01 . 01 . 02 . 5 . 2 . 2 . 03 . 01 , Belanja Telepon ,20000000," APBD
Belanja telepon1 LS x 20.000.000,00 = 20.000.000,00",
2.05 . 2.05.01 . 01 . 02 . 5 . 2 . 2 . 03 . 02 , Belanja Air ,1000000," APBD
Belanja air1 LS x 1.000.000,00 = 1.000.000,00",
2.05 . 2.05.01 . 01 . 02 . 5 . 2 . 2 . 03 . 03 , Belanja Listrik ,48659962," APBD
Belanja listrik1 ls x 48.159.962,00 = 48.159.962,00
Belanja balik nama rekening lsitrik1 ls x 500.000,00 = 500.000,00",
2.05 . 2.05.01 . 01 . 06 , Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional ,16000000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul
Keluaran : Terlaksananya jasa pemeliharaan dan perpanjangan ijin kendaraan dinas roda 4
Target: 5 unit",
2.05 . 2.05.01 . 01 . 06 . 5 . 2 . 2 , Belanja Barang dan Jasa ,16000000,,
2.05 . 2.05.01 . 01 . 06 . 5 . 2 . 2 . 05 , Belanja Perawatan Kendaraan Bermotor ,16000000,,
2.05 . 2.05.01 . 01 . 06 . 5 . 2 . 2 . 05 . 04 , Belanja Jasa KIR ,500000," APBD
Biaya jasa KIRBiaya kir mobil dinas1 LS x 500.000,00 = 500.000,00",
2.05 . 2.05.01 . 01 . 06 . 5 . 2 . 2 . 05 . 07 , Belanja Surat Tanda Nomor Kendaraan ,15500000," APBD
Belanja STNK
Biaya perpanjangan STNK kendaraan dinas1 ls x 15.500.000,00 = 15.500.000,00",
2.05 . 2.05.01 . 01 . 07 , Penyediaan jasa administrasi keuangan ,37560000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul
Keluaran : Terlaksananya pembayaran honor pengelola keuangan, barang, dan kepegawaian
Target: 1 tahun",
2.05 . 2.05.01 . 01 . 07 . 5 . 2 . 1 , Belanja Pegawai ,34560000,,
2.05 . 2.05.01 . 01 . 07 . 5 . 2 . 1 . 01 , Honorarium PNS ,34560000,,
2.05 . 2.05.01 . 01 . 07 . 5 . 2 . 1 . 01 . 06 , Honor Pengelola Keuangan dan Barang ,34560000," APBD
Honor pengelola keuangan dan barangPengelola urusan kepegawaian12 ob x 75.000,00 = 900.000,00
Penyimpan barang12 ob x 230.000,00 = 2.760.000,00
Pengurus barang UPT12 ob x 135.000,00 = 1.620.000,00
Pembantu pengurus barang12 ob x 100.000,00 = 1.200.000,00
Pengurus gaji12 ob x 75.000,00 = 900.000,00
Pembantu bendahara pengeluaran36 ob x 230.000,00 = 8.280.000,00
Bendahara penerima12 ob x 100.000,00 = 1.200.000,00
Pengurus barang12 ob x 300.000,00 = 3.600.000,00
Pejabat Penatausahaan Keuangan (PPK)12 ob x 300.000,00 = 3.600.000,00
Pembantu PPK36 ob x 200.000,00 = 7.200.000,00
Bendahara pengeluaran12 ob x 275.000,00 = 3.300.000,00",
2.05 . 2.05.01 . 01 . 07 . 5 . 2 . 2 , Belanja Barang dan Jasa ,3000000,,
2.05 . 2.05.01 . 01 . 07 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,540000,,
2.05 . 2.05.01 . 01 . 07 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,540000," APBDbelanja ATK
ATK (kertas, refill tinta, pulpen, dll)1 paket x 540.000,00 = 540.000,00",
2.05 . 2.05.01 . 01 . 07 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,750000,,
2.05 . 2.05.01 . 01 . 07 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,750000," APBD
penggandaan5,000 lbr x 150,00 = 750.000,00",
2.05 . 2.05.01 . 01 . 07 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,1710000,,
2.05 . 2.05.01 . 01 . 07 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,1710000," APBD
konsumsi rapat60 om x 28.500,00 = 1.710.000,00",
2.05 . 2.05.01 . 01 . 08 , Penyediaan jasa kebersihan kantor ,40100000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul
Keluaran : Terlaksananya penyediaan alat dan jasa kebersihan kantor
Target: 1 tahun",
2.05 . 2.05.01 . 01 . 08 . 5 . 2 . 1 , Belanja Pegawai ,25300000,,
2.05 . 2.05.01 . 01 . 08 . 5 . 2 . 1 . 02 , Honorarium Non PNS ,25300000,,
2.05 . 2.05.01 . 01 . 08 . 5 . 2 . 1 . 02 . 02 , Honorarium Pegawai Honorer/Tidak Tetap ,25300000," APBD
Honor pegawai honorer/tidak tetap
Honor PHL kebersihan/keamanan kantor ( 2 orang, 11 bulan, @Rp 1.150.000,- )22 ob x 1.150.000,00 = 25.300.000,00",
2.05 . 2.05.01 . 01 . 08 . 5 . 2 . 2 , Belanja Barang dan Jasa ,14800000,,
2.05 . 2.05.01 . 01 . 08 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,14800000,,
2.05 . 2.05.01 . 01 . 08 . 5 . 2 . 2 . 01 . 05 , Belanja Peralatan Kebersihan Dan Bahan Pembersih ,14800000," APBD
Belanja peralatan kebersihan dan bahan pembersihPeralatan kebersihan dan bahan pembersih1 ls x 14.800.000,00 = 14.800.000,00",
2.05 . 2.05.01 . 01 . 10 , Penyediaan alat tulis kantor ,18000000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul
Keluaran : tersedianya ATK
Target: 1 tahun",
2.05 . 2.05.01 . 01 . 10 . 5 . 2 . 2 , Belanja Barang dan Jasa ,18000000,,
2.05 . 2.05.01 . 01 . 10 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,18000000,,
2.05 . 2.05.01 . 01 . 10 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,18000000," APBD
Belanja ATKkertas HVS, karbon, folio, buku tulis, stopmap, flashdisk, amplop, refill, toner, dll1 ls x 18.000.000,00 = 18.000.000,00",
2.05 . 2.05.01 . 01 . 11 , Penyediaan barang cetakan dan penggandaan ,14500000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul
Keluaran : Terlaksana penggandaan surat/dokumen lain
Target: 42.000 lembar",
2.05 . 2.05.01 . 01 . 11 . 5 . 2 . 2 , Belanja Barang dan Jasa ,14500000,,
2.05 . 2.05.01 . 01 . 11 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,14500000,,
2.05 . 2.05.01 . 01 . 11 . 5 . 2 . 2 . 06 . 01 , Belanja Cetak ,8200000," APBD
belanja cetakcetak blangko, dll1 ls x 8.200.000,00 = 8.200.000,00",
2.05 . 2.05.01 . 01 . 11 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,6300000," APBD
belanja penggandaanpenggandaan42,000 lbr x 150,00 = 6.300.000,00",
2.05 . 2.05.01 . 01 . 12 , Penyediaan komponen instalasi listrik/penerangan bangunan kantor ,6500000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul dan lingkup UPTD
Keluaran : Tersedianya Komponen Instalasi Listrik/Penerangan Bangunan Kantor
Target: 1 tahun",
2.05 . 2.05.01 . 01 . 12 . 5 . 2 . 2 , Belanja Barang dan Jasa ,6500000,,
2.05 . 2.05.01 . 01 . 12 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,6500000,,
2.05 . 2.05.01 . 01 . 12 . 5 . 2 . 2 . 01 . 03 ," Belanja Alat Listrik Dan Elektronik (Lampu Pijar, Battery Kering) ",6500000," APBD
Belanja alat listrik dan elektroniklampu pijar, baterai kering, dll1 ls x 6.500.000,00 = 6.500.000,00",
2.05 . 2.05.01 . 01 . 15 , Penyediaan bahan bacaan dan peraturan perundang-undangan ,3000000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul
Keluaran : tersedia surat kabar
Target: 24 surat kabar",
2.05 . 2.05.01 . 01 . 15 . 5 . 2 . 2 , Belanja Barang dan Jasa ,2000000,,
2.05 . 2.05.01 . 01 . 15 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,2000000,,
2.05 . 2.05.01 . 01 . 15 . 5 . 2 . 2 . 03 . 05 , Belanja Surat Kabar/Majalah ,2000000," APBD
belanja surat kabar dan buku
belanja surat kabar / majalah1 ls x 2.000.000,00 = 2.000.000,00",
2.05 . 2.05.01 . 01 . 15 . 5 . 2 . 3 , Belanja Modal ,1000000,,
2.05 . 2.05.01 . 01 . 15 . 5 . 2 . 3 . 82 , Belanja Modal Aset Tetap Lainnya - Pengadaan Buku ,1000000,,
2.05 . 2.05.01 . 01 . 15 . 5 . 2 . 3 . 82 . 07 , Belanja Modal Aset Tetap Lainnya - Pengadaan Buku Ilmu Pengetahuan Praktis ,1000000," APBD
pengadaan buku tentang kelautan dan perikanan dan per UU an1 paket x 1.000.000,00 = 1.000.000,00",
2.05 . 2.05.01 . 01 . 17 , Penyediaan makanan dan minuman ,17720000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul
Keluaran : Tersedianya makanan dan minuman untuk rapat dan kegiatan lainnya
Target: 1 tahun",
2.05 . 2.05.01 . 01 . 17 . 5 . 2 . 2 , Belanja Barang dan Jasa ,17720000,,
2.05 . 2.05.01 . 01 . 17 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,17720000,,
2.05 . 2.05.01 . 01 . 17 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,7000000," APBD
belanja makanan dan minuman rapat1 ls x 7.000.000,00 = 7.000.000,00",
2.05 . 2.05.01 . 01 . 17 . 5 . 2 . 2 . 11 . 03 , Belanja Makanan Dan Minuman Tamu ,3000000," APBD
Belanja makanan dan minuman tamu1 ls x 3.000.000,00 = 3.000.000,00",
2.05 . 2.05.01 . 01 . 17 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,7720000," APBD
belanja makanan dan minuman pelaksanaan kegiatan
belanja snack/makanan / minuman pelaksanaan kegiatan (upacara, lepas sambut, peringatan hari jadi, dll)1 ls x 7.720.000,00 = 7.720.000,00",
2.05 . 2.05.01 . 01 . 18 , Rapat-rapat koordinasi dan konsultasi ke luar daerah ,75000000," Sumber Dana : APBD
Lokasi Kegiatan : KKP, instansi terkait di luar Pemda DIY
Keluaran : Keikutsertaan/terlaksananya koordinasi/konsolidasi/konfirmasi/konsultasi ke Pusat dan daerah lainya
Target: 1 tahun",
2.05 . 2.05.01 . 01 . 18 . 5 . 2 . 2 , Belanja Barang dan Jasa ,75000000,,
2.05 . 2.05.01 . 01 . 18 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,75000000,,
2.05 . 2.05.01 . 01 . 18 . 5 . 2 . 2 . 15 . 02 , Belanja Perjalanan Dinas Luar Daerah ,75000000," APBD
Belanja perjalanan dinas ke luar daerahdalam rangka koordinasi/konsultasi/menghadiri undangan dari pusat/dll1 ls x 75.000.000,00 = 75.000.000,00",
2.05 . 2.05.01 . 01 . 19 , Rapat-rapat koordinasi dan konsultasi dalam daerah ,7000000," Sumber Dana : APBD
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Keikutsertaan/terlaksananya koordinasi/konfirmasi ke pemda DIY/kab lain di DIY/kecamatan
Target: 1 tahun",
2.05 . 2.05.01 . 01 . 19 . 5 . 2 . 2 , Belanja Barang dan Jasa ,7000000,,
2.05 . 2.05.01 . 01 . 19 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,7000000,,
2.05 . 2.05.01 . 01 . 19 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,7000000," APBD
Perjalanan dinas dalam daerah dalam rangka konsultasi, koordinasi, monev, dll1 ls x 7.000.000,00 = 7.000.000,00",
2.05 . 2.05.01 . 01 . 22 , Penyediaan jasa tenaga teknis pendukung/tenaga perkantoran ,177100000," Sumber Dana : APBD
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : terlaksananya pembayaran jasa tenaga teknis pendukung
Target: 14 orang",
2.05 . 2.05.01 . 01 . 22 . 5 . 2 . 1 , Belanja Pegawai ,177100000,,
2.05 . 2.05.01 . 01 . 22 . 5 . 2 . 1 . 02 , Honorarium Non PNS ,177100000,,
2.05 . 2.05.01 . 01 . 22 . 5 . 2 . 1 . 02 . 02 , Honorarium Pegawai Honorer/Tidak Tetap ,177100000," APBD
Honorarium pegawai honorer/tidak tetap
honor PHL BBI (14 orang, 11 bulan,@Rp 1.150.000,-)154 ob x 1.150.000,00 = 177.100.000,00",
2.05 . 2.05.01 . 02 , Program Peningkatan Sarana dan Prasarana Aparatur ,555925000,,
2.05 . 2.05.01 . 02 . 07 , Pengadaan perlengkapan gedung kantor ,126000000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul
Keluaran : terlaksananya pembangunan parkir kendaraan dinas
Target: 1 paket",
2.05 . 2.05.01 . 02 . 07 . 5 . 2 . 3 , Belanja Modal ,126000000,,
2.05 . 2.05.01 . 02 . 07 . 5 . 2 . 3 . 49 , Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Kerja ,126000000,,
2.05 . 2.05.01 . 02 . 07 . 5 . 2 . 3 . 49 . 14 , Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Garasi/Pool ,126000000," APBD
Pengadaan bangunan gedung garasipembangunan garasi/parkir1 paket x 115.540.000,00 = 115.540.000,00
jasa konsultankonsultan perencana1 paket x 4.400.000,00 = 4.400.000,00
konsultan pengawas1 paket x 3.000.000,00 = 3.000.000,00
Honor PPK4 o/b x 90.000,00 = 360.000,00
Honor pejabat pengadaanPejabat pengadaan pekerjaan konstruksi1 o/p x 300.000,00 = 300.000,00
Pejabat pengadaan jasa konsultansi1 o/p x 300.000,00 = 300.000,00
Honor Panitia Pemeriksa/Penerima Pekerjaan Konstruksi
ketua1 o/p x 200.000,00 = 200.000,00
sekretaris1 o/p x 175.000,00 = 175.000,00
anggota1 o/p x 150.000,00 = 150.000,00
Honor tim supervisi perencanaanKetua1 o/p x 275.000,00 = 275.000,00
sekretaris1 o/p x 250.000,00 = 250.000,00
anggota1 o/p x 225.000,00 = 225.000,00
Honor tim pengawasKetua1 o/p x 225.000,00 = 225.000,00
sekretaris1 o/p x 200.000,00 = 200.000,00
anggota1 o/p x 175.000,00 = 175.000,00
Honor pejabat penerima pekerjaan jasa konsultansi
Honor pejabat penerima dokumen jasa konsultansi1 o/p x 225.000,00 = 225.000,00",
2.05 . 2.05.01 . 02 . 22 , Pemeliharaan rutin/berkala gedung kantor ,44000000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul dan lingkup UPTD
Keluaran : Terlaksananya belanja bahan baku dan biaya pemeliharaan gedung kantor
Target: 1 paket",
2.05 . 2.05.01 . 02 . 22 . 5 . 2 . 2 , Belanja Barang dan Jasa ,44000000,,
2.05 . 2.05.01 . 02 . 22 . 5 . 2 . 2 . 02 , Belanja Bahan/Material ,44000000,,
2.05 . 2.05.01 . 02 . 22 . 5 . 2 . 2 . 02 . 01 , Belanja Bahan Baku Bangunan ,44000000," APBD
biaya bahan baku bangunanbahan baku bangunan dan biaya pemeliharaan1 ls x 44.000.000,00 = 44.000.000,00",
2.05 . 2.05.01 . 02 . 24 , Pemeliharaan rutin/berkala kendaraan dinas/operasional ,171500000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul dan lingkup UPTD
Keluaran : terlaksananya belanja service, suku cadang, dan BBM untuk kendaraan dinas
Target: 1 tahun",
2.05 . 2.05.01 . 02 . 24 . 5 . 2 . 2 , Belanja Barang dan Jasa ,171500000,,
2.05 . 2.05.01 . 02 . 24 . 5 . 2 . 2 . 05 , Belanja Perawatan Kendaraan Bermotor ,171500000,,
2.05 . 2.05.01 . 02 . 24 . 5 . 2 . 2 . 05 . 01 , Belanja Jasa Service ,12000000," APBD
biaya jasa serviceservice kendaraan dinas1 ls x 12.000.000,00 = 12.000.000,00",
2.05 . 2.05.01 . 02 . 24 . 5 . 2 . 2 . 05 . 02 , Belanja Penggantian Suku Cadang ,28000000," APBD
belanja penggantian suku cadang
penggantian suku cadang kendaraan dinas1 ls x 28.000.000,00 = 28.000.000,00",
2.05 . 2.05.01 . 02 . 24 . 5 . 2 . 2 . 05 . 03 , Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,131500000," APBD
belanja BBM dan pelumas kendaraan dinassekretariat1 ls x 70.000.000,00 = 70.000.000,00
binus dan wasdal1 ls x 17.000.000,00 = 17.000.000,00
BBI1 ls x 9.000.000,00 = 9.000.000,00
pengendalian PAD dan peningkatan manajemen aset/barang daerah1 ls x 7.000.000,00 = 7.000.000,00
perencanaan/data statistik/monev1 ls x 10.000.000,00 = 10.000.000,00
budidaya1 ls x 12.500.000,00 = 12.500.000,00
tangkap1 ls x 6.000.000,00 = 6.000.000,00",
2.05 . 2.05.01 . 02 . 30 , Pemeliharaan rutin/berkala perlengkapan dan peralatan kantor ,37425000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul
Keluaran : terlaksana pemeliharaan perlengkapan/peralatan kantor
Target: 1 tahun",
2.05 . 2.05.01 . 02 . 30 . 5 . 2 . 2 , Belanja Barang dan Jasa ,37425000,,
2.05 . 2.05.01 . 02 . 30 . 5 . 2 . 2 . 20 , Belanja Pemeliharaan ,37425000,,
2.05 . 2.05.01 . 02 . 30 . 5 . 2 . 2 . 20 . 04 , Belanja Pemeliharan Peralatan dan Mesin ,37425000," APBD
belanja pemeliharaan peralatan dan mesin
belanja pemeliharaan / service komputer, laptop, printer, tv, LCD, dan kamera1 ls x 26.425.000,00 = 26.425.000,00
belanja pemeliharaan / service mebelair1 ls x 5.000.000,00 = 5.000.000,00
belanja pemeliharaan / service ac1 ls x 6.000.000,00 = 6.000.000,00",
2.05 . 2.05.01 . 02 . 34 , Pengadaan Peralatan dan Perlengkapan Kantor ,177000000," Sumber Dana : APBD
Lokasi Kegiatan : DKP Bantul
Keluaran : terlaksana pengadaan almari
Target: 1 paket",
2.05 . 2.05.01 . 02 . 34 . 5 . 2 . 3 , Belanja Modal ,177000000,,
2.05 . 2.05.01 . 02 . 34 . 5 . 2 . 3 . 27 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor ,4800000,,
2.05 . 2.05.01 . 02 . 34 . 5 . 2 . 3 . 27 . 02 , Belanja Modal Peralatan dan Mesin - Pengadaan Mesin Hitung/Jumlah ,1000000," APBD
pengadaan kalkulatorkalkulator1 paket x 1.000.000,00 = 1.000.000,00",
2.05 . 2.05.01 . 02 . 34 . 5 . 2 . 3 . 27 . 05 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor ,3800000," APBD
Pengadaan alat pemotong kertaspemotong kertas1 paket x 2.800.000,00 = 2.800.000,00
Pengadaan lambang garuda1 paket x 1.000.000,00 = 1.000.000,00",
2.05 . 2.05.01 . 02 . 34 . 5 . 2 . 3 . 28 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga ,29500000,,
2.05 . 2.05.01 . 02 . 34 . 5 . 2 . 3 . 28 . 01 , Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair ,20500000," APBD
Pengadaan almarialmari kayu1 paket x 13.975.000,00 = 13.975.000,00
Honor panitia penerima/pemeriksa hasil pekerjaanKetua1 op x 200.000,00 = 200.000,00
Sekretaris1 op x 175.000,00 = 175.000,00
Anggota1 op x 150.000,00 = 150.000,00
Pengadaan sofa meja tamu1 paket x 6.000.000,00 = 6.000.000,00",
2.05 . 2.05.01 . 02 . 34 . 5 . 2 . 3 . 28 . 04 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pendingin ,6000000," APBD
Pengadaan AC1 paket x 6.000.000,00 = 6.000.000,00",
2.05 . 2.05.01 . 02 . 34 . 5 . 2 . 3 . 28 . 07 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pemadam Kebakaran ,3000000," APBD
pengadaan kelengkapan alat pemadam kebakarankelengkapan alat pemadam kebakaran1 paket x 3.000.000,00 = 3.000.000,00",
2.05 . 2.05.01 . 02 . 34 . 5 . 2 . 3 . 29 , Belanja Modal Peralatan dan Mesin - Pengadaan Komputer ,118850000,,
2.05 . 2.05.01 . 02 . 34 . 5 . 2 . 3 . 29 . 02 , Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer ,85000000," APBD
pengadaan komputerpengadaan komputer/PC dan kelengkapan1 paket x 85.000.000,00 = 85.000.000,00",
2.05 . 2.05.01 . 02 . 34 . 5 . 2 . 3 . 29 . 05 , Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Personal Komputer ,33850000," APBD
Pengadaan peralatan Personal komputerPrinter1 paket x 12.000.000,00 = 12.000.000,00
pengadaan proyektor dan kelengkapannya1 paket x 11.000.000,00 = 11.000.000,00
external hardisk1 paket x 5.000.000,00 = 5.000.000,00
modem1 paket x 2.000.000,00 = 2.000.000,00
UPS1 paket x 2.000.000,00 = 2.000.000,00
Honor tim perencanaanggota1 op x 200.000,00 = 200.000,00
ketua1 op x 250.000,00 = 250.000,00
sekretaris1 op x 225.000,00 = 225.000,00
Honor PPK1 op x 350.000,00 = 350.000,00
Honor pejabat pengadaan1 op x 300.000,00 = 300.000,00
Honor panitia penerima/pemeriksa hasil pekerjaan
ketua1 op x 200.000,00 = 200.000,00
sekretaris1 op x 175.000,00 = 175.000,00
anggota1 op x 150.000,00 = 150.000,00",
2.05 . 2.05.01 . 02 . 34 . 5 . 2 . 3 . 31 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio ,18850000,,
