Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
1.20 . 1.20.03 . 01 . 02 . 5 . 2 . 2 . 03 . 03,Belanja Listrik,12000000," Belanja listrik1 tahun x 12.000.000,00 = 12.000.000,00"
1.20 . 1.20.03 . 01 . 02 . 5 . 2 . 2 . 03 . 06,Belanja Kawat/Faksimili/Internet/Intranet/TV Kabel/TV Satelit,25000000," Belanja kawat/faksimili/internet/intranet/TV kabel/TV satelit
Belanja kawat/faksimili/internet/intranet1 tahun x 25.000.000,00 = 25.000.000,00"
1.20 . 1.20.03 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,3000000,"Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : Pemeliharaan dan perijinan kendaraan dinas/operasional
Target : 9 unit kendaraan"
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,3000000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,3000000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05 . 05,Belanja Pajak Kendaraan Bermotor,3000000," Belanja STNK
Perpanjangan surat kendaraan dinas roda 41 tahun x 1.500.000,00 = 1.500.000,00
Perpanjangan surat kendaraan dinas roda 21 tahun x 1.500.000,00 = 1.500.000,00"
1.20 . 1.20.03 . 01 . 07,Penyediaan jasa administrasi keuangan,17510000,"Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : Honor kegiatan pengelola kegiatan
Target : 12 bulan"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1,Belanja Pegawai,16560000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01,Honorarium PNS,16560000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01 . 06,Honor Pengelola Keuangan dan Barang,16560000," Honorarium Pengelola Keuangan dan Barang
Honor Pengelola Urusan Kepegawaian12 orang/bulan x 75.000,00 = 900.000,00
Honor Pengurus Barang Pembantu12 orang/bulan x 150.000,00 = 1.800.000,00
Honor Penyimpan Barang12 orang/bulan x 100.000,00 = 1.200.000,00
Honor Bendahara Pengeluaran Pembantu12 or/bulan x 280.000,00 = 3.360.000,00
Honor Pembantu Bendahara Pengeluaran36 orang/bulan x 230.000,00 = 8.280.000,00
Honor Pengurus Gaji Pembantu12 orang/bulan x 85.000,00 = 1.020.000,00"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,950000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,500000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,500000," Belanja Alat Tulis Kantor
Belanja Kertas HVS, polpen, spidol1 ls x 500.000,00 = 500.000,00"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,450000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,450000," Belanja penggandaan/Fotocopy
Fotocopy3,000 lembar x 150,00 = 450.000,00"
1.20 . 1.20.03 . 01 . 08,Penyediaan jasa kebersihan kantor,3000000,"Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : Pembelian alat-alat kebersihan kantor
Target : 12 bulan"
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,3000000,
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,3000000,
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 2 . 01 . 05,Belanja Peralatan Kebersihan Dan Bahan Pembersih,3000000," Belanja Peralatan Kebersihan dan Bahan Pembersih
Pembelian alat-alat kebersihan (tisue, parfum, sulak, sapu, sabun, pembersih dll)1 tahun x 3.000.000,00 = 3.000.000,00"
1.20 . 1.20.03 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,7000000,"Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : Perbaikan peralatan kerja, kamera dan komputer
Target : 1 tahun kegiatan"
1.20 . 1.20.03 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,7000000,
1.20 . 1.20.03 . 01 . 09 . 5 . 2 . 2 . 20,Belanja Pemeliharaan,7000000,
1.20 . 1.20.03 . 01 . 09 . 5 . 2 . 2 . 20 . 04,Belanja Pemeliharan Peralatan dan Mesin,7000000," Belanja Pemeliharaan Peralatan dan Mesin
Servis Kompute/laptop1 tahun x 3.500.000,00 = 3.500.000,00
Servis printer1 tahun x 2.500.000,00 = 2.500.000,00
Servis Peralatan kantor lainnya1 tahun x 1.000.000,00 = 1.000.000,00"
1.20 . 1.20.03 . 01 . 10,Penyediaan alat tulis kantor,7795000,"Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : Penyediaan alat tulis kantor
Target : 1 tahun kegiatan"
1.20 . 1.20.03 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,7795000,
1.20 . 1.20.03 . 01 . 10 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,7795000,
1.20 . 1.20.03 . 01 . 10 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,7795000," Belanja Alat Tulis Kantor
Pembelian kertas, tinta, refil, spidol, Bolpoint, pensil, stopmap, snelhechter1 tahun x 7.795.000,00 = 7.795.000,00"
1.20 . 1.20.03 . 01 . 11,Penyediaan barang cetakan dan penggandaan,8050000,"Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : Penyediaan barang cetakan dan penggandaan
Target : 1 tahun kegiatan"
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,8050000,
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,8050000,
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,4000000," Belanja Cetak
Cetak blangko Bend 26, SPPD, daftar hadir, brosur, map, lembar disposisi, kop surat, blangko survey dll1 tahun x 4.000.000,00 = 4.000.000,00"
1.20 . 1.20.03 . 01 . 11 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,4050000," Belanja Penggandaan/Foto copy
Penggandaan/foto copy, jilid1 tahun x 4.050.000,00 = 4.050.000,00"
1.20 . 1.20.03 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,2000000,"Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : Tersedianya komponen instalasi listrik/penerangan bangunan kantor
Target : 1 tahun kegiatan"
1.20 . 1.20.03 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,2000000,
1.20 . 1.20.03 . 01 . 12 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,2000000,
1.20 . 1.20.03 . 01 . 12 . 5 . 2 . 2 . 01 . 03,Belanja Alat Listrik Dan Elektronik (Lampu Pijar^ Battery Kering),2000000," Belanja Alat Listrik dan Elektronik
Pembelian kabel, stop kontak, stafolt dll1 tahun x 2.000.000,00 = 2.000.000,00"
1.20 . 1.20.03 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,5000000,"Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya penyediaan bahan bacaan berupa surat kabar, buku, majalah dan peraturan perundang undangan
Target : 1 tahun kegiatan"
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,3000000,
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,3000000,
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 2 . 03 . 05,Belanja Surat Kabar/Majalah,3000000," Belanja Surat Kabar/Majalah
SKH KR, Radar Jogja1 tahun x 3.000.000,00 = 3.000.000,00"
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 3,Belanja Modal,2000000,
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 3 . 82,Belanja Modal Aset Tetap Lainnya - Pengadaan Buku,2000000,
1.20 . 1.20.03 . 01 . 15 . 5 . 2 . 3 . 82 . 01,Belanja Modal Aset Tetap Lainnya - Pengadaan Buku Ilmu Pengetahuan Umum,2000000," Buku Peraturan Perundang-undangan dll1 tahun x 2.000.000,00 = 2.000.000,00"
1.20 . 1.20.03 . 01 . 17,Penyediaan makanan dan minuman,10687500,"Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : Penyediaan makan, minum dan snack untuk rakor rutin selama 1 tahun
Target : 1 tahun kegiatan"
1.20 . 1.20.03 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,10687500,
1.20 . 1.20.03 . 01 . 17 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,10687500,
1.20 . 1.20.03 . 01 . 17 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,10687500," Belanja snack, makanan dan minuman rapat
Jamuan snack minum375 orang x 8.500,00 = 3.187.500,00
Jamuan makan minum375 orang x 20.000,00 = 7.500.000,00"
1.20 . 1.20.03 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,49330000,"Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : Perjalanan dinas ke luar Daerah
Target : 1 tahun kegiatan"
1.20 . 1.20.03 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,49330000,
1.20 . 1.20.03 . 01 . 18 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,49330000,
1.20 . 1.20.03 . 01 . 18 . 5 . 2 . 2 . 15 . 02,Belanja Perjalanan Dinas Luar Daerah,49330000," Belanja Perjalanan Dinas ke Luar Daerah
Biaya Perjalanan Dinas Golongan III10 op x 1.550.000,00 = 15.500.000,00
Bantuan tiket pesawat5 tiket pswt x 2.750.000,00 = 13.750.000,00
Bantuan tiket pesawat5 tiket KA x 616.000,00 = 3.080.000,00
Biaya Perjalanan Dinas Golongan IV10 op x 1.700.000,00 = 17.000.000,00"
1.20 . 1.20.03 . 01 . 19,Rapat-rapat koordinasi dan konsultasi dalam daerah,6000000,"Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : Perjalanan dinas untuk konsultasi ke dalam daerah
Target : 1 tahun kegiatan"
1.20 . 1.20.03 . 01 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,6000000,
1.20 . 1.20.03 . 01 . 19 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,6000000,
1.20 . 1.20.03 . 01 . 19 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,6000000," Belanja Perjalanan Dinas Dalam Daerah DIY
Biaya Perjalanan Dinas Gol IV8 op x 70.000,00 = 560.000,00
Biaya Perjalanan Dinas Gol III40 op x 60.000,00 = 2.400.000,00
Biaya Perjalanan Dinas Gol II20 op x 50.000,00 = 1.000.000,00
Belanja Perjalanan Dinas Dalam Daerah Kabupaten
Biaya Perjalanan Dinas Gol IV6 op x 50.000,00 = 300.000,00
Biaya Perjalanan Dinas Gol III36 op x 40.000,00 = 1.440.000,00
Biaya Perjalanan Dinas Gol II10 op x 30.000,00 = 300.000,00"
1.20 . 1.20.03 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,111100000,
1.20 . 1.20.03 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,86100000,"Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : Pemeliharaan rutin/berkala kendaraan dinas/operasional
Target : 9 kendaraan dinas"
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,86100000,
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,86100000,
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05 . 01,Belanja Jasa Service,6400000," Belanja Jasa Service
Belanja Jasa Service dan Perawatan Roda 41 mobil/thn x 1.000.000,00 = 1.000.000,00
Belanja Jasa Service dan Perawatan Roda 42 mobil/thn x 1.500.000,00 = 3.000.000,00
Belanja Jasa Service dan Perawatan Roda 26 motor/thn x 400.000,00 = 2.400.000,00"
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05 . 02,Belanja Penggantian Suku Cadang,14700000," Belanja Penggantian Suku Cadang
Belanja Penggantian Suku Cadang Roda 41 mobil/thn x 2.500.000,00 = 2.500.000,00
Belanja Penggantian Suku Cadang Roda 42 mobil/thn x 4.000.000,00 = 8.000.000,00
Belanja Penggantian Suku Cadang Roda 26 Motor/thn x 700.000,00 = 4.200.000,00"
1.20 . 1.20.03 . 02 . 24 . 5 . 2 . 2 . 05 . 03,Belanja Bahan Bakar Minyak/Gas Dan Pelumas,65000000," Belanja Bahan Bakar Minyak
Belanja BBM Pengendalian, survey dan monitoring Bansos/hibah, operasional kegiatan Bagian Administrasi Pembangunan Dll1 tahun x 58.700.000,00 = 58.700.000,00
PelumasPelumas Roda26 motor/thn x 300.000,00 = 1.800.000,00
Pelumas Roda 41 mobil/thn x 1.500.000,00 = 1.500.000,00
Pelumas Roda 42 mobil/thn x 1.500.000,00 = 3.000.000,00"
1.20 . 1.20.03 . 02 . 34,Pengadaan peralatan dan perlengkapan kantor,25000000,"Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : Penyediaan peralatan dan perlengkapan kantor
Target : 3 paket"
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3,Belanja Modal,25000000,
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3 . 28,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga,2150000,
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3 . 28 . 03,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pembersih,2150000," Pengadaan Alat Pembersih
Pengadaan Vacuum Cleaner1 buah x 2.150.000,00 = 2.150.000,00"
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3 . 29,Belanja Modal Peralatan dan Mesin - Pengadaan Komputer,22850000,
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3 . 29 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer,15850000," Pengadaan Komputer/PC Tablet2 buah x 7.500.000,00 = 15.000.000,00
Honorarium Panitia PengadaanPPK1 paket x 350.000,00 = 350.000,00
Pejabat Pengadaan Barang/Jasa1 paket x 300.000,00 = 300.000,00
Pejabat Penerima Hasil Pekerjaan1 paket x 200.000,00 = 200.000,00"
1.20 . 1.20.03 . 02 . 34 . 5 . 2 . 3 . 29 . 04,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Mini Komputer,7000000," Belanja Modal Pengadaan Printer
Pengadaan Printer1 buah x 5.000.000,00 = 5.000.000,00
Belanja Modal Pengadaan Scanner
Pengadaan Scanner1 unit x 2.000.000,00 = 2.000.000,00"
1.22 . 1.20.03 . 17,Program peningkatan partisipasi masyarakat dalam membangun desa,177395000,
1.22 . 1.20.03 . 17 . 04,Monitoring^ evaluasi dan pelaporan,177395000,"Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : Tersedianya pemberian hibah dan bantuan sosial pada masyarakat
Target : 1 tahun kegiatan"
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 1,Belanja Pegawai,123780000,
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 1 . 01,Honorarium PNS,107730000,
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,106980000," Tim Pengarah
Anggota66 orang/bulan x 150.000,00 = 9.900.000,00
Ketua I11 orang/bulan x 170.000,00 = 1.870.000,00
Ketua II11 orang/bulan x 170.000,00 = 1.870.000,00
Sekretaris11 orang/bulan x 0,00 = 0,00
Pembina11 orang/bulan x 200.000,00 = 2.200.000,00
Wakil Pembina11 orang/bulan x 190.000,00 = 2.090.000,00
Pengarah/Penasehat11 orang/bulan x 180.000,00 = 1.980.000,00
Tim TeknisAnggota264 orang/bulan x 140.000,00 = 36.960.000,00
Ketua11 orang/bulan x 160.000,00 = 1.760.000,00
Sekretaris11 orang/bulan x 150.000,00 = 1.650.000,00
Staf SekretariatGolongan III99 orang/bulan x 100.000,00 = 9.900.000,00
Unsur Desa600 orang/bulan x 50.000,00 = 30.000.000,00
Unsur Kecamatan136 orang/bulan x 50.000,00 = 6.800.000,00"
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 1 . 01 . 02,Honorarium Tim Pengadaan Barang Dan Jasa,750000," Honorarium Pengadaan Barang/JasaPPK1 ok x 300.000,00 = 300.000,00
Pejabat Pengadaan Barang/Jasa1 ok x 250.000,00 = 250.000,00
Pejabat Penerima Hasil Pekerjaan1 ok x 200.000,00 = 200.000,00"
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 1 . 02,Honorarium Non PNS,13500000,
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 1 . 02 . 03,Honorarium Pegawai Kontrak,13500000," Honorarium Pegawai KontrakTenaga Perkantoran12 orang/bulan x 1.125.000,00 = 13.500.000,00"
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 1 . 03,Uang Lembur,2550000,
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 1 . 03 . 01,Uang Lembur PNS,2550000," Uang Lembur PNSTKJK
 Golongan III dan IV150 orang/hari x 15.000,00 = 2.250.000,00
Upah Lembur Golongan II30 orang/hari x 10.000,00 = 300.000,00"
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,53615000,
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,8445000,
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,8445000," Belanja Alat Tulis Kantor
Belanja ATK1 ls x 8.445.000,00 = 8.445.000,00"
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,800000,
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 03 . 15,Belanja Publikasi,800000," Belanja Publikasi
Siaran pada Media Elektronik2 siaran x 400.000,00 = 800.000,00"
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,3375000,
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,3375000," Belanja Penggandaan
Penggandaan/Foto copy27,000 lbr x 125,00 = 3.375.000,00"
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,32595000,
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,3995000," Belanja Makanan dan Minuman Rapat
Jamuan Snack dan Minum470 orang x 8.500,00 = 3.995.000,00"
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 11 . 04,Belanja makanan dan minuman Lembur,3600000," Belanja Makanan dan Minuman Lembur
Jamuan Makan dan Minum Lembur180 orang x 20.000,00 = 3.600.000,00"
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,25000000," Belanja Makanan dan Minuman Pelaksanaan Kegiatan
Jamuan Makan dan Minum Survey/Monitoring ke Lokasi1,000 orang x 25.000,00 = 25.000.000,00"
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,3000000,
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,3000000," Belanja Perjalanan Dinas Dalam Daerah
Biaya Perjalanan Dinas Gol IV8 op x 50.000,00 = 400.000,00
Biaya Perjalanan Dinas Gol III50 op x 40.000,00 = 2.000.000,00
Biaya Perjalanan Dinas Gol II20 op x 30.000,00 = 600.000,00"
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 35,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,400000,
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,400000," Honorarium Narasumber/Moderator/Tenaga Ahli
Narasumber Sosialisasi4 orang x 100.000,00 = 400.000,00"
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 40,Belanja Jasa Upgrade,5000000,
1.22 . 1.20.03 . 17 . 04 . 5 . 2 . 2 . 40 . 01,Belanja Jasa Upgrade Software,5000000," Belanja Pemeliharaan SIM Hibah Bansos
Pemeliharaan SIM Hibah Bansos1 ls x 5.000.000,00 = 5.000.000,00"
1.20 . 1.20.03 . 20,Program peningkatan sistem pengawasan internal dan pengendalian pelaksanaan kebijakan KDH,1105212700,
1.20 . 1.20.03 . 20 . 09,Pengendalian Pelaksanaan Kegiatan Pembangunan Fisik APBD,233755000,"Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya penyusunan laporan pelaksanaan kegiatan fisik APBD
Target : 1 tahun kegiatan"
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 1,Belanja Pegawai,148985000,
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 1 . 01,Honorarium PNS,147335000,
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,145760000," Tim Pengarah Pengendalian Pembangunan Daerah
Ketua10 orang/bulan x 170.000,00 = 1.700.000,00
Sekretaris10 orang/bulan x 0,00 = 0,00
Anggota50 orang/bulan x 150.000,00 = 7.500.000,00
Pembina10 orang/bulan x 200.000,00 = 2.000.000,00
Wakil Pembina10 orang/bulan x 190.000,00 = 1.900.000,00
Pengarah/Penasehat10 orang/bulan x 180.000,00 = 1.800.000,00
Tim Teknis Pengendalian Pembangunan Daerah
Ketua10 orang/bulan x 160.000,00 = 1.600.000,00
Sekretaris10 orang/bulan x 150.000,00 = 1.500.000,00
Anggota270 orang/bulan x 140.000,00 = 37.800.000,00
Staf Sekretariat
Sekretariat Tim Teknis Pengendali50 orang/bulan x 100.000,00 = 5.000.000,00
Sekretariat Tim Teknis Pembina/Pengarah140 orang/bulan x 80.000,00 = 11.200.000,00
Tim Simdalbangda
Sekretaris10 orang/bulan x 125.000,00 = 1.250.000,00
Anggota680 orang/bulan x 100.000,00 = 68.000.000,00
Ketua10 orang/bulan x 140.000,00 = 1.400.000,00
Tim Penyusun Audiensi Pengendalian dan Monitoring Pimpinan Daerah
Ketua1 orang/bulan x 160.000,00 = 160.000,00
Sekretaris1 orang/bulan x 150.000,00 = 150.000,00
Anggota20 orang/bulan x 140.000,00 = 2.800.000,00"
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 1 . 01 . 02,Honorarium Tim Pengadaan Barang Dan Jasa,1575000," Honorarium Tim Pengadaan Barang dan Jasa Penyempurnaan SIMPPK1 ok x 350.000,00 = 350.000,00
Pejabat Pengadaan Barang/Jasa1 ok x 300.000,00 = 300.000,00
Panitia Penerima Hasil Pekerjaan1 ok x 225.000,00 = 225.000,00
Tim Teknis5 orang x 140.000,00 = 700.000,00"
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 1 . 03,Uang Lembur,1650000,
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 1 . 03 . 01,Uang Lembur PNS,1650000," Uang Lembur PNSTKJK
 Golongan III dan IV90 orang/hari x 15.000,00 = 1.350.000,00
Upah Lembur30 orang/hari x 10.000,00 = 300.000,00"
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,84770000,
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,3925000,
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,3925000," Belanja Alat Tulis Kantor
Belanja ATK1 tahun x 3.925.000,00 = 3.925.000,00"
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,800000,
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 2 . 03 . 15,Belanja Publikasi,800000," Belanja Publikasi
Siaran Pada Media Elektronik2 siaran x 400.000,00 = 800.000,00"
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,3845000,
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,900000," Belanja Cetak
Belanja Cetak Banner, back drop dll1 ls x 900.000,00 = 900.000,00"
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,2945000," Belanja Penggandaan
Foto copy/penggandaan23,560 lbr x 125,00 = 2.945.000,00"
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 2 . 10,Belanja Sewa Perlengkapan dan Peralatan Kantor,8600000,
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 2 . 10 . 01,Belanja Sewa Meja Kursi,1600000," Belanja Sewa Meja Kursi
Belanja Sewa Meja Pertemuan Audiensi Pengendalian dan Monitoring Pimpinan Daerah4 paket x 400.000,00 = 1.600.000,00"
1.20 . 1.20.03 . 20 . 09 . 5 . 2 . 2 . 10 . 05,Belanja Sewa Tenda,4000000," Belanja Sewa Tenda
Belanja Sewa tenda Pertemuan Audiensi Pengendalian dan Monitoring Pimpinan Daerah4 paket x 1.000.000,00 = 4.000.000,00"
