Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
2.01 . 2.01.01 . 01.08 . 5.2.2.01.05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih,1000000,1000000,0,0,
2.01 . 2.01.01 . 01.10 ,Penyediaan Alat Tulis Kantor ,7880000,7880000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 01.10 . 5.2.2 ,Belanja Barang dan Jasa ,7880000,7880000,0,0,
2.01 . 2.01.01 . 01.10 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,7880000,7880000,0,0,
2.01 . 2.01.01 . 01.10 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,7880000,7880000,0,0,
2.01 . 2.01.01 . 01.11 ,Penyediaan Barang Cetakan dan Penggandaan ,7026000,7026000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 01.11 . 5.2.2 ,Belanja Barang dan Jasa ,7026000,7026000,0,0,
2.01 . 2.01.01 . 01.11 . 5.2.2.06 ,Belanja Cetak Dan Penggandaan ,7026000,7026000,0,0,
2.01 . 2.01.01 . 01.11 . 5.2.2.06.01 ,Belanja Cetak ,2967000,2967000,0,0,
2.01 . 2.01.01 . 01.11 . 5.2.2.06.02 ,Belanja Penggandaan ,4059000,4059000,0,0,
2.01 . 2.01.01 . 01.12 ,Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor,1000000,1000000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 01.12 . 5.2.2 ,Belanja Barang dan Jasa ,1000000,1000000,0,0,
2.01 . 2.01.01 . 01.12 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,1000000,1000000,0,0,
2.01 . 2.01.01 . 01.12 . 5.2.2.01.03 ,Belanja Alat Listrik Dan Elektronik (Lampu Pijar. Battery Kering),1000000,1000000,0,0,
2.01 . 2.01.01 . 01.15 ,Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan,780000,780000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 01.15 . 5.2.2 ,Belanja Barang dan Jasa ,780000,780000,0,0,
2.01 . 2.01.01 . 01.15 . 5.2.2.03 ,Belanja Jasa Kantor ,780000,780000,0,0,
2.01 . 2.01.01 . 01.15 . 5.2.2.03.05 ,Belanja Surat Kabar/Majalah ,780000,780000,0,0,
2.01 . 2.01.01 . 01.17 ,Penyediaan Makanan dan Minuman ,12864000,12864000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 01.17 . 5.2.2 ,Belanja Barang dan Jasa ,12864000,12864000,0,0,
2.01 . 2.01.01 . 01.17 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,12864000,12864000,0,0,
2.01 . 2.01.01 . 01.17 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,12864000,12864000,0,0,
2.01 . 2.01.01 . 01.18 ,Rapat-Rapat Koordinasi dan Konsultasi Ke Luar Daerah,46500000,46500000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 01.18 . 5.2.2 ,Belanja Barang dan Jasa ,46500000,46500000,0,0,
2.01 . 2.01.01 . 01.18 . 5.2.2.15 ,Belanja Perjalanan Dinas ,46500000,46500000,0,0,
2.01 . 2.01.01 . 01.18 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,46500000,46500000,0,0,
2.01 . 2.01.01 . 01.19 ,Penyediaan koordinasi dan konsultasi dalam daerah,7000000,7000000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 01.19 . 5.2.2 ,Belanja Barang dan Jasa ,7000000,7000000,0,0,
2.01 . 2.01.01 . 01.19 . 5.2.2.15 ,Belanja Perjalanan Dinas ,7000000,7000000,0,0,
2.01 . 2.01.01 . 01.19 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,7000000,7000000,0,0,
2.01 . 2.01.01 . 01.20 ,Penyediaan jasa tenaga pegawai tidak tetap ,4550000,4550000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 01.20 . 5.2.1 ,Belanja Pegawai ,4550000,4550000,0,0,
2.01 . 2.01.01 . 01.20 . 5.2.1.02 ,Honorarium Non PNS ,4550000,4550000,0,0,
2.01 . 2.01.01 . 01.20 . 5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,4550000,4550000,0,0,
2.01 . 2.01.01 . 02 ,Program Peningkatan Sarana dan Prasarana Aparatur,96291000,250669950,154378950,16033,
2.01 . 2.01.01 . 02.05 ,Pengadaan Kendaraan Dinas/Operasional ,23112000,117112000,94000000,40672,Sumber Dana :   Lokasi Kegiatan : Dinas Pertanian dan Kehutanan
2.01 . 2.01.01 . 02.05 . 5.2.3 ,Belanja Modal ,23112000,117112000,94000000,40672,
2.01 . 2.01.01 . 02.05 . 5.2.3.03 ,Belanja Modal Pengadaan Alat-Alat Angkutan Darat Bermotor,23112000,117112000,94000000,40672,
2.01 . 2.01.01 . 02.05 . 5.2.3.03.12 ,Belanja Modal Pengadaan Alat-Alat Angkutan Darat Bermotor Sepeda Motor,23112000,117112000,94000000,40672,Kendaraan roda 2 (DAK Kehutanan)  Kendaraan roda 2 (sarana prasarana pengamanan hutan) DAK : Rp 20624545.-  ; DAU : Rp 2062455.-  1 unit x 22687000.00 = 22687000.00  Pejabat pengadaan  1 orang/bulan x 250000.00 = 250000.00  Pejabat penerima/pemeriksa  1 orang/bulan x 175000.00 = 175000.00  Kendaraan roda 2 Sarana dan prasarana pengamanan Hutan (DAK Kehutanan Tahun 2013)  Kendaraan roda 2 (sport) (DAK : 65454545 DAU : 6545455)  3 unit x 24000000.00 = 72000000.00  Kendaraan roda 2 (DAK : 20000000 DAU : 2000000)  1 unit x 22000000.00 = 22000000.00
2.01 . 2.01.01 . 02.09 ,Pengadaan Peralatan Gedung Kantor ,24785000,85163950,60378950,24361,Sumber Dana :   Lokasi Kegiatan : Dinas Pertanian dan Kehutanan
2.01 . 2.01.01 . 02.09 . 5.2.3 ,Belanja Modal ,24785000,85163950,60378950,24361,
2.01 . 2.01.01 . 02.09 . 5.2.3.12 ,Belanja Modal Pengadaan Komputer ,16350000,16350000,0,0,
2.01 . 2.01.01 . 02.09 . 5.2.3.12.02 ,Belanja Modal Pengadaan Komputer/PC ,16350000,16350000,0,0,Belanja modal pengadaan komputer  Komputer PC  2 unit x 4000000.00 = 8000000.00  Komputer PC (WISMP)  2 unit x 4000000.00 = 8000000.00  Honor Pejabat Pengadaan / Pejabat Penerima Barang/Jasa  Honor Pejabat Pengadaan  1 orang x 200000.00 = 200000.00  Honor Pejabat Penerima  1 orang x 150000.00 = 150000.00
2.01 . 2.01.01 . 02.09 . 5.2.3.16 ,Belanja Modal Pengadaan Alat-Alat Studio ,6000000,27878950,21878950,36465,
2.01 . 2.01.01 . 02.09 . 5.2.3.16.01 ,Belanja Modal Pengadaan Kamera ,6000000,6000000,0,0,Kamera DSLR ( Bidang Kehutanan. sarana prasarana pengamanan hutan) DAK : Rp 5454545.- ; DAU : Rp 545455.-  1 unit x 6000000.00 = 6000000.00
2.01 . 2.01.01 . 02.09 . 5.2.3.16.02 ,Belanja Modal Pengadaan Handycam ,0,4678950,4678950,0,Sarana Prasarana pengamanan Hutan (DAK Kehutanan Tahun 2013)  Handycam ( Sisa 2013 DAK:4253591   1 unit x 4678950.00 = 4678950.00
2.01 . 2.01.01 . 02.09 . 5.2.3.16.08 ,Belanja Modal Pengadaan Wireless ,0,17200000,17200000,0,Sisa DAK Kehutanan 2012  Wireless ( DAK:15636364 DAU:1563636)  2 unit x 8600000.00 = 17200000.00
2.01 . 2.01.01 . 02.09 . 5.2.3.17 ,Belanja Modal Pengadaan Alat-Alat Komunikasi ,2435000,2435000,0,0,
2.01 . 2.01.01 . 02.09 . 5.2.3.17.02 ,Belanja Modal Pengadaan Faximili ,2435000,2435000,0,0,Pengadaan mesin faximili (WISMP)  1 unit x 2435000.00 = 2435000.00
2.01 . 2.01.01 . 02.09 . 5.2.3.18 ,Belanja Modal Pengadaan Alat-Alat Ukur ,0,38500000,38500000,0,
2.01 . 2.01.01 . 02.09 . 5.2.3.18.04 ,Belanja Modal Pengadaan Alat GPS ,0,38500000,38500000,0,Pengadaan GPS ( Sisa DAK Kehutanan Th 2012 dan 2010)  Pengadaan GPS ( DAK 2012: 23000000. DAU 2300000) (DAK 2010:12000000 DAU:1200000)  7 unit x 5500000.00 = 38500000.00
2.01 . 2.01.01 . 02.24 ,Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional,48394000,48394000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 02.24 . 5.2.2 ,Belanja Barang dan Jasa ,48394000,48394000,0,0,
2.01 . 2.01.01 . 02.24 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,48394000,48394000,0,0,
2.01 . 2.01.01 . 02.24 . 5.2.2.05.01 ,Belanja Jasa Service ,4180000,4180000,0,0,
2.01 . 2.01.01 . 02.24 . 5.2.2.05.02 ,Belanja Penggantian Suku Cadang ,12145000,12145000,0,0,
2.01 . 2.01.01 . 02.24 . 5.2.2.05.03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,32069000,32069000,0,0,
2.01 . 2.01.01 . 05 ,Program Peningkatan Kapasitas Sumber Daya Aparatur,2200000,2200000,0,0,
2.01 . 2.01.01 . 05.06 ,Penilaian Prestasi Kerja Pegawai Fungsional Lewat Angka Kredit,2200000,2200000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 05.06 . 5.2.1 ,Belanja Pegawai ,1310000,1310000,0,0,
2.01 . 2.01.01 . 05.06 . 5.2.1.01 ,Honorarium PNS ,1310000,1310000,0,0,
2.01 . 2.01.01 . 05.06 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,1310000,1310000,0,0,
2.01 . 2.01.01 . 05.06 . 5.2.2 ,Belanja Barang dan Jasa ,890000,890000,0,0,
2.01 . 2.01.01 . 05.06 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,213000,213000,0,0,
2.01 . 2.01.01 . 05.06 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,213000,213000,0,0,
2.01 . 2.01.01 . 05.06 . 5.2.2.06 ,Belanja Cetak Dan Penggandaan ,225000,225000,0,0,
2.01 . 2.01.01 . 05.06 . 5.2.2.06.02 ,Belanja Penggandaan ,225000,225000,0,0,
2.01 . 2.01.01 . 05.06 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,252000,252000,0,0,
2.01 . 2.01.01 . 05.06 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,252000,252000,0,0,
2.01 . 2.01.01 . 05.06 . 5.2.2.15 ,Belanja Perjalanan Dinas ,200000,200000,0,0,
2.01 . 2.01.01 . 05.06 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,200000,200000,0,0,
2.01 . 2.01.01 . 06 ,Program Peningkatan Pengembangan Sistem Pelaporan Capaian Kinerja dan Keuangan,6000000,6000000,0,0,
2.01 . 2.01.01 . 06.01 ,Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,2000000,2000000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 06.01 . 5.2.1 ,Belanja Pegawai ,538000,538000,0,0,
2.01 . 2.01.01 . 06.01 . 5.2.1.03 ,Uang Lembur ,538000,538000,0,0,
2.01 . 2.01.01 . 06.01 . 5.2.1.03.01 ,Uang Lembur PNS ,538000,538000,0,0,
2.01 . 2.01.01 . 06.01 . 5.2.2 ,Belanja Barang dan Jasa ,1462000,1462000,0,0,
2.01 . 2.01.01 . 06.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,175950,175950,0,0,
2.01 . 2.01.01 . 06.01 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,175950,175950,0,0,
2.01 . 2.01.01 . 06.01 . 5.2.2.06 ,Belanja Cetak Dan Penggandaan ,174050,174050,0,0,
2.01 . 2.01.01 . 06.01 . 5.2.2.06.02 ,Belanja Penggandaan ,174050,174050,0,0,
2.01 . 2.01.01 . 06.01 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,1112000,1112000,0,0,
2.01 . 2.01.01 . 06.01 . 5.2.2.11.01 ,Belanja Makanan dan Minuman Harian Pegawai ,612000,612000,0,0,
2.01 . 2.01.01 . 06.01 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,500000,500000,0,0,
2.01 . 2.01.01 . 06.09 ,Penyusunan pelaporan keuangan SKPD ,4000000,4000000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 06.09 . 5.2.1 ,Belanja Pegawai ,1351000,1351000,0,0,
2.01 . 2.01.01 . 06.09 . 5.2.1.03 ,Uang Lembur ,1351000,1351000,0,0,
2.01 . 2.01.01 . 06.09 . 5.2.1.03.01 ,Uang Lembur PNS ,1351000,1351000,0,0,
2.01 . 2.01.01 . 06.09 . 5.2.2 ,Belanja Barang dan Jasa ,2649000,2649000,0,0,
2.01 . 2.01.01 . 06.09 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,531000,531000,0,0,
2.01 . 2.01.01 . 06.09 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,531000,531000,0,0,
2.01 . 2.01.01 . 06.09 . 5.2.2.06 ,Belanja Cetak Dan Penggandaan ,240000,240000,0,0,
2.01 . 2.01.01 . 06.09 . 5.2.2.06.02 ,Belanja Penggandaan ,240000,240000,0,0,
2.01 . 2.01.01 . 06.09 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,1878000,1878000,0,0,
2.01 . 2.01.01 . 06.09 . 5.2.2.11.01 ,Belanja Makanan dan Minuman Harian Pegawai ,1638000,1638000,0,0,
2.01 . 2.01.01 . 06.09 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,240000,240000,0,0,
2.01 . 2.01.01 . 07 ,Program Penyusunan Dokumen Perencanaan SKPD,20000000,20000000,0,0,
2.01 . 2.01.01 . 07.01 ,Penyusunan Renstra SKPD ,3000000,3000000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 07.01 . 5.2.1 ,Belanja Pegawai ,596000,596000,0,0,
2.01 . 2.01.01 . 07.01 . 5.2.1.03 ,Uang Lembur ,596000,596000,0,0,
2.01 . 2.01.01 . 07.01 . 5.2.1.03.01 ,Uang Lembur PNS ,596000,596000,0,0,
2.01 . 2.01.01 . 07.01 . 5.2.2 ,Belanja Barang dan Jasa ,2404000,2404000,0,0,
2.01 . 2.01.01 . 07.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,346700,346700,0,0,
2.01 . 2.01.01 . 07.01 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,346700,346700,0,0,
2.01 . 2.01.01 . 07.01 . 5.2.2.06 ,Belanja Cetak Dan Penggandaan ,173300,173300,0,0,
2.01 . 2.01.01 . 07.01 . 5.2.2.06.02 ,Belanja Penggandaan ,173300,173300,0,0,
2.01 . 2.01.01 . 07.01 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,1884000,1884000,0,0,
2.01 . 2.01.01 . 07.01 . 5.2.2.11.01 ,Belanja Makanan dan Minuman Harian Pegawai ,684000,684000,0,0,
2.01 . 2.01.01 . 07.01 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,1200000,1200000,0,0,
2.01 . 2.01.01 . 07.02 ,Penyusunan Rencana Kerja SKPD ,2000000,2000000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 07.02 . 5.2.1 ,Belanja Pegawai ,512000,512000,0,0,
2.01 . 2.01.01 . 07.02 . 5.2.1.03 ,Uang Lembur ,512000,512000,0,0,
2.01 . 2.01.01 . 07.02 . 5.2.1.03.01 ,Uang Lembur PNS ,512000,512000,0,0,
2.01 . 2.01.01 . 07.02 . 5.2.2 ,Belanja Barang dan Jasa ,1488000,1488000,0,0,
2.01 . 2.01.01 . 07.02 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,352100,352100,0,0,
2.01 . 2.01.01 . 07.02 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,352100,352100,0,0,
2.01 . 2.01.01 . 07.02 . 5.2.2.06 ,Belanja Cetak Dan Penggandaan ,179900,179900,0,0,
2.01 . 2.01.01 . 07.02 . 5.2.2.06.02 ,Belanja Penggandaan ,179900,179900,0,0,
2.01 . 2.01.01 . 07.02 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,956000,956000,0,0,
2.01 . 2.01.01 . 07.02 . 5.2.2.11.01 ,Belanja Makanan dan Minuman Harian Pegawai ,576000,576000,0,0,
2.01 . 2.01.01 . 07.02 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,380000,380000,0,0,
2.01 . 2.01.01 . 07.10 ,Pengumpulan dan Penyusunan Data Statistik Pertanian dan Kehutanan,15000000,15000000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 07.10 . 5.2.1 ,Belanja Pegawai ,1460000,1460000,0,0,
2.01 . 2.01.01 . 07.10 . 5.2.1.03 ,Uang Lembur ,1460000,1460000,0,0,
2.01 . 2.01.01 . 07.10 . 5.2.1.03.01 ,Uang Lembur PNS ,1460000,1460000,0,0,
2.01 . 2.01.01 . 07.10 . 5.2.2 ,Belanja Barang dan Jasa ,13540000,13540000,0,0,
2.01 . 2.01.01 . 07.10 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,3160300,3160300,0,0,
2.01 . 2.01.01 . 07.10 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,3160300,3160300,0,0,
2.01 . 2.01.01 . 07.10 . 5.2.2.06 ,Belanja Cetak Dan Penggandaan ,193700,193700,0,0,
2.01 . 2.01.01 . 07.10 . 5.2.2.06.02 ,Belanja Penggandaan ,193700,193700,0,0,
2.01 . 2.01.01 . 07.10 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,3256000,3256000,0,0,
2.01 . 2.01.01 . 07.10 . 5.2.2.11.01 ,Belanja Makanan dan Minuman Harian Pegawai ,1656000,1656000,0,0,
2.01 . 2.01.01 . 07.10 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,1600000,1600000,0,0,
2.01 . 2.01.01 . 07.10 . 5.2.2.15 ,Belanja Perjalanan Dinas ,6930000,6930000,0,0,
2.01 . 2.01.01 . 07.10 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,5070000,5070000,0,0,
2.01 . 2.01.01 . 07.10 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,1860000,1860000,0,0,
2.01 . 2.01.01 . 10 ,Program Pengawasan dan Pengendalian Program ,4287500,4287500,0,0,
2.01 . 2.01.01 . 10.01 ,Monitoring. evaluasi. pengendalian. dan pelaksanaan program dan kegiatan,4287500,4287500,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 10.01 . 5.2.1 ,Belanja Pegawai ,744000,744000,0,0,
2.01 . 2.01.01 . 10.01 . 5.2.1.03 ,Uang Lembur ,744000,744000,0,0,
2.01 . 2.01.01 . 10.01 . 5.2.1.03.01 ,Uang Lembur PNS ,744000,744000,0,0,
2.01 . 2.01.01 . 10.01 . 5.2.2 ,Belanja Barang dan Jasa ,3543500,3543500,0,0,
2.01 . 2.01.01 . 10.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,239450,239450,0,0,
2.01 . 2.01.01 . 10.01 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,239450,239450,0,0,
2.01 . 2.01.01 . 10.01 . 5.2.2.06 ,Belanja Cetak Dan Penggandaan ,210050,210050,0,0,
2.01 . 2.01.01 . 10.01 . 5.2.2.06.02 ,Belanja Penggandaan ,210050,210050,0,0,
2.01 . 2.01.01 . 10.01 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,2304000,2304000,0,0,
2.01 . 2.01.01 . 10.01 . 5.2.2.11.01 ,Belanja Makanan dan Minuman Harian Pegawai ,864000,864000,0,0,
2.01 . 2.01.01 . 10.01 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,1440000,1440000,0,0,
2.01 . 2.01.01 . 10.01 . 5.2.2.15 ,Belanja Perjalanan Dinas ,790000,790000,0,0,
2.01 . 2.01.01 . 10.01 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,790000,790000,0,0,
2.02 . 2.01.01 . 15 ,Program Pemanfaatan Potensi Sumber Daya Hutan,121195700,121195700,0,0,
2.02 . 2.01.01 . 15.06 ,Pengelolaan dan Pemanfaatan Hutan ,63890000,63890000,0,0,Sumber Dana :   Lokasi Kegiatan : Kecamatan Kokap. Kecamatan Pengasih
2.02 . 2.01.01 . 15.06 . 5.2.1 ,Belanja Pegawai ,5775000,5775000,0,0,
2.02 . 2.01.01 . 15.06 . 5.2.1.01 ,Honorarium PNS ,5775000,5775000,0,0,
2.02 . 2.01.01 . 15.06 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,5775000,5775000,0,0,
2.02 . 2.01.01 . 15.06 . 5.2.2 ,Belanja Barang dan Jasa ,58115000,58115000,0,0,
2.02 . 2.01.01 . 15.06 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,328500,328500,0,0,
2.02 . 2.01.01 . 15.06 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,328500,328500,0,0,
