Judul;Penjabaran Anggaran Pendapatan Belanja Daerah;;;;;
1.01 . 1.01.02 . 01.02 ;Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik ;84.000.000,00;19.500.000,00;-64.500.000,00;-76,79;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 01.02 . 5.2.2 ;Belanja Barang dan Jasa ;84.000.000,00;19.500.000,00;-64.500.000,00;-76,79;
1.01 . 1.01.02 . 01.02 . 5.2.2.03 ;Belanja Jasa Kantor ;84.000.000,00;19.500.000,00;-64.500.000,00;-76,79;
1.01 . 1.01.02 . 01.02 . 5.2.2.03.01 ;Belanja Telepon ;18.000.000,00;19.500.000,00;1.500.000,00;8,33;Biaya telepon1 Ls x 19.500.000,00 = 19.500.000,00
1.01 . 1.01.02 . 01.02 . 5.2.2.03.03 ;Belanja Listrik ;66.000.000,00;0;-66.000.000,00;-100;Belanja Listrik
1.01 . 1.01.02 . 01.06 ;Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional ;5.800.000,00;7.500.000,00;1.700.000,00;29,31;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 01.06 . 5.2.2 ;Belanja Barang dan Jasa ;5.800.000,00;7.500.000,00;1.700.000,00;29,31;
1.01 . 1.01.02 . 01.06 . 5.2.2.05 ;Belanja Perawatan Kendaraan Bermotor ;5.800.000,00;7.500.000,00;1.700.000,00;29,31;
1.01 . 1.01.02 . 01.06 . 5.2.2.05.05 ;Belanja Surat Tanda Nomor Kendaraan ;5.800.000,00;7.500.000,00;1.700.000,00;29,31;"Biaya perpanjangan kendaraan roda dua1 kegiatan x 4.000.000,00 = 4.000.000,00
Biaya perpanjangan kendaraan roda empat1 kegiatan x 3.500.000,00 = 3.500.000,00"
1.01 . 1.01.02 . 01.07 ;Penyediaan Jasa Administrasi Keuangan ;28.704.000,00;28.464.000,00;-240.000,00;-0,84;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 01.07 . 5.2.1 ;Belanja Pegawai ;28.704.000,00;28.464.000,00;-240.000,00;-0,84;
1.01 . 1.01.02 . 01.07 . 5.2.1.01 ;Honorarium PNS ;28.704.000,00;28.464.000,00;-240.000,00;-0,84;
1.01 . 1.01.02 . 01.07 . 5.2.1.01.03 ;Honor Pengelola Keuangan dan Barang ;28.704.000,00;28.464.000,00;-240.000,00;-0,84;"Pejabat Penataa Usahaan KeuanganPejabat Penatausahaan Keuangan12 bulan x 345.000,00 = 4.140.000,00
Pembantu PPKPembantu PPK (1 orang)12 bulan x 230.000,00 = 2.760.000,00
Pembantu PPK (2 orang)24 bulan x 200.000,00 = 4.800.000,00
Bendahara12 bulan x 316.500,00 = 3.798.000,00
Pembantu BendaharaPembantu Bendahara (2 orang)24 bulan x 200.000,00 = 4.800.000,00
Pengurus Gaji12 bulan x 80.500,00 = 966.000,00
Pengurus Barang12 bulan x 300.000,00 = 3.600.000,00
Pembantu Pengurus Barang12 bulan x 100.000,00 = 1.200.000,00
Penyimpan Barang6 bulan x 100.000,00 = 600.000,006 bulan x 300.000,00 = 1.800.000,00"
1.01 . 1.01.02 . 01.08 ;Penyediaan Jasa Kebersihan Kantor ;7.000.000,00;7.000.000,00;0;0;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 01.08 . 5.2.2 ;Belanja Barang dan Jasa ;7.000.000,00;7.000.000,00;0;0;
1.01 . 1.01.02 . 01.08 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;7.000.000,00;7.000.000,00;0;0;
1.01 . 1.01.02 . 01.08 . 5.2.2.01.05 ;Belanja Peralatan Kebersihan Dan Bahan Pembersih;7.000.000,00;7.000.000,00;0;0;Belanja Peralatan Kebersihan1 Ls x 7.000.000,00 = 7.000.000,00
1.01 . 1.01.02 . 01.10 ;Penyediaan Alat Tulis Kantor ;20.416.000,00;20.416.000,00;0;0;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 01.10 . 5.2.2 ;Belanja Barang dan Jasa ;20.416.000,00;20.416.000,00;0;0;
1.01 . 1.01.02 . 01.10 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;20.416.000,00;20.416.000,00;0;0;
1.01 . 1.01.02 . 01.10 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;20.416.000,00;20.416.000,00;0;0;"Belanja alat tulis kantor
Belanja Alat Tulis Kantor kertas, bolpoin, tinta dll1 Ls x 20.416.000,00 = 20.416.000,00"
1.01 . 1.01.02 . 01.11 ;Penyediaan Barang Cetakan dan Penggandaan ;19.000.000,00;19.000.000,00;0;0;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 01.11 . 5.2.2 ;Belanja Barang dan Jasa ;19.000.000,00;19.000.000,00;0;0;
1.01 . 1.01.02 . 01.11 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;19.000.000,00;19.000.000,00;0;0;
1.01 . 1.01.02 . 01.11 . 5.2.2.06.01 ;Belanja Cetak ;7.000.000,00;7.000.000,00;0;0;Belanja barang cetak1 Ls x 7.000.000,00 = 7.000.000,00
1.01 . 1.01.02 . 01.11 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;12.000.000,00;12.000.000,00;0;0;Belanja penggandaan/fotocopy80,000 lbr x 150,00 = 12.000.000,00
1.01 . 1.01.02 . 01.12 ;Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor ;6.500.000,00;6.500.000,00;0;0;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 01.12 . 5.2.2 ;Belanja Barang dan Jasa ;6.500.000,00;6.500.000,00;0;0;
1.01 . 1.01.02 . 01.12 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;6.500.000,00;6.500.000,00;0;0;
1.01 . 1.01.02 . 01.12 . 5.2.2.01.03 ;Belanja Alat Listrik dan Elektronik(lampu pijar,battery kering);6.500.000,00;6.500.000,00;0;0;"Belanja alat listrik dan elektronik
Belanja alat listrik dan elektronika1 Ls x 6.500.000,00 = 6.500.000,00"
1.01 . 1.01.02 . 01.14 ;Penyediaan Peralatan Rumah Tangga ;38.200.000,00;38.075.000,00;-125.000,00;-0,33;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 01.14 . 5.2.2 ;Belanja Barang dan Jasa ;33.200.000,00;33.075.000,00;-125.000,00;-0,38;
1.01 . 1.01.02 . 01.14 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;3.500.000,00;3.500.000,00;0;0;
1.01 . 1.01.02 . 01.14 . 5.2.2.01.09 ;Belanja pembelian bendera,papan nama dll ;3.500.000,00;3.500.000,00;0;0;"Belanja bendera, spanduk, umbul-umbul
Belanja bendera, spanduk, umbul-umbul, dll1 Ls x 3.500.000,00 = 3.500.000,00"
1.01 . 1.01.02 . 01.14 . 5.2.2.02 ;Belanja Bahan/Material ;4.700.000,00;4.700.000,00;0;0;
1.01 . 1.01.02 . 01.14 . 5.2.2.02.04 ;Belanja Bahan Obat-Obatan ;1.000.000,00;1.000.000,00;0;0;Belanja obat-obatan1 Ls x 1.000.000,00 = 1.000.000,00
1.01 . 1.01.02 . 01.14 . 5.2.2.02.07 ;Belanja Cindera Mata ;3.000.000,00;3.000.000,00;0;0;"Belanja cindera mata
Belanja cindera mata (tropi, kenang-kenangan)1 ls x 3.000.000,00 = 3.000.000,00"
1.01 . 1.01.02 . 01.14 . 5.2.2.02.12 ;Belanja alat-alat/perlengkapan ;700.000,00;700.000,00;0;0;"Belanja sarana kearsipan/alat-alat perlengkapan
Belanja sarana kearsipan (box arsip, sekat, folder, dll)1 ls x 700.000,00 = 700.000,00"
1.01 . 1.01.02 . 01.14 . 5.2.2.03 ;Belanja Jasa Kantor ;25.000.000,00;24.875.000,00;-125.000,00;-0,5;
1.01 . 1.01.02 . 01.14 . 5.2.2.03.30 ;Belanja Jasa Tambah Daya Listrik ;25.000.000,00;24.875.000,00;-125.000,00;-0,5;Belanja tambah daya listrik1 ls x 24.875.000,00 = 24.875.000,00
1.01 . 1.01.02 . 01.14 . 5.2.3 ;Belanja Modal ;5.000.000,00;5.000.000,00;0;0;
1.01 . 1.01.02 . 01.14 . 5.2.3.15 ;Belanja Modal Pengadaan Penghias Ruangan Rumah Tangga;5.000.000,00;5.000.000,00;0;0;
1.01 . 1.01.02 . 01.14 . 5.2.3.15.03 ;Belanja Modal Pengadaan gordyn/Vitrage/rell Allmunium;5.000.000,00;5.000.000,00;0;0;Belanja Modal Pengadaan gordyn/vitrage/rell allumunium1 ls x 5.000.000,00 = 5.000.000,00
1.01 . 1.01.02 . 01.15 ;Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan ;6.500.000,00;5.000.000,00;-1.500.000,00;-23,08;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 01.15 . 5.2.2 ;Belanja Barang dan Jasa ;5.040.000,00;3.504.000,00;-1.536.000,00;-30,48;
1.01 . 1.01.02 . 01.15 . 5.2.2.03 ;Belanja Jasa Kantor ;5.040.000,00;3.504.000,00;-1.536.000,00;-30,48;
1.01 . 1.01.02 . 01.15 . 5.2.2.03.05 ;Belanja Surat Kabar/Majalah ;5.040.000,00;3.504.000,00;-1.536.000,00;-30,48;"Belanja surat kabar/majalah
Belanja surat kabar/majalah/buku12 bln x 292.000,00 = 3.504.000,00"
1.01 . 1.01.02 . 01.15 . 5.2.3 ;Belanja Modal ;1.460.000,00;1.496.000,00;36.000,00;2,47;
1.01 . 1.01.02 . 01.15 . 5.2.3.27 ;Belanja Modal Pengadaan Buku/Kepustakaan ;1.460.000,00;1.496.000,00;36.000,00;2,47;
1.01 . 1.01.02 . 01.15 . 5.2.3.27.21 ;Belanja Modal Pengadaan Buku Peraturan Perundang-Undangan;1.460.000,00;1.496.000,00;36.000,00;2,47;Belanja buku perundang-undangan1 Ls x 1.496.000,00 = 1.496.000,00
1.01 . 1.01.02 . 01.17 ;Penyediaan Makanan dan Minuman ;39.500.000,00;43.000.000,00;3.500.000,00;8,86;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 01.17 . 5.2.2 ;Belanja Barang dan Jasa ;39.500.000,00;43.000.000,00;3.500.000,00;8,86;
1.01 . 1.01.02 . 01.17 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;39.500.000,00;43.000.000,00;3.500.000,00;8,86;
1.01 . 1.01.02 . 01.17 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;39.500.000,00;43.000.000,00;3.500.000,00;8,86;"Belanja makan minum rapat1,600 dos x 17.500,00 = 28.000.000,00
Snack Minum2,000 dos x 7.500,00 = 15.000.000,00"
1.01 . 1.01.02 . 01.18 ;Rapat-Rapat Koordinasi dan Konsultasi Ke Luar Daerah ;60.000.000,00;83.000.000,00;23.000.000,00;38,33;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 01.18 . 5.2.2 ;Belanja Barang dan Jasa ;60.000.000,00;83.000.000,00;23.000.000,00;38,33;
1.01 . 1.01.02 . 01.18 . 5.2.2.15 ;Belanja Perjalanan Dinas ;60.000.000,00;83.000.000,00;23.000.000,00;38,33;
1.01 . 1.01.02 . 01.18 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;60.000.000,00;83.000.000,00;23.000.000,00;38,33;"Biaya perjalanan dinas luar daerah
Biaya perjalanan dinas ke luar daerah (SPPD luar daerah)1 ls x 83.000.000,00 = 83.000.000,00"
1.01 . 1.01.02 . 01.19 ;Rapat Koordinasi dan Konsultasi ke Dalam Daerah ;6.500.000,00;6.500.000,00;0;0;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 01.19 . 5.2.2 ;Belanja Barang dan Jasa ;6.500.000,00;6.500.000,00;0;0;
1.01 . 1.01.02 . 01.19 . 5.2.2.15 ;Belanja Perjalanan Dinas ;6.500.000,00;6.500.000,00;0;0;
1.01 . 1.01.02 . 01.19 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;6.500.000,00;6.500.000,00;0;0;"Biaya perjalanan dinas dalam daerah
Biaya perjalanan dinas di dalam daerah (SPPD dalam daerah)1 Ls x 6.500.000,00 = 6.500.000,00"
1.01 . 1.01.02 . 01.20 ;Penyediaan jasa keamanan ;6.000.000,00;0;-6.000.000,00;-100;"Sumber Dana :
 Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 01.20 . 5.2.1 ;Belanja Pegawai ;6.000.000,00;0;-6.000.000,00;-100;
1.01 . 1.01.02 . 01.20 . 5.2.1.02 ;Honorarium Non PNS ;6.000.000,00;0;-6.000.000,00;-100;
1.01 . 1.01.02 . 01.20 . 5.2.1.02.02 ;Honorarium Pegawai Honorer/Tidak Tetap ;6.000.000,00;0;-6.000.000,00;-100;"Jasa Honorarium pegawai tidak tetapJasa
 honor keamanan kantor dinas"
1.01 . 1.01.02 . 02 ;Program Peningkatan Sarana dan Prasarana Aparatur;626.107.500,00;643.402.500,00;17.295.000,00;2,76;
1.01 . 1.01.02 . 02.05 ;Pengadaan Kendaraan Dinas/Operasional ;366.962.500,00;299.662.500,00;-67.300.000,00;-18,34;Sumber Dana : Dana Alokasi Umum (D A U)
1.01 . 1.01.02 . 02.05 . 5.2.3 ;Belanja Modal ;366.962.500,00;299.662.500,00;-67.300.000,00;-18,34;
1.01 . 1.01.02 . 02.05 . 5.2.3.03 ;Belanja Modal Pengadaan Alat-Alat Angkutan Darat Bermotor;366.962.500,00;299.662.500,00;-67.300.000,00;-18,34;
1.01 . 1.01.02 . 02.05 . 5.2.3.03.05 ;Belanja Modal Pengadaan Alat-Alat Angkutan Darat Bermotor Micro Bus;198.000.000,00;183.905.000,00;-14.095.000,00;-7,12;"Belanja modal pengadaan kendaraan dinas/operasional roda 41 unit x 182.100.000,00 = 182.100.000,00
Honor PPK1 org x 350.000,00 = 350.000,00
Honor Pejabat PengadaanHonor Panitia Penerima1 org/bjj x 525.000,00 = 525.000,00
Belanja Makan Minum Rapat30 oh x 8.500,00 = 255.000,00
Honor Panitia Pengadaan1 bjj x 675.000,00 = 675.000,00"
1.01 . 1.01.02 . 02.05 . 5.2.3.03.12 ;Belanja Modal Pengadaan Alat-Alat Angkutan Darat Bermotor Sepeda Motor;168.962.500,00;115.757.500,00;-53.205.000,00;-31,49;"Belanja modal pengadaan sepeda motor dinas
Belanja modal pengadaan kendaraan sepeda motor dinas/operasionalHonor PPK1 org x 350.000,00 = 350.000,00
Honor pejabat pengadaanHonor Panitia Pengadaan1 org/bjj x 675.000,00 = 675.000,00
Honor penerima barang1 org/bjj x 525.000,00 = 525.000,00
Belanja makan minum rapat18 OH x 8.500,00 = 153.000,00
Sepeda Motor Type Bebek6 unit x 15.685.500,00 = 94.113.000,00
Sepeda Motor Type Sport1 unit x 19.941.500,00 = 19.941.500,00"
1.01 . 1.01.02 . 02.10 ;Pengadaan Mebeleur ;17.400.000,00;17.150.000,00;-250.000,00;-1,44;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 02.10 . 5.2.3 ;Belanja Modal ;17.400.000,00;17.150.000,00;-250.000,00;-1,44;
1.01 . 1.01.02 . 02.10 . 5.2.3.13 ;Belanja Modal Pengadaan Mebeulair ;17.400.000,00;17.150.000,00;-250.000,00;-1,44;
1.01 . 1.01.02 . 02.10 . 5.2.3.13.02 ;Belanja Modal Pengadaan Meja Rapat ;15.000.000,00;14.750.000,00;-250.000,00;-1,67;Belanja modal pengadaan meja rapat10 unit x 1.475.000,00 = 14.750.000,00
1.01 . 1.01.02 . 02.10 . 5.2.3.13.09 ;Belanja Modal Pengadaan Rak Buku/Tv/Kembang ;2.400.000,00;2.400.000,00;0;0;Belanja Modal Pengadaan Rak Buku2 unit x 1.200.000,00 = 2.400.000,00
1.01 . 1.01.02 . 02.22 ;Pemeliharaan Rutin/Berkala Gedung Kantor ;15.000.000,00;25.000.000,00;10.000.000,00;66,67;"Sumber Dana : 
Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 02.22 . 5.2.2 ;Belanja Barang dan Jasa ;15.000.000,00;25.000.000,00;10.000.000,00;66,67;
1.01 . 1.01.02 . 02.22 . 5.2.2.20 ;Belanja Pemeliharaan ;15.000.000,00;25.000.000,00;10.000.000,00;66,67;
1.01 . 1.01.02 . 02.22 . 5.2.2.20.27 ;Belanja pemeliharaan bangunan gedung tempat kerja;15.000.000,00;25.000.000,00;10.000.000,00;66,67;Pemeliharaan berkala gedung kantor dinas1 kegiatan x 25.000.000,00 = 25.000.000,00
1.01 . 1.01.02 . 02.24 ;Pemeliharaan Rutin/Berkala Kendaraan Dinas / Operasional ;120.000.000,00;122.250.000,00;2.250.000,00;1,88;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 02.24 . 5.2.2 ;Belanja Barang dan Jasa ;120.000.000,00;122.250.000,00;2.250.000,00;1,88;
1.01 . 1.01.02 . 02.24 . 5.2.2.05 ;Belanja Perawatan Kendaraan Bermotor ;120.000.000,00;122.250.000,00;2.250.000,00;1,88;
1.01 . 1.01.02 . 02.24 . 5.2.2.05.01 ;Belanja Jasa Service ;15.500.000,00;16.500.000,00;1.000.000,00;6,45;"Belanja servis
biaya servis kendaraan dinas roda dua30 buah x 150.000,00 = 4.500.000,00
biaya servis kendaraan dinas roda empat1 buah x 3.000.000,00 = 3.000.000,00
biaya servis kendaraan dinas roda empat3 buah x 3.000.000,00 = 9.000.000,00"
1.01 . 1.01.02 . 02.24 . 5.2.2.05.02 ;Belanja Penggantian Suku Cadang ;18.350.000,00;19.600.000,00;1.250.000,00;6,81;"Suku cadangsuku cadang roda dua30 buah x 260.000,00 = 7.800.000,00
suku cadang roda empat1 buah x 2.500.000,00 = 2.500.000,00
suku cadang roda empat3 buah x 3.100.000,00 = 9.300.000,00"
1.01 . 1.01.02 . 02.24 . 5.2.2.05.03 ;Belanja Bahan Bakar Minyak/Gas Dan Pelumas ;86.150.000,00;86.150.000,00;0;0;"Belanja BBM1 ls x 80.000.000,00 = 80.000.000,00
Belanja pelumas1 ls x 6.150.000,00 = 6.150.000,00"
1.01 . 1.01.02 . 02.30 ;Pemeliharaan rutin/berkala Peralatan dan Perlengkapan Kantor;17.600.000,00;19.000.000,00;1.400.000,00;7,95;Sumber Dana : 
1.01 . 1.01.02 . 02.30 . 5.2.2 ;Belanja Barang dan Jasa ;17.600.000,00;19.000.000,00;1.400.000,00;7,95;
1.01 . 1.01.02 . 02.30 . 5.2.2.20 ;Belanja Pemeliharaan ;17.600.000,00;19.000.000,00;1.400.000,00;7,95;
1.01 . 1.01.02 . 02.30 . 5.2.2.20.18 ;Belanja pemeliharaan alat kantor ;17.600.000,00;19.000.000,00;1.400.000,00;7,95;"Belanja pemeliharaan alat kantor
Belanja pemeliharaan alat kantor (perbaikan komputer, printer, ac, mebeler, dll)1 Ls x 19.000.000,00 = 19.000.000,00"
1.01 . 1.01.02 . 02.34 ;Pengadaan Peralatan dan Perlengkapan Kantor ;89.145.000,00;112.735.000,00;23.590.000,00;26,46;Sumber Dana : Dana Alokasi Umum (D A U)
1.01 . 1.01.02 . 02.34 . 5.2.3 ;Belanja Modal ;89.145.000,00;112.735.000,00;23.590.000,00;26,46;
1.01 . 1.01.02 . 02.34 . 5.2.3.11 ;Belanja Modal Pengadaan Perlengkapan Kantor ;31.000.000,00;2.000.000,00;-29.000.000,00;-93,55;
1.01 . 1.01.02 . 02.34 . 5.2.3.11.07 ;Belanja Modal Pengadaan AC ;25.000.000,00;0;-25.000.000,00;-100;"Belanja modal pengadaan pendingin ruangan model almari
Belanja modal pengadaan pendingin ruangan (ac) model almari1 unit x 0,00 = 0,00"
1.01 . 1.01.02 . 02.34 . 5.2.3.11.73 ;Belanja modal pengadaan alat pemadam kebakaran;6.000.000,00;2.000.000,00;-4.000.000,00;-66,67;"Belanja modal pengadaan alat pemadam kebaran
Belanja modal pengadaan alat pemadam kebakaran2 unit x 1.000.000,00 = 2.000.000,00"
1.01 . 1.01.02 . 02.34 . 5.2.3.12 ;Belanja Modal Pengadaan Komputer ;52.145.000,00;102.385.000,00;50.240.000,00;96,35;
1.01 . 1.01.02 . 02.34 . 5.2.3.12.02 ;Belanja Modal Pengadaan Komputer/PC ;0;18.000.000,00;18.000.000,00;0;Belanja Modal Pengadaan Komputer2 unit x 9.000.000,00 = 18.000.000,00
1.01 . 1.01.02 . 02.34 . 5.2.3.12.03 ;Belanja Modal Pengadaan Komputer Note Book ;52.145.000,00;68.385.000,00;16.240.000,00;31,14;"Belanja modal pengadaan Laptop/note book
Belanja pengadaan Laptop/note book5 buah x 9.153.000,00 = 45.765.000,00
Honor PPK1 org x 350.000,00 = 350.000,00
Honor Pejabat Pengadaan1 org x 300.000,00 = 300.000,00
Honor Penerima Barang1 org/bjj x 525.000,00 = 525.000,00
Belanja ATK1 keg x 250.000,00 = 250.000,00
Belanja Penggandaan (Foto Copy)1,300 lbr x 150,00 = 195.000,00
Belanja modal pengadaan Laptop/note book
Belanja Modal pengadaan Laptop3 unit x 7.000.000,00 = 21.000.000,00"
1.01 . 1.01.02 . 02.34 . 5.2.3.12.04 ;Belanja Modal Pengadaan Printer ;0;4.000.000,00;4.000.000,00;0;Belanja pengadaan printer2 unit x 2.000.000,00 = 4.000.000,00
