Judul,Penjabaran Anggaran Pendapatan Belanja Daerah,,,,,,,,,
Daerah,Kabupaten Gunungkidul,,,,,,,,,
tahun ,2015,,,,,,,,,
Kode Organisasi,1.01,,,,,,,,,
Nama Organisasi,Dinas Pendidikan Pemuda dan Olahraga,,,,,,,,,
Kolom,4,,,,,,,,,
Kode Rekening,Uraian,jumlah,Penjelasan,,,,,,,
1.01.1.01.01.01.08. ,PENYEDIAAN JASA KEBERSIHAN KANTOR ,140304000,Lokasi Kegiatan: Kab Gunungkidul Sumber Dana: DAU.,,,,,,,
1.01.1.01.01.01.08.5.2.2. ,BELANJA BARANG DAN JASA ,140304000,,,,,,,,
1.01.1.01.01.01.08.5.2.2.03. ,Belanja Jasa Kantor ,140304000,,,,,,,,
1.01.1.01.01.01.08.5.2.2.03.020. ,Belanja Cleaning servis ,140304000, DINAS PENDIDIKAN. PEMUDA DAN OLAHRAGA 140304000.00 Belanja jasa cleaning servis dinas dikpora 140304000.00,,,,,,,
1.01.1.01.01.01.09. ,PENYEDIAAN JASA PERBAIKAN PERALATAN KERJA ,522400550,Lokasi Kegiatan: Wonosari Sumber Dana: DAU.SILPA.,,,,,,,
1.01.1.01.01.01.09.5.2.1. ,BELANJA PEGAWAI ,6262000,,,,,,,,
1.01.1.01.01.01.09.5.2.1.02. ,Honorarium Non PNS ,6262000,,,,,,,,
1.01.1.01.01.01.09.5.2.1.02.004. ,Upah/ongkos tenaga ,6262000, DINAS PENDIDIKAN. PEMUDA DAN OLAHRAGA 4032000.00 Upah pemeliharaan tower internet 2016000.00 Upah tukang pemeliharaan jaringan internet 2016000.00 SMP 1 TEPUS 1600000.00 Upah Pekerja pemeliharaan Tower/antena internet 40 oh 1600000.00 SMP 3 NGLIPAR 630000.00 Ongkos/upah pengecatan Tower 630000.00,,,,,,,
1.01.1.01.01.01.09.5.2.2. ,BELANJA BARANG DAN JASA ,516138550,,,,,,,,
1.01.1.01.01.01.09.5.2.2.18. ,Belanja perawatan peralatan dan perlengkapan ,516138550, kantor,,,,,,,
