Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
1.02 . 1.02.01 . 01.02 . 5.2.2.03 ,Belanja Jasa Kantor ,176880000.00,153880000.00,-23000000.00,-13.00,
1.02 . 1.02.01 . 01.02 . 5.2.2.03.01 ,Belanja Telepon ,49680000.00,36780000.00,-12900000.00,-25.97,
1.02 . 1.02.01 . 01.02 . 5.2.2.03.02 ,Belanja Air ,21600000.00,14400000.00,-7200000.00,-33.33,
1.02 . 1.02.01 . 01.02 . 5.2.2.03.03 ,Belanja Listrik ,105600000.00,102700000.00,-2900000.00,-2.75,
1.02 . 1.02.01 . 01.02 . 5.2.3 ,Belanja Modal ,5000000.00,0.00,-5000000.00,-100.00,
1.02 . 1.02.01 . 01.02 . 5.2.3.25 ,Belanja Modal Pengadaan Instalasi Listrik Dan Telepon,5000000.00,0.00,-5000000.00,-100.00,
1.02 . 1.02.01 . 01.02 . 5.2.3.25.01 ,Belanja Modal Pengadaan Instalasi Listrik ,5000000.00,0.00,-5000000.00,-100.00,"Pengadaan instalasi listrik
1 paket x 0,00 = 0,00"
1.02 . 1.02.01 . 01.06 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional,13155000.00,11505000.00,-1650000.00,-12.54,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 01.06 . 5.2.2 ,Belanja Barang dan Jasa ,13155000.00,11505000.00,-1650000.00,-12.54,
1.02 . 1.02.01 . 01.06 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,13155000.00,11505000.00,-1650000.00,-12.54,
1.02 . 1.02.01 . 01.06 . 5.2.2.05.04 ,Belanja Jasa KIR ,600000.00,450000.00,-150000.00,-25.00,
1.02 . 1.02.01 . 01.06 . 5.2.2.05.05 ,Belanja Surat Tanda Nomor Kendaraan ,12555000.00,11055000.00,-1500000.00,-11.95,
1.02 . 1.02.01 . 01.07 ,Penyediaan Jasa Administrasi Keuangan ,165240000.00,155940000.00,-9300000.00,-5.63,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 01.07 . 5.2.1 ,Belanja Pegawai ,165240000.00,155940000.00,-9300000.00,-5.63,
1.02 . 1.02.01 . 01.07 . 5.2.1.01 ,Honorarium PNS ,165240000.00,155940000.00,-9300000.00,-5.63,
1.02 . 1.02.01 . 01.07 . 5.2.1.01.04 ,Honorarium Bendahara/Pengurus Barang ,165240000.00,155940000.00,-9300000.00,-5.63,
1.02 . 1.02.01 . 01.08 ,Penyediaan Jasa Kebersihan Kantor ,40037350.00,10387350.00,-29650000.00,-74.06,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 01.08 . 5.2.2 ,Belanja Barang dan Jasa ,40037350.00,10387350.00,-29650000.00,-74.06,
1.02 . 1.02.01 . 01.08 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,15137350.00,7387350.00,-7750000.00,-51.20,
1.02 . 1.02.01 . 01.08 . 5.2.2.01.05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih,15137350.00,7387350.00,-7750000.00,-51.20,
1.02 . 1.02.01 . 01.08 . 5.2.2.03 ,Belanja Jasa Kantor ,24900000.00,3000000.00,-21900000.00,-87.95,
1.02 . 1.02.01 . 01.08 . 5.2.2.03.27 ,Belanja Jasa Kebersihan Kantor ,24900000.00,3000000.00,-21900000.00,-87.95,
1.02 . 1.02.01 . 01.10 ,Penyediaan Alat Tulis Kantor ,18604100.00,13137350.00,-5466750.00,-29.38,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 01.10 . 5.2.2 ,Belanja Barang dan Jasa ,18604100.00,13137350.00,-5466750.00,-29.38,
1.02 . 1.02.01 . 01.10 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,18604100.00,13137350.00,-5466750.00,-29.38,
1.02 . 1.02.01 . 01.10 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,18604100.00,13137350.00,-5466750.00,-29.38,
1.02 . 1.02.01 . 01.11 ,Penyediaan Barang Cetakan dan Penggandaan ,22266300.00,12663753.00,-9602547.00,-43.13,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 01.11 . 5.2.2 ,Belanja Barang dan Jasa ,22266300.00,12663753.00,-9602547.00,-43.13,
1.02 . 1.02.01 . 01.11 . 5.2.2.06 ,Belanja Cetak Dan Penggandaan ,22266300.00,12663753.00,-9602547.00,-43.13,
1.02 . 1.02.01 . 01.11 . 5.2.2.06.01 ,Belanja Cetak ,12120150.00,5880150.00,-6240000.00,-51.48,
1.02 . 1.02.01 . 01.11 . 5.2.2.06.02 ,Belanja Penggandaan ,10146150.00,6783603.00,-3362547.00,-33.14,
1.02 . 1.02.01 . 01.12 ,Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor,4018900.00,2570350.00,-1448550.00,-36.04,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 01.12 . 5.2.2 ,Belanja Barang dan Jasa ,4018900.00,2570350.00,-1448550.00,-36.04,
1.02 . 1.02.01 . 01.12 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,4018900.00,2570350.00,-1448550.00,-36.04,
1.02 . 1.02.01 . 01.12 . 5.2.2.01.03 ,"Belanja Alat Listrik Dan Elektronik (Lampu Pijar, Battery Kering)",4018900.00,2570350.00,-1448550.00,-36.04,
1.02 . 1.02.01 . 01.13 ,Penyediaan Peralatan dan Perlengkapan Kantor ,24120000.00,4880000.00,-19240000.00,-79.77,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo
"
1.02 . 1.02.01 . 01.13 . 5.2.2 ,Belanja Barang dan Jasa ,24120000.00,4880000.00,-19240000.00,-79.77,
1.02 . 1.02.01 . 01.13 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,24120000.00,4880000.00,-19240000.00,-79.77,
1.02 . 1.02.01 . 01.13 . 5.2.2.01.09 ,Belanja Peralatan Pendukung Kantor ,24120000.00,4880000.00,-19240000.00,-79.77,
1.02 . 1.02.01 . 01.15 ,Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan,1560000.00,780000.00,-780000.00,-50.00,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 01.15 . 5.2.2 ,Belanja Barang dan Jasa ,1560000.00,780000.00,-780000.00,-50.00,
1.02 . 1.02.01 . 01.15 . 5.2.2.03 ,Belanja Jasa Kantor ,1560000.00,780000.00,-780000.00,-50.00,
1.02 . 1.02.01 . 01.15 . 5.2.2.03.05 ,Belanja Surat Kabar/Majalah ,1560000.00,780000.00,-780000.00,-50.00,
1.02 . 1.02.01 . 01.17 ,Penyediaan Makanan dan Minuman ,78338000.00,16944000.00,-61394000.00,-78.37,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 01.17 . 5.2.2 ,Belanja Barang dan Jasa ,78338000.00,16944000.00,-61394000.00,-78.37,
1.02 . 1.02.01 . 01.17 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,78338000.00,16944000.00,-61394000.00,-78.37,
1.02 . 1.02.01 . 01.17 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,15450000.00,9720000.00,-5730000.00,-37.09,
1.02 . 1.02.01 . 01.17 . 5.2.2.11.03 ,Belanja Makanan Dan Minuman Tamu ,2184000.00,2224000.00,40000.00,1.83,
1.02 . 1.02.01 . 01.17 . 5.2.2.11.05 ,Belanja makanan dan minuman pasien ,60704000.00,5000000.00,-55704000.00,-91.76,
1.02 . 1.02.01 . 01.18 ,Rapat-Rapat Koordinasi dan Konsultasi ke Luar Daerah,23785000.00,13785000.00,-10000000.00,-42.04,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 01.18 . 5.2.2 ,Belanja Barang dan Jasa ,23785000.00,13785000.00,-10000000.00,-42.04,
1.02 . 1.02.01 . 01.18 . 5.2.2.15 ,Belanja Perjalanan Dinas ,23785000.00,13785000.00,-10000000.00,-42.04,
1.02 . 1.02.01 . 01.18 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,23785000.00,13785000.00,-10000000.00,-42.04,
1.02 . 1.02.01 . 01.19 ,Penyediaan koordinasi dan konsultasi dalam daerah,7595000.00,6520000.00,-1075000.00,-14.15,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 01.19 . 5.2.2 ,Belanja Barang dan Jasa ,7595000.00,6520000.00,-1075000.00,-14.15,
1.02 . 1.02.01 . 01.19 . 5.2.2.15 ,Belanja Perjalanan Dinas ,7595000.00,6520000.00,-1075000.00,-14.15,
1.02 . 1.02.01 . 01.19 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,7595000.00,6520000.00,-1075000.00,-14.15,
1.02 . 1.02.01 . 01.20 ,Penyediaan jasa tenaga pegawai tidak tetap ,162669221.00,167141000.00,4471779.00,2.75,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 01.20 . 5.2.1 ,Belanja Pegawai ,162669221.00,167141000.00,4471779.00,2.75,
1.02 . 1.02.01 . 01.20 . 5.2.1.02 ,Honorarium Non PNS ,162669221.00,167141000.00,4471779.00,2.75,
1.02 . 1.02.01 . 01.20 . 5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,162669221.00,167141000.00,4471779.00,2.75,
1.02 . 1.02.01 . 02 ,Program Peningkatan Sarana dan Prasarana Aparatur,501453150.00,449383150.00,-52070000.00,-10.38,
1.02 . 1.02.01 . 02.05 ,Pengadaan Kendaraan Dinas/Operasional ,207617000.00,207617000.00,0.00,0.00,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 02.05 . 5.2.3 ,Belanja Modal ,207617000.00,207617000.00,0.00,0.00,
1.02 . 1.02.01 . 02.05 . 5.2.3.03 ,Belanja Modal Pengadaan Alat-Alat Angkutan Darat Bermotor,207617000.00,207617000.00,0.00,0.00,
1.02 . 1.02.01 . 02.05 . 5.2.3.03.03 ,Belanja Modal Pengadaan Alat-Alat Angkutan Darat Bermotor Station Wagon,207617000.00,207617000.00,0.00,0.00,"Pengadaan kendaraan dinas roda 4
Belanja Modal kendaraan operasional roda 4
1 unit x 206.000.000,00 = 206.000.000,00 
Administrasi pengadaan Pejabat Pembuat Komitmen 1 orang/bulan x 275.000,00 = 275.000,00 
Pejabat pengadaan 1 orang/bulan x 250.000,00 = 250.000,00 
Pejabat penerima 1 orang/bulan x 200.000,00 = 200.000,00 
Makanan minuman rapat 21 orang/kali x 24.000,00 = 504.000,00 
Tinta refill komputer 1 dos x 35.000,00 = 35.000,00 
Kertas HVS 70 gram folio 3 rim x 45.000,00 = 135.000,00 
Foto Copy 800 lembar x 225,00 = 180.000,00 
Jilid 7 dokuman x 5.000,00 = 35.000,00 
Snelhecter kertas 3 buah x 1.000,00 = 3.000,00 "
1.02 . 1.02.01 . 02.09 ,Pengadaan Peralatan Gedung Kantor ,88910000.00,38600000.00,-50310000.00,-56.59,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo "
1.02 . 1.02.01 . 02.09 . 5.2.3 ,Belanja Modal ,88910000.00,38600000.00,-50310000.00,-56.59,
1.02 . 1.02.01 . 02.09 . 5.2.3.11 ,Belanja Modal Pengadaan Perlengkapan Kantor ,1050000.00,0.00,-1050000.00,-100.00,
1.02 . 1.02.01 . 02.09 . 5.2.3.11.12 ,Belanja Modal Pengadaan Kipas Angin ,1050000.00,0.00,-1050000.00,-100.00,"Kipas Angin
3 buah x 0,00 = 0,00"
1.02 . 1.02.01 . 02.09 . 5.2.3.12 ,Belanja Modal Pengadaan Komputer ,15600000.00,5300000.00,-10300000.00,-66.03,
1.02 . 1.02.01 . 02.09 . 5.2.3.12.02 ,Belanja Modal Pengadaan Komputer/PC ,8000000.00,4000000.00,-4000000.00,-50.00,"Belanja pengadaan  Komputer (RS Type D) 
Komputer PC 1 unit x 4.000.000,00 = 4.000.000,00"
1.02 . 1.02.01 . 02.09 . 5.2.3.12.03 ,Belanja Modal Pengadaan Komputer Note Book ,5000000.00,0.00,-5000000.00,-100.00,"Belanja pengadaan Laptop (RS Type D)
Laptop 1 unit x 0,00 = 0,00"
1.02 . 1.02.01 . 02.09 . 5.2.3.12.04 ,Belanja Modal Pengadaan Printer ,2600000.00,1300000.00,-1300000.00,-50.00,"Belanja pengadaan Printer (RS Type D) 
Printer Laserjet 1 unit x 1.300.000,00 = 1.300.000,00"
1.02 . 1.02.01 . 02.09 . 5.2.3.14 ,Belanja Modal Pengadaan Peralatan Dapur ,46560000.00,33300000.00,-13260000.00,-28.48,
1.02 . 1.02.01 . 02.09 . 5.2.3.14.01 ,Belanja Modal Pengadaan Tabung Gas ,2800000.00,2800000.00,0.00,0.00,"Belanja pengadaan tabung gas (RS Type D)
Tabung gas 12kg 4 unit x 700.000,00 = 2.800.000,00"
1.02 . 1.02.01 . 02.09 . 5.2.3.14.02 ,Belanja Modal Pengadaan Kompor Gas ,3000000.00,1500000.00,-1500000.00,-50.00,"Belanja pengadaan kompor gas (RS Type D) 
Kompor gas 2 tungku 1 unit x 1.500.000,00 = 1.500.000,00"
1.02 . 1.02.01 . 02.09 . 5.2.3.14.05 ,Belanja Modal Pengadaan Kulkas ,13900000.00,10000000.00,-3900000.00,-28.06,"Almari Es 2 pintu 
2 unit x 5.000.000,00 = 10.000.000,00"
1.02 . 1.02.01 . 02.09 . 5.2.3.14.07 ,Belanja Modal Pengadaan Piring/Gelas/Mangkok/Cangkir/Sendok/Garpu/Pisau/Tempat Air,10000000.00,10000000.00,0.00,0.00,"Belanja piring/gelas/mangkok/cangkir/sendok/garpu (RS Type D)
Piring/gelas/mangkok/cangkir/sendok/garpu 50 set x 200.000,00 = 10.000.000,00"
1.02 . 1.02.01 . 02.09 . 5.2.3.14.08 ,Belanja Modal Pengadaan Alat Dapur Lainnya ,16860000.00,9000000.00,-7860000.00,-46.62,"Belanja pengadaan alat masak (RS Type D) 
Alat masak 1 paket x 7.738.000,00 = 7.738.000,00 
Administrasi pengadaan 
Pejabat pembuat komitmen 1 orang/bulan x 200.000,00 = 200.000,00 
Pejabat pengadaan 1 orang/bulan x 175.000,00 = 175.000,00 
Pejabat penerima/pemeriksa 1 orang/bulan x 150.000,00 = 150.000,00 
Makanan dan minuman rapat 18 orang/kali x 24.000,00 = 432.000,00 
Fotocopy 800 lembar x 225,00 = 180.000,00 
Kertas HVS folio 70 grm 2 rim x 45.000,00 = 90.000,00 
Tinta refil komputer 1 dos x 35.000,00 = 35.000,00 "
1.02 . 1.02.01 . 02.09 . 5.2.3.16 ,Belanja Modal Pengadaan Alat-Alat Studio ,25700000.00,0.00,-25700000.00,-100.00,
1.02 . 1.02.01 . 02.09 . 5.2.3.16.03 ,Belanja Modal Pengadaan Proyektor ,6300000.00,0.00,-6300000.00,-100.00,"Belanja pengadaan LCD /Kipas Angin/Almari es (RS Type D)
LCD 1 unit x 0,00 = 0,00"
1.02 . 1.02.01 . 02.09 . 5.2.3.16.04 ,Belanja Modal Pengadaan Televisi ,4300000.00,0.00,-4300000.00,-100.00,"Belanja pengadaan Televisi (RS Type D) 
Televisi 1 unit x 0,00 = 0,00"
1.02 . 1.02.01 . 02.09 . 5.2.3.16.06 ,Belanja Modal Pengadaan Sound System ,15100000.00,0.00,-15100000.00,-100.00,"Belanja pengadaan Sound system (RS Tipe D)
Pembelian sound system 1 paket x 0,00 = 0,00"
1.02 . 1.02.01 . 02.22 ,Pemeliharaan Rutin/Berkala Gedung Kantor ,2400000.00,9775000.00,7375000.00,307.29,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 02.22 . 5.2.2 ,Belanja Barang dan Jasa ,2400000.00,9775000.00,7375000.00,307.29,
1.02 . 1.02.01 . 02.22 . 5.2.2.20 ,Belanja Pemeliharaan ,2400000.00,9775000.00,7375000.00,307.29,
1.02 . 1.02.01 . 02.22 . 5.2.2.20.04 ,Belanja Pemeliharaan Gedung ,2400000.00,9775000.00,7375000.00,307.29,
1.02 . 1.02.01 . 02.24 ,Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional,172336150.00,165426150.00,-6910000.00,-4.01,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 02.24 . 5.2.2 ,Belanja Barang dan Jasa ,172336150.00,165426150.00,-6910000.00,-4.01,
1.02 . 1.02.01 . 02.24 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,172336150.00,165426150.00,-6910000.00,-4.01,
1.02 . 1.02.01 . 02.24 . 5.2.2.05.01 ,Belanja Jasa Service ,5250000.00,4910000.00,-340000.00,-6.48,
1.02 . 1.02.01 . 02.24 . 5.2.2.05.02 ,Belanja Penggantian Suku Cadang ,34216000.00,33716000.00,-500000.00,-1.46,
1.02 . 1.02.01 . 02.24 . 5.2.2.05.03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,132870150.00,126800150.00,-6070000.00,-4.57,
1.02 . 1.02.01 . 02.26 ,Pemeliharaan Rutin/Berkala Perlengkapan Gedung Kantor,4300000.00,2550000.00,-1750000.00,-40.70,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 02.26 . 5.2.2 ,Belanja Barang dan Jasa ,4300000.00,2550000.00,-1750000.00,-40.70,
1.02 . 1.02.01 . 02.26 . 5.2.2.20 ,Belanja Pemeliharaan ,4300000.00,2550000.00,-1750000.00,-40.70,
1.02 . 1.02.01 . 02.26 . 5.2.2.20.11 ,Belanja Pemeliharaan Perlengkapan Kantor ,4300000.00,2550000.00,-1750000.00,-40.70,
1.02 . 1.02.01 . 02.28 ,Pemeliharaan Rutin/Berkala Peralatan Gedung Kantor,22590000.00,24865000.00,2275000.00,10.07,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 02.28 . 5.2.2 ,Belanja Barang dan Jasa ,22590000.00,24865000.00,2275000.00,10.07,
1.02 . 1.02.01 . 02.28 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,3240000.00,5515000.00,2275000.00,70.22,
1.02 . 1.02.01 . 02.28 . 5.2.2.01.11 ,Belanja BBM/Gas dan Pelumas Peralatan Bermesin/Bermotor,3240000.00,5515000.00,2275000.00,70.22,BBM mesin foging
1.02 . 1.02.01 . 02.28 . 5.2.2.20 ,Belanja Pemeliharaan ,19350000.00,19350000.00,0.00,0.00,
1.02 . 1.02.01 . 02.28 . 5.2.2.20.08 ,Belanja Pemeliharaan Peralatan Kantor ,19350000.00,19350000.00,0.00,0.00,
1.02 . 1.02.01 . 02.39 ,Pemeliharaan rutin/berkala Alat Kesehatan ,3300000.00,550000.00,-2750000.00,-83.33,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 02.39 . 5.2.2 ,Belanja Barang dan Jasa ,3300000.00,550000.00,-2750000.00,-83.33,
1.02 . 1.02.01 . 02.39 . 5.2.2.20 ,Belanja Pemeliharaan ,3300000.00,550000.00,-2750000.00,-83.33,
1.02 . 1.02.01 . 02.39 . 5.2.2.20.03 ,Belanja pemeliharaan Alat Kesehatan ,3300000.00,550000.00,-2750000.00,-83.33,
1.02 . 1.02.01 . 05 ,Program Peningkatan Kapasitas Sumber Daya Aparatur,12889750.00,12889750.00,0.00,0.00,
1.02 . 1.02.01 . 05.12 ,Penilaian Kinerja Jabatan Fungsional ,6507000.00,6507000.00,0.00,0.00,"Sumber Dana : 
Lokasi Kegiatan : Lingkup Kabupaten Kulon Progo"
1.02 . 1.02.01 . 05.12 . 5.2.1 ,Belanja Pegawai ,3100000.00,3100000.00,0.00,0.00,
1.02 . 1.02.01 . 05.12 . 5.2.1.01 ,Honorarium PNS ,3100000.00,3100000.00,0.00,0.00,
1.02 . 1.02.01 . 05.12 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,3100000.00,3100000.00,0.00,0.00,
1.02 . 1.02.01 . 05.12 . 5.2.2 ,Belanja Barang dan Jasa ,3407000.00,3407000.00,0.00,0.00,
1.02 . 1.02.01 . 05.12 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,736400.00,736400.00,0.00,0.00,
1.02 . 1.02.01 . 05.12 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,736400.00,736400.00,0.00,0.00,
1.02 . 1.02.01 . 05.12 . 5.2.2.06 ,Belanja Cetak Dan Penggandaan ,90600.00,90600.00,0.00,0.00,
1.02 . 1.02.01 . 05.12 . 5.2.2.06.02 ,Belanja Penggandaan ,90600.00,90600.00,0.00,0.00,
1.02 . 1.02.01 . 05.12 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,1620000.00,1620000.00,0.00,0.00,
1.02 . 1.02.01 . 05.12 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,1620000.00,1620000.00,0.00,0.00,
1.02 . 1.02.01 . 05.12 . 5.2.2.15 ,Belanja Perjalanan Dinas ,960000.00,960000.00,0.00,0.00,
1.02 . 1.02.01 . 05.12 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,960000.00,960000.00,0.00,0.00,
1.02 . 1.02.01 . 05.14 ,Fasilitasi Penilaian Kinerja Dokter dan Paramedis,6382750.00,6382750.00,0.00,0.00,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 05.14 . 5.2.1 ,Belanja Pegawai ,1800000.00,1800000.00,0.00,0.00,
1.02 . 1.02.01 . 05.14 . 5.2.1.01 ,Honorarium PNS ,1800000.00,1800000.00,0.00,0.00,
