Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07  , Tunjangan PPh/Tunjangan Khusus  ,149959200," Tunjangan PPh/Tunjangan Khusus1 th x 149.959.200,00 = 149.959.200,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08  , Pembulatan Gaji  ,68751," Pembulatan Gaji1 th x 68.751,00 = 68.751,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 09  , Iuran Asuransi Kesehatan  ,0," Iuran Asuransi Kesehatan
Iurang Asuransi Kesehatan BPJS1 th x 0,00 = 0,00
Iuran Asuransi Jaminan Kecelakaan Kerja BPJS1 th x 0,00 = 0,00
Iuran Jaminan Kematian BPJS1 th x 0,00 = 0,00"
1.12 . 1.12.01 . 01 . 01 . 5 . 2  , BELANJA LANGSUNG  ,5056241700,
1.12 . 1.12.01 . 01  , Program Pelayanan Administrasi Perkantoran  ,276604350,
1.12 . 1.12.01 . 01 . 01  , Penyediaan jasa surat menyurat  ,2390000," Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran :  Materai dan jasa paket pengiriman
Target:  600 lembar"
1.12 . 1.12.01 . 01 . 01 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,2390000,
1.12 . 1.12.01 . 01 . 01 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,2250000,
1.12 . 1.12.01 . 01 . 01 . 5 . 2 . 2 . 01 . 04  ," Belanja Perangko, Materai Dan Benda Pos  ",2250000," APBD
Belanja Materai
Belanja Materai 6000250 lembar x 6.000,00 = 1.500.000,00
Belanja Materai 3000250 lembar x 3.000,00 = 750.000,00"
1.12 . 1.12.01 . 01 . 01 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,140000,
1.12 . 1.12.01 . 01 . 01 . 5 . 2 . 2 . 03 . 07  , Belanja Paket/Pengiriman  ,140000," APBD
Jasa Paket Pengiriman Surat/barang
Belanja Paket Pengiriman20 kali x 7.000,00 = 140.000,00"
1.12 . 1.12.01 . 01 . 02  ," Penyediaan jasa komunikasi, sumber daya air dan listrik  ",110000000," Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran :  2 Rekening Telepon dan 1 Rekening Listrik
Target:  12 bulan"
1.12 . 1.12.01 . 01 . 02 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,110000000,
1.12 . 1.12.01 . 01 . 02 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,110000000,
1.12 . 1.12.01 . 01 . 02 . 5 . 2 . 2 . 03 . 01  , Belanja Telepon  ,30000000," APBD
Belanja Jasa Telepon
Belanja Jasa Telepon ( 2 nomor telp)12 bln x 2.500.000,00 = 30.000.000,00"
1.12 . 1.12.01 . 01 . 02 . 5 . 2 . 2 . 03 . 02  , Belanja Air  ,1200000," APBD
Belanja Air kantor Sekretariat FPK2PA
Belajna Air12 bulan x 100.000,00 = 1.200.000,00"
1.12 . 1.12.01 . 01 . 02 . 5 . 2 . 2 . 03 . 03  , Belanja Listrik  ,78800000," APBD
Belanja Jasa Rekening Listrik
Belanja Listrik Kantor1 ls x 78.800.000,00 = 78.800.000,00"
1.12 . 1.12.01 . 01 . 06  , Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional ,38900000," Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran :  Kendaraan Dinas BKKPPKB
Target:  113 unit"
1.12 . 1.12.01 . 01 . 06 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,38900000,
1.12 . 1.12.01 . 01 . 06 . 5 . 2 . 2 . 05  , Belanja Perawatan Kendaraan Bermotor  ,38900000,
1.12 . 1.12.01 . 01 . 06 . 5 . 2 . 2 . 05 . 07  , Belanja Surat Tanda Nomor Kendaraan  ,38900000," APBD
Belanja Pajak STNK Kendaraan Dinas
Biaya perizinan kendaraan roda 2108 unit x 300.000,00 = 32.400.000,00
Biaya perizinan kendaraan roda 45 unit x 1.300.000,00 = 6.500.000,00"
1.12 . 1.12.01 . 01 . 07  , Penyediaan jasa administrasi keuangan  ,21940000," Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran :  Pengelola Laporan Keuangan dan Barang
Target:  12 orang"
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 1  , Belanja Pegawai  ,21180000,
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 1 . 01  , Honorarium PNS  ,21180000,
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 1 . 01 . 06  , Honor Pengelola Keuangan dan Barang  ,21180000," APBD
Honorarium Pengelola Keuangan dan BarangPembuat Dokumen36 ob x 130.000,00 = 4.680.000,00
Pengurus Gaji12 ob x 70.000,00 = 840.000,00
Pengurus Barang12 ob x 250.000,00 = 3.000.000,00PPK12 ob x 215.000,00 = 2.580.000,00
Pembantu PPK36 ob x 130.000,00 = 4.680.000,00
Bendahara Pengeluaran12 ob x 220.000,00 = 2.640.000,00
Penyimpan Barang12 ob x 130.000,00 = 1.560.000,00
Pembantu Pengurus Barang12 ob x 100.000,00 = 1.200.000,00"
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,760000,
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,150000,
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,150000," APBD
Belanja Alat Tulis Kantor1 pkt x 150.000,00 = 150.000,00"
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,250000,
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,250000," APBD
Belanja Penggandaan / Fotocopy
Belanja Fotocopy / Penggandaan1 pkt x 250.000,00 = 250.000,00"
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 2 . 11  , Belanja Makanan dan  Minuman  ,360000,
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,360000," APBD
Belanja Minum Snack Rapat Koordinasi Pelaporan Realisasi Administrasi Keuangan
Belanja Minum Snack 12 org x 4 tribulan48 or x 7.500,00 = 360.000,00"
1.12 . 1.12.01 . 01 . 08  , Penyediaan jasa kebersihan kantor  ,14950000," Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran :  Jasa Kebersihan Kantor BKKPPKB
Target:  12 bulan"
1.12 . 1.12.01 . 01 . 08 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,14950000,
1.12 . 1.12.01 . 01 . 08 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,1200000,
1.12 . 1.12.01 . 01 . 08 . 5 . 2 . 2 . 01 . 05  , Belanja Peralatan Kebersihan Dan Bahan Pembersih  ,1200000," APBD
Belanja Alat Kebersihan Kantor
Belanja alat pembersih dan bahan Pembersih1 tahun x 1.200.000,00 = 1.200.000,00"
1.12 . 1.12.01 . 01 . 08 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",13750000,
1.12 . 1.12.01 . 01 . 08 . 5 . 2 . 2 . 35 . 06  , Jasa Tenaga Harian Lepas  ,13750000," APBD
Honorarium Non PNS tenaga KebarsihanJasa Tenaga Kebersihan11 bulan x 1.250.000,00 = 13.750.000,00"
1.12 . 1.12.01 . 01 . 10  , Penyediaan alat tulis kantor  ,19240000," Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran :  Alat Tulis Kantor dan Fasilitas Kantor Lainnya
Target:  12 bulan"
1.12 . 1.12.01 . 01 . 10 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,19240000,
1.12 . 1.12.01 . 01 . 10 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,19240000,
1.12 . 1.12.01 . 01 . 10 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,19240000," APBD
Belanja Alat Tulis Kantor
Belanja ATK1 tahun x 19.240.000,00 = 19.240.000,00"
1.12 . 1.12.01 . 01 . 11  , Penyediaan barang cetakan dan penggandaan  ,10875000," Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran :  Pengaandaan dan Cetak blangko
Target:  500 buku"
1.12 . 1.12.01 . 01 . 11 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,10875000,
1.12 . 1.12.01 . 01 . 11 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,10875000,
1.12 . 1.12.01 . 01 . 11 . 5 . 2 . 2 . 06 . 01  , Belanja Cetak  ,3700000," APBD
Belanja Cetak Blangko
Belanja lembar disposisi200 buku x 7.500,00 = 1.500.000,00
Belanja Bend 2650 buku x 10.000,00 = 500.000,00
Belanja kartu kendali200 buku x 7.500,00 = 1.500.000,00
Belanja kartu lebaran100 lembar x 2.000,00 = 200.000,00"
1.12 . 1.12.01 . 01 . 11 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,7175000," APBD
Belanja Penggandaan / fotocopy
Belanja Fotocopy1 ls x 7.175.000,00 = 7.175.000,00"
1.12 . 1.12.01 . 01 . 12  , Penyediaan komponen instalasi listrik/penerangan bangunan kantor  ,849350," Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran :  Peralatan Listrik Penerangan Kantor
Target:  12 bulan"
1.12 . 1.12.01 . 01 . 12 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,849350,
1.12 . 1.12.01 . 01 . 12 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,849350,
1.12 . 1.12.01 . 01 . 12 . 5 . 2 . 2 . 01 . 03  ," Belanja Alat Listrik Dan Elektronik (Lampu Pijar, Battery Kering)  ",849350," APBD
Belanja Komponen/Peralatan Listrik Kantor
Belanja Peralatan elektronika (lampu, Battrey kering, kabel)1 tahun x 849.350,00 = 849.350,00"
1.12 . 1.12.01 . 01 . 15  , Penyediaan bahan bacaan dan peraturan perundang-undangan  ,5760000," Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran :  Penyediaan Surat Kabar, Majalah dan buku peraturan Perundang undangan
Target:  12 bulan"
1.12 . 1.12.01 . 01 . 15 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,3600000,
1.12 . 1.12.01 . 01 . 15 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,3600000,
1.12 . 1.12.01 . 01 . 15 . 5 . 2 . 2 . 03 . 05  , Belanja Surat Kabar/Majalah  ,3600000," APBD
Belanja Koran/majalah
Belanja surat kabar12 bulan x 300.000,00 = 3.600.000,00"
1.12 . 1.12.01 . 01 . 15 . 5 . 2 . 3  , Belanja Modal  ,2160000,
1.12 . 1.12.01 . 01 . 15 . 5 . 2 . 3 . 82  , Belanja Modal Aset Tetap Lainnya - Pengadaan Buku  ,2160000,
1.12 . 1.12.01 . 01 . 15 . 5 . 2 . 3 . 82 . 01  , Belanja Modal Aset Tetap Lainnya - Pengadaan Buku Ilmu Pengetahuan Umum ,2160000," APBD
Penyediaan Buku Peraturan
Penyediaan Buku peraturan perundang-undangan1 paket x 2.160.000,00 = 2.160.000,00"
1.12 . 1.12.01 . 01 . 16  , Penyediaan bahan logistik kantor  ,1500000," Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran :  Kebutuhan Logistik Kantor
Target:  12 bulan"
1.12 . 1.12.01 . 01 . 16 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,1500000,
1.12 . 1.12.01 . 01 . 16 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,1500000,
1.12 . 1.12.01 . 01 . 16 . 5 . 2 . 2 . 01 . 08  , Belanja Pengisian Tabung Gas  ,1500000," APBD
Belanja Bahan Bakar
Belanja tabung gas12 tabung x 125.000,00 = 1.500.000,00"
1.12 . 1.12.01 . 01 . 17  , Penyediaan makanan dan minuman  ,7000000," Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran :  Jamuan Makan dan minum  tamu kantor
Target:  12 bulan"
1.12 . 1.12.01 . 01 . 17 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,7000000,
1.12 . 1.12.01 . 01 . 17 . 5 . 2 . 2 . 11  , Belanja Makanan dan  Minuman  ,7000000,
1.12 . 1.12.01 . 01 . 17 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,7000000," APBD
Penyediaan makanan dan minuman rapat
Belanja makanan dan minuman400 orang x 17.500,00 = 7.000.000,00"
1.12 . 1.12.01 . 01 . 18  , Rapat-rapat koordinasi dan konsultasi ke luar daerah  ,26200000," Sumber Dana : APBD
Lokasi Kegiatan : Luar Kota DIY
Keluaran :  Perjalanan Dinas dan koordinasi Ke Luar Daerah
Target:  18 hari"
1.12 . 1.12.01 . 01 . 18 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,26200000,
1.12 . 1.12.01 . 01 . 18 . 5 . 2 . 2 . 15  , Belanja Perjalanan Dinas  ,26200000,
1.12 . 1.12.01 . 01 . 18 . 5 . 2 . 2 . 15 . 02  , Belanja Perjalanan Dinas Luar Daerah  ,26200000," APBD
Belanja perjalanan dinas luar daerah
Gol IV 12 hari x 1.700.000,00 = 20.400.000,00
Gol III 4 hari x 1.450.000,00 = 5.800.000,00"
1.12 . 1.12.01 . 01 . 19  , Rapat-rapat koordinasi dan konsultasi dalam daerah  ,3250000," Sumber Dana : APBD
Lokasi Kegiatan : Dalam Kota DIY
Keluaran :  Perjalanan Dinas dan Koordinasi Dalam Daerah
Target:  60 hari"
1.12 . 1.12.01 . 01 . 19 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,3250000,
1.12 . 1.12.01 . 01 . 19 . 5 . 2 . 2 . 15  , Belanja Perjalanan Dinas  ,3250000,
1.12 . 1.12.01 . 01 . 19 . 5 . 2 . 2 . 15 . 01  , Belanja Perjalanan Dinas Dalam Daerah  ,3250000," APBD
Belanja Perjalanan Dinas diluar Kabupaten Bantul Dalam DIY
Gol IV 20 hr x 70.000,00 = 1.400.000,00
Gol III 10 hr x 60.000,00 = 600.000,00
Perjalanan dinas lintas kecamatan/desa dikabupaten Bantul
Gol III 10 hr x 35.000,00 = 350.000,00
Gol IV 20 hr x 45.000,00 = 900.000,00"
1.12 . 1.12.01 . 01 . 20  , Penyediaan Jasa Keamanan  ,13750000," Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran :  Petugas penjaga Malam Lingkungan Kantor BKKPPKB
Target:  1 orang"
1.12 . 1.12.01 . 01 . 20 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,13750000,
1.12 . 1.12.01 . 01 . 20 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",13750000,
1.12 . 1.12.01 . 01 . 20 . 5 . 2 . 2 . 35 . 06  , Jasa Tenaga Harian Lepas  ,13750000," APBD
Honor jasa keamanan kantor
Petugas harian lepas penjaga malam11 bulan x 1.250.000,00 = 13.750.000,00"
1.12 . 1.12.01 . 02  , Program Peningkatan Sarana dan Prasarana Aparatur  ,1912271050,
1.12 . 1.12.01 . 02 . 03  , Pembangunan gedung kantor  ,1552216050," Sumber Dana : Dana Alokasi Khusus (D A K)
Lokasi Kegiatan : Kab Bantul
Keluaran :  Pembangunan Gedung Balai Penyuluhan PLKB dan Gudang Alkon
Target:  4 unit"
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3  , Belanja Modal  ,1552216050,
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 28  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga  ,63200000,
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 28 . 01  , Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair  ,47250000," Dana Alokasi Khusus (D A K)
Belanja Modal Almari kayuBelanja almari kayu (3 pintu)3 unit x 5.000.000,00 = 15.000.000,00
Belanja alamari rak kayu3 unit x 6.000.000,00 = 18.000.000,00
MOUBILER LAINNYAWhite Board3 Unit x 1.000.000,00 = 3.000.000,00
Papan Data3 Unit x 3.750.000,00 = 11.250.000,00"
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 28 . 03  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pembersih  ,2000000," Dana Alokasi Khusus (D A K)
Alat Pembersih Lain-lainTempat Sampah4 Unit x 500.000,00 = 2.000.000,00"
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 28 . 04  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pendingin  ,13950000," Dana Alokasi Khusus (D A K)
Kipas Angin9 Unit x 800.000,00 = 7.200.000,00
exhaus Fan9 Unit x 750.000,00 = 6.750.000,00"
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 29  , Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer  ,236601000,
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 29 . 02  , Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer  ,157500000," Dana Alokasi Khusus (D A K)
Belanja Modal Perangkat Komputer/Laptop
Belanja Personal Komputer4 unit x 22.500.000,00 = 90.000.000,00
Belanja Laptop3 unit x 22.500.000,00 = 67.500.000,00"
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 29 . 05  , Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Personal Komputer ,79101000," Dana Alokasi Khusus (D A K)
Pengadaan LCD Proyektor
Belanja LCD Proyektor dan LCD3 unit x 19.500.000,00 = 58.500.000,00
Pengadaan PrinterBelanja Printer4 unit x 5.150.250,00 = 20.601.000,00"
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 30  , Belanja Modal Peralatan dan Mesin - Pengadaan Meja Dan Kursi Kerja/Rapat Pejabat ,84000000,
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 30 . 01  , Belanja Modal Peralatan dan Mesin - Pengadaan Meja Kerja Pejabat  ,22500000," Dana Alokasi Khusus (D A K)
Belanja modal meja kerjaBelanja meja kerja 1/2 biro9 unit x 2.500.000,00 = 22.500.000,00"
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 30 . 02  , Belanja Modal Peralatan dan Mesin - Pengadaan Meja Rapat Pejabat  ,31500000," Dana Alokasi Khusus (D A K)
Belanja Modal Meja RapatMeja Meeting3 unit x 5.500.000,00 = 16.500.000,00
Belanja Meja Tamu (sitje)Belanja Meja Tamu3 set x 5.000.000,00 = 15.000.000,00"
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 30 . 03  , Belanja Modal Peralatan dan Mesin - Pengadaan Kursi Kerja Pejabat  ,30000000," Dana Alokasi Khusus (D A K)
Belanja Modal KursiBelanja Kursi30 unit x 750.000,00 = 22.500.000,00
Belanja kursi ketua (roda)Belanja Kursi3 unit x 2.500.000,00 = 7.500.000,00"
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 49  , Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Kerja ,1168415050,
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 49 . 01  , Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Kantor ,1168415050," Dana Alokasi Khusus (D A K)
Belanja modal pengadaan Gedung Kantor
Belanja Modal Pengadaan Gedung Balai Penyuluhan KB150 m2 x 5.500.000,00 = 825.000.000,00
Belanja Modal Pengadaan Gudang Alkon49 m2 x 5.500.000,00 = 269.500.000,00
Belanja  ATKATK1 pkt x 1.120.000,00 = 1.120.000,00
Belanja Penggandaan / FotocopyFotocopy1 pkt x 1.245.050,00 = 1.245.050,00
Belanja Makan Minum RapatMakan Minum Rapat240 org x 22.500,00 = 5.400.000,00
Honor Pengelola Keuangan dan BarangPejabat Pembuat Komitmen1 org x 600.000,00 = 600.000,00
Tim Supervisi Perencanaan
Anggota1 org x 350.000,00 = 350.000,00
Ketua1 org x 450.000,00 = 450.000,00
Sekretaris1 org x 400.000,00 = 400.000,00
Panitia PengadaanAnggota3 org x 525.000,00 = 1.575.000,00
Ketua1 org x 650.000,00 = 650.000,00
Sekretaris1 org x 600.000,00 = 600.000,00
Petugas Pengawas Lapangan
Anggota ( 3 lokasi)3 org x 450.000,00 = 1.350.000,00
Ketua (3 lokasi)3 org x 550.000,00 = 1.650.000,00
Sekretaris ( 3 lokasi)3 org x 500.000,00 = 1.500.000,00
Panitia Penerima / Pemeriksa
Anggota3 org x 450.000,00 = 1.350.000,00
Ketua1 org x 575.000,00 = 575.000,00
Sekretaris1 org x 500.000,00 = 500.000,00
Jasa KonsultanJasa Konsultan Perencanaan1 ls x 27.000.000,00 = 27.000.000,00
Jasa Konsultan Pengawasan1 ls x 25.000.000,00 = 25.000.000,00
Panitia Pengadaan Sarana dan Prasarana
Ketua1 org x 550.000,00 = 550.000,00
Sekretaris1 org x 500.000,00 = 500.000,00
Anggota1 org x 450.000,00 = 450.000,00
Panitia Penerima / Pemeriksa Sarana dan Prasarana
Ketua1 org x 450.000,00 = 450.000,00
Sekretaris1 org x 350.000,00 = 350.000,00
Anggota1 org x 300.000,00 = 300.000,00"
1.12 . 1.12.01 . 02 . 09  , Pengadaan peralatan gedung kantor  ,25000000," Sumber Dana : APBD
Lokasi Kegiatan : Kab Bantul

Keluaran :  Rehap Bongkar Pasang Aula Pertemuan dan Pintu Kaca
Target:  100 persen"
1.12 . 1.12.01 . 02 . 09 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,20000000,
1.12 . 1.12.01 . 02 . 09 . 5 . 2 . 2 . 44  , Belanja Jasa Bongkar  ,20000000,
1.12 . 1.12.01 . 02 . 09 . 5 . 2 . 2 . 44 . 01  , Belanja Jasa Bongkar  ,20000000," APBD
Belanja jasa bongkar dan pasang ruang pertemuan kantor
Belanja jasa bongkar dan pasang 2 ruangan x 6m21 ls x 20.000.000,00 = 20.000.000,00"
1.12 . 1.12.01 . 02 . 09 . 5 . 2 . 3  , Belanja Modal  ,5000000,
1.12 . 1.12.01 . 02 . 09 . 5 . 2 . 3 . 28  , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga  ,5000000,
1.12 . 1.12.01 . 02 . 09 . 5 . 2 . 3 . 28 . 01  , Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair  ,5000000," APBD
Pengadaan Mebeler Pintu Ruangan
Pengadaan Pintu Kaca Bidang1 ls x 5.000.000,00 = 5.000.000,00"
1.12 . 1.12.01 . 02 . 22  , Pemeliharaan rutin/berkala gedung kantor  ,5700000," Sumber Dana : APBD
Lokasi Kegiatan : Kab Bantul
Keluaran :  Cat Tembok Kantor BKKPPKB
Target:  1 Paket"
1.12 . 1.12.01 . 02 . 22 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,5700000,
1.12 . 1.12.01 . 02 . 22 . 5 . 2 . 2 . 20  , Belanja Pemeliharaan  ,5700000,
1.12 . 1.12.01 . 02 . 22 . 5 . 2 . 2 . 20 . 05  , Belanja Pemeliharan Gedung dan Bangunan  ,5700000," APBD
Belanja Pemeliharaan Gedung kantor
Pengecatan Gedung Kantor1 paket x 5.700.000,00 = 5.700.000,00"
1.12 . 1.12.01 . 02 . 24  , Pemeliharaan rutin/berkala kendaraan dinas/operasional  ,270355000," Sumber Dana : APBD
Lokasi Kegiatan : Kab Bantul
Keluaran :  Pemeliharaan Kendaraan Dinas Operasional Kantor BKKPPKB
Target:  113 unit"
1.12 . 1.12.01 . 02 . 24 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,270355000,
1.12 . 1.12.01 . 02 . 24 . 5 . 2 . 2 . 05  , Belanja Perawatan Kendaraan Bermotor  ,270355000,
1.12 . 1.12.01 . 02 . 24 . 5 . 2 . 2 . 05 . 01  , Belanja Jasa Service  ,20000000," APBD
Belanja Service kendaraan Dinas roda 410 frek x 2.000.000,00 = 20.000.000,00"
1.12 . 1.12.01 . 02 . 24 . 5 . 2 . 2 . 05 . 02  , Belanja Penggantian Suku Cadang  ,13155000," APBD
Belanja pembelian suku cadang kendaraan Dinas
Belanja Suku Cadang1 tahun x 9.000.000,00 = 9.000.000,00
Belanja AC Mobil Kendaraan Dinas OperasionalPemasangan AC Mobil Kendaraan Dinas1 pkt x 4.155.000,00 = 4.155.000,00"
1.12 . 1.12.01 . 02 . 24 . 5 . 2 . 2 . 05 . 03  , Belanja Bahan Bakar Minyak/Gas Dan Pelumas  ,237200000," APBD
Belanja BBM Kendaraan Dinas Operasional
Kendaraan Dinas Roda 41 ls x 79.700.000,00 = 79.700.000,00
Kendaraan Dinas Roda 21 ls x 150.000.000,00 = 150.000.000,00
Belanja ganti olioli gardan roda 410 frek x 150.000,00 = 1.500.000,00
oli persneleng roda 410 frek x 150.000,00 = 1.500.000,00
oli mesin roda 430 frek x 150.000,00 = 4.500.000,00"
1.12 . 1.12.01 . 02 . 29  , Pemeliharaan rutin/berkala mebeleur  ,2000000," Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran :  Pemeliharaan Peralatan Mebeler Kantor
Target:  12 bulan"
1.12 . 1.12.01 . 02 . 29 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,2000000,
