Judul,"Rincian Apbd Menurut Urusan Pemerintahan Daerah, Organisasi, Pendapatan, Belanja Dan Pembiayaan",,
1.03 . 1.03.01 . 12 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,16490000.00,
1.03 . 1.03.01 . 12 . 03,"Pengendalian, Evaluasi dan Pelaporan Kinerja",12840000.00,
1.03 . 1.03.01 . 12 . 03 . 5 . 2 . 1,Belanja Pegawai,2812000.00,
1.03 . 1.03.01 . 12 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,10028000.00,
1.04 . 1.03.01 . 15,Program Pengembangan Perumahan,1645000000.00,
1.04 . 1.03.01 . 15 . 12,Pembangunan Fasilitas Lingkungan Rusunawa,1645000000.00,
1.04 . 1.03.01 . 15 . 12 . 5 . 2 . 1,Belanja Pegawai,19388000.00,
1.04 . 1.03.01 . 15 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,40942000.00,
1.04 . 1.03.01 . 15 . 12 . 5 . 2 . 3,Belanja Modal,1584670000.00,
1.05 . 1.03.01 . 15,Program Perencanaan Tata Ruang,250000000.00,
1.05 . 1.03.01 . 15 . 07,Penyusunan Rencana Tata Bangunan dan Lingkungan,250000000.00,
1.05 . 1.03.01 . 15 . 07 . 5 . 2 . 1,Belanja Pegawai,30326000.00,
1.05 . 1.03.01 . 15 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,219674000.00,
1.04 . 1.03.01 . 16,Program Lingkungan Sehat Perumahan,1207485400.00,
1.04 . 1.03.01 . 16 . 19,Penyediaan Prasarana Sarana dan Utilitas (PSU) Lingkungan Perumahan dan Permukiman,1048212300.00,
1.04 . 1.03.01 . 16 . 19 . 5 . 2 . 1,Belanja Pegawai,29166000.00,
1.04 . 1.03.01 . 16 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,332581100.00,
1.04 . 1.03.01 . 16 . 19 . 5 . 2 . 3,Belanja Modal,686465200.00,
1.04 . 1.03.01 . 16 . 20,Pemberdayaan Peningkatan Infrastruktur oleh Komunitas,159273100.00,
1.04 . 1.03.01 . 16 . 20 . 5 . 2 . 1,Belanja Pegawai,105460000.00,
1.04 . 1.03.01 . 16 . 20 . 5 . 2 . 2,Belanja Barang dan Jasa,53813100.00,
1.03 . 1.03.01 . 16,"Program Pembangunan, Rehabilitasi Saluran Drainase dan Gorong-Gorong",3181022400.00,
1.03 . 1.03.01 . 16 . 07,Pemeliharaan Saluran Drainase dan Gorong-Gorong,2693522400.00,
1.03 . 1.03.01 . 16 . 07 . 5 . 2 . 1,Belanja Pegawai,29718000.00,
1.03 . 1.03.01 . 16 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,1280223350.00,
1.03 . 1.03.01 . 16 . 07 . 5 . 2 . 3,Belanja Modal,1383581050.00,
1.03 . 1.03.01 . 16 . 08,"Pembangunan, Rehabilitasi dan Pemeliharaan Bantaran dan Tanggul Sungai",487500000.00,
1.03 . 1.03.01 . 16 . 08 . 5 . 2 . 1,Belanja Pegawai,9450000.00,
1.03 . 1.03.01 . 16 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,8461250.00,
1.03 . 1.03.01 . 16 . 08 . 5 . 2 . 3,Belanja Modal,469588750.00,
1.05 . 1.03.01 . 17,Program Pengendalian dan Pemanfaatan Ruang,192340000.00,
1.05 . 1.03.01 . 17 . 07,Pengawasan Bangunan,192340000.00,
1.05 . 1.03.01 . 17 . 07 . 5 . 2 . 1,Belanja Pegawai,56565000.00,
1.05 . 1.03.01 . 17 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,97850000.00,
1.05 . 1.03.01 . 17 . 07 . 5 . 2 . 3,Belanja Modal,37925000.00,
1.03 . 1.03.01 . 18,Program Pembangunan dan Rehabilitasi/Pemeliharaan Jalan dan Jembatan,94017583356.00,
1.03 . 1.03.01 . 18 . 07,Pemeliharaan Berkala Jalan Lokal Primer I,14654055109.00,
1.03 . 1.03.01 . 18 . 07 . 5 . 2 . 1,Belanja Pegawai,16560000.00,
1.03 . 1.03.01 . 18 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,215126100.00,
1.03 . 1.03.01 . 18 . 07 . 5 . 2 . 3,Belanja Modal,14422369009.00,
1.03 . 1.03.01 . 18 . 10,Peningkatan Jalan Lokal Primer I,50554126607.00,
1.03 . 1.03.01 . 18 . 10 . 5 . 2 . 1,Belanja Pegawai,32940000.00,
1.03 . 1.03.01 . 18 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,520775400.00,
1.03 . 1.03.01 . 18 . 10 . 5 . 2 . 3,Belanja Modal,50000411207.00,
1.03 . 1.03.01 . 18 . 17,Pemeliharaan Rutin Jalan Lokal Primer I,6366021290.00,
1.03 . 1.03.01 . 18 . 17 . 5 . 2 . 1,Belanja Pegawai,29508000.00,
1.03 . 1.03.01 . 18 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,6336513290.00,
1.03 . 1.03.01 . 18 . 19,Pembangunan Jalan Lokal Primer I,4110000000.00,
1.03 . 1.03.01 . 18 . 19 . 5 . 2 . 1,Belanja Pegawai,12075000.00,
1.03 . 1.03.01 . 18 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,55143300.00,
1.03 . 1.03.01 . 18 . 19 . 5 . 2 . 3,Belanja Modal,4042781700.00,
1.03 . 1.03.01 . 18 . 20,Pemeliharaan Rutin Jembatan Lokal Primer I,550000000.00,
1.03 . 1.03.01 . 18 . 20 . 5 . 2 . 1,Belanja Pegawai,5988000.00,
1.03 . 1.03.01 . 18 . 20 . 5 . 2 . 2,Belanja Barang dan Jasa,544012000.00,
1.03 . 1.03.01 . 18 . 21,Pembangunan Jembatan Lokal Primer I,14783005150.00,
1.03 . 1.03.01 . 18 . 21 . 5 . 2 . 1,Belanja Pegawai,15800000.00,
1.03 . 1.03.01 . 18 . 21 . 5 . 2 . 2,Belanja Barang dan Jasa,133172350.00,
1.03 . 1.03.01 . 18 . 21 . 5 . 2 . 3,Belanja Modal,14634032800.00,
1.03 . 1.03.01 . 18 . 22,Rehabilitasi/Pemeliharaan Jembatan Lokal Primer I,3000375200.00,
1.03 . 1.03.01 . 18 . 22 . 5 . 2 . 1,Belanja Pegawai,15499000.00,
1.03 . 1.03.01 . 18 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,294494900.00,
1.03 . 1.03.01 . 18 . 22 . 5 . 2 . 3,Belanja Modal,2690381300.00,
1.03 . 1.03.01 . 23,Program Peningkatan Sarana dan Prasarana Kebinamargaan,201885300.00,
1.03 . 1.03.01 . 23 . 14,Pengujian Laboratorium,82422900.00,
1.03 . 1.03.01 . 23 . 14 . 5 . 2 . 1,Belanja Pegawai,19594000.00,
1.03 . 1.03.01 . 23 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,62828900.00,
1.03 . 1.03.01 . 23 . 21,Rehabilitasi dan Pelayanan Alat Berat,119462400.00,
1.03 . 1.03.01 . 23 . 21 . 5 . 2 . 2,Belanja Barang dan Jasa,119462400.00,
1.03 . 1.03.01 . 24,"Program Pengembangan dan Pengelolaan Jaringan Irigasi, Rawa dan Jaringan Pengairan Lainnya",16131519382.00,
1.03 . 1.03.01 . 24 . 10,Rehabilitasi dan Pemeliharaan Jaringan Irigasi,14211807600.00,
1.03 . 1.03.01 . 24 . 10 . 5 . 2 . 1,Belanja Pegawai,53575000.00,
1.03 . 1.03.01 . 24 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,3945575000.00,
1.03 . 1.03.01 . 24 . 10 . 5 . 2 . 3,Belanja Modal,10212657600.00,
1.03 . 1.03.01 . 24 . 16,Pemberdayaan Petani Pemakai Air,548451832.00,
1.03 . 1.03.01 . 24 . 16 . 5 . 2 . 1,Belanja Pegawai,59500000.00,
1.03 . 1.03.01 . 24 . 16 . 5 . 2 . 2,Belanja Barang dan Jasa,488951832.00,
1.03 . 1.03.01 . 24 . 20,Pengelolaan Jaringan Irigasi,755221950.00,
1.03 . 1.03.01 . 24 . 20 . 5 . 2 . 1,Belanja Pegawai,32456000.00,
1.03 . 1.03.01 . 24 . 20 . 5 . 2 . 2,Belanja Barang dan Jasa,722765950.00,
1.03 . 1.03.01 . 24 . 24,Peningkatan Pengelolaan Irigasi Partisipatif,565840000.00,
1.03 . 1.03.01 . 24 . 24 . 5 . 2 . 1,Belanja Pegawai,44430000.00,
1.03 . 1.03.01 . 24 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,521410000.00,
1.03 . 1.03.01 . 24 . 26,Penyelenggaraan Kebijakan Teknis Irigasi,50198000.00,
1.03 . 1.03.01 . 24 . 26 . 5 . 2 . 1,Belanja Pegawai,26000000.00,
1.03 . 1.03.01 . 24 . 26 . 5 . 2 . 2,Belanja Barang dan Jasa,24198000.00,
1.03 . 1.03.01 . 30,Program Pembangunan Infrastruktur Perdesaan,32167110168.00,
1.03 . 1.03.01 . 30 . 02,Pembangunan Jalan dan Jembatan Lokal Primer II,31393168000.00,
1.03 . 1.03.01 . 30 . 02 . 5 . 2 . 1,Belanja Pegawai,23150000.00,
1.03 . 1.03.01 . 30 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,265425000.00,
1.03 . 1.03.01 . 30 . 02 . 5 . 2 . 3,Belanja Modal,31104593000.00,
1.03 . 1.03.01 . 30 . 16,Pemeliharaan Rutin Jalan dan Jembatan Lokal Primer II,773942168.00,
1.03 . 1.03.01 . 30 . 16 . 5 . 2 . 1,Belanja Pegawai,11175000.00,
1.03 . 1.03.01 . 30 . 16 . 5 . 2 . 2,Belanja Barang dan Jasa,762767168.00,
1.03 . 1.03.01 . 32,Program Peningkatan Sarana dan Prasarana Gedung Kantor dan Bangunan Umum,20034258952.45,
1.03 . 1.03.01 . 32 . 03,Rehab Sedang/Berat Gedung Kantor,1235323950.00,
1.03 . 1.03.01 . 32 . 03 . 5 . 2 . 1,Belanja Pegawai,22110000.00,
1.03 . 1.03.01 . 32 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,15113950.00,
1.03 . 1.03.01 . 32 . 03 . 5 . 2 . 3,Belanja Modal,1198100000.00,
1.03 . 1.03.01 . 32 . 17,Pembangunan Gedung Kantor dan Bangunan Lainnya,18798935002.45,
1.03 . 1.03.01 . 32 . 17 . 5 . 2 . 1,Belanja Pegawai,22618000.00,
1.03 . 1.03.01 . 32 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,117063500.00,
1.03 . 1.03.01 . 32 . 17 . 5 . 2 . 3,Belanja Modal,18659253502.45,
1.03 . 1.03.01 . 40,Program Pengembangan Kinerja Pengelolaan Persampahan,1701858790.00,
1.03 . 1.03.01 . 40 . 01,Pelayanan Persampahan dan Pemeliharaan Prasarana dan Sarana Persampahan,949000950.00,
1.03 . 1.03.01 . 40 . 01 . 5 . 2 . 1,Belanja Pegawai,40117000.00,
1.03 . 1.03.01 . 40 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,908883950.00,
1.03 . 1.03.01 . 40 . 02,Pemeliharaan Kebersiahan Kota,355630000.00,
1.03 . 1.03.01 . 40 . 02 . 5 . 2 . 1,Belanja Pegawai,27770000.00,
1.03 . 1.03.01 . 40 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,322460000.00,
1.03 . 1.03.01 . 40 . 02 . 5 . 2 . 3,Belanja Modal,5400000.00,
1.03 . 1.03.01 . 40 . 04,Peningkatan Prasarana dan Sarana Persampahan,397227840.00,
1.03 . 1.03.01 . 40 . 04 . 5 . 2 . 1,Belanja Pegawai,468000.00,
1.03 . 1.03.01 . 40 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,84495850.00,
1.03 . 1.03.01 . 40 . 04 . 5 . 2 . 3,Belanja Modal,312263990.00,
1.03 . 1.03.01 . 45,Program Pembangunan Infrastruktur Perkotaan,6142466627.00,
1.03 . 1.03.01 . 45 . 01,Pengembangan Kota,3692466627.00,
1.03 . 1.03.01 . 45 . 01 . 5 . 2 . 1,Belanja Pegawai,21540000.00,
1.03 . 1.03.01 . 45 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,10712000.00,
1.03 . 1.03.01 . 45 . 01 . 5 . 2 . 3,Belanja Modal,3660214627.00,
1.03 . 1.03.01 . 45 . 02,Pembangunan Taman Kota,1061717700.00,
1.03 . 1.03.01 . 45 . 02 . 5 . 2 . 1,Belanja Pegawai,14192000.00,
1.03 . 1.03.01 . 45 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,12165700.00,
1.03 . 1.03.01 . 45 . 02 . 5 . 2 . 3,Belanja Modal,1035360000.00,
1.03 . 1.03.01 . 45 . 04,Pemeliharaan Ruang Terbuka Hijau,1388282300.00,
1.03 . 1.03.01 . 45 . 04 . 5 . 2 . 1,Belanja Pegawai,18600000.00,
1.03 . 1.03.01 . 45 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,732341700.00,
1.03 . 1.03.01 . 45 . 04 . 5 . 2 . 3,Belanja Modal,637340600.00,
1.03 . 1.03.01 . 46,Program Pembinaan Jasa Konstruksi,213215800.00,
1.03 . 1.03.01 . 46 . 01,Pembinaan Jasa Konstruksi,213215800.00,
1.03 . 1.03.01 . 46 . 01 . 5 . 2 . 1,Belanja Pegawai,29918000.00,
1.03 . 1.03.01 . 46 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,183297800.00,
1.03 . 1.03.01 . 51,Program Pengembangan Kinerja Pengelolaan Air Minum dan Air Limbah,5782506750.00,
1.03 . 1.03.01 . 51 . 01,Penyediaan Sarana Sanitasi Dasar,2407502000.00,
1.03 . 1.03.01 . 51 . 01 . 5 . 2 . 1,Belanja Pegawai,37985000.00,
1.03 . 1.03.01 . 51 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,2369517000.00,
1.03 . 1.03.01 . 51 . 03,Penyediaan Sarana Air Bersih,3375004750.00,
1.03 . 1.03.01 . 51 . 03 . 5 . 2 . 1,Belanja Pegawai,73960000.00,
1.03 . 1.03.01 . 51 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,3301044750.00,
1.03 . 1.03.01 . 52,"Program Pengembangan, Pengelolaan, dan Konservasi Sumber Daya Air",875000000.00,
1.03 . 1.03.01 . 52 . 01,Pembangunan Embung dan Bangunan Penampung Air Lainnya,875000000.00,
1.03 . 1.03.01 . 52 . 01 . 5 . 2 . 1,Belanja Pegawai,7910000.00,
1.03 . 1.03.01 . 52 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,152162350.00,
1.03 . 1.03.01 . 52 . 01 . 5 . 2 . 3,Belanja Modal,714927650.00,
,SURPLUS / (DEFISIT),-190505494498.45,
