Judul,Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
1.20 . 1.20.26 . 01.01 . 5.2.2.01.04 ,"Belanja Perangko, Materai Dan Benda Pos Lainnya ",5649000,7149000,1500000,26.55,"Belanja materai
Materai Kantor284 lembar x 6.000,00 = 1.704.000,00
Materai dana bergulir720 lembar x 6.000,00 = 4.320.000,00
Materai375 lembar x 3.000,00 = 1.125.000,00"
1.20 . 1.20.26 . 01.02 ,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",2500000,3500000,1000000,40,"Sumber Dana : 
Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 01.02 . 5.2.2 ,Belanja Barang dan Jasa ,2500000,3500000,1000000,40,
1.20 . 1.20.26 . 01.02 . 5.2.2.03 ,Belanja Jasa Kantor ,2500000,3500000,1000000,40,
1.20 . 1.20.26 . 01.02 . 5.2.2.03.01 ,Belanja Telepon ,2500000,3500000,1000000,40,"Belanja telpon1 Ls x 3.500.000,00 = 3.500.000,00"
1.20 . 1.20.26 . 01.07 ,Penyediaan Jasa Administrasi Keuangan ,35400000,35400000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 01.07 . 5.2.1 ,Belanja Pegawai ,35400000,35400000,0,0,
1.20 . 1.20.26 . 01.07 . 5.2.1.01 ,Honorarium PNS ,35400000,35400000,0,0,
1.20 . 1.20.26 . 01.07 . 5.2.1.01.03 ,Honor Pengelola Keuangan dan Barang ,35400000,35400000,0,0,"Honor Pengelola Keuangan dan Barang
Penata usahaan keuangan (1 x 12)12 Ob x 240.000,00 = 2.880.000,00
Pembantu PPK (1 x 12)12 Ob x 150.000,00 = 1.800.000,00
Bendahara Pengeluaran (1 x 12)12 Ob x 240.000,00 = 2.880.000,00
Bendahara Pengeluaran Pembantu (1 x 12)12 Ob x 230.000,00 = 2.760.000,00
Bendahara Penerimaan (1 x 12)12 Ob x 180.000,00 = 2.160.000,00
Pembuat daftar gaji (1 x 12)12 Ob x 70.000,00 = 840.000,00
Pengurus kepegawaian (1 x 12)12 Ob x 65.000,00 = 780.000,00
Pembantu Bendahara Penerimaan (13x12)156 Ob x 100.000,00 = 15.600.000,00
Pengurus barang (1 x 12)12 Ob x 200.000,00 = 2.400.000,00
Penyimpan barang (1 x 12)12 Ob x 100.000,00 = 1.200.000,00
Bendahara Pengelola Dana Bergulir (1x12)12 Ob x 175.000,00 = 2.100.000,00"
1.20 . 1.20.26 . 01.08 ,Penyediaan Jasa Kebersihan Kantor ,737490000,729290000,-8200000,-1.11,"Sumber Dana : 
Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 01.08 . 5.2.1 ,Belanja Pegawai ,703200000,698000000,-5200000,-0.74,
1.20 . 1.20.26 . 01.08 . 5.2.1.02 ,Honorarium Non PNS ,687600000,682400000,-5200000,-0.76,
1.20 . 1.20.26 . 01.08 . 5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,687600000,682400000,-5200000,-0.76,"Honorarium pegawai honorer / Tidak tetap
Petugas pembersih kantor dan pasar (56 org x 25 hr x 12 bln)16,800 Oh x 33.500,00 = 562.800.000,00
Petugas pengangkut sampah pasar ( 10 org x 26 hr x 12 bln )2,990 Oh x 40.000,00 = 119.600.000,00"
1.20 . 1.20.26 . 01.08 . 5.2.1.03 ,Uang Lembur ,15600000,15600000,0,0,
1.20 . 1.20.26 . 01.08 . 5.2.1.03.02 ,Uang Lembur Non PNS ,15600000,15600000,0,0,"Uang lembur non PNSPetugas pembersih (130 x 12)1,560 Oh x 10.000,00 = 15.600.000,00"
1.20 . 1.20.26 . 01.08 . 5.2.2 ,Belanja Barang dan Jasa ,34290000,31290000,-3000000,-8.75,
1.20 . 1.20.26 . 01.08 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,28290000,28290000,0,0,
1.20 . 1.20.26 . 01.08 . 5.2.2.01.05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih,28290000,28290000,0,0,"Belanja alat kebersihan dan bahan pembersih
Pembelian alat kebersihan dan bahan pembersih (sapu, skop, bak sampah dll) untuk Kantor dan Pasar1 Ls x 28.290.000,00 = 28.290.000,00"
1.20 . 1.20.26 . 01.08 . 5.2.2.03 ,Belanja Jasa Kantor ,6000000,3000000,-3000000,-50,
1.20 . 1.20.26 . 01.08 . 5.2.2.03.15 ,Belanja Publikasi ,6000000,3000000,-3000000,-50,"Belanja publikasi siaran radio
Narasumber/pembicara6 Ok x 100.000,00 = 600.000,00
Belanja publikasi di radio6 Ok x 400.000,00 = 2.400.000,00"
1.20 . 1.20.26 . 01.10 ,Penyediaan Alat Tulis Kantor ,15000000,15000000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 01.10 . 5.2.2 ,Belanja Barang dan Jasa ,15000000,15000000,0,0,
1.20 . 1.20.26 . 01.10 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,15000000,15000000,0,0,
1.20 . 1.20.26 . 01.10 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,15000000,15000000,0,0,"Belanja alat tulis kantor
Belanja ATK kantor dan pasar1 Ls x 15.000.000,00 = 15.000.000,00"
1.20 . 1.20.26 . 01.11 ,Penyediaan Barang Cetakan dan Penggandaan ,19000000,20940000,1940000,10.21,"Sumber Dana :
 Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 01.11 . 5.2.2 ,Belanja Barang dan Jasa ,19000000,20940000,1940000,10.21,
1.20 . 1.20.26 . 01.11 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,19000000,20940000,1940000,10.21,
1.20 . 1.20.26 . 01.11 . 5.2.2.06.01 ,Belanja Cetak ,16000000,17940000,1940000,12.13,"Belanja cetak blangkoCetak blangko dll1 Ls x 17.940.000,00 = 17.940.000,00"
1.20 . 1.20.26 . 01.11 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,3000000,3000000,0,0,"Belanja PenggandaanFoto copy1 Ls x 3.000.000,00 = 3.000.000,00"
1.20 . 1.20.26 . 01.12 ,Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor,23000000,24600000,1600000,6.96,"Sumber Dana : 
Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 01.12 . 5.2.2 ,Belanja Barang dan Jasa ,15000000,15000000,0,0,
1.20 . 1.20.26 . 01.12 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,15000000,15000000,0,0,
1.20 . 1.20.26 . 01.12 . 5.2.2.01.03 ,"Belanja Alat Listrik dan Elektronik(lampu pijar,battery kering)",15000000,15000000,0,0,"Belanja alat-alat listrik
Belanja lampu mercury, lampu pijar, baterai dll1 Ls x 15.000.000,00 = 15.000.000,00"
1.20 . 1.20.26 . 01.12 . 5.2.3 ,Belanja Modal ,8000000,9600000,1600000,20,
1.20 . 1.20.26 . 01.12 . 5.2.3.25 ,Belanja Modal Pengadaan Instalasi Listrik Dan Telepon,8000000,9600000,1600000,20,
1.20 . 1.20.26 . 01.12 . 5.2.3.25.01 ,Belanja Modal Pengadaan Instalasi Listrik ,8000000,9600000,1600000,20,"Belanja modal pengadaan instalasi listrik di Pasar
Pemasangan instalasi listrik di Pasar1 Ls x 9.600.000,00 = 9.600.000,00"
1.20 . 1.20.26 . 01.14 ,Penyediaan Peralatan Rumah Tangga ,25500000,18500000,-7000000,-27.45,"Sumber Dana : 
Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 01.14 . 5.2.2 ,Belanja Barang dan Jasa ,5000000,10500000,5500000,110,
1.20 . 1.20.26 . 01.14 . 5.2.2.20 ,Belanja Pemeliharaan ,5000000,10500000,5500000,110,
1.20 . 1.20.26 . 01.14 . 5.2.2.20.19 ,Belanja pemeliharaan alat rumah tangga ,5000000,10500000,5500000,110,"Belanja pemeliharaan alat rumah tangga gerobak sampah dan pompa air
gerobak sampah dan pompa air1 Ls x 10.500.000,00 = 10.500.000,00"
1.20 . 1.20.26 . 01.14 . 5.2.3 ,Belanja Modal ,20500000,8000000,-12500000,-60.98,
1.20 . 1.20.26 . 01.14 . 5.2.3.11 ,Belanja Modal Pengadaan Perlengkapan Kantor ,8000000,8000000,0,0,
1.20 . 1.20.26 . 01.14 . 5.2.3.11.39 ,Belanja modal pengadaan gerobak  sampah ,8000000,8000000,0,0,"Belanja modal pengadaan gerobak sampah
Belanja gerobag sampah1 Ls x 8.000.000,00 = 8.000.000,00"
1.20 . 1.20.26 . 01.14 . 5.2.3.16 ,Belanja Modal Pengadaan Alat-Alat Studio ,12500000,0,-12500000,-100,
1.20 . 1.20.26 . 01.14 . 5.2.3.16.12 ,Belanja modal pengadaan monitor pengawas/CCTV,12500000,0,-12500000,-100,"Belanja Pengadaan CCTV untuk Pasar
Pengadaan CCTV untuk Pasar"
1.20 . 1.20.26 . 01.15 ,Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan,1320000,1820000,500000,37.88,"Sumber Dana : 
Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 01.15 . 5.2.2 ,Belanja Barang dan Jasa ,1320000,1820000,500000,37.88,
1.20 . 1.20.26 . 01.15 . 5.2.2.03 ,Belanja Jasa Kantor ,1320000,1820000,500000,37.88,
1.20 . 1.20.26 . 01.15 . 5.2.2.03.05 ,Belanja Surat Kabar/Majalah ,1320000,1820000,500000,37.88,"Belanja surat kabar / majalah1 Ls x 1.820.000,00 = 1.820.000,00"
1.20 . 1.20.26 . 01.17 ,Penyediaan Makanan dan Minuman ,40500000,40500000,0,0,"Sumber Dana :
 Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 01.17 . 5.2.2 ,Belanja Barang dan Jasa ,40500000,40500000,0,0,
1.20 . 1.20.26 . 01.17 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,40500000,40500000,0,0,
1.20 . 1.20.26 . 01.17 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,10500000,10500000,0,0,"Belanja makan minum rapat kantor
Makan dan minum200 Ok x 15.000,00 = 3.000.000,00
Snack dan minum1,000 Ok x 7.500,00 = 7.500.000,00"
1.20 . 1.20.26 . 01.17 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,30000000,30000000,0,0,"Belanja makan dan minum kerja bakti di 31 pasar
Makan dan minum kerja bakti di 31 pasar2,000 Ok x 15.000,00 = 30.000.000,00"
1.20 . 1.20.26 . 01.18 ,Rapat-Rapat Koordinasi dan Konsultasi Ke Luar Daerah,28520000,28520000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 01.18 . 5.2.2 ,Belanja Barang dan Jasa ,28520000,28520000,0,0,
1.20 . 1.20.26 . 01.18 . 5.2.2.15 ,Belanja Perjalanan Dinas ,28520000,28520000,0,0,
1.20 . 1.20.26 . 01.18 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,28520000,28520000,0,0,"Belanja perjalanan dinas luar daerah1 Ls x 28.520.000,00 = 28.520.000,00"
1.20 . 1.20.26 . 01.19 ,Rapat-Rapat Koordinasi dan Konsultasi Ke Dalam Daerah,2275000,2275000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 01.19 . 5.2.2 ,Belanja Barang dan Jasa ,2275000,2275000,0,0,
1.20 . 1.20.26 . 01.19 . 5.2.2.15 ,Belanja Perjalanan Dinas ,2275000,2275000,0,0,
1.20 . 1.20.26 . 01.19 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,2275000,2275000,0,0,"Belanja perjalanan dinas dalam daerah1 Ls x 2.275.000,00 = 2.275.000,00"
1.20 . 1.20.26 . 01.20 ,Penyediaan Jasa Keamanan ,653040000,640090000,-12950000,-1.98,"Sumber Dana :
 Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 01.20 . 5.2.1 ,Belanja Pegawai ,650640000,637690000,-12950000,-1.99,
1.20 . 1.20.26 . 01.20 . 5.2.1.02 ,Honorarium Non PNS ,643800000,630850000,-12950000,-2.01,
1.20 . 1.20.26 . 01.20 . 5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,643800000,630850000,-12950000,-2.01,"Honorarium pegawai honorer / tidak tetap
Petugas keamanan dan ketertiban (58 org x 25 hr x 12 bln)17,050 Oh x 37.000,00 = 630.850.000,00"
1.20 . 1.20.26 . 01.20 . 5.2.1.03 ,Uang Lembur ,6840000,6840000,0,0,
1.20 . 1.20.26 . 01.20 . 5.2.1.03.02 ,Uang Lembur Non PNS ,6840000,6840000,0,0,"Lembur pegawai honorer / tidak tetap
petugas keamanan dan ketertiban (57 x 12)684 Oh x 10.000,00 = 6.840.000,00"
1.20 . 1.20.26 . 01.20 . 5.2.2 ,Belanja Barang dan Jasa ,1200000,1200000,0,0,
1.20 . 1.20.26 . 01.20 . 5.2.2.13 ,Belanja Pakaian Kerja ,1200000,1200000,0,0,
1.20 . 1.20.26 . 01.20 . 5.2.2.13.01 ,Belanja Pakaian Kerja Lapangan ,1200000,1200000,0,0,"Belanja pakaian kerja lapangan
Pembelian rompi scotch light untuk petugas keamanan dan ketertiban1 Ls x 1.200.000,00 = 1.200.000,00"
1.20 . 1.20.26 . 01.20 . 5.2.3 ,Belanja Modal ,1200000,1200000,0,0,
1.20 . 1.20.26 . 01.20 . 5.2.3.30 ,Belanja Modal Pengadaan Alat-Alat Persenjataan/Keamanan,1200000,1200000,0,0,
1.20 . 1.20.26 . 01.20 . 5.2.3.30.12 ,Belanja Modal Pengadaan Sentolop/Senter ,1200000,1200000,0,0,"Belanja modal pengadaan sentolop/senter1 Ls x 1.200.000,00 = 1.200.000,00"
1.20 . 1.20.26 . 02 ,Program Peningkatan Sarana dan Prasarana Aparatur,541800000,555302000,13502000,2.49,
1.20 . 1.20.26 . 02.05 ,Pengadaan Kendaraan Dinas/Operasional ,323850000,302352000,-21498000,-6.64,"Sumber Dana :
 Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 02.05 . 5.2.3 ,Belanja Modal ,323850000,302352000,-21498000,-6.64,
1.20 . 1.20.26 . 02.05 . 5.2.3.02 ,Belanja Modal Pengadaan Alat-Alat Berat ,323850000,302352000,-21498000,-6.64,
1.20 . 1.20.26 . 02.05 . 5.2.3.02.05 ,Belanja Modal Pengadaan Dump Truk ,323850000,302352000,-21498000,-6.64,"Honor Pejabat Pembuat Komitmen1 Op x 575.000,00 = 575.000,00
Honor Panitia Pengadaan Barang
Ketua (1x1)1 Op x 375.000,00 = 375.000,00
Sekretaris  (1x1)1 Op x 350.000,00 = 350.000,00
Anggota (1x1)1 Op x 325.000,00 = 325.000,00
Honor Panitia Pemeriksa/penerima Barang
Ketua (1x1)1 Op x 250.000,00 = 250.000,00
Sekretaris (1x1)1 Op x 225.000,00 = 225.000,00
Anggota (1x1)1 Op x 200.000,00 = 200.000,00
Belanja Alat Tulis Kantor
Belanja ATK1 Ls x 300.000,00 = 300.000,00
Belanja Penggandaan
Belanja fotocopy1 Ls x 0,00 = 0,00
Belanja MMRMMR rapat1 Ls x 0,00 = 0,00
Belanja Modal Dump Truck
Belanja modal Pengadaan dump truck1 Buah x 295.952.000,00 = 295.952.000,00
Penyambungan bak Dump Truck
Penambahan tinggi bak Dump Truck1 Ls x 3.800.000,00 = 3.800.000,00"
1.20 . 1.20.26 . 02.22 ,Pemeliharaan Rutin/Berkala Gedung Kantor ,7000000,7000000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 02.22 . 5.2.2 ,Belanja Barang dan Jasa ,7000000,7000000,0,0,
1.20 . 1.20.26 . 02.22 . 5.2.2.02 ,Belanja Bahan/Material ,4200000,4200000,0,0,
1.20 . 1.20.26 . 02.22 . 5.2.2.02.01 ,Belanja Bahan Baku untuk Bangunan / Kegiatan Pelayanan / Kegiatan Operasi,4200000,4200000,0,0,"Belanja bahan bangunan
Bahan bangunan pemeliharaan kantor1 Ls x 4.200.000,00 = 4.200.000,00"
1.20 . 1.20.26 . 02.22 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,2800000,2800000,0,0,
1.20 . 1.20.26 . 02.22 . 5.2.2.34.06 ,Honorarium Tenaga Harian Lepas ,2800000,2800000,0,0,"Honorarium tenaga harian
Upah tenaga pemeliharaan kantor1 Ls x 2.800.000,00 = 2.800.000,00"
1.20 . 1.20.26 . 02.24 ,Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional,161650000,157150000,-4500000,-2.78,"Sumber Dana : 
Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 02.24 . 5.2.2 ,Belanja Barang dan Jasa ,161650000,157150000,-4500000,-2.78,
1.20 . 1.20.26 . 02.24 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,161650000,157150000,-4500000,-2.78,
1.20 . 1.20.26 . 02.24 . 5.2.2.05.01 ,Belanja Jasa Service ,13300000,11300000,-2000000,-15.04,"Belanja jasa service
Reparasi mobil, dump truck, kendaraan roda 3 dan sepeda motor dinas1 Ls x 11.300.000,00 = 11.300.000,00"
1.20 . 1.20.26 . 02.24 . 5.2.2.05.02 ,Belanja Penggantian Suku Cadang ,16200000,16200000,0,0,"Belanja penggantian suku cadang
Pembelian accui, ban dan onderdil lain untuk kendaraan dinas1 Ls x 16.200.000,00 = 16.200.000,00"
1.20 . 1.20.26 . 02.24 . 5.2.2.05.03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,120650000,120650000,0,0,"Pembelian bahan bakar minyak/gas dan pelumas
Pembelian BBM untuk operasional 2 mobil, kendaraan roda 3 dan sepeda motor (pertamax)1 Ls x 60.000.000,00 = 60.000.000,00
Pembelian BBM untuk operasional dup truck (solar)1 Ls x 56.500.000,00 = 56.500.000,00
Pembelian oli/pelumas1 Ls x 4.150.000,00 = 4.150.000,00"
1.20 . 1.20.26 . 02.24 . 5.2.2.05.04 ,Belanja Jasa KIR ,3000000,500000,-2500000,-83.33,"Belanja jasa KIR kendaraan
Belanja jasa KIR kendaraan untuk Dump Truck1 Ls x 500.000,00 = 500.000,00"
1.20 . 1.20.26 . 02.24 . 5.2.2.05.05 ,Belanja Surat Tanda Nomor Kendaraan ,7500000,7500000,0,0,"Belanja surat tanda nomor kendaraanper
panjangan STNK mobil, truck dan motor dinas1 Ls x 7.500.000,00 = 7.500.000,00"
1.20 . 1.20.26 . 02.24 . 5.2.2.05.07 ,Belanja pengisian freon ,1000000,1000000,0,0,"Belanja pengisian freon1 Ls x 1.000.000,00 = 1.000.000,00"
1.20 . 1.20.26 . 02.30 ,Pemeliharaan Rutin/Berkala Peralatan dan Perlengkapan Kantor,17100000,19100000,2000000,11.7,"Sumber Dana : 
Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 02.30 . 5.2.2 ,Belanja Barang dan Jasa ,12600000,12600000,0,0,
1.20 . 1.20.26 . 02.30 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,8600000,8600000,0,0,
1.20 . 1.20.26 . 02.30 . 5.2.2.01.09 ,"Belanja pembelian bendera,papan nama dll ",8100000,8100000,0,0,"Belanja papan nama pasar6 Paket x 1.350.000,00 = 8.100.000,00"
1.20 . 1.20.26 . 02.30 . 5.2.2.01.10 ,Belanja pengisian freon ,500000,500000,0,0,"Belanja pengisian freon1 Ls x 500.000,00 = 500.000,00"
1.20 . 1.20.26 . 02.30 . 5.2.2.20 ,Belanja Pemeliharaan ,4000000,4000000,0,0,
1.20 . 1.20.26 . 02.30 . 5.2.2.20.18 ,Belanja pemeliharaan alat kantor ,4000000,4000000,0,0,"Belanja pemeliharaan alat-alat kantor
pemeliharaan komputer dan AC1 Ls x 4.000.000,00 = 4.000.000,00"
1.20 . 1.20.26 . 02.30 . 5.2.3 ,Belanja Modal ,4500000,6500000,2000000,44.44,
1.20 . 1.20.26 . 02.30 . 5.2.3.11 ,Belanja Modal Pengadaan Perlengkapan Kantor ,1500000,3500000,2000000,133.33,
1.20 . 1.20.26 . 02.30 . 5.2.3.11.14 ,Belanja modal pengadan pompa air ,1500000,3500000,2000000,133.33,"Belanja pengadaan pompa air
Pengadaan pompa air untuk pasar1 Ls x 3.500.000,00 = 3.500.000,00"
1.20 . 1.20.26 . 02.30 . 5.2.3.12 ,Belanja Modal Pengadaan Komputer ,3000000,3000000,0,0,
1.20 . 1.20.26 . 02.30 . 5.2.3.12.09 ,"Belanja Modal Pengadaan Kelengkapan Komputer (Flash Disk, Mouse, Keyboard, Hardisk, Speaker)",3000000,3000000,0,0,"Belanja modal kelengkapan komputer
pembelian flashdisk, catride, tinta printer, hardisk, Mouse, keyboard dll1 Ls x 3.000.000,00 = 3.000.000,00"
1.20 . 1.20.26 . 02.34 ,Pengadaan Peralatan dan Perlengkapan Kantor ,32200000,69700000,37500000,116.46,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.20 . 1.20.26 . 02.34 . 5.2.1 ,Belanja Pegawai ,0,875000,875000,0,
1.20 . 1.20.26 . 02.34 . 5.2.1.01 ,Honorarium PNS ,0,875000,875000,0,
1.20 . 1.20.26 . 02.34 . 5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,0,875000,875000,0,"Honorarium Tim Pengadaan Barang dan Jasa
Pejabat Pembuat Komitmen1 Ok x 350.000,00 = 350.000,00
Pejabat Pengadaan Barang dan Jasa1 Ok x 300.000,00 = 300.000,00
Penerima hasil pekerjaan1 Ok x 225.000,00 = 225.000,00"
1.20 . 1.20.26 . 02.34 . 5.2.2 ,Belanja Barang dan Jasa ,0,24500000,24500000,0,
1.20 . 1.20.26 . 02.34 . 5.2.2.20 ,Belanja Pemeliharaan ,0,24500000,24500000,0,
1.20 . 1.20.26 . 02.34 . 5.2.2.20.48 ,Belanja Pemeliharaan Aplikasi dan Software ,0,24500000,24500000,0,"Belanja jasa pihak ke tiga pemeliharaan Aplikasi1 Ls x 24.500.000,00 = 24.500.000,00"
