Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,
1.06 . 1.06.01 . 11 . 01 ,Pengadaan Sarana dan Prasarana Perkantoran ,101920000,Sumber Dana :  Lokasi Kegiatan : kabupaten Kulon Progo,,,
1.06 . 1.06.01 . 11 . 01 . 5 . 2 . 3 ,Belanja Modal ,101920000,,,,
1.06 . 1.06.01 . 11 . 01 . 5 . 2 . 3 . 17 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Angkutan Darat Bermotor,37420000,,,,
1.06 . 1.06.01 . 11 . 01 . 5 . 2 . 3 . 17 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Bermotor Beroda Dua,37420000,Sepeda Motor Belanja Kendaraan dinas Roda dua "2 unit x 18.000.000 00 = 36.000.000 00" Honorarium Tim Pejabat Pengadaan Pejabat Pembuat Komitmen "1 OB x 275.000 00 = 275.000 00" Pejabat Pengadaan "1 OB x 250.000 00 = 250.000 00" Pejabat Penerima/Pemeriksa "1 OB x 250.000 00 = 250.000 00" Alat Tulis Kantor Kertas HVS 70 gr folio "1 rim x 45.000 00 = 45.000 00" Stopmap "3 buah x 800 00 = 2.400 00" Paper clip "1 dos x 2.600 00 = 2.600 00" Makan dan minum rapat "10 OS x 7.000 00 = 70.000 00" Perjalanan Dinas ke Luar Daerah Perjalanan Dinas ke Luar Daerah. "1 tahun x 525.000 00 = 525.000 00",,,
1.06 . 1.06.01 . 11 . 01 . 5 . 2 . 3 . 29 ,Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer ,22500000,,,,
1.06 . 1.06.01 . 11 . 01 . 5 . 2 . 3 . 29 . 02 ,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer ,22500000,Lap Top belanja laptop "3 unit x 7.500.000 00 = 22.500.000 00",,,
1.06 . 1.06.01 . 11 . 01 . 5 . 2 . 3 . 30 ,Belanja Modal Peralatan dan Mesin - Pengadaan Meja Dan Kursi Kerja/Rapat Pejabat,32000000,,,,
1.06 . 1.06.01 . 11 . 01 . 5 . 2 . 3 . 30 . 03 ,Belanja Modal Peralatan dan Mesin - Pengadaan Kursi Kerja Pejabat ,32000000,Belanja Modal kursi eksekutiv Kursi Eksekutif "16 unit x 2.000.000 00 = 32.000.000 00",,,
1.06 . 1.06.01 . 11 . 01 . 5 . 2 . 3 . 31 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio ,10000000,,,,
1.06 . 1.06.01 . 11 . 01 . 5 . 2 . 3 . 31 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Visual ,10000000,Belanja Modal LCD Projector LCD Projector "1 unit x 10.000.000 00 = 10.000.000 00",,,
1.06 . 1.06.01 . 11 . 02 ,Pemeliharaan Sarana dan Prasarana Perkantoran ,252670000,Sumber Dana :  Lokasi Kegiatan : kabupaten Kulon Progo,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,252670000,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,2995000,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 01 . 03 ,"Belanja Alat Listrik Dan Elektronik (Lampu Pijar  Battery Kering) ",1495500,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 01 . 05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,1499500,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,64000000,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 03 . 01 ,Belanja Telepon ,10000000,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 03 . 03 ,Belanja Listrik ,54000000,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 05 ,Belanja Perawatan Kendaraan Bermotor ,163005000,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 05 . 01 ,Belanja Jasa Service ,5220000,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 05 . 02 ,Belanja Penggantian Suku Cadang ,54605000,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 05 . 03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,96180000,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 05 . 05 ,Belanja Pajak Kendaraan Bermotor ,7000000,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 20 ,Belanja Pemeliharaan ,22670000,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 20 . 05 ,Belanja Pemeliharan Gedung dan Bangunan ,7670000,,,,
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2 . 20 . 08 ,Belanja Pemeliharaan Peralatan Gedung Kantor ,15000000,,,,
1.06 . 1.06.01 . 12 ,"Program Perencanaan  Pengendalian dan Evaluasi Kinerja ",21500000,,,,
1.06 . 1.06.01 . 12 . 01 ,Penyusunan Perencanaan Kinerja SKPD ,3212000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
1.06 . 1.06.01 . 12 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,660000,,,,
1.06 . 1.06.01 . 12 . 01 . 5 . 2 . 1 . 03 ,Uang Lembur ,660000,,,,
1.06 . 1.06.01 . 12 . 01 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,660000,,,,
1.06 . 1.06.01 . 12 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,2552000,,,,
1.06 . 1.06.01 . 12 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,571000,,,,
1.06 . 1.06.01 . 12 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,571000,,,,
1.06 . 1.06.01 . 12 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,600000,,,,
1.06 . 1.06.01 . 12 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,600000,,,,
1.06 . 1.06.01 . 12 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1381000,,,,
1.06 . 1.06.01 . 12 . 01 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,756000,,,,
1.06 . 1.06.01 . 12 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,625000,,,,
1.06 . 1.06.01 . 12 . 02 ,Penyusunan Laporan Keuangan ,12500000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
1.06 . 1.06.01 . 12 . 02 . 5 . 2 . 1 ,Belanja Pegawai ,5570000,,,,
1.06 . 1.06.01 . 12 . 02 . 5 . 2 . 1 . 03 ,Uang Lembur ,5570000,,,,
1.06 . 1.06.01 . 12 . 02 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,5570000,,,,
1.06 . 1.06.01 . 12 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,6930000,,,,
1.06 . 1.06.01 . 12 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,45000,,,,
1.06 . 1.06.01 . 12 . 02 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,45000,,,,
1.06 . 1.06.01 . 12 . 02 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,134875,,,,
1.06 . 1.06.01 . 12 . 02 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,134875,,,,
1.06 . 1.06.01 . 12 . 02 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,6750125,,,,
1.06 . 1.06.01 . 12 . 02 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,6750125,,,,
1.06 . 1.06.01 . 12 . 03 ,"Pengendalian  Evaluasi dan Pelaporan Kinerja ",5788000,Sumber Dana :  Lokasi Kegiatan : KAbupaten Kulon Progo,,,
1.06 . 1.06.01 . 12 . 03 . 5 . 2 . 1 ,Belanja Pegawai ,1311000,,,,
1.06 . 1.06.01 . 12 . 03 . 5 . 2 . 1 . 03 ,Uang Lembur ,1311000,,,,
1.06 . 1.06.01 . 12 . 03 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,1311000,,,,
1.06 . 1.06.01 . 12 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,4477000,,,,
1.06 . 1.06.01 . 12 . 03 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,565000,,,,
1.06 . 1.06.01 . 12 . 03 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,565000,,,,
1.06 . 1.06.01 . 12 . 03 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1204000,,,,
1.06 . 1.06.01 . 12 . 03 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1204000,,,,
1.06 . 1.06.01 . 12 . 03 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,2708000,,,,
1.06 . 1.06.01 . 12 . 03 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,1458000,,,,
1.06 . 1.06.01 . 12 . 03 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1250000,,,,
1.06 . 1.06.01 . 13 ,Program Peningkatan Kapasitas Sumber Daya Manusia SKPD ,20967100,,,,
1.06 . 1.06.01 . 13 . 03 ,Pendidikan dan Pelatihan Non Formal ,10000000,Sumber Dana :  Lokasi Kegiatan : kabupaten Kulon Progo,,,
1.06 . 1.06.01 . 13 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,10000000,,,,
1.06 . 1.06.01 . 13 . 03 . 5 . 2 . 2 . 17 ,"Belanja kursus  pelatihan  sosialisasi dan bimbingan teknis PNS ",10000000,,,,
1.06 . 1.06.01 . 13 . 03 . 5 . 2 . 2 . 17 . 01 ,Belanja Kursus-Kursus Singkat/Pelatihan ,10000000,,,,
1.06 . 1.06.01 . 13 . 04 ,Peningkatan Kemampuan Sendiri ,1818100,Sumber Dana :  Lokasi Kegiatan : kabupaten Kulon Progo,,,
1.06 . 1.06.01 . 13 . 04 . 5 . 2 . 1 ,Belanja Pegawai ,125000,,,,
1.06 . 1.06.01 . 13 . 04 . 5 . 2 . 1 . 01 ,Honorarium PNS ,125000,,,,
1.06 . 1.06.01 . 13 . 04 . 5 . 2 . 1 . 01 . 05 ,Honorarium Penyelenggaraan Kegiatan ,125000,,,,
1.06 . 1.06.01 . 13 . 04 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,1693100,,,,
1.06 . 1.06.01 . 13 . 04 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,55600,,,,
1.06 . 1.06.01 . 13 . 04 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,55600,,,,
1.06 . 1.06.01 . 13 . 04 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,87500,,,,
1.06 . 1.06.01 . 13 . 04 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,87500,,,,
1.06 . 1.06.01 . 13 . 04 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1000000,,,,
1.06 . 1.06.01 . 13 . 04 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1000000,,,,
1.06 . 1.06.01 . 13 . 04 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,550000,,,,
1.06 . 1.06.01 . 13 . 04 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,550000,,,,
1.06 . 1.06.01 . 13 . 05 ,Pengadaan Pakaian Dinas Harian (PDH) ,9149000,Sumber Dana :  Lokasi Kegiatan : kabupaten Kulon Progo,,,
1.06 . 1.06.01 . 13 . 05 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,9149000,,,,
1.06 . 1.06.01 . 13 . 05 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,49000,,,,
1.06 . 1.06.01 . 13 . 05 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,49000,,,,
1.06 . 1.06.01 . 13 . 05 . 5 . 2 . 2 . 12 ,Belanja Pakaian Dinas dan Atributnya ,9100000,,,,
1.06 . 1.06.01 . 13 . 05 . 5 . 2 . 2 . 12 . 04 ,Belanja Pakaian Dinas Harian (PDH) ,9100000,,,,
1.23 . 1.06.01 . 15 ,Program Pengembangan Data/Informasi/Statistik Daerah ,688820300,,,,
1.23 . 1.06.01 . 15 . 08 ,Penyusunan Database Daerah dan Pengelolaan Sistem Informasi Pembangunan Daerah (SIPD),116813500,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 1 ,Belanja Pegawai ,77745000,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 1 . 01 ,Honorarium PNS ,69915000,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,69915000,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 1 . 03 ,Uang Lembur ,7830000,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,7830000,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,39068500,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,9016600,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,9016600,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,7577500,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,7577500,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,8592000,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,4752000,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,3840000,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,13882400,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,3525000,,,,
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,10357400,,,,
1.23 . 1.06.01 . 15 . 11 ,Penyusunan Data Keluarga Miskin ,385000000,Sumber Dana :  Lokasi Kegiatan : kabupaten Kulon Progo,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 1 ,Belanja Pegawai ,168489250,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 1 . 01 ,Honorarium PNS ,50485000,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,49985000,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 1 . 01 . 02 ,Honorarium Tim Pengadaan Barang Dan Jasa ,500000,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,114884250,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,114884250,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 1 . 03 ,Uang Lembur ,3120000,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,3120000,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,206510750,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,14410975,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,14410975,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,25500775,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,20366500,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,5134275,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,163834000,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,1764000,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,152600000,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 2 . 11 . 04 ,"Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ",9470000,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,2765000,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,2765000,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 3 ,Belanja Modal ,10000000,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 3 . 91 ,Belanja Modal Software ,10000000,,,,
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 3 . 91 . 01 ,Belanja Modal Software ,10000000,Belanja aplikasi/software Pengembangan software pendataan keluarga miskin "1 unit x 10.000.000 00 = 10.000.000 00",,,
1.23 . 1.06.01 . 15 . 12 ,Penyusunan Data Statistik Daerah ,187006800,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 1 ,Belanja Pegawai ,109195000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 1 . 01 ,Honorarium PNS ,71855000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,71855000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,12500000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,12500000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 1 . 03 ,Uang Lembur ,24840000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,24840000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,77811800,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,9288000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,9288000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,29438800,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,25950000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,3488800,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,24465000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,10205000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,14260000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,7120000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,7120000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,7500000,,,,
1.23 . 1.06.01 . 15 . 12 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,7500000,,,,
1.05 . 1.06.01 . 15 ,Program Perencanaan Tata Ruang ,472671000,,,,
1.05 . 1.06.01 . 15 . 20 ,Penyusunan Rencana Detail Tata Ruang Kawasan ,472671000,Sumber Dana :  Lokasi Kegiatan : Di Lingkup Kabupaten,,,
1.05 . 1.06.01 . 15 . 20 . 5 . 2 . 1 ,Belanja Pegawai ,47054000,,,,
1.05 . 1.06.01 . 15 . 20 . 5 . 2 . 1 . 01 ,Honorarium PNS ,41000000,,,,
1.05 . 1.06.01 . 15 . 20 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,39725000,,,,
1.05 . 1.06.01 . 15 . 20 . 5 . 2 . 1 . 01 . 02 ,Honorarium Tim Pengadaan Barang Dan Jasa ,1275000,,,,
1.05 . 1.06.01 . 15 . 20 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,4500000,,,,
1.05 . 1.06.01 . 15 . 20 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,4500000,,,,
1.05 . 1.06.01 . 15 . 20 . 5 . 2 . 1 . 03 ,Uang Lembur ,1554000,,,,
1.05 . 1.06.01 . 15 . 20 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,1554000,,,,
