Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,
1.21 . 1.21.01 . 01 . 28 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,37830000,,
1.21 . 1.21.01 . 01 . 28 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,47170000,,
1.21 . 1.21.01 . 01 . 28 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,17320000,,
1.21 . 1.21.01 . 01 . 28 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,29850000,,
1.21 . 1.21.01 . 11 ,Program Peningkatan Sarana dan Prasarana Perkantoran ,566098730,,
1.21 . 1.21.01 . 11 . 01 ,Pengadaan Sarana dan Prasarana Perkantoran ,437550130,Sumber Dana : ,
,,,Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 ,Belanja Modal ,437550130,,
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 17 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Angkutan Darat Bermotor,266607550,,
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 17 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Dinas Bermotor Perorangan,188279550,Kendaraan Operasional Roda 4utk Penyuluhan Perikanan"Kendaraan Roda 4 ( DAK Perikanan : 169.165.500	- DAU:16.916.550	-)""1 unit x 186.082.050	00 = 186.082.050	00"Administrasi pengadaan (Pendamping DAK Perikanan)		Pejabat pembuat Komitmen		"1 orang x 275.000	00 = 275.000	00"Pejabat pengadaan		"1 orang x 250.000	00 = 250.000	00"Pejabat penerima		"1 orang x 250.000	00 = 250.000	00"Fotocopy		"1	200 lembar x 175	00 = 210.000Jilid		"5 buku x 6.500	00 = 32.500	00"Perjalanan dinas luar daerah Gol IV		"4 op x 90.000	00 = 360.000	00"Perjalanan Dinas Luar daerah Gol III		"4 op x 80.000	00 = 320.000	00"Makan minum rapat pengadaan		"20 os x 25.000	00 = 500.000	00",
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 17 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Bermotor Beroda Dua,51951500,Sepeda Motor ( DAK Pertanian)Untuk kegiatan Penyuluhan Pertanian		"DAK Pertanian : Rp. 15.454.545	- DAU : Rp.1.545.455	-""1 unit x 17.000.000	00 = 17.000.000	00"Sepeda Motor ( DAK Kehutanan)		"Sepeda Motor utk Keg. Penyuluhan Kehutanan (DAK Kehutanan : 30.909.091	- DAU : 3.090.909	-)""2 unit x 17.000.000	00 = 34.000.000	00"Adminitrasi pengadaan		Pejabat pembuat komitmen		"1 orang x 250.000	00 = 250.000	00"Pejabat Pengadaan		"1 orang x 250.000	00 = 250.000	00"Pejabat penerima		"1 orang x 250.000	00 = 250.000	00"Kertas HVS 70 gram folio		"1 rim x 45.000	00 = 45.000	00"Tinta refill printer		"1 dos x36.500	00 = 36.500	00"Fotocopy		"500 lembar x 175	00 = 87.500	00"Jilid		"5 eksemplar x 6.500	00 = 32.500	00",
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 17 . 06 ,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Bermotor Beroda Tiga,26376500,Kendaraaan Bermotor Beroda Tiga untuk Kegiatan penyuluhan PertanianKendaraan Roda 3 (tiga) 	"DAK Pertanian : Rp. 22.727.273	- DAU : Rp.2.272.727	-""1 unit x 25.000.000	00 = 25.000.000	00"Belanja ATK		Kertas HVS 70 gram folio		"1 rim x 45.000	00 = 45.000	00"Tinta Refil Komputer		"1 dos x 36.500	00 = 36.500	00"Belanja Makanan dan minuman rapat		Rapat Pengadaan		"20 OS x 25.000	00 = 500.000	00"Penggandaan		Fotocopi		"500 lembar x 175	00 = 87.500	00"Jilid		"5 eksemplar x 6.500	00 = 32.500	00"Honorarium Panitian Pengadaan	Pejabat pembuat komitmen		"1 orang x 250.000	00 = 250.000	00"Pejabat Pengadaan		"1 orang x 250.000	00 = 250.000	00"Pejabat Penerima Barang dan Jasa		"1 orang x 175.000	00 = 175.000	00",
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 24 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Ukur ,6680000,,
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 24 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Ukur Universal ,6680000,Global Positioning System (GPS) untuk Penyuluhan Kehutanan"GPS ( DAK Kehutanan : 5.454.545	- DAU:545.455)"	"1 unit x 6.000.000	00 = 6.000.000	00"Administrasi pengadaan		Perj. Dinas Gol IV		"4 op x 90.000	00 = 360.000	00"Perj. Dinas Gol III	"4 op x 80.000	00 = 320.000	00",
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 25 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pengolahan ,25321500,,
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 25 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pengolahan Tanah dan Tanaman,25321500,Traktor Tangan dengan peralatannya"Hand traktor ( DAK Pertanian : 22.317.273 DAU:2.231.727	-)"	"1 unit x 24.549.000	00 = 24.549.000	00"Administrasi pengadaan ( AP DAK Pertanian)	Pejabat pembuat komitmen	"1 orang x 250.000	00 = 250.000	00"Pejabat pengadaan	"1 orang x 250.000	00 = 250.000	00"Pejabat penerima	"1 orang x 175.000	00 = 175.000	00"FotoCopy pengadaan"300 lembar x 175	00 = 52.500	00"kertas HVS 70 gram folio	"1 rim x 45.000	00 = 45.000	00",
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 28 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga ,45781000,,
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 28 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair ,25781000,Meja Kursi rapat utk BP3K ( DAK Pertanian : 22.727.272 DAU : 2.272.728)Kursi rapat BP3K (DAK Pertanian : 15.272.727 DAU:1.527.273)	"48 buah x 350.000	00 = 16.800.000	00"Meja Rapat BP3K (DAK Pertanian :7.454.545 DAU:745.455)	"4 buah x 2.050.000	00 = 8.200.000	00"Administrasi pengadaan		Pejabat pembuat komitmen	"1 orang x 250.000	00 = 250.000	00"Pejabat pengadaan		"1 orang x 250.000	00 = 250.000	00"Pejabat penerima	"1 orang x 175.000	00 = 175.000	00"Kertas HVS 70 gr folio	"1 rim x 45.000	00 = 45.000	00"Foto copy		"200 lembar x 175	00 = 35.000	00"Jilid	"4 buku x 6.500	00 = 26.000	00",
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 28 . 06 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga Lainnya (Home Use),20000000,Tenda pasar taniTenda Pasar Tani ( DAK Pertanian : 18.181.818 DAU : 1.818.182)	"10 unit x 2.000.000	00 = 20.000.000	00",
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 29 ,Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer ,73642500,,
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 29 . 02 ,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer ,71142500,Pengadaan Sarana Penyuluhan : Komputer PC Multimedia untuk Penyuluh Kehutanan"PC Multimedia (DAK Kehutanan Rp. 9.090.910	- DAU : 909.090	- )""1 paket x 10.000.000	00 = 10.000.000	00"Pengadaan Sarana Penyuluhan :	"Laptop untuk Penyuluh Kehutanan (DAK Kehutanan : 45.977.273	- DAU:  4.597.727	-)""7 unit x 7.225.000	00 = 50.575.000	00"Pengadaan Laptop ( e-plan )Laptop untuk e-plan"1 unit x 7.225.000	00 = 7.225.000	00"Alat Tulis KantorKertas HVS 70 gram folio	"2 rim x 45.000	00 = 90.000	00"Stopmap Plastik"10 rim x 6.500	00 = 65.000	00"Kertas NCR Putih	"1 rim x 56.000	00 = 56.000	00"Tinta Refil Komputer	"2 botol x 36.500	00 = 73.000	00"Kertas NCR Warna	"2 rim x 55.500	00 = 111.000	00"Penggandaan	Fotocopi Berkas	"1	200 lembar x 175	00 = 210.000Jilid	"5 eksemplar x 6.500	00 = 32.500	00"Honorarium TimPejabat pembuat komitmen		"1 orang x 275.000	00 = 275.000	00"Pejabat Pengadaan	"1 orang x 250.000	00 = 250.000	00"Pejabat Penerima Barang	"1 orang x 250.000	00 = 250.000	00"Belanja Makanan dan Minuman rapat	Rapat Koordinasi	"30 OS/0 x 25.000	00 = 750.000	00"Belanja Perjalanan Dinas		Golongan IV	"6 OP x 90.000	00 = 540.000	00"Golongan III"8 OP x 80.000	00 = 640.000	00",
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 29 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Personal Komputer,2500000,Pengadaan Printer"Printer (DAK Kehutanan : 2.272.727	- DAU : 227.273	-""1 unit x 2.500.000	00 = 2.500.000	00",
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 31 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio ,7155080,,
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 31 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Visual ,7155080,Camera Digital (Penyuluhan Kehutanan)Kamera Digital+Tripod ( DAK Kehutanan "6.504.618.000	- DAU:650.462	-)""1 unit x 7.155.080	00 = 7.155.080	00",
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 32 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Komunikasi ,12362500,,
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3 . 32 . 01 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Komunikasi Telephone,12362500,Megaphone untuk Penyuluhan Kehutanan ( DAK Kehutanan : 10.363.636 DAU: 1.036.364)Megaphone"12 unit x 950.000	00 = 11.400.000	00"	Administrasi pengadaanPejabat pembuat komitmen	"1 orang x 250.000	00 = 250.000	00"	Pejabat pengadaan	"1 orang x 250.000	00 = 250.000	00"	Pejabat penerima	"1 orang x 175.000	00 = 175.000	00"	Fotocopy pengadaan	"1	200 lembar x 175	00 = 210.000	00"Jilid	"5 eksemplar x 6.500	00 = 32.500	00"	Kertas HVS 70 gram folio	"1 rim x 45.000	00 = 45.000	00"	,
1.21 . 1.21.01 . 11 . 02 ,Pemeliharaan Sarana dan Prasarana Perkantoran ,128548600,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,128548600,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1703600,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 01 . 03 ,"Belanja Alat Listrik Dan Elektronik (Lampu Pijar Battery Kering) ",858100,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 01 . 05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,845500,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,34800000,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 03 . 01 ,Belanja Telepon ,19320000,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 03 . 02 ,Belanja Air ,4200000,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 03 . 03 ,Belanja Listrik ,11280000,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 05 ,Belanja Perawatan Kendaraan Bermotor ,80445000,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 05 . 01 ,Belanja Jasa Service ,5325000,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 05 . 02 ,Belanja Penggantian Suku Cadang ,18000000,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 05 . 03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,50700000,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 05 . 05 ,Belanja Pajak Kendaraan Bermotor ,6420000,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 20 ,Belanja Pemeliharaan ,11600000,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 20 . 05 ,Belanja Pemeliharan Gedung dan Bangunan ,10000000,,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2 . 20 . 08 ,Belanja Pemeliharaan Peralatan Gedung Kantor ,1600000,,
1.21 . 1.21.01 . 12 ,"Program Perencanaan Pengendalian dan Evaluasi Kinerja ",36000000,,
1.21 . 1.21.01 . 12 . 01 ,Penyusunan Perencanaan Kinerja SKPD ,3000000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 12 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,292000,,
1.21 . 1.21.01 . 12 . 01 . 5 . 2 . 1 . 03 ,Uang Lembur ,292000,,
1.21 . 1.21.01 . 12 . 01 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,292000,,
1.21 . 1.21.01 . 12 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,2708000,,
1.21 . 1.21.01 . 12 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,968450,,
1.21 . 1.21.01 . 12 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,968450,,
1.21 . 1.21.01 . 12 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1415550,,
1.21 . 1.21.01 . 12 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1415550,,
1.21 . 1.21.01 . 12 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,324000,,
1.21 . 1.21.01 . 12 . 01 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,324000,,
1.21 . 1.21.01 . 12 . 02 ,Penyusunan Laporan Keuangan ,3000000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 12 . 02 . 5 . 2 . 1 ,Belanja Pegawai ,548000,,
1.21 . 1.21.01 . 12 . 02 . 5 . 2 . 1 . 03 ,Uang Lembur ,548000,,
1.21 . 1.21.01 . 12 . 02 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,548000,,
1.21 . 1.21.01 . 12 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,2452000,,
1.21 . 1.21.01 . 12 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1111000,,
1.21 . 1.21.01 . 12 . 02 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1111000,,
1.21 . 1.21.01 . 12 . 02 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,765000,,
1.21 . 1.21.01 . 12 . 02 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,765000,,
1.21 . 1.21.01 . 12 . 02 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,576000,,
1.21 . 1.21.01 . 12 . 02 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,576000,,
1.21 . 1.21.01 . 12 . 03 ,"Pengendalian Evaluasi dan Pelaporan Kinerja ",10000000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 1 ,Belanja Pegawai ,324000,,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 1 . 03 ,Uang Lembur ,324000,,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,324000,,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,9676000,,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1514500,,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1514500,,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1161500,,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1161500,,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1800000,,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,360000,,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1440000,Rapat Koordinasi"60 orang/kali x 24.00000 = 1.440.00000",
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,5200000,,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,5200000,,
1.21 . 1.21.01 . 12 . 04 ,Pengumpulan dan Penyusunan Data Statistik Ketahanan Pangan ,20000000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 1 ,Belanja Pegawai ,1040000,,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 1 . 03 ,Uang Lembur ,1040000,,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,1040000,,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,18960000,,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1112450,,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1112450,,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1147550,,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1147550,,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,6500000,,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,1500000,,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,5000000,,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,10200000,,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,10200000,,
1.21 . 1.21.01 . 13 ,Program Peningkatan Kapasitas Sumber Daya Manusia SKPD ,24360500,,
1.21 . 1.21.01 . 13 . 01 ,Penilaian Prestasi Kerja Pegawai Fungsional Lewat Angka Kredit ,4000000,Sumber Dana : Lokasi Kegiatan : kantor KP4K,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,2310000,,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 1 . 01 ,Honorarium PNS ,2310000,,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,2310000,,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,1690000,,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,105700,,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,105700,,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,44300,,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,44300,,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,700000,,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,700000,,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,840000,,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,840000,,
1.21 . 1.21.01 . 13 . 03 ,Pendidikan dan Pelatihan Non Formal ,2000000,Sumber Dana : Lokasi Kegiatan : Kantor KP4K,
1.21 . 1.21.01 . 13 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,2000000,,
1.21 . 1.21.01 . 13 . 03 . 5 . 2 . 2 . 17 ,"Belanja kursus pelatihan sosialisasi dan bimbingan teknis PNS ",2000000,,
1.21 . 1.21.01 . 13 . 03 . 5 . 2 . 2 . 17 . 01 ,Belanja Kursus-Kursus Singkat/Pelatihan ,2000000,,
1.21 . 1.21.01 . 13 . 05 ,Pengadaan Pakaian Dinas Harian (PDH) ,18360500,Sumber Dana : Lokasi Kegiatan : Kantor KP4K,
1.21 . 1.21.01 . 13 . 05 . 5 . 2 . 1 ,Belanja Pegawai ,425000,,
1.21 . 1.21.01 . 13 . 05 . 5 . 2 . 1 . 01 ,Honorarium PNS ,425000,,
1.21 . 1.21.01 . 13 . 05 . 5 . 2 . 1 . 01 . 02 ,Honorarium Tim Pengadaan Barang Dan Jasa ,425000,,
1.21 . 1.21.01 . 13 . 05 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,17935500,,
1.21 . 1.21.01 . 13 . 05 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,85500,,
