Judul,PENJABARAN APenjabaran Anggaran Pendaptan dan Belanja DaerahPBD,,
1.12 . 1.12.01 . 01 . 01 . 5 . 2 . 2 . 03 . 07,Belanja Paket/Pengiriman,140000,"APBD Belanja Paket/Pengiriman20 kali x 7.000,00 = 140.000,00"
1.12 . 1.12.01 . 01 . 02,"Penyediaan jasa komunikasi, sumber daya air dan listrik",33000000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : 2 Rekening Telepon dan 1 Rekening Listrik
Target : 12 bulan"
1.12 . 1.12.01 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,33000000,
1.12 . 1.12.01 . 01 . 02 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,33000000,
1.12 . 1.12.01 . 01 . 02 . 5 . 2 . 2 . 03 . 01,Belanja Telepon,15000000,"APBD Belanja jasa teleponBelanja Jasa Telpon1 ls x 15.000.000,00 = 15.000.000,00"
1.12 . 1.12.01 . 01 . 02 . 5 . 2 . 2 . 03 . 03,Belanja Listrik,18000000," Belanja listrik (Kabupaten, 11 Kecamatran & FPKP)Belanja Listrik (Kabupaten, 11 Kecamatan & FPKP)1 ls x 18.000.000,00 = 18.000.000,00"
1.12 . 1.12.01 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,38900000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Kendaraan Dinas BKKPPKB
Target : 116 unit"
1.12 . 1.12.01 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,38900000,
1.12 . 1.12.01 . 01 . 06 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,38900000,
1.12 . 1.12.01 . 01 . 06 . 5 . 2 . 2 . 05 . 07,Belanja Surat Tanda Nomor Kendaraan,38900000,"APBD Belanja perizinan kendaaraan roda 2
Biaya perizinan kendaraan roda 2108 buah x 275.000,00 = 29.700.000,00
Biaya perizinan kendaraan roda 48 buah x 1.150.000,00 = 9.200.000,00"
1.12 . 1.12.01 . 01 . 07,Penyediaan jasa administrasi keuangan,26180000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Pengelola Laporan Keuangan dan Barang
Target : 12 orang"
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 1,Belanja Pegawai,21180000,
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 1 . 01,Honorarium PNS,21180000,
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 1 . 01 . 06,Honor Pengelola Keuangan dan Barang,21180000,"APBD Honor Pengelola Keuangan dan BarangPPK (Sekretaris) (1 or x 12 bln x Rp 215.000)12 ob x 215.000,00 = 2.580.000,00
Pembantu PPK (Sekretaris (2 or x 12 bln x Rp 130.000,-36 ob x 130.000,00 = 4.680.000,00
Bendahara Pengeluaran (1 or x 12 bln x Rp 220.000,-)12 ob x 220.000,00 = 2.640.000,00
Pembuat Dokumen (3 or x 12 bln x Rp 130.000,-)36 ob x 130.000,00 = 4.680.000,00
Pengurus Gaji (1 or x 12 bln x Rp 70.000,-)12 ob x 70.000,00 = 840.000,00
Pengurus Barang (1 or x 12 bln x 250.000,-)12 ob x 250.000,00 = 3.000.000,00
Penyimpan Barang (1 or x 12 bln x Rp 130.000,-)12 ob x 130.000,00 = 1.560.000,00
Pembantu Pengurus Barang (1 or x 12 bln x Rp 100.000,-)12 ob x 100.000,00 = 1.200.000,00"
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,5000000,
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,5000000,
1.12 . 1.12.01 . 01 . 07 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,5000000,"APBD
 Belanja alat tulis kantor1 th x 5.000.000,00 = 5.000.000,00"
1.12 . 1.12.01 . 01 . 08,Penyediaan jasa kebersihan kantor,28900000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Jasa Kebersihan Kantor BKKPPKB
Target : 22 bulan"
1.12 . 1.12.01 . 01 . 08 . 5 . 2 . 1,Belanja Pegawai,27500000,
1.12 . 1.12.01 . 01 . 08 . 5 . 2 . 1 . 02,Honorarium Non PNS,27500000,
1.12 . 1.12.01 . 01 . 08 . 5 . 2 . 1 . 02 . 02,Honorarium Pegawai Honorer/Tidak Tetap,27500000,"APBD
 Tenaga KebersihanTenaga Kebersihan: 2 or x 11 bln x 1.250.000,-22 bln x 1.250.000,00 = 27.500.000,00"
1.12 . 1.12.01 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,1400000,
1.12 . 1.12.01 . 01 . 08 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1400000,
1.12 . 1.12.01 . 01 . 08 . 5 . 2 . 2 . 01 . 05,Belanja Peralatan Kebersihan Dan Bahan Pembersih,1400000,"APBD 
Belanja Peralatan Kebersihan dan bahan PembersihKreolin wangi1 th x 300.000,00 = 300.000,00
Bayfres spray1 th x 200.000,00 = 200.000,00
Glass cleaner1 th x 200.000,00 = 200.000,00
Sapu1 th x 100.000,00 = 100.000,00
Keset1 th x 500.000,00 = 500.000,00
Kain pel1 th x 100.000,00 = 100.000,00"
1.12 . 1.12.01 . 01 . 10,Penyediaan alat tulis kantor,10000000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Alat Tulis Kantor dan Fasilitas Kantor Lainnya
Target : 12 bulan"
1.12 . 1.12.01 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,10000000, 
1.12 . 1.12.01 . 01 . 10 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,10000000,
1.12 . 1.12.01 . 01 . 10 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,10000000,"APBD 
Belanja alat tulis kantor1 tahun x 10.000.000,00 = 10.000.000,00"
1.12 . 1.12.01 . 01 . 11,Penyediaan barang cetakan dan penggandaan,10575000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Pengaandaan dan Cetak blangko
Target : 400 buku"
1.12 . 1.12.01 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,10575000,
1.12 . 1.12.01 . 01 . 11 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,10575000,
1.12 . 1.12.01 . 01 . 11 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,10575000,"APBD
 Belanja cetakBelanja Ben 2550 buku x 10.000,00 = 500.000,00
Belanja Kartu Kendali125 buku x 7.500,00 = 937.500,00
Belanja Kartu Lebaran100 lbr x 2.000,00 = 200.000,00
Belanja Lembar Disposisisi125 buku x 7.500,00 = 937.500,00
Belanja PenggandaanBiaya fotro copy1 th x 8.000.000,00 = 8.000.000,00"
1.12 . 1.12.01 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,849350,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Peralatan Listrik Penerangan Kantor
Target : 10 buah"
1.12 . 1.12.01 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,849350,
1.12 . 1.12.01 . 01 . 12 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,849350,
1.12 . 1.12.01 . 01 . 12 . 5 . 2 . 2 . 01 . 03,"Belanja Alat Listrik Dan Elektronik (Lampu Pijar, Battery Kering)",849350,"APBD
 Lampu SL10 buah x 84.935,00 = 849.350,00"
1.12 . 1.12.01 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,3600000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Penyediaan Surat Kabar/majalah
Target : 12 bulan"
1.12 . 1.12.01 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,3600000,
1.12 . 1.12.01 . 01 . 15 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,3600000,
1.12 . 1.12.01 . 01 . 15 . 5 . 2 . 2 . 03 . 05,Belanja Surat Kabar/Majalah,3600000,"APBD
 Belanja surat kabar/majalahBelanja surat kabar / majalah12 bln x 300.000,00 = 3.600.000,00"
1.12 . 1.12.01 . 01 . 16,Penyediaan bahan logistik kantor,1680000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Kebutuhan Logistik Kantor
Target : 12 bulan"
1.12 . 1.12.01 . 01 . 16 . 5 . 2 . 2,Belanja Barang dan Jasa,1680000,
1.12 . 1.12.01 . 01 . 16 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1680000,
1.12 . 1.12.01 . 01 . 16 . 5 . 2 . 2 . 01 . 06,Belanja Bahan Bakar Minyak/Gas,1680000,"APBD 
Belanja bahan bakar minyak / gas12 bln x 140.000,00 = 1.680.000,00"
1.12 . 1.12.01 . 01 . 17,Penyediaan makanan dan minuman,5600000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Jamuan Makan dan minum tamu kantor
Target : 12 bulan"
1.12 . 1.12.01 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,5600000,
1.12 . 1.12.01 . 01 . 17 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,5600000,
1.12 . 1.12.01 . 01 . 17 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,5600000,"APBD
 Belanja Makan dan Minum Rapat
Belanja makanan dan minuman untuk rapat pengendalian kegiatan320 or x 17.500,00 = 5.600.000,00"
1.12 . 1.12.01 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,26200000,"Sumber Dana : APBD
Lokasi Kegiatan : Luar Kota DIY
Keluaran : Perjalanan Dinas dan koordinasi Ke Luar Daerah
Target : 16 hari"
1.12 . 1.12.01 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,26200000,
1.12 . 1.12.01 . 01 . 18 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,26200000,
1.12 . 1.12.01 . 01 . 18 . 5 . 2 . 2 . 15 . 02,Belanja Perjalanan Dinas Luar Daerah,26200000,"APBD 
Wilayah a (DKI, Jabotabek dan Luar Jawa)Gol IV12 hr x 1.700.000,00 = 20.400.000,00
Gol III4 hr x 1.450.000,00 = 5.800.000,00"
1.12 . 1.12.01 . 01 . 19,Rapat-rapat koordinasi dan konsultasi dalam daerah,2250000,"Sumber Dana : APBD
Lokasi Kegiatan : Dalam Kota DIY
Keluaran : Perjalanan Dinas dan Koordinasi Dalam Daerah
Target : 60 hari"
1.12 . 1.12.01 . 01 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,2250000,
1.12 . 1.12.01 . 01 . 19 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,2250000,
1.12 . 1.12.01 . 01 . 19 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,2250000,"APBD 
Di Luar Kabupaten Bantul dalam DIY
Golongan IV10 hr x 70.000,00 = 700.000,00
Golongan III5 hr x 60.000,00 = 300.000,00
Kecamatan/Desa di Kabupaten Bantul
Golongan IV20 hr x 45.000,00 = 900.000,00
Golongan III10 hr x 35.000,00 = 350.000,00"
1.12 . 1.12.01 . 01 . 20,Penyediaan Jasa Keamanan,27500000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Petugas penjaga Malam Lingkungan Kantor BKKPPKB
Target : 2 orang"
1.12 . 1.12.01 . 01 . 20 . 5 . 2 . 1,Belanja Pegawai,27500000,
1.12 . 1.12.01 . 01 . 20 . 5 . 2 . 1 . 02,Honorarium Non PNS,27500000,
1.12 . 1.12.01 . 01 . 20 . 5 . 2 . 1 . 02 . 02,Honorarium Pegawai Honorer/Tidak Tetap,27500000,"APBD
 Honorarium Petugas Harian Lepas Penjaga Malam
Honorarium Petugas Harian Lepas Penjaga Malam: 2 or x 11 bln x Rp 1.250.000,-22 bln x 1.250.000,00 = 27.500.000,00"
1.12 . 1.12.01 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,594999200,
1.12 . 1.12.01 . 02 . 03,Pembangunan gedung kantor,313099200,"Sumber Dana : Dana Alokasi Khusus (D A K)
Lokasi Kegiatan : Kab Bantul
Keluaran : Pembangunan Gedung Balai Penyuluhan PLKB dan Gudang Alkon
Target : 1 unit"
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 1,Belanja Pegawai,4875000,
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 1 . 01,Honorarium PNS,4875000,
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 1 . 01 . 02,Honorarium Tim Pengadaan Barang Dan Jasa,4875000,"Dana Alokasi Khusus (D A K) 
Honor Pengelola Keuangan dan BarangPejabat Pembuat Komitmen (PPK)1 or x 350.000,00 = 350.000,00
Tim Supervisi PerencanaanKetua1 or x 275.000,00 = 275.000,00
Sekretaris1 or x 250.000,00 = 250.000,00
Anggota1 or x 225.000,00 = 225.000,00
Panitia PengadaanKetua1 or x 350.000,00 = 350.000,00
Sekretaris1 or x 325.000,00 = 325.000,00
Anggota1 or x 300.000,00 = 300.000,00
Petugas Pengawas LapanganKetua1 or x 325.000,00 = 325.000,00
Sekretaris1 or x 275.000,00 = 275.000,00
Anggota1 or x 250.000,00 = 250.000,00
Panitia Penerima/PemeriksaKetua1 or x 300.000,00 = 300.000,00
Sekretaris1 or x 275.000,00 = 275.000,00
Anggota1 or x 250.000,00 = 250.000,00
Pejabat Pengadaan Sarana dan PrasaranaKetua1 or x 300.000,00 = 300.000,00
Panitia Pengadaan Sarana PrasaranaKetua1 or x 300.000,00 = 300.000,00
Sekretaris1 or x 275.000,00 = 275.000,00
Anggota1 or x 250.000,00 = 250.000,00"
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,1264200,
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1089200,
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,1089200,"Dana Alokasi Khusus (D A K)
 Belanja Alat Tulis KantorAlat tulis kantor1 pkt x 350.000,00 = 350.000,00
PenggandaanPenggandaan / foto copy1 pkt x 739.200,00 = 739.200,00"
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,175000,
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,175000,"Dana Alokasi Khusus (D A K) 
Belanja makan minum rapat""Belanja makan minum rapat(15 or x 12 frek x Rp 17.500,-)""10 or x 17.500,00 = 175.000,00"
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3,Belanja Modal,306960000,
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 49,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Kerja,306960000,
1.12 . 1.12.01 . 02 . 03 . 5 . 2 . 3 . 49 . 27,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Kerja Lainnya,306960000,"Dana Alokasi Khusus (D A K)
 Pembangunan Gedung Kantor PLKBPembangunan gedung PLKB Kecamatan50 m2 x 4.250.000,00 = 212.500.000,00
Pengadaan Sarana dan Prasarana Kelengkapan Gedung Kantor PLKB KecamatanMeja meeting1 unit x 4.800.000,00 = 4.800.000,00
White board1 unit x 1.000.000,00 = 1.000.000,00
Perangkat komputer1 unit x 15.000.000,00 = 15.000.000,00
Printer1 unit x 4.250.000,00 = 4.250.000,00
Kipas angin3 unit x 650.000,00 = 1.950.000,00
Almari rak kayu1 unit x 4.500.000,00 = 4.500.000,00
Sitje (Meja Tamu)1 unit x 4.000.000,00 = 4.000.000,00
Almari kayu1 unit x 4.750.000,00 = 4.750.000,00
Kursi ketua (roda)1 unit x 2.500.000,00 = 2.500.000,00
Kursi10 unit x 525.000,00 = 5.250.000,00 
Meja kursi 1/2 biro3 unit x 2.500.000,00 = 7.500.000,00
Exousfan3 unit x 650.000,00 = 1.950.000,00
Papan data/Papan luncur1 unit x 3.750.000,00 = 3.750.000,00
LCD Proyektor dan layar1 unit x 9.000.000,00 = 9.000.000,00
Tempat sampah1 unit x 260.000,00 = 260.000,00
Laptop1 unit x 15.000.000,00 = 15.000.000,00
Belanja Jasa KonsultasiBelanja jasa konsultasi perencanaan teknis1 ls x 5.000.000,00 = 5.000.000,00
Belanja jasa konsultasi pengawasan teknis1 ls x 4.000.000,00 = 4.000.000,00"
1.12 . 1.12.01 . 02 . 09,Pengadaan peralatan gedung kantor,12500000,"Sumber Dana : APBD
Lokasi Kegiatan : Kab Bantul
Keluaran : Pengadaan Personal Komputer
Target : 1 unit"
1.12 . 1.12.01 . 02 . 09 . 5 . 2 . 3,Belanja Modal,12500000,
1.12 . 1.12.01 . 02 . 09 . 5 . 2 . 3 . 27,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor,12500000,
1.12 . 1.12.01 . 02 . 09 . 5 . 2 . 3 . 27 . 05,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor,12500000,"APBD
 Pengadaan Personal Komputer
Personal komputer1 unit x 12.500.000,00 = 12.500.000,00"
1.12 . 1.12.01 . 02 . 22,Pemeliharaan rutin/berkala gedung kantor,5700000,"Sumber Dana : APBD
Lokasi Kegiatan : Kab Bantul
Keluaran : Cat Tembok Kantor BKKPPKB
Target : 1 Paket"
1.12 . 1.12.01 . 02 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,5700000,
1.12 . 1.12.01 . 02 . 22 . 5 . 2 . 2 . 20,Belanja Pemeliharaan,5700000,
1.12 . 1.12.01 . 02 . 22 . 5 . 2 . 2 . 20 . 05,Belanja Pemeliharan Gedung dan Bangunan,5700000,"APBD
 Pengecatan gedung kantor1 pkt x 5.700.000,00 = 5.700.000,00"
1.12 . 1.12.01 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,237200000,"Sumber Dana : APBD
Lokasi Kegiatan : Kab Bantul
Keluaran : Pemeliharaan Kendaraan Dinas Operasional Kantor BKKPPKB
Target : 116 unit"
1.12 . 1.12.01 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,237200000,
1.12 . 1.12.01 . 02 . 24 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,237200000,
1.12 . 1.12.01 . 02 . 24 . 5 . 2 . 2 . 05 . 01,Belanja Jasa Service,20000000,"APBD 
Belanja jasa service roda 4Service kendaraan roda 4 (2 x 5 mobil)10 frek x 2.000.000,00 = 20.000.000,00"
1.12 . 1.12.01 . 02 . 24 . 5 . 2 . 2 . 05 . 02,Belanja Penggantian Suku Cadang,7500000,"APBD
 Pembelian suku cadang1 th x 7.500.000,00 = 7.500.000,00"
1.12 . 1.12.01 . 02 . 24 . 5 . 2 . 2 . 05 . 03,Belanja Bahan Bakar Minyak/Gas Dan Pelumas,209700000,"APBD 
Belanja Bahan Bakar Minyak/Gas dan pelumasKendaraan roda 41 ls x 70.000.000,00 = 70.000.000,00
Kendaraan Operasional roda 21 ls x 132.700.000,00 = 132.700.000,00
Pembelian/ganti oli mesin roda 420 frek x 175.000,00 = 3.500.000,00
Pembelian/ganti oli gardan roda 410 frek x 175.000,00 = 1.750.000,00
Pembelian/ganti oli persneleng roda 410 frek x 175.000,00 = 1.750.000,00"
1.12 . 1.12.01 . 02 . 29,Pemeliharaan rutin/berkala mebeleur,1500000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Pemeliharaan Peralatan Mebeler Kantor
Target : 12 bulan"
1.12 . 1.12.01 . 02 . 29 . 5 . 2 . 2,Belanja Barang dan Jasa,1500000,
1.12 . 1.12.01 . 02 . 29 . 5 . 2 . 2 . 20,Belanja Pemeliharaan,1500000,
1.12 . 1.12.01 . 02 . 29 . 5 . 2 . 2 . 20 . 06,Belanja Pemeliharan perlengkapan kantor,1500000,"APBD
 Belanja pemeliharaan perlengkapan kantorService mebeler (meja kursi)10 bh x 150.000,00 = 1.500.000,00"
1.12 . 1.12.01 . 02 . 30,Pemeliharaan rutin/berkala peralatan dan perlengkapan kantor,10000000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Pemeliharaan Peralatan kantor Komputer dan Laptop
Target : 20 unit"
1.12 . 1.12.01 . 02 . 30 . 5 . 2 . 2,Belanja Barang dan Jasa,10000000,
1.12 . 1.12.01 . 02 . 30 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,10000000,
1.12 . 1.12.01 . 02 . 30 . 5 . 2 . 2 . 05 . 01,Belanja Jasa Service,10000000,"APBD 
Belanja jasa service komputer20 buah x 500.000,00 = 10.000.000,00"
1.12 . 1.12.01 . 02 . 34,Pengadaan Peralatan dan Perlengkapan Kantor,15000000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Pengadaan kursi
Target : 1 unit"
1.12 . 1.12.01 . 02 . 34 . 5 . 2 . 3,Belanja Modal,15000000,
1.12 . 1.12.01 . 02 . 34 . 5 . 2 . 3 . 28,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga,15000000,
1.12 . 1.12.01 . 02 . 34 . 5 . 2 . 3 . 28 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair,15000000,"APBD 
Belanja Modal Pengadaan Peralatan dan Perlengkapan KantorKursi tunggu1 LS x 15.000.000,00 = 15.000.000,00"
1.12 . 1.12.01 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,1900000,
1.12 . 1.12.01 . 05 . 04,Penilaian angka kredit pejabat fungsional,1900000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Jamuan Tamu Rapat Pejabat Fungsional
Target : 110 orang"
1.12 . 1.12.01 . 05 . 04 . 5 . 2 . 1,Belanja Pegawai,0,
1.12 . 1.12.01 . 05 . 04 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.12 . 1.12.01 . 05 . 04 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD 
Honorarium Panitia Tim Penilai Akreditasi Pejabat Fungsional
Ketua (1 or x 4 frek x Rp 250.000,-)0 keg x 250.000,00 = 0,00
Sekretaris (1 or x 4 frek x Rp 225.000,-)0 keg x 225.000,00 = 0,00
Anggota ( 5 or x 4 keg x Rp 200.000,-)0 keg x 200.000,00 = 0,00"
1.12 . 1.12.01 . 05 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,1900000,
1.12 . 1.12.01 . 05 . 04 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,360000,
1.12 . 1.12.01 . 05 . 04 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,360000,"APBD
 Belanja PenggandaanFoto copy1 pkt x 360.000,00 = 360.000,00"
1.12 . 1.12.01 . 05 . 04 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,1540000,
1.12 . 1.12.01 . 05 . 04 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,1540000,"APBD 
Belanja makan dan minum
""Makan dan minum Pembinaan Teknis Akreditasi Pejabat Fungsional  55 or x 2 keg x Rp 7.000,-)""110 or x 14.000,00 = 1.540.000,00"
1.12 . 1.12.01 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,31950000,
1.12 . 1.12.01 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,31950000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Rapat Koordinasi dan Pelaporan Keuangan dan Barang
Target : 12 bulan"
1.12 . 1.12.01 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,1000000,
1.12 . 1.12.01 . 06 . 01 . 5 . 2 . 1 . 01,Honorarium PNS,1000000,
