Judul,Anggaran Pendapatan dan Belanja Daerah,,
2.01 . 2.01.01 . 13 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,1430000.00,
2.01 . 2.01.01 . 13 . 03,Pendidikan dan Pelatihan Non Formal,3300000.00,
2.01 . 2.01.01 . 13 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,3300000.00,
2.02 . 2.01.01 . 15,Program Pemanfaatan Potensi Sumber Daya Hutan,179449025.00,
2.02 . 2.01.01 . 15 . 06,Pengelolaan dan Pemanfaatan Hutan,115949025.00,
2.02 . 2.01.01 . 15 . 06 . 5 . 2 . 1,Belanja Pegawai,10200000.00,
2.02 . 2.01.01 . 15 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,105749025.00,
2.02 . 2.01.01 . 15 . 08,Pengembangan Pengujian dan Pengendalian Peredaran Hasil Hutan,63500000.00,
2.02 . 2.01.01 . 15 . 08 . 5 . 2 . 1,Belanja Pegawai,41000000.00,
2.02 . 2.01.01 . 15 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,22500000.00,
2.02 . 2.01.01 . 16,Program Rehabilitasi Hutan dan Lahan,741759300.00,
2.02 . 2.01.01 . 16 . 12,Konservasi dan Rehabilitasi Hutan dan Lahan,741759300.00,
2.02 . 2.01.01 . 16 . 12 . 5 . 2 . 1,Belanja Pegawai,18180000.00,
2.02 . 2.01.01 . 16 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,723579300.00,
2.01 . 2.01.01 . 19,Program Peningkatan Produksi Pertanian/Perkebunan,928600000.00,
2.01 . 2.01.01 . 19 . 10,Penyelenggaraan Pembibitan Tanaman Pangan dan Hortikultura,22000000.00,
2.01 . 2.01.01 . 19 . 10 . 5 . 2 . 1,Belanja Pegawai,2250000.00,
2.01 . 2.01.01 . 19 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,19750000.00,
2.01 . 2.01.01 . 19 . 11,Penyelenggaraan Pembibitan Tanaman Perkebunan dan Kehutanan,15000000.00,
2.01 . 2.01.01 . 19 . 11 . 5 . 2 . 1,Belanja Pegawai,3500000.00,
2.01 . 2.01.01 . 19 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,11500000.00,
2.01 . 2.01.01 . 19 . 19,Peningkatan Produksi Tanaman Perkebunan  (DANA PEMBERDAYAAN),131800000.00,
2.01 . 2.01.01 . 19 . 19 . 5 . 2 . 1,Belanja Pegawai,19950000.00,
2.01 . 2.01.01 . 19 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,111850000.00,
2.01 . 2.01.01 . 19 . 20,Peningkatan Produksi Buah-buahan dan Tanaman Hias,160000000.00,
2.01 . 2.01.01 . 19 . 20 . 5 . 2 . 1,Belanja Pegawai,9825000.00,
2.01 . 2.01.01 . 19 . 20 . 5 . 2 . 2,Belanja Barang dan Jasa,150175000.00,
2.01 . 2.01.01 . 19 . 21,Peningkatan Produksi Tanaman Serealia,450000000.00,
2.01 . 2.01.01 . 19 . 21 . 5 . 2 . 1,Belanja Pegawai,18965000.00,
2.01 . 2.01.01 . 19 . 21 . 5 . 2 . 2,Belanja Barang dan Jasa,414383000.00,
2.01 . 2.01.01 . 19 . 21 . 5 . 2 . 3,Belanja Modal,16652000.00,
2.01 . 2.01.01 . 19 . 22,Peningkatan Produksi Tanaman Kacang-kacangan dan Umbi-umbian,54800000.00,
2.01 . 2.01.01 . 19 . 22 . 5 . 2 . 1,Belanja Pegawai,16630000.00,
2.01 . 2.01.01 . 19 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,38170000.00,
2.01 . 2.01.01 . 19 . 23,Peningkatan Produksi Sayur-sayuran dan Tanaman Obat  (DANA PEMBERDAYAAN),95000000.00,
2.01 . 2.01.01 . 19 . 23 . 5 . 2 . 1,Belanja Pegawai,6275000.00,
2.01 . 2.01.01 . 19 . 23 . 5 . 2 . 2,Belanja Barang dan Jasa,88725000.00,
2.01 . 2.01.01 . 28,Program Peningkatan Mutu dan Pemasaran Hasil Produksi Pertanian/Perkebunan,425046250.00,
2.01 . 2.01.01 . 28 . 04,Penanganan Pasca Panen dan Pengolahan Hasil Tanaman Pangan (DANA PEMBERDAYAAN),330766250.00,
2.01 . 2.01.01 . 28 . 04 . 5 . 2 . 1,Belanja Pegawai,14345000.00,
2.01 . 2.01.01 . 28 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,316421250.00,
2.01 . 2.01.01 . 28 . 05,"Penanganan Pasca Panen, Pengolahan dan Pemasaran Hasil Perkebunan  (DANA PEMBERDAYAAN)",63600000.00,
2.01 . 2.01.01 . 28 . 05 . 5 . 2 . 1,Belanja Pegawai,6265000.00,
2.01 . 2.01.01 . 28 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,57335000.00,
2.01 . 2.01.01 . 28 . 06,Penanganan Pasca Panen Pengolahan dan Pemasaran Hasil Hortikultura,30680000.00,
2.01 . 2.01.01 . 28 . 06 . 5 . 2 . 1,Belanja Pegawai,13225000.00,
2.01 . 2.01.01 . 28 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,17455000.00,
2.01 . 2.01.01 . 29,Program Penyediaan Sarana/Prasarana Pertanian/Perkebunan,4043282650.00,
2.01 . 2.01.01 . 29 . 04,Pengembangan Sarana dan Prasarana Tanaman Pangan,2670890950.00,
2.01 . 2.01.01 . 29 . 04 . 5 . 2 . 1,Belanja Pegawai,30450000.00,
2.01 . 2.01.01 . 29 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,2619015950.00,
2.01 . 2.01.01 . 29 . 04 . 5 . 2 . 3,Belanja Modal,21425000.00,
2.01 . 2.01.01 . 29 . 05,Pengembangan Sarana dan Prasarana Hortikultura,649412500.00,
2.01 . 2.01.01 . 29 . 05 . 5 . 2 . 1,Belanja Pegawai,16120000.00,
2.01 . 2.01.01 . 29 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,633292500.00,
2.01 . 2.01.01 . 29 . 06,Pengembangan Sarana dan Prasarana Perkebunan,228842400.00,
2.01 . 2.01.01 . 29 . 06 . 5 . 2 . 1,Belanja Pegawai,16755000.00,
2.01 . 2.01.01 . 29 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,212087400.00,
2.01 . 2.01.01 . 29 . 07,Penetapan Lahan Pertanian Pangan Berkelanjutan,494136800.00,
2.01 . 2.01.01 . 29 . 07 . 5 . 2 . 1,Belanja Pegawai,192870000.00,
2.01 . 2.01.01 . 29 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,301266800.00,
,SURPLUS / (DEFISIT),-11689230754.00,
