Judul, Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,,,,,,
Daerah,Kota Yogyakarta,,,,,,,,,,
Tahun,2016,,,,,,,,,,
Kode Organisasi,1.01.01,,,,,,,,,,
Nama OrganisasiDinas Pendidikan,,,,,,,,,,,
Kolom,4,,,,,,,,,,
KODE REKENING ,URAIAN ,ANGGARAN ,PENJELASAN,,,,,,,,
1.01.1.01.01.000.000.5.1.1.01.07 ,Tunjangan  PPh/Tunjangan Khusus (DAU) ,6261233101, Tunjangan  PPh/Tunjangan Khusus (DAU) 6261233101,,,,,,,,
1.01.1.01.01.000.000.5.1.1.01.08 ,Pembulatan Gaji (DAU) ,2815104, Pembulatan Gaji (DAU) 2815104,,,,,,,,
1.01.1.01.01.000.000.5.1.1.01.09 ,Iuran Asuransi Kesehatan/BPJS Kesehatan (DAU) ,6096961539, Iuran Asuransi Kesehatan/BPJS Kesehatan (DAU) 6096961539,,,,,,,,
1.01.1.01.01.000.000.5.1.1.01.21 ,Tunjangan Profesi Guru PNSD (DAK) ,163000000000, Tunjangan Profesi Guru PNSD (DAK) 162993600000,,,,,,,,
1.01.1.01.01.000.000.5.1.1.02 ,Tambahan Penghasilan PNS ,29091120000,,,,,,,,,
1.01.1.01.01.000.000.5.1.1.02.01 ,Tambahan Penghasilan Berdasarkan Beban Kerja ,28059120000, Tambahan Penghasilan Berdasarkan Beban Kerja 28059120000,,,,,,,,
1.01.1.01.01.000.000.5.1.1.02.06 ,Tambahan Penghasilan Guru PNS (DAK) ,1032000000,Tambahan Penghasilan Guru PNS (DAK) 1032000000,,,,,,,,
1.01.1.01.01.000.000.5.2 ,BELANJA LANGSUNG ,153000000000,,,,,,,,,
1.01.1.01.01.001 ,Program Pelayanan Administrasi Perkantoran ,14481822800,,,,,,,,,
1.01.1.01.01.001.001 ,Penyediaan Jasa Surat Menyurat ,16475000,,,,,,,,,
1.01.1.01.01.001.001.5.2.2 ,BELANJA BARANG DAN JASA ,16475000,,,,,,,,,
1.01.1.01.01.001.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,15600000,,,,,,,,,
1.01.1.01.01.001.001.5.2.2.01.04 ,Belanja Perangko  Materai  dan Benda Pos ,15600000,Belanja Perangko  Materai  dan Benda Pos 15600000,,,,,,,,
1.01.1.01.01.001.001.5.2.2.03 ,Belanja Jasa Kantor ,875000,,,,,,,,,
1.01.1.01.01.001.001.5.2.2.03.07 ,Belanja Paket/Pengiriman ,875000,Belanja Paket/Pengiriman 875000,,,,,,,,
1.01.1.01.01.001.006 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasinoal ,17150000,,,,,,,,,
1.01.1.01.01.001.006.5.2.2 ,BELANJA BARANG DAN JASA ,17150000,,,,,,,,,
1.01.1.01.01.001.006.5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,17150000,,,,,,,,,
1.01.1.01.01.001.006.5.2.2.05.05 ,Belanja STNK ,17150000,Belanja STNK 17150000,,,,,,,,
1.01.1.01.01.001.007 ,Penyediaan Jasa Administrasi Keuangan ,679400000,,,,,,,,,
1.01.1.01.01.001.007.5.2.1 ,BELANJA PEGAWAI ,679400000,,,,,,,,,
1.01.1.01.01.001.007.5.2.1.01 ,Honorarium PNS ,567000000,,,,,,,,,
1.01.1.01.01.001.007.5.2.1.01.04 ,Honorarium Pengelola Keuangan/Barang ,567000000,Honorarium Pengelola Keuangan/Barang 567000000,,,,,,,,
1.01.1.01.01.001.007.5.2.1.04 ,Honorarium Pengelola Dana BOS ,112400000,,,,,,,,,
1.01.1.01.01.001.007.5.2.1.04.01 ,Honorarium Pengelolaan Dana BOS ,112400000,Honorarium Pengelolaan Dana BOS 112400000,,,,,,,,
1.01.1.01.01.001.008 ,Penyediaan Jasa Kebersihan Kantor ,342555000,,,,,,,,,
1.01.1.01.01.001.008.5.2.1 ,BELANJA PEGAWAI ,1275000,,,,,,,,,
1.01.1.01.01.001.008.5.2.1.01 ,Honorarium PNS ,1275000,,,,,,,,,
1.01.1.01.01.001.008.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,1275000,Honorarium Tim Pengadaan Barang dan Jasa 1275000,,,,,,,,
1.01.1.01.01.001.008.5.2.2 ,BELANJA BARANG DAN JASA ,341280000,,,,,,,,,
1.01.1.01.01.001.008.5.2.2.03 ,Belanja Jasa Kantor ,2580000,,,,,,,,,
1.01.1.01.01.001.008.5.2.2.03.14 ,Belanja Retribusi/Tiket ,2580000,Belanja Retribusi/Tiket 2580000,,,,,,,,
1.01.1.01.01.001.008.5.2.2.20 ,Belanja Pemeliharaan ,338700000,,,,,,,,,
1.01.1.01.01.001.008.5.2.2.20.09 ,Belanja Pemeliharaan Kebersihan ,338700000,Belanja Pemeliharaan Kebersihan 338700000,,,,,,,,
1.01.1.01.01.001.010 ,Penyediaan Alat Tulis Kantor ,162848750,,,,,,,,,
1.01.1.01.01.001.010.5.2.1 ,BELANJA PEGAWAI ,3425000,,,,,,,,,
1.01.1.01.01.001.010.5.2.1.01 ,Honorarium PNS ,3425000,,,,,,,,,
1.01.1.01.01.001.010.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,3025000,Honorarium Panitia Pelaksana Kegiatan 3025000,,,,,,,,
1.01.1.01.01.001.010.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,400000,Honorarium Tim Pengadaan Barang dan Jasa 400000,,,,,,,,
1.01.1.01.01.001.010.5.2.2 ,BELANJA BARANG DAN JASA ,159423750,,,,,,,,,
1.01.1.01.01.001.010.5.2.2.01 ,Belanja Bahan Pakai Habis ,159423750,,,,,,,,,
1.01.1.01.01.001.010.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,159423750,Belanja  Alat Tulis Kantor 159423750,,,,,,,,
1.01.1.01.01.001.011 ,Penyediaan Barang Cetakan dan Penggandaan ,178249900,,,,,,,,,
1.01.1.01.01.001.011.5.2.2 ,BELANJA BARANG DAN JASA ,178249900,,,,,,,,,
1.01.1.01.01.001.011.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,178249900,,,,,,,,,
1.01.1.01.01.001.011.5.2.2.06.02 ,Belanja Penggandaan ,142001400,Belanja Penggandaan 142001400,,,,,,,,
1.01.1.01.01.001.012 ,Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor ,36978250,,,,,,,,,
1.01.1.01.01.001.012.5.2.2 ,BELANJA BARANG DAN JASA ,36978250,,,,,,,,,
1.01.1.01.01.001.012.5.2.2.01 ,Belanja Bahan Pakai Habis ,36978250,,,,,,,,,
1.01.1.01.01.001.012.5.2.2.01.03 ,Belanja Alat Listrik Dan Elektronik ,36978250,Belanja Alat Listrik Dan Elektronik 36978250,,,,,,,,
1.01.1.01.01.001.013 ,Penyediaan Peralatan dan Perlengkapan Kantor ,84122500,,,,,,,,,
1.01.1.01.01.001.013.5.2.2 ,BELANJA BARANG DAN JASA ,84122500,,,,,,,,,
1.01.1.01.01.0 1.013.5.2.2.02 ,Belanja Bahan/Material ,84122500,,,,,,,,,
1.01.1.01.01.001.013.5.2.2.02.06 ,Belanja Bahan Komputer/Printer ,84122500,Belanja Bahan Komputer/Printer 84122500,,,,,,,,
1.01.1.01.01.001.014 ,Penyediaan Peralatan Rumah Tangga ,65000000,,,,,,,,,
1.01.1.01.01.001.014.5.2.2 ,BELANJA BARANG DAN JASA ,65000000,,,,,,,,,
1.01.1.01.01.001.014.5.2.2.02 ,Belanja Bahan/Material ,65000000,,,,,,,,,
1.01.1.01.01.001.014.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,65000000,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 65000000,,,,,,,,
1.01.1.01.01.001.015 ,Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan ,5400000,,,,,,,,,
1.01.1.01.01.001.015.5.2.2 ,BELANJA BARANG DAN JASA ,5400000,,,,,,,,,
1.01.1.01.01.001.015.5.2.2.03 ,Belanja Jasa Kantor ,5400000,,,,,,,,,
1.01.1.01.01.001.015.5.2.2.03.05 ,Belanja Surat Kabar/Majalah ,5400000,Belanja Surat Kabar/Majalah 5400000,,,,,,,,
1.01.1.01.01.001.017 ,Penyediaan Makanan dan Minuman ,298133000,,,,,,,,,
1.01.1.01.01.001.017.5.2.2 ,BELANJA BARANG DAN JASA ,298133000,,,,,,,,,
1.01.1.01.01.001.017.5.2.2.11 ,Belanja Makanan Dan Minuman ,298133000,,,,,,,,,
1.01.1.01.01.001.017.5.2.2.11.01 ,Belanja Makanan Dan Minuman Pegawai ,121968000,Belanja Makanan Dan Minuman Pegawai 121968000,,,,,,,,
1.01.1.01.01.001.017.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,148885000,Belanja Makanan Dan Minuman Rapat 148885000,,,,,,,,
1.01.1.01.01.001.017.5.2.2.11.03 ,Belanja Makanan Dan Minuman Tamu ,27280000,Belanja Makanan Dan Minuman Tamu 27280000,,,,,,,,
1.01.1.01.01.001.018 ,Rapat-rapat Koordinasi dan Konsultasi Keluar Daerah ,81600000,,,,,,,,,
1.01.1.01.01.001.018.5.2.2 ,BELANJA BARANG DAN JASA ,81600000,,,,,,,,,
1.01.1.01.01.001.018.5.2.2.15 ,Belanja Perjalanan Dinas ,81600000,,,,,,,,,
1.01.1.01.01.001.018.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,81600000,Belanja Perjalanan Dinas Luar Daerah 81600000,,,,,,,,
1.01.1.01.01.001.019 ,Penyediaan Jasa Tenaga Bantuan ,12113685400,,,,,,,,,
1.01.1.01.01.001.019.5.2.1 ,BELANJA PEGAWAI ,12113685400,,,,,,,,,
1.01.1.01.01.001.019.5.2.1.02 ,Honorarium Non PNS ,12113685400,,,,,,,,,
1.01.1.01.01.001.019.5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,12113685400,Honorarium Pegawai Honorer/Tidak Tetap 12113685400,,,,,,,,
1.01.1.01.01.001.020 ,Penyediaan Jasa Keamanan ,400225000,,,,,,,,,
1.01.1.01.01.001.020.5.2.1 ,BELANJA PEGAWAI ,800000,,,,,,,,,
1.01.1.01.01.001.020.5.2.1.01 ,Honorarium PNS ,800000,,,,,,,,,
1.01.1.01.01.001.020.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,800000,Honorarium Tim Pengadaan Barang dan Jasa 800000,,,,,,,,
1.01.1.01.01.001.020.5.2.2 ,BELANJA BARANG DAN JASA ,399425000,,,,,,,,,
1.01.1.01.01.001.020.5.2.2.03 ,Belanja Jasa Kantor ,399425000,,,,,,,,,
1.01.1.01.01.001.020.5.2.2.03.20 ,Belanja Jasa Keamanan ,399425000,Belanja Jasa Keamanan 39  425 0,,,,,,,,
1.01.1.01.01.002 ,Program Peningkatan Sarana dan Prasarana Aparatur ,1199294500,,,,,,,,,
1.01.1.01.01.002.022 ,Pemeliharaan Rutin/Berkala Gedung Kantor ,635068500,,,,,,,,,
1.01.1.01.01.002.022.5.2.2 ,BELANJA BARANG DAN JASA ,635068500,,,,,,,,,
1.01.1.01.01.002.022.5.2.2.20 ,Belanja Pemeliharaan ,635068500,,,,,,,,,
1.01.1.01.01.002.022.5.2.2.20.03 ,Belanja Pemeliharaan Bangunan Pemerintah ,613596000,Belanja Pemeliharaan Bangunan Pemerintah 613596000,,,,,,,,
1.01.1.01.01.002.022.5.2.2.20.05 ,Belanja Pemeliharaan Taman ,21472500,Belanja Pemeliharaan Taman 21472500,,,,,,,,
1.01.1.01.01.002.024 ,Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional ,314226000,,,,,,,,,
1.01.1.01.01.002.024.5.2.2 ,BELANJA BARANG DAN JASA ,314226000,,,,,,,,,
1.01.1.01.01.002.024.5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,314226000,,,,,,,,,
1.01.1.01.01.002.024.5.2.2.05.01 ,Belanja Jasa Service ,18120000,Belanja Jasa Service 18120000,,,,,,,,
1.01.1.01.01.002.024.5.2.2.05.02 ,Belanja  Penggantian Suku Cadang ,37330000,Belanja  Penggantian Suku Cadang 37330000,,,,,,,,
1.01.1.01.01.002.026 ,Pemeliharaan Rutin/Berkala Perlengkapan Gedung Kantor ,250000000,,,,,,,,,
1.01.1.01.01.002.026.5.2.2 ,BELANJA BARANG DAN JASA ,250000000,,,,,,,,,
1.01.1.01.01.002.026.5.2.2.01 ,Belanja Bahan Pakai Habis ,11250000,,,,,,,,,
1.01.1.01.01.002.026.5.2.2.01.06 ,Belanja Bahan Bakar Minyak/Gas ,11250000,Belanja Bahan Bakar Minyak/Gas 11250000,,,,,,,,
1.01.1.01.01.002.026.5.2.2.20 ,Belanja Pemeliharaan ,238750000,,,,,,,,,
1.01.1.01.01.002.026.5.2.2.20.04 ,Belanja Pemeliharaan Peralatan Dan Perlengkapan Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio,223000000,Belanja Pemeliharaan Peralatan Dan Perlengkapan 223000000 Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio,,,,,,,,
1.01.1.01.01.002.026.5.2.2.20.11 ,Belanja Pemeliharaan Komputer ,15750000,Belanja Pemeliharaan Komputer 15750000,,,,,,,,
1.01.1.01.01.006 ,Program Peningkatan Pengembangan Sistem Pelaporan Capaian Kinerja dan Keuangan,72218000,,,,,,,,,
1.01.1.01.01.006.001 ,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD ,72218000,,,,,,,,,
1.01.1.01.01.006.001.5.2.1 ,BELANJA PEGAWAI ,30600000,,,,,,,,,
1.01.1.01.01.006.001.5.2.1.01 ,Honorarium PNS ,30600000,,,,,,,,,
1.01.1.01.01.006.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,30600000,Honorarium Panitia Pelaksana Kegiatan 30600000,,,,,,,,
1.01.1.01.01.006.001.5.2.2 ,BELANJA BARANG DAN JASA ,41618000,,,,,,,,,
1.01.1.01.01.006.001.5.2.2.03 ,Belanja Jasa Kantor ,22944000,,,,,,,,,
1.01.1.01.01.006.001.5.2.2.03.13 ,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film ,22944000,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film 22944000,,,,,,,,
1.01.1.01.01.006.001.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,5880000,,,,,,,,,
1.01.1.01.01.006.001.5.2.2.06.02 ,Belanja Penggandaan ,5880000,Belanja Penggandaan 5880000,,,,,,,,
1.01.1.01.01.006.001.5.2.2.11 ,Belanja Makanan Dan Minuman ,10244000,,,,,,,,,
1.01.1.01.01.006.001.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,10244000,Belanja Makanan Dan Minuman Rapat 10244000,,,,,,,,
1.01.1.01.01.006.001.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,2550000,,,,,,,,,
1.01.1.01.01.006.001.5.2.2.31.03 ,Belanja Jasa Narasumber ,2400000,Belanja Jasa Narasumber 2400000,,,,,,,,
1.01.1.01.01.006.001.5.2.2.31.04 ,Belanja Jasa Moderator ,150000,Belanja Jasa Moderator 150000,,,,,,,,
1.01.1.01.01.010 ,Program Peningkatan dan Pemerataan Kualitas Pendidikan Dasar ,4829557000,,,,,,,,,
1.01.1.01.01.010.001 ,Pengembangan Pengelolaan Pembelajaran Pendidikan Dasar ,2750540000,,,,,,,,,
1.01.1.01.01.010.001.5.2.1 ,BELANJA PEGAWAI ,278765000,,,,,,,,,
1.01.1.01.01.010.001.5.2.1.01 ,Honorarium PNS ,187065000,,,,,,,,,
1.01.1.01.01.010.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,186405000,Honorarium Panitia Pelaksana Kegiatan 186405000,,,,,,,,
1.01.1.01.01.010.001.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,660000,Honorarium Tim Pengadaan Barang dan Jasa 660000,,,,,,,,
1.01.1.01.01.010.001.5.2.1.02 ,Honorarium Non PNS ,91700000,,,,,,,,,
1.01.1.01.01.010.001.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,91700000,Honorarium Panitia Pelaksana Kegiatan 91700000,,,,,,,,
1.01.1.01.01.010.001.5.2.2 ,BELANJA BARANG DAN JASA ,2471775000,,,,,,,,,
1.01.1.01.01.010.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,2590000,,,,,,,,,
1.01.1.01.01.010.001.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,2590000,Belanja  Alat Tulis Kantor 2590000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.02 ,Belanja Bahan/Material ,44675000,,,,,,,,,
1.01.1.01.01.010.001.5.2.2.02.04 ,Belanja Bahan Obat-Obatan ,1800000,Belanja Bahan Obat-Obatan 1800000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,10950000,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 10950000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.02.08 ,Belanja Hadiah/Trophy ,31925000,Belanja Hadiah/Trophy 31925000Lokasi Kegiatan Kecamatan DanurejanFLSN Tingkat UPT 3000000FLNS Tingkat Kota 5750000OOSN SD 13275000OOSN SMP 9450000Juara Umum 450000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.03 ,Belanja Jasa Kantor ,7050000,,,,,,,,,
1.01.1.01.01.010.001.5.2.2.03.13 ,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film ,7050000,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film 7050000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,529145000,,,,,,,,,
1.01.1.01.01.010.001.5.2.2.06.01 ,Belanja Cetak ,506960000,Belanja Cetak 506960000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.06.02 ,Belanja Penggandaan ,22185000,Belanja Penggandaan 22185000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,56250000,,,,,,,,,
1.01.1.01.01.010.001.5.2.2.07.03 ,Belanja Sewa Ruang Rapat/Pertemuan ,56250000,Belanja Sewa Ruang Rapat/Pertemuan 56250000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,20850000,,,,,,,,,
1.01.1.01.01.010.001.5.2.2.10.01 ,Belanja Sewa Meja Kursi ,7800000,Belanja Sewa Meja Kursi 7800000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.10.05 ,Belanja Sewa Tenda ,800000,Belanja Sewa Tenda 800000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.10.08 ,Belanja Sewa Peralatan Olahraga ,5600000,Belanja Sewa Peralatan Olahraga 5600000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.10.09 ,Belanja Sewa Perlengkapan/Peralatan ,6650000,Belanja Sewa Perlengkapan/Peralatan 6650000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.11 ,Belanja Makanan Dan Minuman ,184790000,,,,,,,,,
1.01.1.01.01.010.001.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,184790000,Belanja Makanan Dan Minuman Rapat 184790000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.14 ,Belanja Pakaian Khusus Dan Hari-hari Tertentu ,13750000,,,,,,,,,
1.01.1.01.01.010.001.5.2.2.14.04 ,Belanja Pakaian Olahraga ,13750000,Belanja Pakaian Olahraga 13750000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.15 ,Belanja Perjalanan Dinas ,47400000,,,,,,,,,
1.01.1.01.01.010.001.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,47400000,Belanja Perjalanan Dinas Luar Daerah 47400000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,1327325000,,,,,,,,,
1.01.1.01.01.010.001.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,248475000,Belanja Jasa Tenaga Ahli 248475000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.31.02 ,Belanja Jasa Instruktur ,1067500000,Belanja Jasa Instruktur 1067500000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.31.03 ,Belanja Jasa Narasumber ,11350000,Belanja Jasa Narasumber 11350000,,,,,,,,
1.01.1.01.01.010.001.5.2.2.32 ,Belanja Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,237950000,,,,,,,,,
1.01.1.01.01.010.001.5.2.2.32.02 ,Belanja Uang Untuk Diberikan Kepada Masyarakat ,237950000,Belanja Uang Untuk Diberikan Kepada Masyarakat 237950000 Lokasi Kegiatan Kecamatan Danurejan Lomba KIR MIPA juara 1-3 2250000 Lomba KIR IPS juara 1-3 2250000 Lomba KIR Teknik juara 1-3 2250000 FLSSN SD SMP juara 1-3 31050000 OOSN SD juara 1-3 70200000 OOSN SD beregu juara 1-3 24000000 OOSN SD antar UPT juara 1-3 9000000OOSN SMP juara 1-3 56700000OOSN SMP tim juara 1-3 35000000LPI juara 1-3 5250000,,,,,,,,
1.01.1.01.01.010.002 ,Peningkatan Kompetensi Guru Pendidikan Dasar ,1458695000,,,,,,,,,
1.01.1.01.01.010.002.5.2.1 ,BELANJA PEGAWAI ,94395000,,,,,,,,,
1.01.1.01.01.010.002.5.2.1.01 ,Honorarium PNS ,40275000,,,,,,,,,
1.01.1.01.01.010.002.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,40275000,Honorarium Panitia P laksana Kegiatan 40275000,,,,,,,,
1.01.1.01.01.010.002.5.2.1.02 ,Honorarium Non PNS ,54120000,,,,,,,,,
1.01.1.01.01.010.002.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,54120000,Honorarium Panitia Pelaksana Kegiatan 54120000,,,,,,,,
1.01.1.01.01.010.002.5.2.2 ,BELANJA BARANG DAN JASA ,1364300000,,,,,,,,,
1.01.1.01.01.010.002.5.2.2.01 ,Belanja Bahan Pakai Habis ,10955000,,,,,,,,,
1.01.1.01.01.010.002.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,10955000,Belanja  Alat Tulis Kantor 10955000,,,,,,,,
1.01.1.01.01.010.002.5.2.2.02 ,Belanja Bahan/Material ,13800000,,,,,,,,,
1.01.1.01.01.010.002.5.2.2.02.08 ,Belanja Hadiah/Trophy ,13800000,Belanja Hadiah/Trophy 13800000 Lokasi Kegiatan Kecamatan Danurejan Hadiah OOSN Guru SD SMP 13500000 Lomba Gugus SD 300000,,,,,,,,
1.01.1.01.01.010.002.5.2.2.03 ,Belanja Jasa Kantor ,3625000,,,,,,,,,
1.01.1.01.01.010.002.5.2.2.03.11 ,Belanja Jasa Media Massa ,3000000,Belanja Jasa Media Massa 3000000,,,,,,,,
1.01.1.01.01.010.002.5.2.2.03.13 ,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film ,625000,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film 625000,,,,,,,,
1.01.1.01.01.010.002.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,56126500,,,,,,,,,
1.01.1.01.01.010.002.5.2.2.06.02 ,Belanja Penggandaan ,56126500,Belanja Penggandaan 56126500,,,,,,,,
1.01.1.01.01.010.002.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,39450000,,,,,,,,,
1.01.1.01.01.010.002.5.2.2.07.03 ,Belanja Sewa Ruang Rapat/Pertemuan ,39450000,Belanja Sewa Ruang Rapat/Pertemuan 39450000,,,,,,,,
1.01.1.01.01.010.002.5.2.2.11 ,Belanja Makanan Dan Minuman ,552792000,,,,,,,,,
1.01.1.01.01.010.002.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,552792000,Belanja Makanan Dan Minuman Rapat 552792000,,,,,,,,
1.01.1.01.01.010.002.5.2.2.15 ,Belanja Perjalanan Dinas ,67451500,,,,,,,,,
1.01.1.01.01.010.002.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,28825000,Belanja Perjalanan Dinas Dalam Daerah 28825000,,,,,,,,
1.01.1.01.01.010.002.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,38626500,Belanja Perjalanan Dinas Luar Daerah 38626500,,,,,,,,
1.01.1.01.01.010.002.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,609100000,,,,,,,,,
1.01.1.01.01.010.002.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,26000000,Belanja Jasa Tenaga Ahli 26000000,,,,,,,,
1.01.1.01.01.010.002.5.2.2.31.02 ,Belanja Jasa Instruktur ,10000000,Belanja Jasa Instruktur 10000000,,,,,,,,
1.01.1.01.01.010.002.5.2.2.31.03 ,Belanja Jasa Narasumber ,572800000,Belanja Jasa Narasumber 572800000,,,,,,,,
1.01.1.01.01.010.002.5.2.2.31.04 ,Belanja Jasa Moderator ,300000,Belanja Jasa Moderator 300000,,,,,,,,
