Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
1.17 . 1.17.01 . 01.02 ,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",24450900,20400000,-4050900,-16.57,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.02 . 5.2.2 ,Belanja Barang dan Jasa ,24450900,20400000,-4050900,-16.57,
1.17 . 1.17.01 . 01.02 . 5.2.2.03 ,Belanja Jasa Kantor ,24450900,20400000,-4050900,-16.57,
1.17 . 1.17.01 . 01.02 . 5.2.2.03.01 ,Belanja Telepon ,11400000,7949100,-3450900,-30.27,"Belanja telepon
Telepon Kantor dan Joglo Parangtrittis12 bulan x 662.425,00 = 7.949.100,00"
1.17 . 1.17.01 . 01.02 . 5.2.2.03.03 ,Belanja Listrik ,3450900,3450900,0,0,"Belanja listrik
Listrik kantor, J.Pandansimo, PS Karahayon dan TPR depok12 bulan x 287.575,00 = 3.450.900,00"
1.17 . 1.17.01 . 01.02 . 5.2.2.03.06 ,Belanja Kawat/Faksimili/Internet ,9600000,9000000,-600,-6.25,"Belanja Kawat/faksimili/Internet12 bulan x 750.000,00 = 9.000.000,00"
1.17 . 1.17.01 . 01.06 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional,8000000,8000000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.06 . 5.2.2 ,Belanja Barang dan Jasa ,8000000,8000000,0,0,
1.17 . 1.17.01 . 01.06 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,8000000,8000000,0,0,
1.17 . 1.17.01 . 01.06 . 5.2.2.05.05 ,Belanja Surat Tanda Nomor Kendaraan ,8000000,8000000,0,0,"Belanja Surat Tanda Nomor Kendaraan
STNK Kendaraan Bermotor Kantor1 LS x 8.000.000,00 = 8.000.000,00"
1.17 . 1.17.01 . 01.07 ,Penyediaan Jasa Administrasi Keuangan ,34612000,37312000,2700000,7.8,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.07 . 5.2.1 ,Belanja Pegawai ,34362000,37062000,2700000,7.86,
1.17 . 1.17.01 . 01.07 . 5.2.1.01 ,Honorarium PNS ,34362000,37062000,2700000,7.86,
1.17 . 1.17.01 . 01.07 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,9000000,9000000,0,0,"Honor Panitia Pelaksana Kegiatan
Koordinator UPK60 Orang/bulan x 150.000,00 = 9.000.000,00"
1.17 . 1.17.01 . 01.07 . 5.2.1.01.03 ,Honor Pengelola Keuangan dan Barang ,25362000,28062000,2700000,10.65,"Honor pengelola keuangan dan barangPPK12 OB x 304.750,00 = 3.657.000,00
Bendahara Pengeluaran12 OB x 252.000,00 = 3.024.000,00
Bendahara Penerimaan12 OB x 288.750,00 = 3.465.000,00
Pembantu PPK24 O/B x 157.500,00 = 3.780.000,00
Pembantu bendahara penerimaan12 OB x 157.500,00 = 1.890.000,00
Pembantu bendahara pengeluaran24 O/B x 157.500,00 = 3.780.000,00
Pengurusan gaji12 OB x 80.500,00 = 966.000,00
Pengurus barang12 OB x 300.000,00 = 3.600.000,00
Pembantu pengurus barang12 OB x 300.000,00 = 3.600.000,00
Pengurus kepegawaian3 OB x 100.000,00 = 300.000,00"
1.17 . 1.17.01 . 01.07 . 5.2.2 ,Belanja Barang dan Jasa ,250,250000,0,0,
1.17 . 1.17.01 . 01.07 . 5.2.2.03 ,Belanja Jasa Kantor ,250,250000,0,0,
1.17 . 1.17.01 . 01.07 . 5.2.2.03.09 ,Belanja Jasa Transaksi Keuangan ,250,250000,0,0,"Belanja Transaksi KeuanganPBB P. Sumber Karahayon1 tahun x 250.000,00 = 250.000,00"
1.17 . 1.17.01 . 01.08 ,Penyediaan Jasa Kebersihan Kantor ,426693400,453049600,26356200,6.18,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.08 . 5.2.1 ,Belanja Pegawai ,121733400,122889600,1156200,0.95,
1.17 . 1.17.01 . 01.08 . 5.2.1.02 ,Honorarium Non PNS ,121733400,122889600,1156200,0.95,
1.17 . 1.17.01 . 01.08 . 5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,121733400,122889600,1156200,0.95,"Honorarium Pegawai Honorer / Tidak Tetap OW ParangtritisPemeliharaan Joglo12 OB x 1.126.400,00 = 13.516.800,00
Petugas Kebersihan Pantai Parangtritis dan Parangkusumo72 Orang/bulan x 1.126.400,00 = 81.100.800,00
Honorarium Pegawai Honorer / Tidak Tetap OW PandansimoPetugas Kebersihan12 OB x 828.000,00 = 9.936.000,00
Honorarium Pegawai Honorer / Tidak Tetap OW SamasPetugas Kebersihan12 Orang/bulan x 828.000,00 = 9.936.000,00
Honorarium Pegawai Honorer / Tidak Tetap OW Goa CermePetugas kebersihan12 OB x 700.000,00 = 8.400.000,00"
1.17 . 1.17.01 . 01.08 . 5.2.2 ,Belanja Barang dan Jasa ,304960000,330160000,25200000,8.26,
1.17 . 1.17.01 . 01.08 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,7000000,7000000,0,0,
1.17 . 1.17.01 . 01.08 . 5.2.2.01.05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih,7000000,7000000,0,0,"Belanja Peralatan Kebersihan dan Bahan Pembersih
Alat dan bahan pembersih kantor4 TW x 1.750.000,00 = 7.000.000,00"
1.17 . 1.17.01 . 01.08 . 5.2.2.03 ,Belanja Jasa Kantor ,3960000,3960000,0,0,
1.17 . 1.17.01 . 01.08 . 5.2.2.03.25 ,Belanja Jasa Pengelolaan Sampah ,3960000,3960000,0,0,"Belanja Jasa Pengelolaan Sampah12 bulan x 330.000,00 = 3.960.000,00"
1.17 . 1.17.01 . 01.08 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,294000000,319200000,25200000,8.57,
1.17 . 1.17.01 . 01.08 . 5.2.2.34.09 ,Honor Petugas Lapangan ,294000000,319200000,25200000,8.57,"Honorarium Petugas Kebersihan dan Keamanan
Honorarium Petugas Kebersihan dan Keamanan Obyek Wisata456 Orang/bulan x 700.000,00 = 319.200.000,00"
1.17 . 1.17.01 . 01.09 ,Penyediaan Jasa Perbaikan Peralatan Kerja ,24500000,24500000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.09 . 5.2.2 ,Belanja Barang dan Jasa ,24500000,24500000,0,0,
1.17 . 1.17.01 . 01.09 . 5.2.2.20 ,Belanja Pemeliharaan ,24500000,24500000,0,0,
1.17 . 1.17.01 . 01.09 . 5.2.2.20.18 ,Belanja pemeliharaan alat kantor ,10000000,10000000,0,0,"Belanja Pemeliharaan Alat-alat KantorKomputer, Notebook, Printer, Mesin Tik, Kamera, LCD, dll1 LS x 10.000.000,00 = 10.000.000,00"
1.17 . 1.17.01 . 01.09 . 5.2.2.20.19 ,Belanja pemeliharaan alat rumah tangga ,14500000,14500000,0,0,"Belanja Pemeliharaan Alat-alat Rumah TanggaAC, Wireless, TV, Kipas Angin, dsb1 LS x 14.500.000,00 = 14.500.000,00"
1.17 . 1.17.01 . 01.10 ,Penyediaan Alat Tulis Kantor ,12145000,12145000,0,0,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.10 . 5.2.2 ,Belanja Barang dan Jasa ,12145000,12145000,0,0,
1.17 . 1.17.01 . 01.10 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,12145000,12145000,0,0,
1.17 . 1.17.01 . 01.10 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,12145000,12145000,0,0,"Belanja Alat Tulis KantorATK Kantor4 TW x 3.036.250,00 = 12.145.000,00"
1.17 . 1.17.01 . 01.11 ,Penyediaan Barang Cetakan dan Penggandaan ,144100000,144100000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.11 . 5.2.1 ,Belanja Pegawai ,2250000,2250000,0,0,
1.17 . 1.17.01 . 01.11 . 5.2.1.01 ,Honorarium PNS ,2250000,2250000,0,0,
1.17 . 1.17.01 . 01.11 . 5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,2250000,2250000,0,0,"Honorarium Tim Pengadaan Barang dan Jasa
Pejabat Pengadaan Barang dan Jasa2 O/P x 250.000,00 = 500.000,00
Pejabat Penerima / Pemeriksa2 Tim/P x 525.000,00 = 1.050.000,00
Pejabat Pembuat Komitmen2 op x 350.000,00 = 700.000,00"
1.17 . 1.17.01 . 01.11 . 5.2.2 ,Belanja Barang dan Jasa ,141850000,141850000,0,0,
1.17 . 1.17.01 . 01.11 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,141850000,141850000,0,0,
1.17 . 1.17.01 . 01.11 . 5.2.2.06.01 ,Belanja Cetak ,129100000,129100000,0,0,"Belanja cetak
Cetak Blangko Kantor154 Bk x 25.000,00 = 3.850.000,00
Cetak Karcis Obyek Wisata41,750 Bk x 3.000,00 = 125.250.000,00"
1.17 . 1.17.01 . 01.11 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,12750000,12750000,0,0,"Belanja PenggandaanFoto copy85,000 Lbr x 150,00 = 12.750.000,00"
1.17 . 1.17.01 . 01.12 ,Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor,4000000,4000000,0,0,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.12 . 5.2.2 ,Belanja Barang dan Jasa ,4000000,4000000,0,0,
1.17 . 1.17.01 . 01.12 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,4000000,4000000,0,0,
1.17 . 1.17.01 . 01.12 . 5.2.2.01.03 ,"Belanja Alat Listrik dan Elektronik(lampu pijar,battery kering)",4000000,4000000,0,0,"Belanja Alat Listrik dan ElektronikLampu pijar, baterai, dsb4 TW x 1.000.000,00 = 4.000.000,00"
1.17 . 1.17.01 . 01.15 ,Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan,3960000,4800000,840,21.21,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.15 . 5.2.2 ,Belanja Barang dan Jasa ,3960000,4800000,840,21.21,
1.17 . 1.17.01 . 01.15 . 5.2.2.03 ,Belanja Jasa Kantor ,3960000,4800000,840,21.21,
1.17 . 1.17.01 . 01.15 . 5.2.2.03.05 ,Belanja Surat Kabar/Majalah ,3960000,4800000,840,21.21,"Belanja Surat Kabar / Majalah
Surat Kabar / Majalah12 bulan x 400.000,00 = 4.800.000,00"
1.17 . 1.17.01 . 01.17 ,Penyediaan Makanan dan Minuman ,112500000,112500000,0,0,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.17 . 5.2.2 ,Belanja Barang dan Jasa ,112500000,112500000,0,0,
1.17 . 1.17.01 . 01.17 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,112500000,112500000,0,0,
1.17 . 1.17.01 . 01.17 . 5.2.2.11.01 ,Belanja Makanan dan Minuman harian pegawai ,79000000,79000000,0,0,"Belanja Makan dan Minuman Harian Pegawai
Makan Minum Pemungut Retribusi TPR Parangtritis228 O/B x 300.000,00 = 68.400.000,00
Makan Minum Operasional UPK OW Pandansimo4 TW x 650.000,00 = 2.600.000,00M
akan Minum Operasional UPK OW Samas4 TW x 600.000,00 = 2.400.000,00
Makan Minum Operasional UPK OW Goa Selarong4 TW x 300.000,00 = 1.200.000,00
Makan Minum Operasional UPK OW Goa Cerme4 TW x 300.000,00 = 1.200.000,00
Makan Minum Operasional UPK OW Joglo Parangtritis4 TW x 800.000,00 = 3.200.000,00"
1.17 . 1.17.01 . 01.17 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,22500000,22500000,0,0,"Belanja Makanan dan Minuman Rapat
Makanan, Minuman, Snack900 OH x 25.000,00 = 22.500.000,00"
1.17 . 1.17.01 . 01.17 . 5.2.2.11.03 ,Belanja Makanan Dan Minuman Tamu ,11000000,11000000,0,0,"Belanja Makanan dan Minuman Tamu
Makan, Minum, Snack400 OH x 27.500,00 = 11.000.000,00"
1.17 . 1.17.01 . 01.18 ,Rapat-Rapat Koordinasi dan Konsultasi Ke Luar Daerah,174392000,174392000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.18 . 5.2.2 ,Belanja Barang dan Jasa ,174392000,174392000,0,0,
1.17 . 1.17.01 . 01.18 . 5.2.2.15 ,Belanja Perjalanan Dinas ,174392000,174392000,0,0,
1.17 . 1.17.01 . 01.18 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,174392000,174392000,0,0,"Belanja Perjalanan Dinas Luar Daerah
Akomodasi, Uang Saku, dan Transportasi Lokal Gol. III0 OH x 3.100.000,00 = 0,00
Akomodasi, Uang Saku dan Transportasi Lokal Gol. IV0 OH x 3.400.000,00 = 0,00
Tiket Golongan III0 Kali x 875.000,00 = 0,00Tiket Golongan IV0 kali x 2.900.000,00 = 0,00
Lumpsum Gol.III kunjungan ke Suriname dan Belanda0 orang/hari x 2.277.000,00 = 0,00
Lumpsum Golongan IV kunjungan ke Suriname dan Belanda0 orang/hari x 2.772.000,00 = 0,00
Tiket PP Golongan IV ke Suriname dan Belanda0 orang x 37.000.000,00 = 0,00
Tiket PP Golongan III ke Suriname dan Belanda0 orang x 37.000.000,00 = 0,001 ls x 174.392.000,00 = 174.392.000,00"
1.17 . 1.17.01 . 01.19 ,Rapat Koordinasi dan Konsultasi ke dalam Daerah,15000000,15000000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.19 . 5.2.2 ,Belanja Barang dan Jasa ,15000000,15000000,0,0,
1.17 . 1.17.01 . 01.19 . 5.2.2.15 ,Belanja Perjalanan Dinas ,15000000,15000000,0,0,
1.17 . 1.17.01 . 01.19 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,15000000,15000000,0,0,"Belanja Perjalanan Dinas Dalam Daerah
Gol. II0 OH x 40.000,00 = 0,00
Gol. III0 OH x 50.000,00 = 0,00Gol IV0 oh x 60.000,00 = 0,00
Belanja Perjalanan Dinas DAlam DAerah untuk gol II, III, IV1 ls x 15.000.000,00 = 15.000.000,00"
1.17 . 1.17.01 . 01.20 ,Penyediaan Jasa Keamanan ,47882400,27033600,-20848800,-43.54,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.20 . 5.2.1 ,Belanja Pegawai ,47882400,27033600,-20848800,-43.54,
1.17 . 1.17.01 . 01.20 . 5.2.1.02 ,Honorarium Non PNS ,47882400,27033600,-20848800,-43.54,
1.17 . 1.17.01 . 01.20 . 5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,47882400,27033600,-20848800,-43.54,"Honorarium Pegawai Honorer / Tidak Tetap
Pembantu Penjaga TPR OW Parangtritis12 OB x 1.126.400,00 = 13.516.800,00
Keamanan dan Ketertiban OW Parangtritis12 OB x 0,00 = 0,00
Penjaga TPR OW Samas12 OB x 0,00 = 0,00
Penjaga Sumber Karahayon12 OB x 1.126.400,00 = 13.516.800,00"
1.17 . 1.17.01 . 02 ,Program Peningkatan Sarana dan Prasarana Aparatur,304950000,409708000,104758000,34.35,
1.17 . 1.17.01 . 02.05 ,Pengadaan Kendaraan Dinas/Operasional ,0,50000000,50000000,0,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata Bantul"
1.17 . 1.17.01 . 02.05 . 5.2.3 ,Belanja Modal ,0,50000000,50000000,0,
1.17 . 1.17.01 . 02.05 . 5.2.3.02 ,Belanja Modal Pengadaan Alat-Alat Berat ,0,50000000,50000000,0,
1.17 . 1.17.01 . 02.05 . 5.2.3.02.01 ,Belanja Modal Pengadaan Traktor ,0,50000000,50000000,0,"belanja modal pengadaan traktor dan bak traktor
pembelian traktor1 bh x 43.925.000,00 = 43.925.000,00
pembelian bak traktor1 bh x 5.000.000,00 = 5.000.000,00
honorarium Pejabat Pembuat Komitmen1 ok x 300.000,00 = 300.000,00
Honorarium Pejabat pengadaan1 ok x 250.000,00 = 250.000,00
Honorarium Panitia Penerima1 tim x 525.000,00 = 525.000,00"
1.17 . 1.17.01 . 02.22 ,Pemeliharaan Rutin/Berkala Gedung Kantor ,0,23008000,23008000,0,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 02.22 . 5.2.2 ,Belanja Barang dan Jasa ,0,23008000,23008000,0,
1.17 . 1.17.01 . 02.22 . 5.2.2.02 ,Belanja Bahan/Material ,0,20008000,20008000,0,
1.17 . 1.17.01 . 02.22 . 5.2.2.02.01 ,Belanja Bahan Baku untuk Bangunan / Kegiatan Pelayanan / Kegiatan Operasi,0,20008000,20008000,0,"Pembelian Material Pemel. Gedung Kantor1 ls x 20.008.000,00 = 20.008.000,00"
1.17 . 1.17.01 . 02.22 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,0,3000000,3000000,0,
1.17 . 1.17.01 . 02.22 . 5.2.2.34.06 ,Honorarium Tenaga Harian Lepas ,0,3000000,3000000,0,"Honor/Upah Harian Tenaga Tukang1 ls x 3.000.000,00 = 3.000.000,00"
1.17 . 1.17.01 . 02.24 ,Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional,151200000,151200000,0,0,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 02.24 . 5.2.2 ,Belanja Barang dan Jasa ,151200000,151200000,0,0,
1.17 . 1.17.01 . 02.24 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,151200000,151200000,0,0,
1.17 . 1.17.01 . 02.24 . 5.2.2.05.01 ,Belanja Jasa Service ,8850000,8850000,0,0,"Belanja Jasa Service
Kendaraan Roda 26 Ls x 350.000,00 = 2.100.000,00
Kendaraan Roda 41 Ls x 3.000.000,00 = 3.000.000,00
Kendaraan Roda 35 LS x 750.000,00 = 3.750.000,00"
1.17 . 1.17.01 . 02.24 . 5.2.2.05.02 ,Belanja Penggantian Suku Cadang ,19350000,19350000,0,0,"Belanja Penggantian Suku Cadang
Kendaraan Roda 26 Ls x 500.000,00 = 3.000.000,00
Kendaraan Roda 41 Ls x 8.000.000,00 = 8.000.000,00
Kendaraan Roda 35 LS x 1.670.000,00 = 8.350.000,00"
1.17 . 1.17.01 . 02.24 . 5.2.2.05.03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,123000000,123000000,0,0,"Belanja Bahan Bakar Minyak/Gas Dan Pelumas
Sekretariat6,000 Ltr x 10.000,00 = 60.000.000,00
Kebudayaan1,200 Ltr x 10.000,00 = 12.000.000,00
Pemasaran1,200 Ltr x 10.000,00 = 12.000.000,00
SODTW1,200 Ltr x 10.000,00 = 12.000.000,00
Oli Kendaraan12 Bln x 250.000,00 = 3.000.000,00
Armada Sampah2,400 Ltr x 10.000,00 = 24.000.000,00"
1.17 . 1.17.01 . 02.29 ,Pemeliharaan Rutin/Berkala Mebeleur ,2000000,2000000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 02.29 . 5.2.2 ,Belanja Barang dan Jasa ,2000000,2000000,0,0,
1.17 . 1.17.01 . 02.29 . 5.2.2.20 ,Belanja Pemeliharaan ,2000000,2000000,0,0,
1.17 . 1.17.01 . 02.29 . 5.2.2.20.20 ,Belanja pemeliharaan perlengkapan kantor ,2000000,2000000,0,0,"Belanja Pemeliharaan Perlengkapan Kantor
Meja, Kursi Kerja, Almari, Rak, dsb1 Ls x 2.000.000,00 = 2.000.000,00"
1.17 . 1.17.01 . 02.34 ,Pengadaan Peralatan dan Perlengkapan Kantor ,151750000,183500000,31750000,20.92,Sumber Dana : 
1.17 . 1.17.01 . 02.34 . 5.2.3 ,Belanja Modal ,151750000,183500000,31750000,20.92,
1.17 . 1.17.01 . 02.34 . 5.2.3.10 ,Belanja Modal Pengadaan Peralatan Kantor ,25000000,25000000,0,0,
1.17 . 1.17.01 . 02.34 . 5.2.3.10.13 ,Belanja modal pengadaan over head projector ,25000000,25000000,0,0,"Pengadaan LCD
Pengadaan LCD Projector1 unit x 25.000.000,00 = 25.000.000,00"
1.17 . 1.17.01 . 02.34 . 5.2.3.11 ,Belanja Modal Pengadaan Perlengkapan Kantor ,52575000,68600000,16025000,30.48,
1.17 . 1.17.01 . 02.34 . 5.2.3.11.02 ,Belanja Modal Pengadaan Almari/rak/etalase ,9400000,25475000,16075000,171.01,"Belanja Modal Pengadaan Almari/Rak Arsip/Etalase
Pengadaan Rak Besi2 Unit x 1.700.000,00 = 3.400.000,00
Pengadaan Almari7 unit x 3.000.000,00 = 21.000.000,00
Pejabat Pembuat Komitmen1 OK x 300.000,00 = 300.000,00
Pejabat Pengadaan Barang1 OK x 250.000,00 = 250.000,00
Pejabat Penerima dan Pemeriksa Barang1 OK x 525.000,00 = 525.000,00"
1.17 . 1.17.01 . 02.34 . 5.2.3.11.04 ,Belanja Modal Pengadaan Filling Kabinet ,2000000,2000000,0,0,"Belanja Pengadaan Filling Cabinet
Pengadaan filling Cabinet1 unit x 2.000.000,00 = 2.000.000,00"
1.17 . 1.17.01 . 02.34 . 5.2.3.11.07 ,Belanja Modal Pengadaan AC ,41175000,41125000,-50,-0.12,"Belanja Modal Pengadaan AC
AC Kantor5 unit x 8.000.000,00 = 40.000.000,00
Pejabat Pembuat Komitmen1 ok x 350.000,00 = 350.000,00
Pejabat Pengadaan Barang1 ok x 250.000,00 = 250.000,00
Pejabat penerima dan pemeriksa barang1 ok x 525.000,00 = 525.000,00"
1.17 . 1.17.01 . 02.34 . 5.2.3.12 ,Belanja Modal Pengadaan Komputer ,62175000,62400000,225,0.36,
