Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 , Tunjangan PPh/Tunjangan Khusus ,202331900," Tunjangan PPh/Tunjangan Khusus1 th x 202.331.900,00 = 202.331.900,00",,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 , Pembulatan Gaji ,87363," Pembulatan Gaji1 th x 87.363,00 = 87.363,00",,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 09 , Iuran Asuransi Kesehatan ,0," Iuran Asuransi Kesehatan
Iurang Asuransi Kesehatan BPJS1 th x 0,00 = 0,00
Iuran Asuransi Jaminan Kecelakaan Kerja BPJS1 th x 0,00 = 0,00
Iuran Jaminan Kematian BPJS1 th x 0,00 = 0,00",,
1.21 . 1.21.01 . 01 . 01 . 5 . 2 , BELANJA LANGSUNG ,3406550000,,,
1.21 . 1.21.01 . 01 , Program Pelayanan Administrasi Perkantoran ,263122000,,,
1.21 . 1.21.01 . 01 . 01 , Penyediaan jasa surat menyurat ,2200000," Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : tersedianya benda pos
Target: 1 tahun",,
1.21 . 1.21.01 . 01 . 01 . 5 . 2 . 2 , Belanja Barang dan Jasa ,2200000,,,
1.21 . 1.21.01 . 01 . 01 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,2200000,,,
1.21 . 1.21.01 . 01 . 01 . 5 . 2 . 2 . 01 . 04 ," Belanja Perangko, Materai Dan Benda Pos ",2200000," Belanja perangko, materai dan benda pos lainnya
Pengadaan materai, perangko dan benda pos lainnya1 tahun x 2.200.000,00 = 2.200.000,00",,
1.21 . 1.21.01 . 01 . 02 ," Penyediaan jasa komunikasi, sumber daya air dan listrik ",30075000," Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : tersedianya jasa komunikasi, sumberdaya air, listrik
Target: 1 tahun",,
1.21 . 1.21.01 . 01 . 02 . 5 . 2 . 2 , Belanja Barang dan Jasa ,30075000,,,
1.21 . 1.21.01 . 01 . 02 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,30075000,,,
1.21 . 1.21.01 . 01 . 02 . 5 . 2 . 2 . 03 . 01 , Belanja Telepon ,4000000," Belanja telepon1 tahun x 4.000.000,00 = 4.000.000,00",,
1.21 . 1.21.01 . 01 . 02 . 5 . 2 . 2 . 03 . 02 , Belanja Air ,1000000," Belanja air1 LS x 1.000.000,00 = 1.000.000,00",,
1.21 . 1.21.01 . 01 . 02 . 5 . 2 . 2 . 03 . 03 , Belanja Listrik ,13575000," Belanja listrik15 BPP x 905.000,00 = 13.575.000,00",,
1.21 . 1.21.01 . 01 . 02 . 5 . 2 . 2 . 03 . 06 , Belanja Kawat/Faksimili/Internet/Intranet/TV Kabel/TV Satelit ,500000," Belanja internet1 tahun x 500.000,00 = 500.000,00",,
1.21 . 1.21.01 . 01 . 02 . 5 . 2 . 2 . 03 . 30 , Belanja Jasa Tambah Daya Listrik ,11000000," Belanja Jasa Tambah Daya Listrik1 LS x 11.000.000,00 = 11.000.000,00",,
1.21 . 1.21.01 . 01 . 06 , Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional ,12625000," Sumber Dana : 
Lokasi Kegiatan : BKPPP
Keluaran : terselenggaranya perijinan sarana & prasarana kendaran dinas
Target: 73 unit",,
1.21 . 1.21.01 . 01 . 06 . 5 . 2 . 2 , Belanja Barang dan Jasa ,12625000,,,
1.21 . 1.21.01 . 01 . 06 . 5 . 2 . 2 . 05 , Belanja Perawatan Kendaraan Bermotor ,12625000,,,
1.21 . 1.21.01 . 01 . 06 . 5 . 2 . 2 . 05 . 07 , Belanja Surat Tanda Nomor Kendaraan ,12625000," Belanja STNK
STNK roda dua50 unit x 200.000,00 = 10.000.000,00
STNK roda empat1 LS x 2.625.000,00 = 2.625.000,00",,
1.21 . 1.21.01 . 01 . 07 , Penyediaan jasa administrasi keuangan ,19410000," Sumber Dana : 
Lokasi Kegiatan : BKPPP
Keluaran : Terbayarnya honorarium dan tunjangan
Target: 9 orang",,
1.21 . 1.21.01 . 01 . 07 . 5 . 2 . 1 , Belanja Pegawai ,16860000,,,
1.21 . 1.21.01 . 01 . 07 . 5 . 2 . 1 . 01 , Honorarium PNS ,16860000,,,
1.21 . 1.21.01 . 01 . 07 . 5 . 2 . 1 . 01 . 06 , Honor Pengelola Keuangan dan Barang ,16860000," Honor pengelola keuangan dan barangPembantu PPK SKPD (Akuntansi)12 bulan x 150.000,00 = 1.800.000,00
Pembantu pengurus barang12 bulan x 100.000,00 = 1.200.000,00
Pengurus barang12 bulan x 250.000,00 = 3.000.000,00
Pembantu PPK SKPD (Penyiap SPM)12 bulan x 150.000,00 = 1.800.000,00
Pembantu PPK SKPD (Verifikasi)12 bulan x 150.000,00 = 1.800.000,00
PPK SKPD12 bulan x 265.000,00 = 3.180.000,00
Bendahara pengeluaran12 bulan x 240.000,00 = 2.880.000,00
Pengurus gaji12 bulan x 100.000,00 = 1.200.000,00",,
1.21 . 1.21.01 . 01 . 07 . 5 . 2 . 2 , Belanja Barang dan Jasa ,2550000,,,
1.21 . 1.21.01 . 01 . 07 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,500000,,,
1.21 . 1.21.01 . 01 . 07 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,500000," Belanja ATK1 ls x 500.000,00 = 500.000,00",,
1.21 . 1.21.01 . 01 . 07 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,700000,,,
1.21 . 1.21.01 . 01 . 07 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,700000," Belanja penggandaan1 ls x 700.000,00 = 700.000,00",,
1.21 . 1.21.01 . 01 . 07 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,1350000,,,
1.21 . 1.21.01 . 01 . 07 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,1350000," Belanja makan minum rapat
Belanja makan minum snack rapat60 om x 22.500,00 = 1.350.000,00",,
1.21 . 1.21.01 . 01 . 08 , Penyediaan jasa kebersihan kantor ,2700000," Sumber Dana :
 Lokasi Kegiatan : BKPPP
Keluaran : tersedianya peralatan kebersihan & bahan pembersih
Target: 1 tahun",,
1.21 . 1.21.01 . 01 . 08 . 5 . 2 . 2 , Belanja Barang dan Jasa ,2700000,,,
1.21 . 1.21.01 . 01 . 08 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,2700000,,,
1.21 . 1.21.01 . 01 . 08 . 5 . 2 . 2 . 01 . 05 , Belanja Peralatan Kebersihan Dan Bahan Pembersih ,2700000," Belanja peralatan kebersihan dan bahan pembersih1 tahun x 2.700.000,00 = 2.700.000,00",,
1.21 . 1.21.01 . 01 . 09 , Penyediaan jasa perbaikan peralatan kerja ,9000000," Sumber Dana : 
Lokasi Kegiatan : BKPPP
Keluaran : terpeliharanya peralatan kerja
Target: 16 komputer dan mesin tik",,
1.21 . 1.21.01 . 01 . 09 . 5 . 2 . 2 , Belanja Barang dan Jasa ,9000000,,,
1.21 . 1.21.01 . 01 . 09 . 5 . 2 . 2 . 20 , Belanja Pemeliharaan ,9000000,,,
1.21 . 1.21.01 . 01 . 09 . 5 . 2 . 2 . 20 . 04 , Belanja Pemeliharan Peralatan dan Mesin ,8000000," Belanja pemeliharaan peralatan kantor
Belanja pemeliharaan komputer1 tahun x 8.000.000,00 = 8.000.000,00",,
1.21 . 1.21.01 . 01 . 09 . 5 . 2 . 2 . 20 . 07 , Belanja Pemeliharaan Jaringan dan Instalasi ,1000000," Belanja pemeliharaan alat komunikasi1 tahun x 1.000.000,00 = 1.000.000,00",,
1.21 . 1.21.01 . 01 . 10 , Penyediaan alat tulis kantor ,15212000," Sumber Dana : 
Lokasi Kegiatan : BKPPP
Keluaran : tersedianya ATK & suplai komputer
Target: 1 tahun",,
1.21 . 1.21.01 . 01 . 10 . 5 . 2 . 2 , Belanja Barang dan Jasa ,15212000,,,
1.21 . 1.21.01 . 01 . 10 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,15212000,,,
1.21 . 1.21.01 . 01 . 10 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,15212000," Belanja ATK dan suplai komputer1 tahun x 10.112.000,00 = 10.112.000,00
Belanja ATK dan suplai komputer BPP17 paket x 300.000,00 = 5.100.000,00",,
1.21 . 1.21.01 . 01 . 11 , Penyediaan barang cetakan dan penggandaan ,8400000," Sumber Dana : 
Lokasi Kegiatan : BKPPP
Keluaran : Tersedianya barang cetakan dan penggandaan
Target: 1 tahun",,
1.21 . 1.21.01 . 01 . 11 . 5 . 2 . 2 , Belanja Barang dan Jasa ,8400000,,,
1.21 . 1.21.01 . 01 . 11 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,8400000,,,
1.21 . 1.21.01 . 01 . 11 . 5 . 2 . 2 . 06 . 01 , Belanja Cetak ,3700000,"Belanja cetak
Belanja cetak (kotak lembar disposisi, blangko daftar hadir, lembar disposisi, agenda surat masuk, dll)1 tahun x 3.700.000,00 = 3.700.000,00",,
1.21 . 1.21.01 . 01 . 11 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,4700000," Belanja penggandaan/ fotokopi dan penjilidan1 LS x 4.700.000,00 = 4.700.000,00",,
1.21 . 1.21.01 . 01 . 12 , Penyediaan komponen instalasi listrik/penerangan bangunan kantor ,7500000," Sumber Dana : 
Lokasi Kegiatan : BKPPP
Keluaran : tersedianya komponen instalasi listrik/ penerangan
Target: 1 tahun",,
1.21 . 1.21.01 . 01 . 12 . 5 . 2 . 2 , Belanja Barang dan Jasa ,7500000,,,
1.21 . 1.21.01 . 01 . 12 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,7500000,,,
1.21 . 1.21.01 . 01 . 12 . 5 . 2 . 2 . 01 . 03 ," Belanja Alat Listrik Dan Elektronik (Lampu Pijar, Battery Kering) ",7500000," Belanja alat listrik dan elektronik (lampu pijar, battery kering,kabel dll) 1 LS x 7.500.000,00 = 7.500.000,00",,
1.21 . 1.21.01 . 01 . 15 , Penyediaan bahan bacaan dan peraturan perundang-undangan ,3000000," Sumber Dana : 
Lokasi Kegiatan : BKPPP
Keluaran : tersedianya surat kabar/majalah/ buku
Target: 1 tahun",,
1.21 . 1.21.01 . 01 . 15 . 5 . 2 . 2 , Belanja Barang dan Jasa ,3000000,,,
1.21 . 1.21.01 . 01 . 15 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,3000000,,,
1.21 . 1.21.01 . 01 . 15 . 5 . 2 . 2 . 03 . 05 , Belanja Surat Kabar/Majalah ,3000000," Belanja surat kabar/majalah/buku perundang-undangan1 tahun x 3.000.000,00 = 3.000.000,00",,
1.21 . 1.21.01 . 01 . 17 , Penyediaan makanan dan minuman ,31650000," Sumber Dana : 
Lokasi Kegiatan : BKPPP
Keluaran : tersedianya hidangan utk rapat & tamu
Target: 1 tahun",,
1.21 . 1.21.01 . 01 . 17 . 5 . 2 . 2 , Belanja Barang dan Jasa ,31650000,,,
1.21 . 1.21.01 . 01 . 17 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,31650000,,,
1.21 . 1.21.01 . 01 . 17 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,26025000," Belanja makanan dan minuman rapat
Belanja makan minum rapat490 om x 15.000,00 = 7.350.000,00
Belanja snack minum rapat2,490 os x 7.500,00 = 18.675.000,00",,
1.21 . 1.21.01 . 01 . 17 . 5 . 2 . 2 . 11 . 03 , Belanja Makanan Dan Minuman Tamu ,5625000," Belanja makanan dan dan minuman tamu1 tahun x 5.625.000,00 = 5.625.000,00",,
1.21 . 1.21.01 . 01 . 18 , Rapat-rapat koordinasi dan konsultasi ke luar daerah ,87800000," Sumber Dana : 
Lokasi Kegiatan : BKPPP
Keluaran : terselenggaranya biaya perjalanan dinas ke luar daerah
Target: 1 tahun",,
1.21 . 1.21.01 . 01 . 18 . 5 . 2 . 2 , Belanja Barang dan Jasa ,87800000,,,
1.21 . 1.21.01 . 01 . 18 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,87800000,,,
1.21 . 1.21.01 . 01 . 18 . 5 . 2 . 2 . 15 . 02 , Belanja Perjalanan Dinas Luar Daerah ,87800000," Belanja perjalanan dinas keluar daerah
- Tiket perjalanan Gol. III4 op x 1.850.000,00 = 7.400.000,00
- Perjalanan Gol. IV28 op x 1.500.000,00 = 42.000.000,00
- Tiket perjalanan Gol. IV14 op x 2.000.000,00 = 28.000.000,00
- Perjalanan Gol. III8 op x 1.300.000,00 = 10.400.000,00",,
1.21 . 1.21.01 . 01 . 19 , Rapat-rapat koodinasi dan konsultasi dalam daerah ,4750000," Sumber Dana :
 Lokasi Kegiatan : BKP3
Keluaran : terlaksananya rapat koordinasi dan perjalanan dalam daerah
Target: 100 %",,
1.21 . 1.21.01 . 01 . 19 . 5 . 2 . 2 , Belanja Barang dan Jasa ,4750000,,,
1.21 . 1.21.01 . 01 . 19 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,4750000,,,
1.21 . 1.21.01 . 01 . 19 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,4750000," Belanja perjalanan dinas dalam daerah Kab. Bantul
Gol. IV15 oh x 50.000,00 = 750.000,00
Gol. III75 oh x 40.000,00 = 3.000.000,00
Gol. II10 oh x 30.000,00 = 300.000,00
Belanja perjalanan dinas dalam daerah DIY
Gol. IV4 oh x 70.000,00 = 280.000,00
Gol. III7 oh x 60.000,00 = 420.000,00",,
1.21 . 1.21.01 . 01 . 20 , Penyediaan Jasa Keamanan ,28800000," Sumber Dana : 
Lokasi Kegiatan : BKP3
Keluaran : tersedianya keamanan di BKP3
Target: 100 %",,
1.21 . 1.21.01 . 01 . 20 . 5 . 2 . 1 , Belanja Pegawai ,13800000,,,
1.21 . 1.21.01 . 01 . 20 . 5 . 2 . 1 . 02 , Honorarium Non PNS ,13800000,,,
1.21 . 1.21.01 . 01 . 20 . 5 . 2 . 1 . 02 . 02 , Honorarium Pegawai Honorer/Tidak Tetap ,13800000," Honorarium pegawai tidak tetap1 orang penjaga malam12 ob x 1.150.000,00 = 13.800.000,00",,
1.21 . 1.21.01 . 01 . 20 . 5 . 2 . 2 , Belanja Barang dan Jasa ,15000000,,,
1.21 . 1.21.01 . 01 . 20 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",15000000,, ,
1.21 . 1.21.01 . 01 . 20 . 5 . 2 . 2 . 35 . 06 , Jasa Tenaga Harian Lepas ,15000000," Honorarium tenaga musiman2 orang penjaga malan dan kebersihan (2 x 10 bulan)20 ob x 750.000,00 = 15.000.000,00",,
1.21 . 1.21.01 . 02 , Program Peningkatan Sarana dan Prasarana Aparatur ,273100000,,,
1.21 . 1.21.01 . 02 . 22 , Pemeliharaan rutin/berkala gedung kantor ,35400000," Sumber Dana : 
Lokasi Kegiatan : BKPPP
Keluaran : terpeliharanya gedung kantor
Target: 1 tahun",,
1.21 . 1.21.01 . 02 . 22 . 5 . 2 . 2 , Belanja Barang dan Jasa ,35400000,,,
1.21 . 1.21.01 . 02 . 22 . 5 . 2 . 2 . 20 , Belanja Pemeliharaan ,30000000,,,
1.21 . 1.21.01 . 02 . 22 . 5 . 2 . 2 . 20 . 05 , Belanja Pemeliharan Gedung dan Bangunan ,30000000," Belanja pemeliharaan gedung dan bangunan1 tahun x 30.000.000,00 = 30.000.000,00",,
1.21 . 1.21.01 . 02 . 22 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",5400000,,,
1.21 . 1.21.01 . 02 . 22 . 5 . 2 . 2 . 35 . 06 , Jasa Tenaga Harian Lepas ,5400000," Upah tukang90 oh x 60.000,00 = 5.400.000,00",,
1.21 . 1.21.01 . 02 . 24 , Pemeliharaan rutin/berkala kendaraan dinas/operasional ,68600000," Sumber Dana : 
Lokasi Kegiatan : BKPPP
Keluaran : terpeliharanya kendaraan dinas/ operasional
Target: 1 tahun",,
1.21 . 1.21.01 . 02 . 24 . 5 . 2 . 2 , Belanja Barang dan Jasa ,68600000,,,
1.21 . 1.21.01 . 02 . 24 . 5 . 2 . 2 . 05 , Belanja Perawatan Kendaraan Bermotor ,68600000,,,
1.21 . 1.21.01 . 02 . 24 . 5 . 2 . 2 . 05 . 02 , Belanja Penggantian Suku Cadang ,18600000," Belanja penggantian suku cadang
Belanja penggantian suku cadang kendaraan roda empat3 unit x 5.000.000,00 = 15.000.000,00
Belanja penggantian suku cadang kendaraan roda dua12 unit x 300.000,00 = 3.600.000,00",,
1.21 . 1.21.01 . 02 . 24 . 5 . 2 . 2 . 05 . 03 , Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,50000000," Belanja bahan bakar minyak dan pelumas1 LS x 50.000.000,00 = 50.000.000,00",,
1.21 . 1.21.01 . 02 . 30 , Pemeliharaan rutin/berkala Peralatan dan Perlengkapan Kantor ,20000000," Sumber Dana : 
Lokasi Kegiatan : BKP3
Keluaran : Terlaksananya pemeliaharaan peralatan dan perlengkapan kantor
Target: 100 %",,
1.21 . 1.21.01 . 02 . 30 . 5 . 2 . 2 , Belanja Barang dan Jasa ,20000000,,,
1.21 . 1.21.01 . 02 . 30 . 5 . 2 . 2 . 20 , Belanja Pemeliharaan ,20000000,,,
1.21 . 1.21.01 . 02 . 30 . 5 . 2 . 2 . 20 . 04 , Belanja Pemeliharan Peralatan dan Mesin ,20000000," Belanja pemeliharaan perlengkapan kantor1 tahun x 20.000.000,00 = 20.000.000,00",,
1.21 . 1.21.01 . 02 . 34 , Pengadaan Peralatan dan Perlengkapan Kantor ,149100000," Sumber Dana : 
Lokasi Kegiatan : BKP3
Keluaran : Tersedianya peralatan dan perlengkapan kantor
 Target: 100 %",,
1.21 . 1.21.01 . 02 . 34 . 5 . 2 . 3 , Belanja Modal ,149100000,,,
1.21 . 1.21.01 . 02 . 34 . 5 . 2 . 3 . 27 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor ,42500000,,,
1.21 . 1.21.01 . 02 . 34 . 5 . 2 . 3 . 27 . 04 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Penyimpanan Perlengkapan Kantor ,42500000," Rak Kayu
Rak kayu untuk buku perpustakaan17 unit x 2.500.000,00 = 42.500.000,00",,
1.21 . 1.21.01 . 02 . 34 . 5 . 2 . 3 . 28 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga ,74600000,,,
1.21 . 1.21.01 . 02 . 34 . 5 . 2 . 3 . 28 . 01 , Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair ,61500000," Kursi Lipat25 unit x 500.000,00 = 12.500.000,00
Meja Rapat12 unit x 2.000.000,00 = 24.000.000,00
Pengadaan PartisiBelanja modal pengadaan partisi1 paket x 25.000.000,00 = 25.000.000,00",,
1.21 . 1.21.01 . 02 . 34 . 5 . 2 . 3 . 28 . 04 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pendingin ,13100000," AC UnitAir conditioner1 paket x 8.000.000,00 = 8.000.000,00
Kipas AnginBelanja Modal pengadaan kipas angin17 unit x 300.000,00 = 5.100.000,00",,
1.21 . 1.21.01 . 02 . 34 . 5 . 2 . 3 . 32 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Komunikasi ,32000000,,,
1.21 . 1.21.01 . 02 . 34 . 5 . 2 . 3 . 32 . 06 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Komunikasi Sosial ,32000000," Sound System1 paket x 32.000.000,00 = 32.000.000,00",,
1.21 . 1.21.01 . 05 , Program Peningkatan Kapasitas Sumber Daya Aparatur ,43505000,,,
1.21 . 1.21.01 . 05 . 04 , Penilaian Angka Kredit Pejabat Fungsional ,43505000," Sumber Dana : 
Lokasi Kegiatan : BKP3
Keluaran : Terlaksananya penilaian angka kredit pejabat fungsional
Target: 100 %",,
1.21 . 1.21.01 . 05 . 04 . 5 . 2 . 1 , Belanja Pegawai ,15180000,,,
1.21 . 1.21.01 . 05 . 04 . 5 . 2 . 1 . 01 , Honorarium PNS ,15180000,,,
1.21 . 1.21.01 . 05 . 04 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,15180000," Honorarium Tim Penilai Angka Kredit Penyuluh
 Ketua Tim6 ob x 170.000,00 = 1.020.000,00
Sekretaris Tim6 ob x 160.000,00 = 960.000,00
Anggota Tim120 ob x 100.000,00 = 12.000.000,00
Honorarium Narasumber/Moderator
Honorarium Narasumber Peningkatan Kapasitas SDM8 jpl x 150.000,00 = 1.200.000,00",,
1.21 . 1.21.01 . 05 . 04 . 5 . 2 . 2 , Belanja Barang dan Jasa ,28325000,,,
1.21 . 1.21.01 . 05 . 04 . 5 . 2 . 2 . 08 , Belanja Sewa Sarana Mobilitas ,20000000,,,
1.21 . 1.21.01 . 05 . 04 . 5 . 2 . 2 . 08 . 01 , Belanja Sewa Sarana Mobilitas Darat ,20000000," Sewa sarana mobilitas darat1 unit x 20.000.000,00 = 20.000.000,00",,
1.21 . 1.21.01 . 05 . 04 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,8325000,,,
1.21 . 1.21.01 . 05 . 04 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,450000," Belanja snack minum rapatSnack minum rapat60 os x 7.500,00 = 450.000,00",,
1.21 . 1.21.01 . 05 . 04 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,7875000," Konsumsi peningkatan kapasitas SDMKonsumsi peningkatan kapasitas SDM (75 orang x 3 hari x Rp 35.000,-)225 om x 35.000,00 = 7.875.000,00",,
1.21 . 1.21.01 . 06 , Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan ,32590000,,,
1.21 . 1.21.01 . 06 . 01 , Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD ,21400000," Sumber Dana :
 Lokasi Kegiatan : BKPPP
Keluaran : tersedianya laporan capaian kinerja & ikhtisar realisasi kinerja SKPD
Target: 1 tahun",,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 1 , Belanja Pegawai ,9375000,,,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 1 . 01 , Honorarium PNS ,9000000,,,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,9000000," Honor Tim Pengolah Data Kinerja
Ketua6 ob x 170.000,00 = 1.020.000,00
Sekretaris6 ob x 160.000,00 = 960.000,00
Anggota54 ob x 130.000,00 = 7.020.000,00",,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 1 . 03 , Uang Lembur ,375000,,,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 1 . 03 . 01 , Uang Lembur PNS ,375000," Uang lembur pembuatan laporan
Gol. III25 oj x 15.000,00 = 375.000,00",,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 2 , Belanja Barang dan Jasa ,12025000,,,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,2025000,,,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,2025000," Belanja ATK1 tahun x 2.025.000,00 = 2.025.000,00",,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,3750000,,,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,3750000," Belanja penggandaan/foto kopi
Foto kopi1 LS x 3.000.000,00 = 3.000.000,00
Belanja penjilidan50 buku x 15.000,00 = 750.000,00",,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,2700000,,,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,2025000," Belanja makanan dan minuman rapat
Makan minum rapat90 os x 15.000,00 = 1.350.000,00
Snack minum rapat90 os x 7.500,00 = 675.000,00",,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,675000," Belanja makanan dan minuman pelaksanaan kegiatan
Makan minum pelaksanaan kegiatan30 os x 15.000,00 = 450.000,00
Snack minum pelaksanaan kegiatan30 os x 7.500,00 = 225.000,00",,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,3550000,,,
1.21 . 1.21.01 . 06 . 01 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,3550000," Belanja perjalanan dinas dalam daerah
Gol. IV25 op x 50.000,00 = 1.250.000,00
Gol. III50 op x 40.000,00 = 2.000.000,00
Gol. II10 op x 30.000,00 = 300.000,00",,
1.21 . 1.21.01 . 06 . 08 ," Penyusunan Laporan Keuangan, Barang, Kepegawaian dan Ketatausahaan ",11190000," Sumber Dana : 
Lokasi Kegiatan : BKP3
Keluaran : Tersedianya laporan keuangan, barang, kepegawaian dan ketatusahaan
Target: 1 tahun",,
1.21 . 1.21.01 . 06 . 08 . 5 . 2 . 1 , Belanja Pegawai ,3890000,,,
1.21 . 1.21.01 . 06 . 08 . 5 . 2 . 1 . 01 , Honorarium PNS ,2190000,,,
