Judul,Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
1.22 . 1.22.01 . 01.06 . 5.2.2.05.05 ,Belanja Surat Tanda Nomor Kendaraan ,1650000.00,1850000.00,200000.00,12.12,"Belanja STNK
Belanja Pajak STNK1 tahun x 1.850.000,00 = 1.850.000,00"
1.22 . 1.22.01 . 01.07 ,Penyediaan Jasa Administrasi Keuangan ,21060000.00,21060000.00,0.00,0.00,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 01.07 . 5.2.1 ,Belanja Pegawai ,21060000.00,21060000.00,0.00,0.00,
1.22 . 1.22.01 . 01.07 . 5.2.1.01 ,Honorarium PNS ,21060000.00,21060000.00,0.00,0.00,
1.22 . 1.22.01 . 01.07 . 5.2.1.01.03 ,Honor Pengelola Keuangan dan Barang ,21060000.00,21060000.00,0.00,0.00,"Honor administrasi keuanganPPK12 ob x 300.000,00 = 3.600.000,00
Pembantu PPK24 ob x 140.000,00 = 3.360.000,00
Bendahara Pengeluaran12 ob x 275.000,00 = 3.300.000,00
Pembantu Bendahara Pengeluaran24 ob x 175.000,00 = 4.200.000,00
Pembuat Neraca12 ob x 175.000,00 = 2.100.000,00
Pembuat Kas Pembantu Gaji0 ob x 75.000,00 = 0,00
Pemegang Barang0 ob x 200.000,00 = 0,00
Pembantu pemegang barang0 ob x 100.000,00 = 0,00
Penyimpan Barang12 ob x 100.000,00 = 1.200.000,00
Pengurus Gaji12 ob x 75.000,00 = 900.000,00
Pengurus Barang12 ob x 200.000,00 = 2.400.000,00"
1.22 . 1.22.01 . 01.08 ,Penyediaan Jasa Kebersihan Kantor ,27600000.00,27600000.00,0.00,0.00,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 01.08 . 5.2.2 ,Belanja Barang dan Jasa ,27600000.00,27600000.00,0.00,0.00,
1.22 . 1.22.01 . 01.08 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,3600000.00,3600000.00,0.00,0.00,
1.22 . 1.22.01 . 01.08 . 5.2.2.01.05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih,3600000.00,3600000.00,0.00,0.00,"Belanja Peralatan Keberhasilan dan bahan pembersih
Peralatan kebersihan dan bahan pembersih12 bulan x 300.000,00 = 3.600.000,00"
1.22 . 1.22.01 . 01.08 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,24000000.00,24000000.00,0.00,0.00,
1.22 . 1.22.01 . 01.08 . 5.2.2.34.06 ,Honorarium Tenaga Harian Lepas ,24000000.00,24000000.00,0.00,0.00,"Honorarium Tenaga Harian Lepas24 ob x 1.000.000,00 = 24.000.000,00"
1.22 . 1.22.01 . 01.09 ,Penyediaan Jasa Perbaikan Peralatan Kerja ,4400000.00,7139122.00,2739122.00,62.25,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 01.09 . 5.2.2 ,Belanja Barang dan Jasa ,4400000.00,7139122.00,2739122.00,62.25,
1.22 . 1.22.01 . 01.09 . 5.2.2.20 ,Belanja Pemeliharaan ,4400000.00,7139122.00,2739122.00,62.25,
1.22 . 1.22.01 . 01.09 . 5.2.2.20.18 ,Belanja pemeliharaan alat kantor ,4400000.00,7139122.00,2739122.00,62.25,"Belanja Pemeliharaan Alat-alat kantor
Servis Komputer/laptop/printer1 tahun x 5.139.122,00 = 5.139.122,00
servis mesin kantor1 tahun x 2.000.000,00 = 2.000.000,00"
1.22 . 1.22.01 . 01.12 ,Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor,1860000.00,1500000.00,-360000.00,-19.35,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 01.12 . 5.2.2 ,Belanja Barang dan Jasa ,1860000.00,1500000.00,-360000.00,-19.35,
1.22 . 1.22.01 . 01.12 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,1860000.00,1500000.00,-360000.00,-19.35,
1.22 . 1.22.01 . 01.12 . 5.2.2.01.03 ,"Belanja Alat Listrik dan Elektronik(lampu pijar,battery kering)",1860000.00,1500000.00,-360000.00,-19.35,"Belanja Alat listrik dan elektronika1 tahun x 1.500.000,00 = 1.500.000,00"
1.22 . 1.22.01 . 01.15 ,Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan,2040000.00,2400000.00,360000.00,17.65,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 01.15 . 5.2.2 ,Belanja Barang dan Jasa ,2040000.00,2400000.00,360000.00,17.65,
1.22 . 1.22.01 . 01.15 . 5.2.2.03 ,Belanja Jasa Kantor ,2040000.00,2400000.00,360000.00,17.65,
1.22 . 1.22.01 . 01.15 . 5.2.2.03.05 ,Belanja Surat Kabar/Majalah ,2040000.00,2400000.00,360000.00,17.65,"Belanja Surat Kabar / Majalah12 bulan x 200.000,00 = 2.400.000,00"
1.22 . 1.22.01 . 01.17 ,Penyediaan Makanan dan Minuman ,4800000.00,63750000.00,58950000.00,1228.13,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 01.17 . 5.2.2 ,Belanja Barang dan Jasa ,4800000.00,63750000.00,58950000.00,1228.13,
1.22 . 1.22.01 . 01.17 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,4800000.00,63750000.00,58950000.00,1228.13,
1.22 . 1.22.01 . 01.17 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,4800000.00,49750000.00,44950000.00,936.46,"Belanja Makan dan Minuman Rapat
Belanja snack, dan Minuman Rapat1,140 or x 8.500,00 = 9.690.000,001,793 or x 20.000,00 = 35.860.000,00560 or x 7.500,00 = 4.200.000,00"
1.22 . 1.22.01 . 01.17 . 5.2.2.11.03 ,Belanja Makanan Dan Minuman Tamu ,0.00,14000000.00,14000000.00,0.00,"Belanja makan minum tamu700 ok x 20.000,00 = 14.000.000,00"
1.22 . 1.22.01 . 01.18 ,Rapat-Rapat Koordinasi dan Konsultasi Ke Luar Daerah,17600000.00,132757222.00,115157222.00,654.30,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 01.18 . 5.2.2 ,Belanja Barang dan Jasa ,17600000.00,132757222.00,115157222.00,654.30,
1.22 . 1.22.01 . 01.18 . 5.2.2.15 ,Belanja Perjalanan Dinas ,17600000.00,132757222.00,115157222.00,654.30,
1.22 . 1.22.01 . 01.18 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,17600000.00,132757222.00,115157222.00,654.30,"Belanja Perjalanan Dinas Luar Daerah
Tiket Pesawat Gol IV3 or x 2.750.000,00 = 8.250.000,00
Lumsum Gol IV6 or x 850.000,00 = 5.100.000,00
Tiket Pesawat Gol III2 or x 625.000,00 = 1.250.000,00
Lumsum Gol III4 or x 750.000,00 = 3.000.000,00
Tiket Biaya perjalanan dinas1 LS x 61.495.622,00 = 61.495.622,00
Lumsum  Biaya perjalanan dinas1 LS x 53.661.600,00 = 53.661.600,00"
1.22 . 1.22.01 . 01.19 ,Rapat-rapat koordinasi dan konsultasi dalam daerah,3750000.00,3750000.00,0.00,0.00,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 01.19 . 5.2.2 ,Belanja Barang dan Jasa ,3750000.00,3750000.00,0.00,0.00,
1.22 . 1.22.01 . 01.19 . 5.2.2.15 ,Belanja Perjalanan Dinas ,3750000.00,3750000.00,0.00,0.00,
1.22 . 1.22.01 . 01.19 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,3750000.00,3750000.00,0.00,0.00,"Belanja Perjalanan Dinas Dalam Daerah
Perjalanan Dinas Dalam Daerah Gol III55 or x 40.000,00 = 2.200.000,00
Perjalanan Dinas Dalam Daerah Gol II20 or x 30.000,00 = 600.000,00
Perjalanan Dinas Dalam Daerah Gol IV19 or x 50.000,00 = 950.000,00"
1.22 . 1.22.01 . 02 ,Program Peningkatan Sarana dan Prasarana Aparatur,234945000.00,346777000.00,111832000.00,47.60,
1.22 . 1.22.01 . 02.22 ,Pemeliharaan Rutin/Berkala Gedung Kantor ,5125000.00,2000000.00,-3125000.00,-60.98,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 02.22 . 5.2.2 ,Belanja Barang dan Jasa ,5125000.00,2000000.00,-3125000.00,-60.98,
1.22 . 1.22.01 . 02.22 . 5.2.2.20 ,Belanja Pemeliharaan ,5125000.00,2000000.00,-3125000.00,-60.98,
1.22 . 1.22.01 . 02.22 . 5.2.2.20.27 ,Belanja pemeliharaan bangunan gedung tempat kerja,5125000.00,2000000.00,-3125000.00,-60.98,"Belanja Pemeliharaan Bangunan Gedung
Pemeliharaan Gedung Tempat Kerja1 tahun x 2.000.000,00 = 2.000.000,00"
1.22 . 1.22.01 . 02.24 ,Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional,84600000.00,102010000.00,17410000.00,20.58,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 02.24 . 5.2.2 ,Belanja Barang dan Jasa ,84600000.00,102010000.00,17410000.00,20.58,
1.22 . 1.22.01 . 02.24 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,84600000.00,102010000.00,17410000.00,20.58,
1.22 . 1.22.01 . 02.24 . 5.2.2.05.01 ,Belanja Jasa Service ,5100000.00,2450000.00,-2650000.00,-51.96,"Belanja Servise
Roda 21 tahun x 1.200.000,00 = 1.200.000,00
Roda 41 tahun x 1.250.000,00 = 1.250.000,00"
1.22 . 1.22.01 . 02.24 . 5.2.2.05.02 ,Belanja Penggantian Suku Cadang ,13000000.00,8650000.00,-4350000.00,-33.46,"Belanja Penggantian Suku Cadang
Roda 21 tahun x 3.000.000,00 = 3.000.000,00
Roda 41 tahun x 5.650.000,00 = 5.650.000,00"
1.22 . 1.22.01 . 02.24 . 5.2.2.05.03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,66500000.00,87910000.00,21410000.00,32.20,"Belanja Bahan Bakar Minyak Kantor PMD
Belanja BBM Non Subsidi1 ls x 76.210.000,00 = 76.210.000,00
Belanja Bahan Bakar Minyak untuk PKK
Belanja Bahan Bakar Minyak Kantor PKK1 LS x 11.700.000,00 = 11.700.000,00"
1.22 . 1.22.01 . 02.24 . 5.2.2.05.08 ,Belanja accessories kendaraan ,0.00,3000000.00,3000000.00,0.00,"Belanja asesoris kendaraan1 LS x 3.000.000,00 = 3.000.000,00"
1.22 . 1.22.01 . 02.34 ,Pengadaan Peralatan dan Perlengkapan Kantor ,145220000.00,242767000.00,97547000.00,67.17,Sumber Dana : 
1.22 . 1.22.01 . 02.34 . 5.2.3 ,Belanja Modal ,145220000.00,242767000.00,97547000.00,67.17,
1.22 . 1.22.01 . 02.34 . 5.2.3.03 ,Belanja Modal Pengadaan Alat-Alat Angkutan Darat Bermotor,36000000.00,49085000.00,13085000.00,36.35,
1.22 . 1.22.01 . 02.34 . 5.2.3.03.12 ,Belanja Modal Pengadaan Alat-Alat Angkutan Darat Bermotor Sepeda Motor,36000000.00,49085000.00,13085000.00,36.35,"Belanja Modal Sepeda Motor
Sepeda Motor untuk kegiatan PMT-AS1 unit x 16.042.500,00 = 16.042.500,00
Sepeda Motor untuk kegiatan PNPM MPd1 unit x 16.042.500,00 = 16.042.500,00
Sepeda Motor untuk kegiatan Kantor1 unit x 17.000.000,00 = 17.000.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.10 ,Belanja Modal Pengadaan Peralatan Kantor ,2000000.00,600000.00,-1400000.00,-70.00,
1.22 . 1.22.01 . 02.34 . 5.2.3.10.11 ,Belanja Modal Pengadaan Tabung Kebakaran ,2000000.00,600000.00,-1400000.00,-70.00,"Belanja modal pengadaan tabung pemadam kebakaran1 unit x 600.000,00 = 600.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.11 ,Belanja Modal Pengadaan Perlengkapan Kantor ,54000000.00,84900000.00,30900000.00,57.22,
1.22 . 1.22.01 . 02.34 . 5.2.3.11.02 ,Belanja Modal Pengadaan Almari/rak/etalase ,13500000.00,13500000.00,0.00,0.00,"Belanja Almari/rak arsip
Belanja Almari/rak arsip 2 pintu untuk keg.PMT-AS1 unit x 4.000.000,00 = 4.000.000,00
Belanja Almari/rak arsip 2 pintu untuk keg.PNPM-MPd1 unit x 4.000.000,00 = 4.000.000,00
Belanja Almari/rak arsip 2 pintu untuk keg.administrasi kantor1 unit x 4.000.000,00 = 4.000.000,00
Belanja Almari etalase untuk keg.PNPM-MPd1 unit x 1.500.000,00 = 1.500.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.11.04 ,Belanja Modal Pengadaan Filling Kabinet ,9500000.00,9500000.00,0.00,0.00,"Belanaj Filling Kabinet

belanja Filling Kabinet keg administrasi kantor1 unit x 2.500.000,00 = 2.500.000,00
belanja Filling Cabinet untuk kegiatan PMT-AS1 unit x 2.500.000,00 = 2.500.000,00
belanja Filing Kabinet kegiatan PNPM-MPd1 unit x 4.500.000,00 = 4.500.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.11.07 ,Belanja Modal Pengadaan AC ,19000000.00,19000000.00,0.00,0.00,"Belanja Modal Pengadaan AC
Belanja modal AC 2 PK untuk Aula PMD1 unit x 7.000.000,00 = 7.000.000,00
Belanja modal AC 1PK untuk R.Kepala,  R.Bendahara, R.Rapat3 unit x 4.000.000,00 = 12.000.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.11.10 ,Belanja modal pengadaan wirelles ,6000000.00,5000000.00,-1000000.00,-16.67,"Belanja modal pengadaan Wireless1 unit x 5.000.000,00 = 5.000.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.11.13 ,Belanja modal pengadan televisi ,2000000.00,2000000.00,0.00,0.00,"Belanja modal pengadaan Televisi1 unit x 2.000.000,00 = 2.000.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.11.62 ,Belanja modal pengadaan partisi ,3000000.00,35000000.00,32000000.00,1066.67,"Belanja modal pengadaan partisi
Belanja modal pengadaan partisi/penyekat ruangan1 paket x 35.000.000,00 = 35.000.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.11.64 ,Belanja modal pengadaan layar proyektor ,0.00,0.00,0.00,0.00,Belanja modal pengadaan layar proyektor
1.22 . 1.22.01 . 02.34 . 5.2.3.11.88 ,Belanja Modal Pengadaan Dudukan LCD Viewer ,1000000.00,900000.00,-100000.00,-10.00,"Belanja Modal Pengadaan Dudukan LCD
Belanja Modal Dudukan LCD1 unit x 900.000,00 = 900.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.12 ,Belanja Modal Pengadaan Komputer ,10000000.00,42262000.00,32262000.00,322.62,
1.22 . 1.22.01 . 02.34 . 5.2.3.12.01 ,Belanja Modal Pengadaan Komputer Mainframe/Server,0.00,15000000.00,15000000.00,0.00,"Belanja Modal server1 unit x 15.000.000,00 = 15.000.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.12.02 ,Belanja Modal Pengadaan Komputer/PC ,0.00,15000000.00,15000000.00,0.00,"Belanja modal pengadaan komputer PC2 unit x 7.500.000,00 = 15.000.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.12.03 ,Belanja Modal Pengadaan Komputer Note Book ,10000000.00,7762000.00,-2238000.00,-22.38,"Pengadaan Laptop/Notebook
Pengadaan Laptop/Note book kegiatan administrasi kantor1 unit x 3.881.000,00 = 3.881.000,00
Pengadaan Note book kegiatan PMT AS1 unit x 3.881.000,00 = 3.881.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.12.04 ,Belanja Modal Pengadaan Printer ,0.00,4500000.00,4500000.00,0.00,"Belanja Modal Pengadaan Printer1 LS x 4.500.000,00 = 4.500.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.13 ,Belanja Modal Pengadaan Mebeulair ,21000000.00,42000000.00,21000000.00,100.00,
1.22 . 1.22.01 . 02.34 . 5.2.3.13.02 ,Belanja Modal Pengadaan Meja Rapat ,5000000.00,13250000.00,8250000.00,165.00,"Belanja modal pengadaan meja rapat10 unit x 1.325.000,00 = 13.250.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.13.04 ,Belanja Modal Pengadaan Kursi Kerja ,0.00,6750000.00,6750000.00,0.00,"Belanja Modal Pengadaan Kursi Kerja
Belanja Modal Pengadaan Kursi Kerja Pimpinan1 unit x 1.750.000,00 = 1.750.000,00
Belanja Modal Pengadaan Kursi Kerja Struktural4 unit x 1.250.000,00 = 5.000.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.13.05 ,Belanja Modal Pengadaan Kursi Rapat ,16000000.00,22000000.00,6000000.00,37.50,"Belanja modal pengadaan kursi rapat
Belanja modal pengadaan meja rapat55 unit x 400.000,00 = 22.000.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.14 ,Belanja Modal Pengadaan Peralatan Dapur ,0.00,1800000.00,1800000.00,0.00,
1.22 . 1.22.01 . 02.34 . 5.2.3.14.04 ,Belanja Modal Pengadaan Dispenser ,0.00,1800000.00,1800000.00,0.00,"Belanja modal pengadaan dispenser1 unit x 1.800.000,00 = 1.800.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.15 ,Belanja Modal Pengadaan Penghias Ruangan Rumah Tangga,1000000.00,900000.00,-100000.00,-10.00,
1.22 . 1.22.01 . 02.34 . 5.2.3.15.04 ,Belanja Modal Pengadaan taplak meja ,1000000.00,900000.00,-100000.00,-10.00,"Belanja modal pengadaan taplak meja1 paket x 900.000,00 = 900.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.16 ,Belanja Modal Pengadaan Alat-Alat Studio ,10000000.00,10000000.00,0.00,0.00,
1.22 . 1.22.01 . 02.34 . 5.2.3.16.02 ,Belanja Modal Pengadaan Handycam ,10000000.00,10000000.00,0.00,0.00,"Belanja modal pengadaan Handycam1 unit x 10.000.000,00 = 10.000.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.17 ,Belanja Modal Pengadaan Alat-Alat Komunikasi ,10000000.00,10000000.00,0.00,0.00,
1.22 . 1.22.01 . 02.34 . 5.2.3.17.09 ,Belanja Modal Pengadaan telepon/IP Phone ,10000000.00,10000000.00,0.00,0.00,"Belanja Modal pengadaan mini box telepon1 paket x 10.000.000,00 = 10.000.000,00"
1.22 . 1.22.01 . 02.34 . 5.2.3.29 ,Belanja Modal Pengadaan Hewan/Ternak Dan Tanaman,1220000.00,1220000.00,0.00,0.00,
1.22 . 1.22.01 . 02.34 . 5.2.3.29.03 ,Belanja Modal Pengadaan Tanaman ,1220000.00,1220000.00,0.00,0.00,"Belanja Modal Pengadaan Tanaman
Pengadaan Tanaman1 paket x 1.220.000,00 = 1.220.000,00"
1.22 . 1.22.01 . 06 ,Program Peningkatan Pengembangan Sistem Pelaporan Capaian Kinerja dan Keuangan,17150000.00,17400000.00,250000.00,1.46,
1.22 . 1.22.01 . 06.01 ,Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,17150000.00,17400000.00,250000.00,1.46,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 06.01 . 5.2.1 ,Belanja Pegawai ,750000.00,1000000.00,250000.00,33.33,
1.22 . 1.22.01 . 06.01 . 5.2.1.03 ,Uang Lembur ,750000.00,1000000.00,250000.00,33.33,
1.22 . 1.22.01 . 06.01 . 5.2.1.03.01 ,Uang Lembur PNS ,750000.00,1000000.00,250000.00,33.33,"Uang Lembur PNS
Uang Lembur PNS Gol III50 or x 15.000,00 = 750.000,00
Uang Lembur PNS Gol II25 or x 10.000,00 = 250.000,00"
1.22 . 1.22.01 . 06.01 . 5.2.2 ,Belanja Barang dan Jasa ,16400000.00,16400000.00,0.00,0.00,
1.22 . 1.22.01 . 06.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,11400000.00,11400000.00,0.00,0.00,
1.22 . 1.22.01 . 06.01 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,11400000.00,11400000.00,0.00,0.00,"Belanja Alat Tulis Kantor12 paket x 950.000,00 = 11.400.000,00"
1.22 . 1.22.01 . 06.01 . 5.2.2.03 ,Belanja Jasa Kantor ,750000.00,750000.00,0.00,0.00,
1.22 . 1.22.01 . 06.01 . 5.2.2.03.15 ,Belanja Publikasi ,750000.00,750000.00,0.00,0.00,"Belanja PublikasiSpanduk6 paket x 125.000,00 = 750.000,00"
1.22 . 1.22.01 . 06.01 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,4250000.00,4250000.00,0.00,0.00,
1.22 . 1.22.01 . 06.01 . 5.2.2.06.01 ,Belanja Cetak ,1750000.00,1750000.00,0.00,0.00,"Belanja Cetak1 ls x 1.750.000,00 = 1.750.000,00"
1.22 . 1.22.01 . 06.01 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,2500000.00,2500000.00,0.00,0.00,"Belanja Penggandaan1 LS x 2.500.000,00 = 2.500.000,00"
1.22 . 1.22.01 . 15 ,Program Peningkatan Keberdayaan Masyarakat Perdesaan,245000000.00,228763378.00,-16236622.00,-6.63,
1.22 . 1.22.01 . 15.01 ,Pemberdayaan Lembaga dan Organisasi Masyarakat Perdesaan,47500000.00,46610000.00,-890000.00,-1.87,"Sumber Dana :
 Lokasi Kegiatan : Kab bantul"
1.22 . 1.22.01 . 15.01 . 5.2.1 ,Belanja Pegawai ,17250000.00,20310000.00,3060000.00,17.74,
1.22 . 1.22.01 . 15.01 . 5.2.1.01 ,Honorarium PNS ,17250000.00,20310000.00,3060000.00,17.74,
1.22 . 1.22.01 . 15.01 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,17250000.00,20310000.00,3060000.00,17.74," Honor Panitia  pelaksana kegiatan
 > Hr Tim Teknis P2MD Kab1bjj x 12.540.000,00 = 12.540.000,00
 > Hr Panitia Sosialisasi P2MD10  bjj x 75.000,00 = 750.000,00
 > Hr Tim Pembina P2MD1 bjj x 7.020.000,00 = 7.020.000,00"
1.22 . 1.22.01 . 15.01 . 5.2.2 ,Belanja Barang dan Jasa ,30250000.00,26300000.00,-3950000.00,-13.06,
